listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
52676,★LUXURY DESIGNET JACUZZI& SAUNA APT NEXT 2 ARENA★,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/304855/3badf369_original.jpg,65.0,243989,Viktor,,,True,50.4397,30.517,3.0,1.0,1,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water,Bed linens,Ethernet connection,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Sauna,Stove,Washer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron",,False,4,Strict,UAH,28.0,0.0,361,4.84,4.9,4.9,4.8,4.9,4.9,4.8,5103.0,212080.0,69.0,2864.3,0.214,0.259,13.5,562.0,16.4,681.4,78,64,287,365,0.0,0.0,72.3,2999.5,0.0,0.0,0.0,0.0,0.0,0.0,0,47,90,90,Kyiv,Ukraine,UA,Europe
52941,Historic Building Apartment Overlooking Independence Square,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/8d15ee6e-c896-46f9-9b98-874f2ea10968.jpg,25.0,243989,Viktor,,,True,50.4507,30.5215,2.0,1.0,1,1.0,False,"Hair dryer,Shampoo,Body soap,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Ethernet connection,TV,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Patio or balcony,Long term stays allowed",,False,4,Strict,UAH,28.0,0.0,429,4.86,4.9,4.8,4.8,4.9,5.0,4.7,10216.0,423746.0,157.4,6531.1,0.197,0.225,27.2,1129.1,31.0,1287.9,72,45,293,365,166.0,6882.0,171.3,7103.5,0.011,0.0,1.8,76.5,0.0,0.0,1,0,89,90,Kyiv,Ukraine,UA,Europe
52945,"★ACE LOCATION!\SOMETHING SPECIAL\"" ON MAIDAN!VIEW!★""",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/a7ce41bc-4e3c-4ea1-a5f1-85720fb2db2a.jpg,107.0,243989,Viktor,,,True,50.4507,30.5215,2.0,1.0,1,1.0,False,"Wifi,Bathtub,Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Ethernet connection,TV,Air conditioning,Indoor fireplace,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Patio or balcony,Hot tub,Sauna,Long term stays allowed",,False,6,Strict,UAH,3.0,0.0,305,4.86,4.9,4.9,4.9,4.9,5.0,4.8,3593.0,149861.0,106.7,4425.3,0.09,1.0,9.8,410.2,108.8,4537.5,33,332,332,365,0.0,0.0,97.9,4059.1,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Kyiv,Ukraine,UA,Europe
179889,Super Modern Jacuzzi Apt In Maydan ID 161,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3317755/ec818c3f_original.jpg,36.0,768578,Arnold,,,True,50.4507,30.5194,4.0,1.0,2,1.0,False,"Hair dryer,Washer,Dryer,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Hot tub,Elevator",,False,2,Moderate,UAH,0.0,0.0,178,4.43,4.5,4.6,4.4,4.8,5.0,4.5,3594.0,149099.0,37.1,1539.2,0.268,0.405,9.8,408.5,14.9,616.1,98,123,267,365,732.0,30351.0,35.2,1459.5,0.222,0.0,8.1,337.2,0.0,0.0,20,0,70,90,Kyiv,Ukraine,UA,Europe
196996,3 min. walk to Metro station,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/4504981/4b2a0b66_original.jpg,15.0,887719,Vitalii,,,False,50.4178,30.5465,2.0,1.0,1,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Paid parking off premises,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Coffee,Clothing storage,Stove,Wine glasses,Washer,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Private entrance,Bathtub",,False,1,Moderate,UAH,0.0,0.0,351,4.9,5.0,5.0,5.0,4.9,4.9,4.9,2454.0,101839.0,21.7,899.7,0.315,0.469,6.7,279.0,10.0,415.7,115,120,250,365,1015.0,42083.0,20.8,861.5,0.533,0.649,11.3,467.6,13.7,568.7,48,16,42,90,Kyiv,Ukraine,UA,Europe
221409,Sumptuously Decorated Apartment With Spa-Style Bathroom,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/093a34a5-6948-4dda-b250-4d34a0a6e631.jpg,24.0,243989,Viktor,,,True,50.4463,30.523,2.0,1.0,1,1.0,False,"Bathtub,Hair dryer,Shampoo,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Ethernet connection,TV,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Hot tub,Long term stays allowed",,False,5,Strict,UAH,23.0,0.0,375,4.91,5.0,4.9,4.9,4.9,5.0,4.8,7463.0,309880.0,96.9,4019.4,0.184,0.258,19.7,817.6,27.6,1147.8,67,105,298,365,1224.0,50748.0,108.7,4506.2,0.078,0.109,13.1,542.7,18.4,763.1,7,26,83,90,Kyiv,Ukraine,UA,Europe
256933,Kiev Prime Center Studio Gem ID 181,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/f322326b-c9e9-45ab-9b4e-7c22b518ef37.jpg,22.0,768578,Arnold,,,True,50.4438,30.5208,2.0,1.0,1,1.0,False,"Hair dryer,Hot water,Washer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Dishes and silverware,Free street parking,Hot tub,Elevator,Luggage dropoff allowed,Long term stays allowed",,False,2,Moderate,UAH,0.0,0.0,200,4.35,4.5,4.6,4.2,4.7,5.0,4.4,3695.0,153310.0,22.8,947.2,0.436,0.528,10.1,420.0,12.3,509.3,159,64,206,365,203.0,8417.0,21.8,905.8,0.1,0.0,2.3,93.5,0.0,0.0,9,0,81,90,Kyiv,Ukraine,UA,Europe
288691,"1 bedroom apartment Velyka Vasilkivska 54, Jacuzzi",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3015179/d05135ed_original.jpg,11.0,1449893,Alex,,,True,50.4347,30.5156,4.0,1.0,1,1.5,False,"Air conditioning,Hair dryer,Shampoo,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Ethernet connection,TV,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Patio or balcony,Free street parking,Hot tub,Paid parking off premises,Long term stays allowed",,False,5,Flexible,UAH,10.0,0.0,17,4.71,5.0,5.0,4.8,5.0,5.0,4.7,1209.0,50128.0,44.8,1860.5,0.052,0.062,3.2,132.8,3.8,158.4,19,59,346,365,827.0,34289.0,59.6,2473.0,0.111,0.172,9.0,371.8,13.9,576.9,10,32,80,90,Kyiv,Ukraine,UA,Europe
288705,"studio apt. near Kreshatyk., 24B Pushkinskaya str",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3141218/81593844_original.jpg,10.0,1449893,Alex,,,True,50.4437,30.5167,2.0,1.0,1,1.5,False,"Bathtub,Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,Mosquito net,Ethernet connection,TV,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Wine glasses,Patio or balcony,Backyard,Elevator,Long term stays allowed,Cleaning before checkout",,False,4,Flexible,UAH,0.0,0.0,20,4.95,5.0,5.0,4.8,5.0,5.0,5.0,1673.0,69497.0,35.3,1463.4,0.132,0.274,4.6,190.4,9.6,397.1,48,190,317,365,0.0,0.0,35.9,1486.9,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Kyiv,Ukraine,UA,Europe
322448,"Cozy studio close to Shewchenko park, shelter near",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-322448/original/452cf2ca-2fd5-46da-ba41-5da781a3d5c1.jpeg,34.0,1660046,Андрей,6539502,Alisa,False,50.4373,30.5096,3.0,1.0,4,1.0,False,"Wifi,Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Crib,Air conditioning,Heating,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Patio or balcony,Backyard,Free parking on premises,Free street parking,Hot tub,Paid parking off premises,Pets allowed,Long term stays allowed",,False,1,Flexible,UAH,10.0,0.0,368,4.64,4.8,4.8,4.6,4.9,4.9,4.8,3526.0,146177.0,30.8,1279.3,0.285,0.391,9.4,389.1,12.9,533.9,104,99,261,365,458.0,18988.0,30.7,1271.0,0.167,0.375,5.0,206.4,11.2,464.3,15,50,75,90,Kyiv,Ukraine,UA,Europe
