listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
6499,Belém 1 Bedroom Historical Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjQ5OQ==/original/6a70a3ee-37b0-42a0-8e36-c17a1fcfee78.jpeg,20,14455,Bruno,830888,João,False,38.6975,-9.1977,3.0,1.0,3.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Ethernet connection,TV,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Dining table,Laundromat nearby,Free street parking,Paid parking off premises,Paid parking on premises,Long term stays allowed",,False,4,Moderate,EUR,40.0,0.0,112,4.51,4.5,4.8,4.4,4.9,4.8,4.4,21939,19640,73.9,66.3,0.732,0.0,54.4,48.8,0.0,0.0,267,0,98,365,4123,3634,57.5,50.7,0.678,0.0,40.5,35.7,0.0,0.0,61,0,29,90.0,Lisbon,Portugal,PT,Europe
25659,Heart of Alfama - Le cœur d'Alfama (3 people),Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-25659/original/6b22d582-a0f4-4516-898e-1f88ae1b36dc.jpeg,41,107347,Ellie,,,True,38.7124,-9.1271,3.0,1.0,1.0,1.0,True,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,TV,Books and reading material,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Laundromat nearby,Patio or balcony,Paid parking off premises",,False,2,Firm,EUR,34.0,0.0,228,4.82,4.9,4.9,4.9,5.0,4.9,4.8,21732,19414,112.6,101.0,0.482,0.507,55.1,49.2,57.9,51.8,176,18,189,365,2766,2438,101.9,89.8,0.267,0.0,28.5,25.1,0.0,0.0,24,0,66,90.0,Lisbon,Portugal,PT,Europe
29396,Alfama Hill - Boutique apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/163913/7d622c76_original.jpg,20,126415,Mónica,,,True,38.7116,-9.1299,4.0,1.0,1.0,1.0,True,"Hair dryer,Cleaning products,Hot water,Essentials,Hangers,Room-darkening shades,Iron,Mosquito net,TV,Books and reading material,Crib,Portable fans,Heating,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Waterfront,Beach access,Private entrance,Laundromat nearby,Paid parking off premises,Single level home,Long term stays allowed",,False,2,Firm,EUR,29.0,0.0,440,4.77,4.8,4.9,4.8,4.9,4.9,4.7,27025,24354,94.7,84.9,0.748,0.0,69.4,62.6,0.0,0.0,273,0,92,365,2981,2632,103.1,90.9,0.311,0.0,31.2,27.5,0.0,0.0,28,0,62,90.0,Lisbon,Portugal,PT,Europe
29720,TheHOUSE - Your luxury home,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-29720/original/25c18c69-cf27-4d3a-918b-e1184abf2fd3.jpeg,50,128075,Francisco,,,True,38.7111,-9.1598,16.0,9.0,13.0,8.0,True,"Wifi,TV,Kitchen,Hair dryer,Shampoo,Hot water,Essentials,Hangers,Iron,Crib,High chair,Air conditioning,Indoor fireplace,Heating,First aid kit,Wifi,Refrigerator,Dishes and silverware,Freezer,Dishwasher,Hot water kettle,Coffee maker,Toaster,Patio or balcony,Outdoor furniture,Outdoor dining area,Elevator,Paid parking off premises,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,2,Strict,EUR,58.0,0.0,170,4.92,4.9,5.0,4.9,5.0,4.9,4.7,297774,267030,1366.7,1227.1,0.589,0.0,807.7,724.5,0.0,0.0,215,0,150,365,25751,22692,1387.5,1222.8,0.2,0.0,282.9,249.3,0.0,0.0,18,0,72,90.0,Lisbon,Portugal,PT,Europe
29915,Modern and Spacious Apartment in Lisboa,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/9b572932-8d23-41a7-b08b-b195d2591e32.jpg,19,128890,Sara,,,False,38.7457,-9.1526,3.0,1.0,2.0,1.0,True,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Hot water,Elevator,Bed linens,Laundromat nearby,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Smoke alarm,Patio or balcony,Backyard,Fire extinguisher,Bidet,Essentials,Long term stays allowed,Safe,Hangers,Dining table,Hair dryer,Iron,Freezer,Toaster,Bathtub",False,False,6,Firm,EUR,34.0,0.0,61,4.57,4.7,4.8,4.7,4.6,4.6,4.5,1548,1363,115.5,103.7,0.033,0.086,4.0,3.5,10.4,9.2,12,226,353,365,763,671,114.3,100.7,0.067,0.083,8.1,7.1,10.1,8.9,6,18,84,90.0,Lisbon,Portugal,PT,Europe
42519,Nice Apart.BAIRRO ALTO (ADAMASTOR) 6-1º,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/fbe0c64b-ea1a-4096-a8b1-cb896dff995e.jpg,18,136230,David,,,False,38.7106,-9.149,2.0,1.0,1.0,1.0,True,"High chair,TV,Cable TV,Wifi,Crib,Kitchen,Pack ’n play/Travel crib,Paid parking off premises,Hot water,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Patio or balcony,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Iron",,False,1,Flexible,EUR,17.0,0.0,208,4.48,4.5,4.7,4.6,4.6,4.8,4.5,12407,11245,92.2,82.4,0.353,0.492,32.2,29.2,44.9,40.7,129,103,236,365,1551,1367,76.8,67.7,0.189,0.191,16.1,14.2,16.3,14.3,17,1,73,90.0,Lisbon,Portugal,PT,Europe
48025,Apartment for renting  in Lisbon,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/552c71a6-d008-45aa-9f50-acc6f86c80c0.jpg,14,218778,José,,,False,38.712,-9.1446,2.0,1.0,1.0,1.5,True,"Washer,Iron,TV,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware",,False,7,Firm,EUR,0.0,0.0,55,4.43,4.7,4.8,4.5,4.8,4.7,4.4,29144,26016,103.1,92.6,0.773,0.81,79.8,71.3,83.7,74.8,282,17,83,365,5915,5212,101.3,89.2,0.644,0.652,65.7,57.9,66.5,58.6,58,1,32,90.0,Lisbon,Portugal,PT,Europe
76132,Romantic & Renewed 1 bedroom Apartment @ Campolide,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-76132/original/f557d70f-6ff6-446d-a19c-7741aa98cd3a.jpeg,10,405842,Augusto,,,False,38.7273,-9.1627,2.0,1.0,1.0,1.0,True,"Hair dryer,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Pack ’n play/Travel crib,High chair,Children’s dinnerware,Air conditioning,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Coffee maker,Dining table,Patio or balcony,Paid parking off premises,Long term stays allowed",,False,3,Firm,EUR,58.0,0.0,60,4.6,4.7,4.9,4.5,4.9,4.5,4.5,21688,19226,94.2,84.3,0.545,0.0,54.8,48.6,0.0,0.0,199,0,166,365,3137,2760,86.2,75.9,0.378,0.0,32.9,29.0,0.0,0.0,34,0,56,90.0,Lisbon,Portugal,PT,Europe
83933,Charming flat with terrace in Graça,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-83933/original/6ecc8f0e-acd4-4175-be50-0abc912ad920.jpeg,24,335614,Sebastien,,,True,38.7209,-9.128,2.0,1.0,1.0,1.0,True,"TV,Hair dryer,Cleaning products,Hot water,Essentials,Hangers,Bed linens,Iron,TV,Books and reading material,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Coffee,Patio or balcony",,False,2,Firm,EUR,58.0,0.0,335,4.54,4.6,4.6,4.4,4.7,4.8,4.5,31717,28391,100.2,89.6,0.789,0.84,78.3,70.2,83.3,74.7,288,22,77,365,5458,4801,92.9,81.8,0.6,0.643,55.5,48.8,59.5,52.3,54,6,36,90.0,Lisbon,Portugal,PT,Europe
84599,"Lv Premier Low PR1 elevator, balcony, riverview",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-84599/original/cfb874a9-2b9d-4322-9d5b-12a72a8c0a68.jpeg,38,181902,Jose Luz,,,True,38.7106,-9.1369,5.0,2.0,4.0,1.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Safe,Clothing storage,TV,Sound system,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Children’s dinnerware,Outlet covers,Board games,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Trash compactor,Dining table,Coffee,Private entrance,Patio or balcony,Outdoor furniture,Elevator,Single level home,Pets allowed,Luggage dropoff allowed",,True,1,Moderate,EUR,88.0,0.0,97,4.66,4.8,4.8,4.9,4.8,4.9,4.6,58096,52436,335.2,300.7,0.433,0.549,149.5,135.1,189.5,171.2,158,77,207,365,1931,1702,272.1,239.8,0.089,0.16,18.5,16.3,33.3,29.4,8,40,82,90.0,Lisbon,Portugal,PT,Europe
