listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
13913,Holiday London DB Room Let-on going,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-13913/original/d755aa6d-cebb-4464-80be-2722c921e8d5.jpeg,15.0,54730,Alina,,,False,51.5686,-0.1127,,,1.0,0.0,False,"Bathtub,Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,Books and reading material,Children’s books and toys,Children’s dinnerware,Outlet covers,Board games,Babysitter recommendations,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Lake access,Private entrance,Laundromat nearby,Patio or balcony,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Firm,GBP,40.0,0.0,55,4.85,4.8,4.8,4.8,4.9,4.8,4.8,8662.0,6518.0,88.4,66.7,0.236,0.249,21.0,15.8,22.2,16.7,86,20,279,365,2361.0,1756.0,84.5,62.8,0.278,0.291,23.6,17.5,24.7,18.3,25,4,65,90,London,United Kingdom,GB,Europe
15400,Bright Chelsea  Apartment. Chelsea!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/428392/462d262a_original.jpg,16.0,60302,Philippa,,,False,51.4878,-0.1681,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",False,,4.0,Strict,GBP,94.0,0.0,97,4.8,4.9,4.9,4.9,4.8,4.9,4.7,11514.0,9027.0,160.3,121.1,0.197,0.947,31.0,24.3,149.0,116.9,72,289,293,365,0.0,0.0,163.4,121.4,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,London,United Kingdom,GB,Europe
24328,Battersea live/work artist house,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/9194b40f-c627-4b57-931a-0b8e1ba58eb7.jpg,40.0,41759,Joe,,,False,51.4707,-0.1627,2.0,1.0,1.0,1.5,False,"TV,Wifi,Kitchen,Free parking on premises,Hot water kettle,Paid parking off premises,Books and reading material,Pets allowed,Record player,Laundromat nearby,Outdoor furniture,Cleaning products,Indoor fireplace,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Rice maker,Bathtub,Blender,Room-darkening shades,Bikes,Movie theater,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Exercise equipment,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Bread maker,Toaster",,False,2.0,Strict,GBP,100.0,0.0,95,4.9,4.9,4.9,4.9,4.9,4.6,4.7,14511.0,10793.0,261.5,198.0,0.129,0.133,39.5,29.4,40.8,30.4,47,12,318,365,0.0,0.0,195.1,145.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,London,United Kingdom,GB,Europe
31036,Bright  compact 1 Bedroom Apartment Brick Lane,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-31036/original/a33b203c-ff19-42bd-9c0f-f69eefdffe38.jpeg,21.0,133271,Hendryks,,,False,51.5243,-0.07,4.0,1.0,2.0,1.0,False,"Wifi,Kitchen,Room-darkening shades,Portable fans,Pets allowed,Hot water,Body soap,Conditioner,Bed linens,Cleaning products,Refrigerator,Dishes and silverware,Heating,Cooking basics,Clothing storage,Washer,Dryer,Shower gel,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Iron,Bathtub",,,1.0,Firm,GBP,117.0,,123,4.72,4.8,4.8,4.8,4.8,4.6,4.7,8456.0,6690.0,225.7,170.3,0.104,0.105,20.6,16.4,20.7,16.5,38,2,327,365,198.0,147.0,197.6,147.0,0.011,0.0,2.2,1.6,0.0,0.0,1,0,89,90,London,United Kingdom,GB,Europe
34935,Bright 1 Bedroom Apartment w 2 beds Brick Lane,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-34935/original/bda75346-7516-41f0-8b8c-5907dd9825cb.jpeg,17.0,133271,Hendryks,"336059,694381310","Thomas,Glen Paulo",False,51.5237,-0.0689,4.0,1.0,2.0,1.0,False,"TV,Cable TV,Wifi,Kitchen,Hot water kettle,Paid parking off premises,Portable fans,Pets allowed,Conditioner,Mini fridge,Laundromat nearby,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Freezer,Bathtub,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",True,,2.0,Firm,GBP,123.0,0.0,127,4.55,4.7,4.8,4.7,4.7,4.6,4.5,6984.0,5302.0,256.9,194.1,0.074,0.082,18.1,13.8,20.1,15.3,27,36,338,365,295.0,219.0,276.3,205.4,0.011,0.0,3.3,2.4,0.0,0.0,1,0,89,90,London,United Kingdom,GB,Europe
36299,Kew Gardens 3BR house in cul-de-sac,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/457052/6e819d93_original.jpg,20.0,155938,Geert,,,False,51.4815,-0.2811,5.0,3.0,3.0,1.5,False,"Bathtub,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Ethernet connection,Pack ’n play/Travel crib,Children’s books and toys,High chair,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Private entrance,Backyard",,False,7.0,Strict,GBP,0.0,0.0,116,4.8,4.8,4.9,4.8,5.0,4.9,4.6,53853.0,40167.0,335.2,253.6,0.438,0.678,147.5,110.0,228.2,170.2,160,129,205,365,14385.0,10697.0,323.8,240.8,0.489,0.0,159.8,118.9,0.0,0.0,44,0,46,90,London,United Kingdom,GB,Europe
36660,You are GUARANTEED to love this,Private room in home,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-36660/original/499afb54-a6e0-4fa8-8ade-f5a2f5134647.jpg,27.0,157884,Agri & Roger,,,True,51.5848,-0.1606,,,1.0,0.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,TV,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Coffee maker,Private entrance,Patio or balcony,Backyard,Free parking on premises,Breakfast",,False,2.0,Firm,GBP,0.0,0.0,747,4.87,4.9,5.0,4.8,5.0,4.8,4.9,30203.0,22892.0,113.1,85.5,0.737,0.0,82.7,62.7,0.0,0.0,269,0,96,365,5177.0,3850.0,118.3,87.9,0.489,0.0,57.5,42.8,0.0,0.0,44,0,46,90,London,United Kingdom,GB,Europe
38610,Short Term Home,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/ace0185e-0f8a-4e0f-90bc-62f0a4d5a4b4.jpg,90.0,165579,Elisa & Dom,438213660,Dominic,True,51.507,-0.2336,7.0,4.0,4.0,2.0,False,"TV,Cable TV,Wifi,Kitchen,Hot water kettle,Paid parking off premises,Portable fans,Laundromat nearby,Outdoor furniture,Drying rack for clothing,Heating,Coffee,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Bathtub,Blender,Babysitter recommendations,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,EV charger,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Toaster",,False,14.0,Firm,GBP,126.0,0.0,42,4.83,4.9,5.0,4.6,5.0,4.8,4.7,3828.0,3060.0,373.8,285.8,0.027,0.0,10.1,8.1,0.0,0.0,10,0,355,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,London,United Kingdom,GB,Europe
38995,SPACIOUS ROOM IN CONTEMPORARY STYLE FLAT,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/1937395/94845f6e_original.jpg,10.0,167281,Cesar,,,True,51.4786,-0.0611,,,1.0,0.0,False,"Hair dryer,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Heating,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Coffee maker,Patio or balcony,Breakfast",,False,1.0,Moderate,GBP,14.0,28.0,76,4.97,5.0,5.0,5.0,5.0,4.8,4.9,2233.0,1697.0,65.0,49.1,0.088,0.0,5.8,4.4,0.0,0.0,32,0,333,365,66.0,49.0,65.9,49.0,0.011,0.0,0.7,0.5,0.0,0.0,1,0,89,90,London,United Kingdom,GB,Europe
41712,"Room with a view, shared flat,  central  Bankside",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/435470/00073ab8_original.jpg,15.0,182322,Nina,,,True,51.5019,-0.102,,,1.0,0.0,False,"Wifi,Bathtub,Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Refrigerator,Stove,Oven",,False,2.0,Firm,GBP,40.0,0.0,143,4.71,4.8,4.8,4.9,4.9,4.9,4.6,11305.0,8406.0,118.6,89.6,0.249,0.0,29.4,21.9,0.0,0.0,91,0,274,365,552.0,410.0,117.3,87.2,0.044,0.0,5.7,4.2,0.0,0.0,4,0,86,90,London,United Kingdom,GB,Europe
