listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
503513,Stylish spacious 2 bed Apt Balcony Nr City Stadium,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-503513/original/253ea82d-88d4-4644-badf-efec42d0580c.jpeg,19,2483433,Helyn,,,True,53.4847,-2.196,4.0,2.0,2.0,3.0,False,"Wifi,Hair dryer,Washer,Dryer,Essentials,Bed linens,Iron,Ethernet connection,TV,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Refrigerator,Microwave,Cooking basics,Oven,Toaster,Blender,Free parking on premises,Free street parking,Elevator,Pets allowed",,True,,Strict,GBP,107.0,0.0,31,4.81,4.8,4.8,4.6,4.9,4.8,4.7,4820.0,3602.0,154.7,116.5,0.066,0.0,10.3,7.7,0.0,0.0,24,0,341,365,2252.0,1675.0,175.3,130.4,0.122,0.0,20.3,15.1,0.0,0.0,11,0,79,90,Manchester,United Kingdom,GB,Europe
556920,Bedroom/private bath-character central Manchester,Private room in condo,private_room,https://a0.muscache.com/im/pictures/1895bf07-606c-4bf0-8869-015ed3a3c79e.jpg,16,2738322,Jane,,,True,53.48,-2.2212,,,1.0,0.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,Iron,Heating,Smoke alarm,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Coffee maker,Private entrance,Free street parking,Elevator,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Firm,GBP,25.0,0.0,349,4.91,4.9,4.9,5.0,4.9,4.9,4.8,18572.0,14046.0,67.7,51.2,0.677,0.0,46.6,35.2,0.0,0.0,247,0,118,365,3859.0,2881.0,64.8,48.2,0.589,0.0,38.4,28.6,0.0,0.0,53,0,37,90,Manchester,United Kingdom,GB,Europe
568034,"Quiet, comfortable double room in Chorlton",Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTY4MDM0/original/15649c5a-cae2-4c8d-b97d-390dfe4b8a75.jpeg,24,2794391,Helen,,,True,53.4455,-2.2779,,,1.0,0.0,False,"Bathtub,Hair dryer,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Portable fans,Heating,Smoke alarm,Wifi,Dishes and silverware,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Laundromat nearby,Backyard,Outdoor furniture,Free street parking,Luggage dropoff allowed,Breakfast",,False,2.0,Firm,GBP,0.0,6.0,482,4.77,4.8,4.9,4.8,4.9,4.8,4.8,12543.0,9448.0,52.0,39.2,0.655,0.703,34.4,25.9,36.9,27.8,239,25,126,365,2702.0,2008.0,52.4,38.9,0.578,0.8,30.0,22.3,41.6,30.9,52,25,38,90,Manchester,United Kingdom,GB,Europe
651097,DOUBLE ROOM+ENSUITE IN CITY CENTRE W/ FREE PARKING,Private room in condo,private_room,https://a0.muscache.com/im/pictures/3a7bdc5a-36c2-4c7e-b8db-d1d9ba53df9d.jpg,9,3270691,Brian,,,False,53.475,-2.2448,,,1.0,0.0,False,"TV,Cable TV,Wifi,Waterfront,Lake access,Kitchen,Board games,Free parking on premises,Hot water kettle,Paid parking off premises,Books and reading material,Record player,Conditioner,Mini fridge,Elevator,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Changing table,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",,,2.0,Moderate,GBP,27.0,,412,4.77,4.8,4.8,4.7,4.8,4.9,4.7,3148.0,2407.0,86.1,65.1,0.088,0.0,7.7,5.9,0.0,0.0,32,0,333,365,0.0,0.0,83.0,61.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Manchester,United Kingdom,GB,Europe
681857,A perfect Home away from home 1,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/1d8f6c8e-32d8-4a79-84ad-0110b797d281.jpg,20,3472687,Thembalani,,,True,53.488,-2.2113,4.0,2.0,2.0,3.0,False,"Bathtub,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Ethernet connection,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Private entrance,Free parking on premises,Free street parking,Elevator,Long term stays allowed",,False,1.0,Firm,GBP,26.0,0.0,332,4.65,4.6,4.7,4.6,4.8,4.5,4.6,11479.0,8727.0,194.1,146.3,0.167,0.0,31.0,23.5,0.0,0.0,61,0,304,365,1232.0,915.0,204.9,152.3,0.067,0.0,13.4,10.0,0.0,0.0,6,0,84,90,Manchester,United Kingdom,GB,Europe
1199469,"Boutique Mews Cottage, West Didsbury",Entire home,entire_home,https://a0.muscache.com/im/pictures/18342915/7a2ca8bf_original.jpg,36,6552609,David,,,True,53.4265,-2.2454,4.0,2.0,3.0,1.5,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Sound system,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Children’s dinnerware,Outlet covers,Board games,Baby safety gates,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Coffee,Private entrance,Patio or balcony,Free parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Strict,GBP,0.0,0.0,302,5.0,5.0,5.0,5.0,5.0,5.0,4.9,37739.0,28369.0,244.6,184.8,0.411,0.0,103.4,77.7,0.0,0.0,150,0,215,365,8047.0,5983.0,246.7,183.4,0.344,0.0,89.4,66.5,0.0,0.0,31,0,59,90,Manchester,United Kingdom,GB,Europe
1225615,Double room in Manchester,Private room in home,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-1225615/original/12bf8750-126a-45b9-bac6-633a2182e009.jpg,24,6201208,Tyra,,,True,53.4336,-2.223,,,1.0,0.0,False,"TV,Washer,Dryer,Wifi,Carbon monoxide alarm,Patio or balcony,Backyard,Kitchen,Essentials,Free parking on premises,Hot water,Free street parking,Indoor fireplace,Refrigerator,Heating",,False,1.0,Flexible,GBP,0.0,0.0,19,4.88,4.9,4.9,4.9,5.0,4.8,4.8,6255.0,4800.0,71.8,54.1,0.277,0.398,17.1,13.2,24.6,18.9,101,111,264,365,1287.0,957.0,91.2,67.8,0.144,0.0,14.3,10.6,0.0,0.0,13,0,77,90,Manchester,United Kingdom,GB,Europe
1464323,Double Room near Centre.,Private room in house,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-1464323/original/7dd19e55-baa3-4963-8970-2a2763dbf380.jpeg,19,1821587,Ekua,578074302,Nia,True,53.4576,-2.2366,,,1.0,0.0,False,"Stove,Washer,Smoke alarm,Wifi,Kitchen,Lock on bedroom door,Hangers,Hair dryer,Hot water,Iron,Bed linens,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven",False,False,3.0,Strict,GBP,26.0,20.0,26,4.69,4.6,4.9,4.1,5.0,4.5,4.6,1260.0,937.0,62.5,47.2,0.047,0.0,3.2,2.4,0.0,0.0,17,0,348,365,0.0,0.0,70.0,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Manchester,United Kingdom,GB,Europe
1685231,Central 180° View Free On-Street Parking Arty Home,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/d88aac23-6315-44a8-b7d8-6de63dad9f8e.jpg,183,9989431,Bianca,,,False,53.4913,-2.2398,6.0,1.0,2.0,1.0,False,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Paid parking off premises,Smoking allowed,Pets allowed,Elevator,Free street parking,Outdoor furniture,Heating,Washer,Smoke alarm,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Baking sheet,Barbecue utensils",True,,2.0,Moderate,GBP,40.0,17.0,199,4.6,4.7,4.5,4.4,4.8,4.7,4.5,6486.0,4968.0,133.8,101.6,0.132,0.0,16.5,12.6,0.0,0.0,48,0,317,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Manchester,United Kingdom,GB,Europe
1928854,Arty Designer Apartment City Center,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1928854/original/6aa1c431-110b-47bb-b551-46cf74d950e1.jpeg,53,9989431,Bianca,,,False,53.4913,-2.2398,5.0,1.0,2.0,1.0,False,"TV,Cable TV,Wifi,Kitchen,Hot water kettle,Pets allowed,Conditioner,Elevator,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Freezer,Bathtub,Window guards,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",,,1.0,Flexible,GBP,40.0,16.0,12,4.5,4.7,4.8,4.5,5.0,4.8,4.5,7485.0,5797.0,156.1,117.9,0.134,0.162,19.2,14.9,23.1,17.9,49,62,316,365,0.0,0.0,187.1,139.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Manchester,United Kingdom,GB,Europe
