listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
40470,Giacinto Cosy & clean flat near MM1,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/891684/01c17b8f_original.jpg,15,174203,Giacinto,,,False,45.5202,9.2275,4.0,2.0,4.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Pets allowed,Hot water,Elevator,Heating,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",False,,3.0,Flexible,EUR,0.0,0.0,44,4.67,4.7,5.0,4.8,4.9,4.5,4.5,6080.0,5363.0,110.0,98.6,0.151,0.212,16.7,14.7,23.4,20.6,55,105,310,365,0.0,0.0,121.3,106.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Milan,Italy,IT,Europe
46536,Nico & Cinzia's Pink Suite!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/4eb8e0f5-e17b-4650-b73a-9f70c2d72d8f.jpg,11,138683,Nico&Cinzia,,,False,45.5228,9.2248,5.0,2.0,3.0,1.0,True,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,TV,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Elevator,Single level home,Smoking allowed",,False,3.0,Moderate,EUR,0.0,0.0,40,4.54,4.6,4.8,4.7,4.9,4.4,4.6,8037.0,7483.0,109.7,98.6,0.203,0.622,22.0,20.5,67.5,62.9,74,246,291,365,0.0,0.0,108.8,95.9,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Milan,Italy,IT,Europe
84741,Nice room with private bathroom,Private room in loft,private_room,https://a0.muscache.com/im/pictures/0b34089b-4d58-41fb-a18d-51ee2e65db39.jpg,31,443989,Franci,,,True,45.47,9.2441,2.0,1.0,1.0,1.0,True,"Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Air conditioning,Heating,Wifi,Refrigerator,Microwave,Dishes and silverware,Coffee maker,Wine glasses,Dining table,Private entrance,Laundromat nearby,Free street parking,Single level home,Pets allowed,Luggage dropoff allowed",,False,2.0,Flexible,EUR,,,697,4.65,4.7,4.8,4.7,4.9,4.2,4.6,10774.0,9769.0,47.6,42.8,0.567,0.685,29.5,26.8,35.7,32.3,207,63,158,365,195.0,172.0,33.0,28.9,0.044,0.148,2.2,1.9,7.2,6.4,4,63,86,90,Milan,Italy,IT,Europe
102817,Open Space Loft Navigli Area Milano,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTAyODE3/original/b0ef3c3a-8980-4f45-8e05-c4848d42a7f8.jpeg,19,512747,Paolo Maurizio,414463765,Alba,False,45.4447,9.151,3.0,1.0,2.0,1.0,True,"TV,Cable TV,Wifi,Kitchen,Portable fans,Smoking allowed,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Stove,Washer,Patio or balcony,Backyard,Bidet,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer",True,False,3.0,Moderate,EUR,0.0,0.0,732,4.5,4.7,4.7,4.4,4.7,4.3,4.5,18177.0,16409.0,101.9,91.6,0.488,0.652,49.8,45.0,66.6,60.1,178,92,187,365,0.0,0.0,101.5,89.5,0.0,0.0,0.0,0.0,0.0,0.0,0,89,90,90,Milan,Italy,IT,Europe
122514,Brand new apartment in Milan,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/86933510/4dfdd458_original.jpg,8,613760,Marco,,,True,45.4503,9.1522,4.0,2.0,1.0,1.0,True,"Hair dryer,Shampoo,Washer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Oven,Backyard,Free street parking,Elevator,Paid parking on premises",,False,2.0,Firm,EUR,33.0,23.0,131,4.85,4.9,4.8,4.7,4.9,4.8,4.7,10976.0,9868.0,95.0,85.5,0.288,0.469,28.7,25.8,46.8,42.1,105,141,260,365,2832.0,2492.0,85.5,75.3,0.344,0.425,30.0,26.4,37.0,32.5,31,17,59,90,Milan,Italy,IT,Europe
140874,Sleeping at the bottom of the Sea in Milan,Private room in loft,private_room,https://a0.muscache.com/im/pictures/1897966/98085aa6_original.jpg,13,685839,Serena,,,True,45.4938,9.1852,2.0,1.0,1.0,1.0,True,"TV,Blender,Wifi,Kitchen,Hot water kettle,Hot water,Body soap,Conditioner,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Coffee,Clothing storage,Stove,Wine glasses,Washer,Dryer,Shower gel,Backyard,Bidet,Essentials,Shampoo,Hangers,Dining table,Hair dryer,Iron,Baking sheet,Freezer,Toaster",True,False,1.0,Firm,EUR,0.0,29.0,187,4.72,4.7,4.7,4.8,4.9,4.5,4.6,2042.0,1873.0,82.0,73.7,0.071,0.0,5.6,5.1,0.0,0.0,26,0,339,365,163.0,144.0,82.1,72.4,0.022,0.0,1.8,1.6,0.0,0.0,2,0,88,90,Milan,Italy,IT,Europe
143329,Apartment corso Buenos Aires milan,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTQzMzI5/original/1ffdc4bf-f663-4241-acf3-04949d3468a1.jpeg,35,695509,Porta Venezia Home,,,True,45.4826,9.2156,2.0,1.0,1.0,1.0,True,"Hair dryer,Body soap,Bidet,Hot water,Washer,Essentials,Bed linens,Iron,Drying rack for clothing,TV,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Dining table,Coffee,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free street parking,Elevator,Paid parking on premises",,False,3.0,Moderate,EUR,35.0,17.0,149,4.7,4.7,4.8,4.6,4.8,4.9,4.6,23430.0,20964.0,91.9,82.6,0.644,0.0,59.8,53.5,0.0,0.0,235,0,130,365,4438.0,3913.0,97.3,85.7,0.467,0.0,46.2,40.7,0.0,0.0,42,0,48,90,Milan,Italy,IT,Europe
153925,Stay in Style Solari – M4 Blue Line,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-153925/original/aebb138d-ab14-4f62-bbb7-c213e33bf159.jpeg,16,740161,Stefano Carmine,"8930201,564345888","Stefania,Leonardo",True,45.4565,9.1576,4.0,1.0,2.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,TV,Outdoor playground,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony",,False,2.0,Flexible,EUR,46.0,0.0,114,4.78,4.8,4.8,4.7,4.9,4.7,4.6,30644.0,27586.0,116.0,104.2,0.663,0.0,78.2,70.4,0.0,0.0,242,0,123,365,3502.0,3090.0,118.7,104.6,0.3,0.0,35.8,31.6,0.0,0.0,27,0,63,90,Milan,Italy,IT,Europe
155720,matrimoni red room on Canals center,Private room in home,private_room,https://a0.muscache.com/im/pictures/89502121/62a70f69_original.jpg,46,748765,Bruna,,,False,45.4451,9.1668,,,1.0,0.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Drying rack for clothing,Mosquito net,Books and reading material,Air conditioning,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Dishes and silverware,Mini fridge,Laundromat nearby,Patio or balcony,Paid parking on premises,Breakfast,Smoking allowed,Long term stays allowed",,False,1.0,Flexible,EUR,17.0,0.0,328,4.51,4.6,4.8,4.3,4.7,4.7,4.5,16192.0,14509.0,61.4,55.1,0.671,0.0,41.7,37.4,0.0,0.0,245,0,120,365,2791.0,2460.0,63.3,55.8,0.456,0.0,29.3,25.8,0.0,0.0,41,0,49,90,Milan,Italy,IT,Europe
171017,"Charming Terrace Flat with Veranda, 15 min Centre",Entire condo,entire_home,https://a0.muscache.com/im/pictures/2818827/b9fe6962_original.jpg,52,815807,Katia,,,True,45.495,9.2159,3.0,,2.0,1.0,True,"Wifi,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Pack ’n play/Travel crib,Children’s books and toys,Children’s dinnerware,Board games,Air conditioning,Heating,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,Free street parking,Elevator,Paid parking off premises,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,1.0,Flexible,EUR,17.0,0.0,545,4.77,4.8,4.9,4.9,4.9,4.7,4.7,19475.0,17549.0,92.6,83.3,0.548,0.787,51.2,46.2,73.6,66.4,200,111,165,365,100.0,88.0,93.5,82.3,0.011,0.111,1.1,1.0,11.1,9.8,1,81,89,90,Milan,Italy,IT,Europe
