listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
41339,Porto city flat near the sea,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-41339/original/8a4262cb-ccba-4deb-873b-1f5758925781.jpeg,23,180050,Paula,"6787366,458212577","Paula,Daniela",False,41.1501,-8.6603,5.0,1.0,3.0,1.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Books and reading material,Pack ’n play/Travel crib,Portable fans,Heating,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Coffee,Private entrance,Patio or balcony,Free street parking,Elevator,Long term stays allowed",,False,7.0,Firm,EUR,34.0,0.0,34,4.71,4.7,4.8,4.8,4.8,4.5,4.7,16743.0,15087.0,111.4,100.2,0.381,0.0,43.8,39.5,0.0,0.0,139,0,226,365,576.0,508.0,93.1,82.1,0.067,0.0,6.0,5.3,0.0,0.0,6,0,84,90,Porto,Portugal,PT,Europe
87873,Oporto Apartment Triplex,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/33686513/c54fe40f_original.jpg,28,480980,Paula,,,True,41.1561,-8.6044,4.0,2.0,2.0,1.5,True,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,TV,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Patio or balcony,Free street parking,Elevator,Paid parking off premises,Smoking allowed,Cleaning before checkout",,False,3.0,Moderate,EUR,0.0,0.0,268,4.8,4.9,5.0,4.9,4.9,4.5,4.8,25396.0,22596.0,118.1,106.0,0.573,0.0,69.6,61.9,0.0,0.0,209,0,156,365,1740.0,1533.0,113.7,100.2,0.167,0.0,19.3,17.0,0.0,0.0,15,0,75,90,Porto,Portugal,PT,Europe
94701,Big TERRACE APARTMENT / city center,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/812621/ab58f539_original.jpg,42,505473,Gundega,,,False,41.1467,-8.6019,3.0,1.0,1.0,1.0,True,"Wifi,Bathtub,Hair dryer,Cleaning products,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Pack ’n play/Travel crib,High chair,Air conditioning,Heating,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Coffee,Laundromat nearby,Patio or balcony,Outdoor furniture,Sun loungers,Elevator,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Strict,EUR,34.0,0.0,321,4.77,4.8,4.9,4.8,4.9,4.8,4.8,15804.0,14012.0,80.7,72.3,0.49,0.504,41.2,36.5,42.3,37.5,179,10,186,365,3118.0,2744.0,72.5,63.8,0.456,0.512,33.1,29.2,37.3,32.8,41,10,49,90,Porto,Portugal,PT,Europe
122362,Private house in Oporto - Portugal,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-122362/original/a81a3189-aeaf-43e3-84c2-6ad8ff390c15.jpeg,29,613350,Olga,,,False,41.1758,-8.6232,9.0,4.0,6.0,3.0,True,"Hair dryer,Hot water,Washer,Essentials,Hangers,Iron,TV,Crib,Indoor fireplace,Wifi,Kitchen,Microwave,Dishes and silverware,Coffee maker,Free street parking,Long term stays allowed",,False,2.0,Moderate,EUR,0.0,0.0,96,4.66,4.8,4.9,4.8,4.9,4.5,4.7,16571.0,14853.0,146.0,130.5,0.318,0.391,45.4,40.7,55.8,50.0,116,68,249,365,3470.0,3058.0,179.8,158.5,0.2,0.0,38.6,34.0,0.0,0.0,18,0,72,90,Porto,Portugal,PT,Europe
127208,B & B  Room Yoga Garden's Place,Private room in home,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-127208/original/1d3ce85b-1c9f-4069-9a5c-094350298f36.jpg,63,630252,Aurora,,,True,41.1546,-8.5898,,,4.0,0.0,True,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,TV,Indoor fireplace,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Trash compactor,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Sun loungers,Free street parking,Gym,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,EUR,17.0,0.0,615,4.89,4.9,5.0,5.0,5.0,4.6,4.9,15403.0,13821.0,50.6,45.3,0.795,0.909,39.6,35.6,45.4,40.7,290,46,75,365,2124.0,1875.0,54.2,47.8,0.444,0.909,23.2,20.5,47.5,41.9,40,46,50,90,Porto,Portugal,PT,Europe
139425,"Cozy flat- air cond, rooftop terrace, free parking",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTM5NDI1/original/6c425199-9a11-4cf0-a46c-c89b65e6d373.jpeg,23,680010,Liana,,,True,41.1462,-8.5942,6.0,2.0,3.0,1.0,True,"High chair,TV,Cable TV,Wifi,Air conditioning,Crib,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Hot water,Elevator,Bed linens,Laundromat nearby,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishwasher,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Washer,BBQ grill,Shower gel,Patio or balcony,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Dining table,Hair dryer,Iron,Barbecue utensils,Outdoor dining area,Freezer",,False,2.0,Moderate,EUR,35.0,0.0,315,4.52,4.7,4.8,4.5,4.8,4.5,4.6,22987.0,20344.0,95.2,85.5,0.562,0.627,57.4,50.8,64.1,56.7,205,38,160,365,2356.0,2076.0,78.0,68.6,0.289,0.0,23.1,20.3,0.0,0.0,26,0,64,90,Porto,Portugal,PT,Europe
169321,Spacious and bright apartment near fine arts I,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/9ddd9def-78c7-4e5c-ab92-2a4f5d3f4a6f.jpg,72,806826,Miguel,,,True,41.1454,-8.5979,6.0,2.0,3.0,2.0,True,"Air conditioning,Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Crib,Pack ’n play/Travel crib,High chair,Children’s dinnerware,Babysitter recommendations,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Coffee,Beach access,Laundromat nearby,Patio or balcony,Outdoor furniture,Free street parking,Long term stays allowed",,False,3.0,Moderate,EUR,0.0,0.0,251,4.92,4.9,5.0,5.0,5.0,4.8,4.9,27761.0,24734.0,210.2,188.9,0.332,0.0,76.1,67.8,0.0,0.0,121,0,244,365,2521.0,2221.0,160.4,141.3,0.156,0.0,28.0,24.7,0.0,0.0,14,0,76,90,Porto,Portugal,PT,Europe
186655,Charming Family House with Garden (6981/AL),Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/fd091b38-e7e7-4c78-8ce4-b0ee2a3495d7.jpg,15,897112,Helena,,,True,41.1522,-8.6525,6.0,3.0,5.0,1.0,True,"Hair dryer,Hot water,Bed linens,Room-darkening shades,TV,Children’s books and toys,High chair,Baby bath,Children’s dinnerware,Changing table,Outlet covers,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Patio or balcony,Backyard,Free street parking,Single level home",,False,3.0,Strict,EUR,46.0,0.0,280,4.74,4.8,4.9,4.8,4.9,4.6,4.8,19461.0,17423.0,89.3,80.1,0.562,0.919,50.2,44.9,82.1,73.5,205,142,160,365,0.0,0.0,92.1,81.2,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Porto,Portugal,PT,Europe
186946,DESIGN HOUSE OLD TOWN | BALCONY | AIRCO | RIBEIRA,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/57f643d8-715e-484d-9dd8-567c35ace23d.jpg,45,898831,Isabel,,,True,41.1409,-8.617,2.0,1.0,1.0,1.0,True,"Wifi,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Books and reading material,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Waterfront,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Beach essentials,Paid parking off premises,Paid parking on premises,Long term stays allowed",,False,2.0,Moderate,EUR,28.0,0.0,433,4.92,5.0,4.9,5.0,5.0,4.9,4.9,47784.0,42557.0,188.5,168.8,0.636,0.0,126.2,112.4,0.0,0.0,232,0,133,365,4248.0,3746.0,175.7,154.8,0.256,0.0,45.3,40.0,0.0,0.0,23,0,67,90,Porto,Portugal,PT,Europe
191005,Luxury Apartment Downtown - Porto,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2096314/68b132f4_original.jpg,55,923371,Carlos,,,True,41.1533,-8.6076,4.0,2.0,3.0,2.0,True,"TV,Cable TV,Wifi,Kitchen,Hot water kettle,Paid parking off premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Long term stays allowed,Hangers,Dining table,Hair dryer,Iron,Freezer,Toaster,Bathtub",,False,3.0,Strict,EUR,58.0,0.0,174,4.73,4.8,4.9,4.8,4.9,4.7,4.6,29348.0,26563.0,161.9,145.2,0.485,0.522,77.7,70.4,83.7,75.8,177,26,188,365,0.0,0.0,157.1,138.5,0.0,0.0,0.0,0.0,0.0,0.0,0,26,90,90,Porto,Portugal,PT,Europe
