listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
26755,Central Prague Old Town Top Floor,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-26755/original/11fdea37-69fe-45a2-8199-425267af8f75.jpeg,34,113902,Daniel+Bea,,,True,50.0873,14.4318,4.0,1.0,2.0,1.5,False,"Wifi,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Books and reading material,Pack ’n play/Travel crib,Children’s books and toys,High chair,Baby bath,Air conditioning,Heating,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Private entrance,Elevator,Paid parking off premises,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Moderate,CZK,25.0,0.0,454,4.94,5.0,4.9,4.9,5.0,4.9,4.9,40832.0,911434.0,136.8,3055.9,0.775,0.0,107.6,2402.3,0.0,0.0,283,0,82,365,7542.0,165574.0,131.4,2883.7,0.6,0.0,80.5,1766.5,0.0,0.0,54,0,36,90,Prague,Czech Republic,CZ,Europe
52148,Colorful 2BDR Family Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-52148/original/c84631f9-3fdd-41f3-b7a2-f5d4650ecf09.jpeg,21,227945,Alex And Kate,,,False,50.0709,14.4316,7.0,1.0,4.0,1.0,False,"Air conditioning,Hair dryer,Shampoo,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Iron,Clothing storage,TV,Pack ’n play/Travel crib,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Elevator,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,True,1.0,Super Strict 60 Days,CZK,33.0,0.0,301,4.64,4.7,4.8,4.6,4.8,4.6,4.7,39311.0,880742.0,141.3,3159.0,0.721,0.735,102.2,2292.0,104.2,2336.8,263,7,102,365,7365.0,161677.0,103.7,2277.0,0.644,0.699,76.0,1667.7,82.4,1808.3,58,7,32,90,Prague,Czech Republic,CZ,Europe
55844,Renovated Klimt Studio by Ruterra next to Muzeum,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-55844/original/90e71e88-67f0-4c92-ad8d-bed0b5ecc2b4.jpeg,16,227945,Alex And Kate,,,False,50.0783,14.433,3.0,1.0,2.0,1.0,False,"TV,Wifi,Kitchen,Hot water kettle,Paid parking off premises,Pets allowed,Hot water,Elevator,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Stove,Wine glasses,Smoke alarm,Carbon monoxide alarm,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Toaster",True,,2.0,Super Strict 60 Days,CZK,0.0,0.0,514,4.52,4.7,4.6,4.5,4.8,4.7,4.6,14810.0,333166.0,99.4,2220.3,0.353,0.376,40.6,912.8,43.2,971.3,129,22,236,365,0.0,0.0,78.8,1729.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Prague,Czech Republic,CZ,Europe
55856,Renovated Apartment behind National Museum,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-55856/original/9ec8c372-2777-4162-9214-98b07b3986cb.jpeg,27,227945,Alex And Kate,,,False,50.0772,14.4338,4.0,1.0,2.0,1.0,False,"Air conditioning,Hair dryer,Shampoo,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Clothing storage,TV,Pack ’n play/Travel crib,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Coffee,Elevator,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,True,2.0,Super Strict 60 Days,CZK,19.0,0.0,453,4.6,4.7,4.7,4.6,4.8,4.8,4.7,34529.0,771356.0,129.0,2878.4,0.723,0.729,91.1,2035.6,91.8,2052.5,264,3,101,365,8581.0,188378.0,110.4,2424.1,0.789,0.816,92.2,2023.6,95.4,2093.4,71,3,19,90,Prague,Czech Republic,CZ,Europe
70003,Yellow Ruterra studio,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-70003/original/cf0896f2-33cd-47aa-9ab4-db1fe7fe60e6.jpeg,16,227945,Alex And Kate,,,False,50.0866,14.4512,3.0,1.0,2.0,1.0,False,"TV,Washer,Smoke alarm,Wifi,Carbon monoxide alarm,Luggage dropoff allowed,Kitchen,Essentials,Long term stays allowed,Shampoo,Paid parking off premises,Pets allowed,Hangers,Hair dryer,Hot water,Iron,Dedicated workspace,Bed linens,Heating",True,,2.0,Super Strict 60 Days,CZK,19.0,0.0,289,4.39,4.5,4.7,4.5,4.8,4.5,4.4,10910.0,245512.0,79.5,1778.5,0.285,0.297,28.4,639.5,29.6,666.9,104,15,261,365,0.0,0.0,59.0,1296.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Prague,Czech Republic,CZ,Europe
75298,Prague  Studio  Old  Town,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/c8bd9002-c52e-4c91-9bf5-7e68f33a51a0.jpg,37,398991,Emanuel,,,False,50.0923,14.4329,2.0,1.0,1.0,1.0,False,"Stove,TV,Cable TV,Wifi,Kitchen,Essentials,Paid parking off premises,Hangers,Hair dryer,Hot water,Iron,Dedicated workspace,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics",False,False,3.0,Firm,CZK,58.0,0.0,37,4.76,4.9,4.8,4.8,5.0,4.9,4.8,7733.0,173812.0,93.1,2080.4,0.2,0.248,18.3,413.4,22.8,513.3,73,71,292,365,2111.0,46342.0,101.6,2230.5,0.178,0.186,20.9,458.3,21.8,479.7,16,4,74,90,Prague,Czech Republic,CZ,Europe
83067,Old Town Apartment Charles Bridge 3,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-83067/original/673a39d2-dc5b-4438-8f0b-b2022747a0ee.jpeg,24,315332,Lubos & Marta,,,True,50.0841,14.4135,4.0,1.0,4.0,1.0,False,"Hair dryer,Cleaning products,Bidet,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Clothing storage,TV,Pack ’n play/Travel crib,High chair,Portable fans,Heating,Exterior security cameras on property,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Paid parking off premises",,False,3.0,Firm,CZK,11.0,0.0,304,4.57,4.7,4.6,4.6,4.7,4.9,4.6,35387.0,787646.0,134.7,3010.5,0.682,0.75,95.1,2116.3,104.5,2326.7,249,33,116,365,6201.0,136124.0,121.6,2669.7,0.544,0.86,66.9,1469.6,105.7,2320.5,49,33,41,90,Prague,Czech Republic,CZ,Europe
83855,Old Town Apartment Charles Bridge 4,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-83855/original/0af9e798-0d16-436d-b239-1c35b06c1574.jpeg,23,315332,Lubos & Marta,,,True,50.0841,14.4135,5.0,1.0,3.0,1.0,False,"Hair dryer,Cleaning products,Body soap,Bidet,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Clothing storage,TV,Pack ’n play/Travel crib,High chair,Portable fans,Heating,Exterior security cameras on property,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Paid parking off premises",,False,3.0,Firm,CZK,11.0,0.0,335,4.61,4.8,4.7,4.6,4.8,5.0,4.6,43416.0,966264.0,147.6,3297.3,0.773,0.0,116.8,2600.4,0.0,0.0,282,0,83,365,12150.0,266720.0,145.3,3189.3,0.889,0.0,132.2,2902.0,0.0,0.0,80,0,10,90,Prague,Czech Republic,CZ,Europe
83856,Charles Bridge Old Town Apartment 5,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-83856/original/6650692f-cb75-4982-a691-a651018eb492.jpeg,25,315332,Lubos & Marta,,,True,50.0839,14.4146,5.0,1.0,3.0,1.0,False,"Hair dryer,Cleaning products,Bidet,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Clothing storage,TV,Pack ’n play/Travel crib,Portable fans,Heating,Exterior security cameras on property,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Paid parking off premises",,False,3.0,Firm,CZK,11.0,0.0,489,4.68,4.8,4.7,4.7,4.8,5.0,4.7,48180.0,1075081.0,155.0,3465.5,0.83,0.0,129.6,2892.6,0.0,0.0,303,0,62,365,12711.0,279033.0,146.0,3206.1,0.922,0.0,138.2,3033.4,0.0,0.0,83,0,7,90,Prague,Czech Republic,CZ,Europe
85790,Grande apartment 43 with River View,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/91a1e7cf-ac7f-4561-82ec-aaaac02e0ec1.jpg,36,383698,Veronika,,,False,50.0774,14.4141,12.0,3.0,12.0,1.5,False,"Hair dryer,Hot water,Essentials,Hangers,Bed linens,Iron,TV,Crib,Heating,Wifi,Kitchen,Refrigerator,Microwave,Dishes and silverware,Stove,Coffee maker,Elevator,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Moderate,CZK,0.0,0.0,172,4.65,4.7,4.5,4.5,4.6,4.9,4.7,62888.0,1411501.0,316.6,7135.2,0.537,0.609,172.3,3867.1,195.3,4383.5,196,43,169,365,10613.0,232987.0,258.2,5668.5,0.444,0.625,117.9,2588.7,165.8,3640.4,40,26,50,90,Prague,Czech Republic,CZ,Europe
