listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
11834,"Charming Boschetto Studio, Rome",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-11834/original/be9827d9-709c-4572-a286-913c31196cda.jpeg,42.0,44552,Serena,,,True,41.8954,12.4912,2.0,1.0,1.0,1.0,True,"Air conditioning,Hair dryer,Cleaning products,Shampoo,Body soap,Bidet,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Pack ’n play/Travel crib,Air conditioning,Portable fans,Heating,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Dining table,Coffee,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Gym,Paid parking off premises,Paid parking on premises,Single level home,Long term stays allowed",,False,2.0,Firm,EUR,70.0,0.0,294,4.87,4.9,5.0,4.9,5.0,5.0,4.8,40225,35872,160.2,143.4,0.625,0.671,102.9,91.8,110.5,98.6,228,25,137,365,5870,5175,173.7,153.0,0.344,0.0,62.1,54.7,0.0,0.0,31,0,59,90,Rome,Italy,IT,Europe
12398,Casa Donatello - Home far from Home,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-12398/original/fcddb5b9-ecd0-428a-8321-649d6f33d31a.jpeg,84.0,11756,Gea,,,True,41.9258,12.4693,3.0,2.0,3.0,1.0,True,"Wifi,Hair dryer,Cleaning products,Shampoo,Bidet,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,TV,Books and reading material,Children’s dinnerware,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Free street parking,Elevator,Paid parking on premises,Single level home,Pets allowed",,False,1.0,Moderate,EUR,,,85,4.9,4.9,4.9,4.9,5.0,4.9,4.8,13174,11737,183.1,164.5,0.164,0.247,36.1,32.2,54.2,48.3,60,122,305,365,1660,1462,149.8,132.0,0.122,0.355,18.4,16.2,53.5,47.2,11,59,79,90,Rome,Italy,IT,Europe
19965,S. Peter's Square 5 Min WALK cozy quite 2 bdr,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTk5NjU=/original/ed607513-e9e0-450a-9bb9-34593a46be44.jpeg,56.0,75450,Sabrina,,,True,41.9082,12.4529,5.0,2.0,3.0,1.0,True,"Wifi,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Crib,Pack ’n play/Travel crib,Air conditioning,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Laundromat nearby,Free parking on premises,Free street parking,Elevator,Paid parking off premises,Paid parking on premises,Single level home,Pets allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Flexible,EUR,0.0,0.0,182,4.58,4.6,4.8,4.5,4.9,4.9,4.5,44716,40215,211.1,189.2,0.562,0.0,122.5,110.2,0.0,0.0,205,0,160,365,5992,5283,203.2,179.0,0.233,0.0,66.6,58.7,0.0,0.0,21,0,69,90,Rome,Italy,IT,Europe
19967,*In front Vatican Museums 2 bedrooms quite bright*,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTk5Njc%3D/original/b4aaad6f-9348-4a77-a496-c5b27db01f01.jpeg,51.0,75450,Sabrina,,,True,41.9083,12.4526,5.0,2.0,3.0,1.0,True,"Wifi,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Crib,Air conditioning,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Coffee,Laundromat nearby,Free parking on premises,Free street parking,Elevator,Paid parking off premises,Paid parking on premises,Single level home,Pets allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Flexible,EUR,0.0,0.0,46,4.28,4.3,4.8,4.0,4.8,4.8,4.3,11197,10103,187.7,168.1,0.173,0.203,30.7,27.7,36.1,32.6,63,55,302,365,1206,1064,194.6,171.6,0.089,0.0,13.4,11.8,0.0,0.0,8,0,82,90,Rome,Italy,IT,Europe
20534,DormiRoma - Cedro 1 Apartment - Trastevere,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-20534/original/ff9b0b9b-c2a7-4d9b-83a9-15db301e513f.jpeg,41.0,77540,Adriano,,,True,41.8899,12.4682,4.0,1.0,3.0,1.0,True,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Pets allowed,Hot water,Body soap,Microwave,Cleaning products,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Private entrance",,False,3.0,Firm,EUR,45.0,0.0,50,4.48,4.6,4.7,4.6,4.8,4.9,4.3,9815,8882,182.7,163.8,0.14,0.163,25.4,23.0,29.6,26.8,51,52,314,365,940,830,179.2,158.0,0.056,0.0,9.9,8.8,0.0,0.0,5,0,85,90,Rome,Italy,IT,Europe
20587,DormiRoma - Cedro 4 Apartment - Trastevere,Entire vacation home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-20587/original/ff8b362e-d351-4ab1-8051-b4eadf41d3b8.jpeg,41.0,77540,Adriano,,,True,41.8899,12.4682,4.0,2.0,4.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,TV,Pack ’n play/Travel crib,Window guards,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Dining table,Private entrance,Patio or balcony,Paid parking on premises,Pets allowed",,False,3.0,Firm,EUR,47.0,0.0,89,4.68,4.7,4.9,4.8,4.9,4.9,4.7,48895,43693,270.7,243.0,0.452,0.457,128.4,114.9,129.8,116.1,165,4,200,365,7452,6563,245.5,216.3,0.3,0.0,79.1,69.7,0.0,0.0,27,0,63,90,Rome,Italy,IT,Europe
20699,Vintage Suite w/ Private Bath by Esquiline Suites,Private room in guesthouse,private_room,https://a0.muscache.com/im/pictures/31060743/8d30d2c5_original.jpg,19.0,78287,Frank & Soledad,"2,859,994,549,636,220","Roby,Randy",True,41.8929,12.5058,2.0,1.0,1.0,1.0,True,"Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,Ethernet connection,TV,Books and reading material,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Mini fridge,Hot water kettle,Wine glasses,Dining table,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Elevator,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Cleaning before checkout",,False,2.0,Moderate,EUR,23.0,0.0,738,4.82,4.9,4.9,4.9,5.0,4.6,4.8,38750,34677,109.6,98.3,0.893,0.0,98.9,88.6,0.0,0.0,326,0,39,365,7965,7017,108.7,95.8,0.733,0.0,82.4,72.6,0.0,0.0,66,0,24,90,Rome,Italy,IT,Europe
21193,Double with breakfast Vatican zone,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/4b42f39b-b840-4808-8b6d-5dbeaf01e1e1.jpg,34.0,80755,Marianna,,,False,41.9103,12.447,3.0,1.0,1.0,1.0,True,"TV,Wifi,Air conditioning,Room-darkening shades,Hot water,Body soap,Breakfast,Bed linens,Extra pillows and blankets,Cleaning products,Heating,Clothing storage,Shower gel,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Dedicated workspace",,False,2.0,Flexible,EUR,0.0,0.0,16,4.71,4.9,5.0,4.9,4.9,4.7,4.8,3607,3176,130.2,117.1,0.071,0.09,9.9,8.7,12.5,11.0,26,76,339,365,683,600,112.7,99.4,0.067,0.128,7.6,6.7,14.5,12.8,6,43,84,90,Rome,Italy,IT,Europe
21811,PRETTY FLAT IN TRASTEVERE,Entire loft,entire_home,https://a0.muscache.com/im/pictures/9761aaca-2dae-4c33-addd-6a8ceac476e1.jpg,38.0,86452706,Coan,"523,280,218,662,144","Diego,Yasmine",False,41.8908,12.468,4.0,,2.0,1.0,True,"Hair dryer,Hot water,Essentials,Hangers,Bed linens,Iron,TV,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Backyard,Elevator,Paid parking off premises,Long term stays allowed",,False,3.0,Moderate,EUR,46.0,0.0,262,4.37,4.5,4.6,4.5,4.6,4.9,4.3,24256,22238,170.6,153.3,0.337,0.549,62.8,57.7,102.3,94.0,123,141,242,365,1514,1335,112.3,99.0,0.156,0.304,15.8,13.9,30.9,27.2,14,44,76,90,Rome,Italy,IT,Europe
22573,Wonderful loft in Rome Pigneto,Entire loft,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-22573/original/54f01236-0093-4c1c-b657-728d12529cc9.jpg,40.0,86882,Francesco,"915,201,316,656,472,000,000,000,000,000,000","Debora,Alessandro,Francesca,Bruno",False,41.8908,12.5263,3.0,1.0,2.0,1.0,True,"Wifi,Hair dryer,Cleaning products,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Books and reading material,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Baking sheet,Dining table,Coffee,Free street parking,Single level home,Long term stays allowed,Cleaning before checkout",,False,4.0,Moderate,EUR,57.0,0.0,205,4.71,4.8,4.8,4.6,4.9,4.3,4.6,27672,24851,147.8,131.9,0.534,0.0,69.9,62.9,0.0,0.0,195,0,170,365,0,0,180.3,158.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Rome,Italy,IT,Europe
