listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
164448,Double room in central Stockholm with Wi-Fi,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/1101568/7cff99be_original.jpg,6,784312,Li,,,True,59.3139,18.0609,,,2.0,0.0,False,"Air conditioning,Bathtub,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Outdoor playground,Heating,Smoke alarm,Wifi,Refrigerator,Microwave,Dishes and silverware,Coffee maker,Backyard,Elevator,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,SEK,0.0,0.0,460.0,4.87,4.9,5.0,4.8,5.0,4.8,4.8,10673.0,103818.0,103.3,1014.7,0.282,0.0,29.2,284.4,0.0,0.0,103,0,262,365,1221.0,11706.0,110.4,1058.3,0.122,0.0,13.6,130.1,0.0,0.0,11,0,79,90,Stockholm,Sweden,SE,Europe
238411,Cozy apartment in central Stockholm,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2806060/7fc681f0_original.jpg,18,1250232,Mia,,,False,59.3387,18.0513,2.0,1.0,2.0,1.0,False,"TV,Cable TV,Wifi,Kitchen,Room-darkening shades,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Shower gel,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Bathtub",,False,1.0,Firm,SEK,30.0,0.0,110.0,4.79,4.7,4.8,4.7,5.0,4.8,4.6,2957.0,28352.0,120.5,1208.9,0.063,0.0,7.6,72.9,0.0,0.0,23,0,342,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Stockholm,Sweden,SE,Europe
242188,Single room in central Stockholm with Wi-Fi,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/2303157/be5dd75a_original.jpg,6,784312,Li,,,True,59.312,18.0608,,,1.0,0.0,False,"Air conditioning,Bathtub,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Outdoor playground,Heating,Smoke alarm,Wifi,Refrigerator,Microwave,Dishes and silverware,Coffee maker,Patio or balcony,Elevator,Paid parking off premises",,False,2.0,Moderate,SEK,0.0,0.0,449.0,4.9,4.9,5.0,4.8,5.0,4.9,4.8,11658.0,114073.0,86.7,851.3,0.359,0.0,31.9,312.5,0.0,0.0,131,0,234,365,454.0,4351.0,89.3,855.9,0.056,0.0,5.0,48.3,0.0,0.0,5,0,85,90,Stockholm,Sweden,SE,Europe
299154,Cosy apartment central at Sodermalm,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/18859115/794899d7_original.jpg,25,1541953,Daniel,,,True,59.3185,18.0704,4.0,,2.0,1.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Books and reading material,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Patio or balcony,Outdoor furniture,Elevator,Long term stays allowed",,False,2.0,Strict,SEK,0.0,0.0,698.0,4.67,4.8,4.9,4.4,5.0,5.0,4.6,28089.0,271977.0,154.4,1517.3,0.496,0.733,77.0,745.1,113.7,1101.1,181,118,184,365,3652.0,35010.0,157.1,1506.5,0.256,0.958,40.6,389.0,152.2,1458.8,23,66,67,90,Stockholm,Sweden,SE,Europe
299863,Playful temple with genuine meetings for big&small,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-299863/original/c11a4d56-ac73-4521-9dca-2d6dc623b3b9.jpeg,17,1322033,Anna,,,False,59.3032,17.9952,4.0,1.0,4.0,1.5,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Pets allowed,Mini fridge,Trash compactor,Free street parking,Hammock,Cleaning products,Drying rack for clothing,Heating,Coffee,Wine glasses,Washer,Dryer,Essentials,Shampoo,Dedicated workspace,Freezer,Bathtub,Blender,Room-darkening shades,Bikes,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Piano,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Exercise equipment,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",,False,3.0,Firm,SEK,54.0,0.0,77.0,4.42,4.4,4.7,4.4,4.7,4.4,4.4,20256.0,198228.0,67.1,656.9,0.784,0.888,51.5,504.8,58.4,572.2,286,43,79,365,5426.0,52024.0,82.9,794.7,0.711,0.8,59.1,566.5,66.5,637.4,64,10,26,90,Stockholm,Sweden,SE,Europe
301680,one cosy double room for rent,Private room in home,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-301680/original/73d38a2c-55d1-4e94-8a1c-ed84f50b508c.jpg,36,1554143,Anitta,,,False,59.2764,17.9917,,,1.0,0.0,False,"Hair dryer,Shampoo,Washer,Essentials,Hangers,Iron,TV,Indoor fireplace,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Free parking on premises,Gym,Pets allowed,Breakfast",,False,1.0,Moderate,SEK,8.0,44.0,42.0,4.67,4.5,4.7,4.7,4.6,4.5,4.6,2360.0,23699.0,77.0,755.8,0.085,0.086,6.3,63.7,6.4,64.4,31,4,334,365,330.0,3165.0,79.6,763.6,0.044,0.0,3.6,34.3,0.0,0.0,4,0,86,90,Stockholm,Sweden,SE,Europe
302496,"Spacious, bright, unique apartment",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzAyNDk2/original/3318ab9c-3354-46c0-802b-3e0434eeb46c.jpeg,40,1557657,Seta,,,False,59.3469,18.0606,4.0,3.0,4.0,1.5,False,"High chair,TV,Children’s books and toys,Wifi,Crib,Kitchen,Pack ’n play/Travel crib,Hot water kettle,Hot water,Body soap,Elevator,Bed linens,Extra pillows and blankets,Microwave,Cleaning products,Coffee maker,Indoor fireplace,Refrigerator,Drying rack for clothing,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Toaster,Bathtub",False,False,5.0,Moderate,SEK,171.0,0.0,103.0,4.97,4.9,5.0,4.8,5.0,5.0,4.9,58758.0,568863.0,454.6,4469.7,0.342,0.347,153.0,1482.2,155.1,1502.8,125,5,240,365,4429.0,42461.0,480.9,4610.6,0.1,0.0,47.3,453.6,0.0,0.0,9,0,81,90,Stockholm,Sweden,SE,Europe
326304,Beautiful apartment SOFO,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3538523/2c9d6dc2_original.jpg,10,1668629,Tova,,,False,59.3135,18.0907,2.0,1.0,1.0,1.0,False,"High chair,Children’s books and toys,Blender,Window guards,Wifi,Kitchen,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Bed linens,Heating,Cooking basics,Coffee,Wine glasses,Smoke alarm,Patio or balcony,Backyard,Fire extinguisher,Essentials,Hangers,Dining table,Outdoor playground,Iron,Freezer,Sound system,Toaster",False,False,,Moderate,SEK,74.0,0.0,19.0,4.89,4.6,4.9,4.7,4.9,4.9,4.8,12401.0,118886.0,144.0,1416.8,0.233,0.607,33.2,317.9,86.5,828.9,85,225,280,365,0.0,0.0,151.3,1450.6,0.0,0.0,0.0,0.0,0.0,0.0,0,59,90,90,Stockholm,Sweden,SE,Europe
438129,Bunk bed close by Alvsjo Exhibition,Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/15288097/cbc64576_original.jpg,8,914316,Ea,,,True,59.2642,18.0228,,,1.0,0.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Iron,TV,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Cooking basics,Dishes and silverware,Stove,Oven,Free parking on premises,Free street parking,Paid parking off premises",,False,1.0,Moderate,SEK,32.0,0.0,46.0,4.76,4.7,4.9,4.8,5.0,4.6,4.7,3029.0,29197.0,42.7,418.2,0.197,0.253,7.9,76.6,10.2,98.1,72,80,293,365,193.0,1850.0,45.8,439.4,0.044,0.0,1.8,17.1,0.0,0.0,4,0,86,90,Stockholm,Sweden,SE,Europe
478105,• ARTISTIC PENTHOUSE NEAR CITY CENTER,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-478105/original/ac2c88b3-a0e4-41b5-b5ca-3213825afb2b.jpeg,55,1756346,Christian,,,False,59.3018,17.9919,3.0,2.0,3.0,2.0,False,"TV,Wifi,Lake access,Kitchen,Hot water kettle,Books and reading material,Portable fans,Pets allowed,Gym,Conditioner,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Sound system,Bathtub,High chair,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,Single level home,BBQ grill,Exercise equipment,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Sun loungers,Toaster",False,,4.0,Moderate,SEK,52.0,0.0,34.0,4.65,4.7,4.9,4.6,4.9,4.6,4.6,2113.0,20260.0,143.2,1408.1,0.041,0.052,5.5,52.8,7.0,66.7,15,76,350,365,0.0,0.0,153.8,1474.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Stockholm,Sweden,SE,Europe
