listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
6624,Venice garden charme and canal view!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/65440024/a5646008_original.jpg,22.0,15016,Francesca,,,True,45.4398,12.3274,6.0,2.0,6.0,2.0,True,"Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,High chair,Crib,Pack ’n play/Travel crib,Hot water,Body soap,Bed linens,Extra pillows and blankets,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Toaster",,False,4.0,Moderate,EUR,0.0,0.0,93,4.98,5.0,4.9,5.0,4.9,5.0,4.9,9495.0,8376.0,272.8,245.7,0.099,0.0,26.0,22.9,0.0,0.0,36,0,329,365,3692.0,3254.0,244.1,215.1,0.167,0.0,41.0,36.2,0.0,0.0,15,0,75,90,Venice,Italy,IT,Europe
12074,Venice home to relax and emotions,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/11646330/65e764d2_original.jpg,20.0,15016,Francesca,,,True,45.4385,12.3297,4.0,2.0,4.0,2.0,True,"TV,Washer,Cable TV,Dryer,Exercise equipment,Wifi,Air conditioning,Luggage dropoff allowed,Kitchen,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Hot water,Iron,Private entrance,Heating,Cooking basics",,False,4.0,Moderate,EUR,0.0,0.0,213,4.95,5.0,4.9,5.0,4.9,4.9,4.9,21109.0,18734.0,258.4,232.3,0.227,0.273,57.8,51.3,69.4,61.6,83,61,282,365,7778.0,6853.0,263.4,232.1,0.333,0.357,86.4,76.1,92.6,81.6,30,6,60,90,Venice,Italy,IT,Europe
44527,Luxury Historic Apartment on Calm Sunny Canal,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/d81fb136-a867-442c-916d-018f1ef0e0ea.jpg,46.0,120215,Marc & Elisabeth,,,True,45.4457,12.329,4.0,3.0,3.0,2.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Crib,Pack ’n play/Travel crib,Children’s books and toys,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Coffee,Waterfront,Laundromat nearby,Long term stays allowed",,False,3.0,Flexible,EUR,209.0,0.0,153,4.87,4.8,4.9,4.8,4.9,4.9,4.7,48119.0,42485.0,488.8,438.8,0.238,0.293,119.2,105.3,146.5,129.4,87,68,278,365,3928.0,3461.0,480.0,423.0,0.078,0.096,39.0,34.4,48.1,42.4,7,17,83,90,Venice,Italy,IT,Europe
47383,Ca' Barba B&B: room n102 (jacuzzi shower),Room in bed and breakfast,hotel_room,,,214390,,,,False,45.4379,12.3325,2.0,1.0,1.0,1.0,True,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Iron,TV,Pack ’n play/Travel crib,Air conditioning,Heating,Fire extinguisher,First aid kit,Wifi,Refrigerator,Coffee maker,Hot tub,Luggage dropoff allowed,Breakfast,Long term stays allowed",,False,2.0,Moderate,EUR,75.0,0.0,440,4.92,4.9,5.0,5.0,5.0,4.9,4.9,21823.0,19778.0,164.0,147.2,0.326,0.0,53.0,48.2,0.0,0.0,119,0,246,365,2615.0,2306.0,125.5,110.6,0.244,0.0,25.7,22.7,0.0,0.0,22,0,68,90,Venice,Italy,IT,Europe
49656,Ca' Foscari Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/41037529-8487-4f8b-99b3-9b53e6ba3863.jpg,29.0,226598,Andrea,,,True,45.4355,12.3261,2.0,2.0,2.0,1.0,True,"Hair dryer,Hot water,Essentials,Hangers,Iron,TV,Crib,Pack ’n play/Travel crib,High chair,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Oven,Coffee maker",,False,3.0,Flexible,EUR,0.0,0.0,147,4.83,4.8,5.0,4.8,5.0,5.0,4.8,42926.0,38605.0,180.6,162.0,0.638,0.693,117.6,105.8,127.8,114.9,233,29,132,365,4839.0,4264.0,173.7,153.1,0.3,0.443,53.8,47.4,79.3,69.9,27,29,63,90,Venice,Italy,IT,Europe
60304,Venice Casa Baseggio,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/BnbProperty/BnbProperty-1516536546708862340/original/19f849d5-ba1f-43b4-b9b3-95b64dfcd289.jpeg,58.0,290452,Marco,,,False,45.4445,12.333,,,,,False,"Wifi,Air conditioning,Crib,Pack ’n play/Travel crib,Hot water kettle,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Laundromat nearby,Refrigerator,Heating,Clothing storage,Shower gel,Patio or balcony,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer",,False,1.0,Moderate,EUR,0.0,0.0,307,4.92,4.9,4.9,4.9,4.9,4.9,4.8,3971.0,3636.0,200.8,180.0,0.055,0.087,10.9,10.0,17.3,15.9,20,136,345,365,0.0,0.0,226.6,199.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Venice,Italy,IT,Europe
61714,B&B AL CANAL VENICE blue room canal view air cond,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-61714/original/ff2549ba-0a2f-420a-be9d-ddf8a4630f4b.jpeg,55.0,289023,Francesca,,,True,45.4271,12.3182,,,1.0,0.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Bidet,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Crib,Pack ’n play/Travel crib,Air conditioning,Heating,First aid kit,Wifi,Dedicated workspace,Refrigerator,Hot water kettle,Backyard,Single level home,Breakfast",,False,2.0,Moderate,EUR,29.0,0.0,496,4.86,4.9,4.9,4.9,4.9,4.8,4.8,24100.0,21480.0,154.1,138.3,0.395,0.0,62.1,55.4,0.0,0.0,144,0,221,365,1772.0,1563.0,138.1,121.7,0.133,0.0,18.4,16.2,0.0,0.0,12,0,78,90,Venice,Italy,IT,Europe
71735,a stone's throw to St.Markwith WiFi,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/026857b0-7fb5-4d5d-941f-dabb37026c7f.jpg,43.0,368293,Grazia,,,False,45.4337,12.3364,4.0,1.0,2.0,1.0,True,"Hair dryer,Cleaning products,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Crib,Pack ’n play/Travel crib,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Paid parking off premises,Single level home,Long term stays allowed",,False,3.0,Flexible,EUR,70.0,0.0,217,4.59,4.6,4.8,4.5,4.8,4.9,4.6,26115.0,23505.0,196.8,176.1,0.34,0.383,65.0,58.6,73.3,66.0,124,41,241,365,0.0,0.0,195.4,172.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Venice,Italy,IT,Europe
71874,rooms in Venice,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/9893300/ba7c36eb_original.jpg,13.0,369642,Valter,,,True,45.442,12.3269,,,1.0,0.0,True,"Hair dryer,Shampoo,Essentials,Hangers,Bed linens,Extra pillows and blankets,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pets allowed,Breakfast",,False,1.0,Flexible,EUR,0.0,0.0,161,4.5,4.6,4.7,4.6,4.8,4.8,4.4,31697.0,28379.0,121.3,108.8,0.734,0.851,86.8,77.8,100.6,90.1,268,50,97,365,3770.0,3321.0,138.6,122.1,0.3,0.54,41.9,36.9,75.4,66.4,27,40,63,90,Venice,Italy,IT,Europe
72740,Eco Venice 1,Entire place,entire_home,https://a0.muscache.com/im/pictures/475710/ac86898d_original.jpg,18.0,377929,Attilio,,,True,45.5079,12.2834,2.0,1.0,1.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Body soap,Bidet,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,TV,Crib,High chair,Window guards,Air conditioning,Heating,Exterior security cameras on property,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Coffee maker,Dining table,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Free parking on premises,EV charger,Luggage dropoff allowed",,False,3.0,Moderate,EUR,0.0,0.0,449,4.83,4.9,4.9,4.9,4.9,4.6,4.8,15735.0,14106.0,97.2,87.2,0.422,0.43,43.1,38.6,44.0,39.4,154,7,211,365,1510.0,1332.0,78.7,69.4,0.211,0.229,16.8,14.8,18.2,16.0,19,7,71,90,Venice,Italy,IT,Europe
