listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
38768,central cityapartement- wifi- nice neighbourhood,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/ad4089a3-5355-4681-96bb-e3ad70684987.jpg,27,166283,Hannes,,,True,48.2192,16.3783,4.0,1.0,3.0,1.0,False,"Wifi,Kitchen,Room-darkening shades,Hot water kettle,Books and reading material,Portable fans,Hot water,Bed linens,Microwave,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Sound system",True,,30.0,Moderate,EUR,0.0,0.0,399,4.75,4.8,4.9,4.7,4.9,4.8,4.7,8365,7375,98.4,88.2,0.208,0.589,22.9,20.2,64.8,57.2,76,236,289,365,0,0,97.5,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0,59,90,90,Vienna,Austria,AT,Europe
40625,"Near Palace Schönbrunn, Apt. 1",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/11509144/d55c2742_original.jpg,22,175131,Ingela,,,True,48.1843,16.327,6.0,2.0,3.0,1.0,False,"Wifi,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Babysitter recommendations,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Dining table,Elevator,Paid parking off premises,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Moderate,EUR,,,233,4.86,4.9,4.9,4.9,4.9,4.6,4.7,29393,26141,129.0,115.6,0.573,0.0,80.5,71.6,0.0,0.0,209,0,156,365,4578,4034,109.8,96.7,0.389,0.0,50.9,44.8,0.0,0.0,35,0,55,90,Vienna,Austria,AT,Europe
51287,little studio- next to citycenter- wifi- nice area,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/25163038/1c4e1334_original.jpg,27,166283,Hannes,,,True,48.2178,16.3785,2.0,,2.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Coffee maker,Patio or balcony",,False,30.0,Moderate,EUR,,,385,4.67,4.8,4.9,4.5,5.0,4.9,4.6,6012,5313,88.3,79.5,0.184,0.335,16.5,14.6,30.1,26.6,67,165,298,365,1095,964,59.7,52.5,0.178,0.267,12.2,10.7,18.2,16.1,16,30,74,90,Vienna,Austria,AT,Europe
90247,Beautiful New Central Apartment,Private room in condo,private_room,https://a0.muscache.com/im/ml/photo_enhancement/pictures/miso/Hosting-90247/original/d53fcd96-c015-4821-966c-863a1b0e533d.jpeg,24,489611,Diana,,,True,48.206,16.3489,,,2.0,0.0,False,"TV,Cable TV,Wifi,Kitchen,Hot water kettle,Books and reading material,Portable fans,Pets allowed,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Freezer,Baby monitor,Bathtub,High chair,Children’s books and toys,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Baking sheet,Toaster",,,1.0,Flexible,EUR,0.0,,787,4.85,4.9,4.9,4.9,4.9,4.8,4.8,5449,5047,158.5,142.4,0.099,0.133,14.9,13.8,20.2,18.7,36,95,329,365,323,285,164.9,145.3,0.022,0.028,3.6,3.2,4.5,4.0,2,19,88,90,Vienna,Austria,AT,Europe
109679,Near Palace Schönbrunn - Apt. 4,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/1982234/1fc346f2_original.jpg,29,175131,Ingela,,,True,48.1847,16.328,4.0,,4.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Sound system,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Babysitter recommendations,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Dining table,Coffee,Private entrance,Paid parking off premises,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Moderate,EUR,,,161,4.88,4.9,4.9,4.9,4.9,4.7,4.8,13920,12316,90.0,80.6,0.4,0.421,38.1,33.7,40.1,35.5,146,18,219,365,3840,3382,92.8,81.8,0.344,0.0,42.7,37.6,0.0,0.0,31,0,59,90,Vienna,Austria,AT,Europe
121026,"Feels-Like-Home Apt with garage, balcony & aircon",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-121026/original/2b66c6ca-f6bc-48b6-921c-c052630e7b9f.jpeg,24,608240,Andrei,,,True,48.2158,16.3903,4.0,1.0,2.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Paid parking off premises,Portable fans,Elevator,Outdoor furniture,Drying rack for clothing,Heating,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Sound system,Bathtub,High chair,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Bed linens,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Long term stays allowed",False,,3.0,Strict,EUR,44.0,0.0,460,4.96,5.0,5.0,5.0,5.0,4.8,4.9,10687,10087,122.5,111.3,0.227,0.296,26.6,25.3,34.7,33.0,83,85,282,365,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Vienna,Austria,AT,Europe
138264,Apartment with roofterrace (#1),Entire condo,entire_home,https://a0.muscache.com/im/pictures/030b0d47-de12-425a-bfcb-d89fcd178a54.jpg,45,675182,Stephanie,,,True,48.2235,16.3177,4.0,1.0,2.0,1.0,False,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Elevator,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Paid parking on premises,Clothing storage,Wine glasses,Washer,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,High chair,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,EV charger,Single level home,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Baking sheet,Toaster",,False,1.0,Strict,EUR,117.0,0.0,6,5.0,5.0,5.0,5.0,5.0,5.0,4.2,4691,4163,160.8,144.8,0.071,0.116,10.9,9.7,17.7,15.8,26,140,339,365,1851,1630,143.4,126.4,0.122,0.151,18.0,15.8,22.2,19.5,11,17,79,90,Vienna,Austria,AT,Europe
169672,In the Heart of Vienna - Naschmarkt,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/f13ac58e-2593-4790-8c88-a0701c216ba8.jpg,16,808772,Astrid,,,True,48.1953,16.3637,,,1.0,0.0,False,"Essentials,Indoor fireplace,Heating,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Elevator,Luggage dropoff allowed",,False,2.0,Moderate,EUR,35.0,29.0,452,4.77,4.8,4.8,4.7,4.8,4.9,4.8,19155,17129,71.4,64.1,0.668,0.68,47.9,42.9,48.7,43.6,244,6,121,365,4700,4149,72.0,63.5,0.667,0.0,48.7,43.0,0.0,0.0,60,0,30,90,Vienna,Austria,AT,Europe
169752,Viennaflat mini: Centrally located studio,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-169752/original/578e6a75-7e0c-4211-aac2-fc2df66daf88.jpeg,10,809077,Martha,,,True,48.1947,16.3596,3.0,,1.0,1.0,False,"Hair dryer,Hot water,Washer,Essentials,Iron,TV,Crib,Heating,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Pets allowed",,False,1.0,Firm,EUR,,,112,4.85,4.9,5.0,4.8,4.9,5.0,4.8,12366,11158,59.8,53.7,0.562,0.865,33.9,30.6,52.2,47.1,205,128,160,365,0,0,59.4,52.3,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Vienna,Austria,AT,Europe
171835,Apartment in the Heart of Vienna,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2077532/45431bb9_original.jpg,13,495496,Katarina,,,False,48.1957,16.375,3.0,2.0,2.0,1.0,False,"Hair dryer,Hot water,Washer,Essentials,Hangers,Iron,Air conditioning,Heating,Wifi,Kitchen,Elevator",,False,2.0,Moderate,EUR,34.0,0.0,195,4.68,4.8,4.9,4.8,4.9,5.0,4.7,21906,19751,108.6,97.5,0.534,0.759,58.5,52.8,83.1,75.0,195,108,170,365,251,221,106.0,93.4,0.022,0.049,2.4,2.1,5.3,4.7,2,49,88,90,Vienna,Austria,AT,Europe
