listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
17300,Close to Royal Łazienki Park,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/4edde8c1-78d9-4229-b7d8-481a9ff8a54a.jpg,9,67115,Sylwia,,,True,52.21,21.0498,,,1.0,0.0,False,"Bathtub,Hair dryer,Shampoo,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Heating,Wifi,Refrigerator,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Dining table,Patio or balcony,Free street parking,Elevator,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Strict,PLN,0.0,0.0,533,4.93,4.9,5.0,4.9,5.0,4.7,4.9,4982.0,19014.0,30.2,114.6,0.477,0.615,13.6,52.1,17.6,67.2,174,82,191,365,364.0,1360.0,33.2,123.9,0.122,0.256,4.0,15.1,8.5,31.6,11,47,79,90,Warsaw,Poland,PL,Europe
106980,Nice & easy space in downtown quiet district,Entire condo,entire_home,https://a0.muscache.com/im/pictures/d1ae146b-660e-4fae-a488-26c7959cd555.jpg,25,553286,Aleksandra,,,False,52.2035,21.0223,5.0,3.0,3.0,1.0,False,"Air conditioning,Hair dryer,Cleaning products,Hot water,Washer,Hangers,Bed linens,Iron,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Hot water kettle,Dining table,Backyard,Free parking on premises,Paid parking off premises,Pets allowed,Long term stays allowed",,False,7.0,Flexible,PLN,,,51,4.75,4.6,5.0,4.6,5.0,4.7,4.7,18354.0,69795.0,100.2,380.2,0.488,0.62,50.3,191.2,64.0,243.2,178,78,187,365,4002.0,14971.0,104.4,390.6,0.356,0.0,44.5,166.3,0.0,0.0,32,0,58,90,Warsaw,Poland,PL,Europe
222807,Platinum Towers. Deluxe 2 BDRs,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/2008483/a49c23da_original.jpg,32,707460,Bartosz,,,False,52.2353,20.9873,6.0,2.0,2.0,1.0,False,"TV,Cable TV,Wifi,Kitchen,Elevator,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Washer,Dryer,Smoke alarm,Patio or balcony,First aid kit,Fire extinguisher,Luggage dropoff allowed,Long term stays allowed,Hangers,Hair dryer,Private entrance",,False,1.0,Strict,PLN,0.0,0.0,6,4.67,4.2,4.8,4.8,5.0,4.7,4.5,4689.0,17539.0,395.6,1509.2,0.047,0.0,12.8,48.1,0.0,0.0,17,0,348,365,0.0,0.0,566.3,2118.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Warsaw,Poland,PL,Europe
260431,Pit Stop Warsaw Studio,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/9431500/485acc4b_original.jpg,16,1366357,Radek,,,False,52.218,21.0156,2.0,1.0,1.0,0.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Iron,Portable fans,Heating,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Laundromat nearby,Elevator,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Moderate,PLN,17.0,10.0,308,4.61,4.6,4.8,4.7,4.7,4.9,4.6,5993.0,22522.0,42.9,162.7,0.345,0.434,15.5,58.4,19.6,73.5,126,75,239,365,1582.0,5922.0,41.5,155.1,0.4,0.0,16.6,62.2,0.0,0.0,36,0,54,90,Warsaw,Poland,PL,Europe
289893,65 sqm / garage / concierge / Królikarnia,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/aa93d493-fa81-4df0-95ee-c5a2b9a732b4.jpg,7,999169,Kasia,,,False,52.1853,21.026,2.0,1.0,,1.0,False,"Wifi,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Books and reading material,Pets allowed,Hot water,Body soap,Conditioner,Elevator,Bed linens,Free street parking,Cleaning products,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Dryer,Exercise equipment,Shower gel,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Baking sheet,Freezer,Toaster,Bathtub",,False,4.0,Flexible,PLN,55.0,0.0,1,,,,,,,,812.0,3037.0,67.9,254.0,0.03,0.035,2.1,7.8,2.4,9.0,11,52,354,365,812.0,3037.0,67.6,252.9,0.122,0.0,8.4,31.5,0.0,0.0,11,0,79,90,Warsaw,Poland,PL,Europe
301393,65m2 appt in a beautiful residence,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/27297306/3ac04edc_original.jpg,12,1552639,Magdalena,,,False,52.2327,21.1008,3.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Pocket wifi,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Washer,Dryer,Patio or balcony,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",,False,3.0,Moderate,PLN,0.0,0.0,12,4.91,5.0,4.9,4.8,5.0,4.6,4.6,962.0,3599.0,87.4,332.5,0.03,0.0,2.6,9.9,0.0,0.0,11,0,354,365,0.0,0.0,87.1,325.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Warsaw,Poland,PL,Europe
374168,Sunny room for one or two persons,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/519f6077-8a74-40ee-8583-fc5ef19fbfd5.jpg,23,1882437,Agata,,,False,52.205,21.0066,,,1.0,0.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,Heating,First aid kit,Wifi,Kitchen",,False,1.0,Flexible,PLN,2.0,0.0,93,4.43,4.6,4.8,4.4,4.7,4.8,4.5,637.0,2378.0,29.6,112.3,0.058,0.106,1.7,6.5,3.2,11.8,21,166,344,365,303.0,1131.0,31.1,116.0,0.111,0.0,3.3,12.4,0.0,0.0,10,0,80,90,Warsaw,Poland,PL,Europe
406039,Warsaw Appt next to Old City Warsaw,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/32ff212b-1611-4ad7-a4a9-c52f53cecf63.jpg,10,2023343,Tatiana,,,False,52.2551,21.0041,2.0,1.0,1.0,1.0,False,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,TV,Crib,Heating,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Wine glasses,Blender,Dining table,Long term stays allowed",,False,6.0,Firm,PLN,29.0,0.0,99,4.73,4.9,4.8,4.5,4.9,4.9,4.8,12667.0,47814.0,39.7,150.6,0.816,0.898,32.7,123.6,36.0,135.9,298,33,67,365,3739.0,13981.0,41.7,156.0,0.933,0.0,39.0,145.7,0.0,0.0,84,0,6,90,Warsaw,Poland,PL,Europe
426830,Apartment-Loft- great.view.Warsaw,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/5666908/24fe8018_original.jpg,46,2122278,Michał,,,False,52.2581,21.0356,3.0,2.0,3.0,1.5,False,"TV,Cable TV,Wifi,Air conditioning,Crib,Kitchen,Hot water kettle,Pets allowed,Elevator,Pocket wifi,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Wine glasses,Washer,Dryer,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Private entrance,Toaster",,False,4.0,Moderate,PLN,40.0,0.0,99,4.97,5.0,5.0,5.0,5.0,4.8,4.9,11241.0,42298.0,115.2,437.4,0.274,0.355,29.6,111.4,38.3,144.1,100,83,265,365,0.0,0.0,129.4,484.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Warsaw,Poland,PL,Europe
430115,Comfortlable house with garden,Entire home,entire_home,https://a0.muscache.com/im/pictures/c48f4c41-4e70-4418-961e-635097a8c2fa.jpg,25,2138099,Beata,2144838,Monika,False,52.34,21.0466,16.0,5.0,10.0,2.0,False,"TV,Cable TV,Wifi,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Pets allowed,Conditioner,Free street parking,Outdoor furniture,Cleaning products,Indoor fireplace,Heating,Wine glasses,Washer,Dryer,Carbon monoxide alarm,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Children’s books and toys,Blender,Crib,Pack ’n play/Travel crib,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Toaster",,False,1.0,Firm,PLN,57.0,0.0,40,4.65,4.7,4.8,4.6,4.8,4.4,4.6,16056.0,60117.0,428.7,1629.2,0.096,0.141,42.3,158.3,62.0,232.0,35,116,330,365,0.0,0.0,444.6,1663.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Warsaw,Poland,PL,Europe
