listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
283737,Best Location in Zurich Oldtown,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/b0b6eedd-d96c-4b7c-9b8d-96a1ef7b6008.jpg,19.0,1477771,Nuria,,,False,47.3737,8.5445,4.0,2.0,2.0,1.0,False,"TV,Wifi,Kitchen,Pets allowed,Hot water,Elevator,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Patio or balcony,Essentials,Long term stays allowed,Hair dryer,Iron",,False,4.0,Firm,CHF,99.0,0.0,387,4.48,4.4,4.7,4.5,4.7,4.9,4.4,45817.0,38123.0,197.4,166.1,0.584,0.789,115.8,96.5,156.5,130.4,213,95,152,365,5839.0,4803.0,203.0,167.0,0.311,0.8,63.8,52.5,164.0,134.9,28,55,62,90,Zurich,Switzerland,CH,Europe
610348,"Duplex  Flat, 120 m2 7-8  persons",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjEwMzQ4/original/48c0f821-cc3c-4c5c-a290-5429cf77d5fc.jpeg,37.0,3026473,Leandra,,,True,47.407,8.5523,7.0,4.0,5.0,2.0,False,"Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Books and reading material,Crib,Children’s books and toys,High chair,Baby safety gates,Indoor fireplace,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Private entrance,Patio or balcony,Outdoor furniture,Outdoor dining area,Free parking on premises,EV charger,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,5.0,Firm,CHF,259.0,0.0,165,4.76,4.8,4.9,4.9,4.9,4.8,4.6,41659.0,34687.0,307.6,258.2,0.337,0.378,101.4,84.5,113.8,94.9,123,40,242,365,7429.0,6112.0,336.6,276.9,0.222,0.286,73.9,60.8,95.0,78.2,20,20,70,90,Zurich,Switzerland,CH,Europe
620130,NB1: Charming 2-room apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/f912367d-cb8b-4928-883c-1b64cdda6f7b.jpg,10.0,3072679,Felix,,,False,47.3928,8.53,4.0,1.0,2.0,1.0,False,"TV,Washer,Cable TV,Dryer,Wifi,Backyard,Kitchen,Essentials,Pets allowed,Hangers,Hair dryer,Hot water,Bed linens,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics",,False,3.0,Firm,CHF,146.0,0.0,25,4.84,4.9,5.0,4.9,4.9,5.0,4.7,2585.0,2125.0,216.1,181.7,0.033,0.065,6.3,5.2,12.4,10.2,12,180,353,365,0.0,0.0,234.7,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Zurich,Switzerland,CH,Europe
644888,Big and bright duplex in the heart of Zurich,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/9554554/d05c2bc6_original.jpg,52.0,3228273,Violetta,,,False,47.3782,8.5064,,3.0,7.0,0.0,False,"Wifi,Waterfront,Kitchen,Board games,Free parking on premises,Hot water kettle,Paid parking off premises,Books and reading material,Pets allowed,Elevator,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Bathtub,High chair,Children’s books and toys,Blender,Window guards,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet",False,,4.0,Flexible,CHF,306.0,0.0,16,4.8,4.9,4.9,4.8,4.8,4.7,4.7,2161.0,1783.0,119.2,101.6,0.047,0.053,5.9,4.9,6.8,5.6,17,47,348,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Zurich,Switzerland,CH,Europe
898829,Top modern guest room in Zurich Seebach,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/13073965/a30afff8_original.jpg,22.0,4797927,Pietro,,,False,47.4266,8.5466,,,1.0,0.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Sound system,Window guards,Outlet covers,Air conditioning,Portable fans,Heating,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Trash compactor,Dining table,Coffee,Patio or balcony,Outdoor furniture,Outdoor dining area,Sun loungers,Free parking on premises,Free street parking,Elevator,Paid parking off premises,Paid parking on premises,Single level home,Pets allowed,Luggage dropoff allowed",,False,1.0,Moderate,CHF,16.0,18.0,349,4.94,5.0,5.0,5.0,4.9,4.7,4.9,11507.0,9652.0,71.4,60.2,0.43,0.0,30.7,25.8,0.0,0.0,157,0,208,365,911.0,749.0,72.5,59.6,0.133,0.0,9.8,8.0,0.0,0.0,12,0,78,90,Zurich,Switzerland,CH,Europe
946104,Cozy 3- room apartment in Zürich center,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/94748a05-f691-48c3-a46c-8ea97466ade8.jpg,23.0,5126683,Wolfgang,,,False,47.3652,8.5194,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Kitchen,Paid parking off premises,Hot water,Elevator,Microwave,Coffee maker,Refrigerator,Dishwasher,Heating,Oven,Stove,Washer,Dryer,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron",,False,,Moderate,CHF,36.0,12.0,327,4.73,4.8,4.9,4.8,4.9,4.8,4.7,11573.0,9519.0,182.3,153.3,0.173,0.643,31.5,25.9,117.4,96.5,63,267,302,365,196.0,161.0,197.0,162.0,0.011,0.045,2.2,1.8,8.9,7.3,1,68,89,90,Zurich,Switzerland,CH,Europe
1028631,"Architect’s loft seen in magazines, Zurich center.",Entire loft,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1028631/original/9c9d02d2-1ed4-491e-b7a6-a72966917296.jpeg,31.0,1145413,Jurgita,6018437,Gian,False,47.3736,8.5233,2.0,1.0,1.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Sound system,Exercise equipment,Ping pong table,Books and reading material,Board games,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Blender,Trash compactor,Barbecue utensils,Dining table,Coffee,Laundromat nearby,Patio or balcony,Backyard,BBQ grill,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,4.0,Strict,CHF,62.0,0.0,97,4.91,4.9,5.0,5.0,5.0,4.9,4.7,43358.0,36714.0,587.7,493.3,0.205,0.0,117.3,99.3,0.0,0.0,75,0,290,365,0.0,0.0,659.3,542.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Zurich,Switzerland,CH,Europe
1566319,Big terrace apartment close to Tiefenbrunen,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/d51b01eb-809e-4b52-8f88-5bf48b3e33c4.jpg,9.0,7090119,Raichvarg,,,False,47.3511,8.5678,2.0,1.0,1.0,1.0,False,"TV,Blender,Ping pong table,Wifi,Kitchen,Hot water kettle,Bikes,Books and reading material,Pets allowed,Hot water,Body soap,Conditioner,Bed linens,Ethernet connection,Outdoor furniture,Microwave,Hammock,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Clothing storage,Stove,Wine glasses,Washer,Dryer,Exercise equipment,Shower gel,Backyard,Luggage dropoff allowed,Essentials,Shampoo,Hair dryer,Dedicated workspace,Freezer,Sound system,Toaster",,False,5.0,Flexible,CHF,75.0,0.0,2,,,,,,,,4451.0,3659.0,358.8,301.8,0.033,0.0,11.8,9.7,0.0,0.0,12,0,353,365,2294.0,1885.0,373.2,306.9,0.067,0.0,24.7,20.3,0.0,0.0,6,0,84,90,Zurich,Switzerland,CH,Europe
1637876,Spacious room near center and university,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-1637876/original/4cf70359-7cb9-43bf-aeac-73461085691a.jpg,35.0,1275222,Yvonne,,,True,47.3818,8.5517,,,1.0,0.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,Heating,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Luggage dropoff allowed",,False,2.0,Moderate,CHF,0.0,13.0,606,4.96,5.0,5.0,5.0,5.0,4.9,4.9,32088.0,27007.0,104.1,87.5,0.847,0.896,87.9,74.0,93.0,78.3,309,20,56,365,6550.0,5384.0,107.3,88.2,0.678,0.871,72.8,59.8,93.6,76.9,61,20,29,90,Zurich,Switzerland,CH,Europe
1834747,Bedroom with double bed in a shared central apt,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-1834747/original/082e5291-6030-4521-b15d-b7815fa1dc1c.jpeg,42.0,3387271,Rakesh,,,False,47.3731,8.539,,,1.0,0.0,False,"Air conditioning,Bathtub,Cleaning products,Hot water,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Oven,Hot water kettle,Wine glasses,Toaster,Dining table,Patio or balcony,Elevator,Paid parking off premises,Long term stays allowed",,False,2.0,Firm,CHF,0.0,0.0,53,4.81,4.9,4.9,4.8,5.0,5.0,4.8,8342.0,6999.0,126.8,108.2,0.178,0.189,22.9,19.2,24.2,20.3,65,21,300,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Zurich,Switzerland,CH,Europe
