listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
123115,"Entire apartment,  
Santa Amélia/Pampulha",Entire condo,entire_home,https://a0.muscache.com/im/pictures/e906ffdc-ce34-44e4-a96e-78f81f2deac3.jpg,9,615972,Luciana,,,FALSE,-19.8338,-43.9813,2,2,1,1,FALSE,"Hair dryer,Cleaning products,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Ethernet connection,TV,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Private entrance,Backyard,Free parking on premises",,FALSE,1,Flexible,BRL,18,18,20,5,5,5,5,5,4.8,5,1382,7987,36,206.9,0.104,0.114,3.6,21,4,23,38,31,327,365,76,435,37.9,216.9,0.022,0.029,0.8,4.8,1.1,6.2,2,20,88,90,Belo Horizonte,Brazil,BR,Latin America
129676,APT. PUCMINAS / EXPOMINAS,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3375e676-ab2f-49ca-9b45-bafd4a2c1868.jpg,101,639428,Marco,,,TRUE,-19.9229,-43.9887,6,2,6,1.5,FALSE,"Wifi,Kitchen,Free parking on premises,Portable fans,Pets allowed,Bed linens,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Essentials,Long term stays allowed,Cleaning before checkout,Hangers,Iron",,FALSE,5,Firm,BRL,36,0,26,4.76,4.6,4.7,4.8,4.7,4.9,4.4,2181,12497,62.8,360.5,0.09,0.118,5.5,31.4,7.2,41.1,33,86,332,365,253,1449,57.3,328.5,0.044,0,2.4,13.8,0,0,4,0,86,90,Belo Horizonte,Brazil,BR,Latin America
320675,"Loft with \Serra do Curral\"" view""",Entire loft,entire_home,https://a0.muscache.com/im/pictures/b0a6614f-7a08-41f8-a047-e25033e86e45.jpg,15,1642964,Paco,362902414,Tenesca Scofield,TRUE,-19.9276,-43.9444,2,1,1,1,FALSE,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Room-darkening shades,Ceiling fan,Pets allowed,Mini fridge,Elevator,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Coffee,Stove,Wine glasses,Washer,Dryer,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Toaster",FALSE,FALSE,4,Flexible,BRL,11,14,41,4.88,5,4.9,4.9,4.9,5,4.7,2424,13994,44.9,258.1,0.123,0.133,6.4,37,6.9,39.8,45,26,320,365,0,0,44.2,253.2,0,0,0,0,0,0,0,26,90,90,Belo Horizonte,Brazil,BR,Latin America
321822,The view JK,Entire loft,entire_home,https://a0.muscache.com/im/pictures/3627726/01d910bd_original.jpg,22,1642964,Paco,362902414,Tenesca Scofield,TRUE,-19.925,-43.9464,2,1,1,1,FALSE,"TV,Cable TV,Wifi,Crib,Kitchen,Room-darkening shades,Paid parking off premises,Pets allowed,Hot water,Body soap,Conditioner,Elevator,Bed linens,Extra pillows and blankets,Laundromat nearby,Pocket wifi,Microwave,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Paid parking on premises,Clothing storage,Stove,Wine glasses,Washer,Carbon monoxide alarm,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace",,FALSE,20,Flexible,BRL,,,13,4.58,4.8,4.6,4.6,4.7,5,4.7,2612,15170,43.8,251.4,0.17,0.308,7.2,41.6,13,75.5,62,164,303,365,0,0,44.4,254.3,0,0,0,0,0,0,0,27,90,90,Belo Horizonte,Brazil,BR,Latin America
939876,Apartment with bedroom and living room near Praça da Liberdade,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3f521f42-b1a5-4a19-b840-c2ffe868d306.jpg,31,5078701,Maria,152244043,Patricia,TRUE,-19.9301,-43.9365,3,1,1,1,FALSE,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Elevator,Pets allowed,Smoking allowed,Long term stays allowed",,FALSE,3,Firm,BRL,,,181,4.73,4.8,4.8,4.7,4.6,5,4.7,6492,37286,42.8,246.1,0.427,0.503,17.8,102.2,20.9,120.3,156,55,209,365,1037,5942,50.4,289,0.211,0.358,11.5,66,19.6,112.1,19,37,71,90,Belo Horizonte,Brazil,BR,Latin America
963823,Suite Standard,Private room in guest suite,private_room,https://a0.muscache.com/im/pictures/9935f8f3-ab05-4cd3-a34b-a248f6c65cf8.jpg,13,843550,Antonio,,,FALSE,-19.8625,-44.0086,,,3,0,FALSE,"TV,Wifi,Pool,Kitchen,Free parking on premises,Pets allowed,Hot water,Breakfast,Mini fridge,Bed linens,Pocket wifi,Microwave,Hammock,Refrigerator,Dishes and silverware,Cooking basics,Stove,Washer,Single level home,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Lock on bedroom door,Cleaning before checkout,Hangers,Iron,Outdoor dining area,Outdoor kitchen,Private entrance",,FALSE,2,Firm,BRL,0,22,16,5,5,5,5,5,4.8,4.6,1972,11356,60.3,346.5,0.088,0.094,5.4,31.1,5.8,33.3,32,24,333,365,319,1828,62.8,359.8,0.056,0.069,3.5,20.3,4.4,25.4,5,18,85,90,Belo Horizonte,Brazil,BR,Latin America
1009668,Apartment in prime area of the city,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1009668/original/0c552544-6626-4b79-8dce-8d55e81c9ca2.jpeg,14,3204669,Paula,,,FALSE,-19.9561,-43.939,4,2,2,1,FALSE,"Washer,Room-darkening shades,TV,Air conditioning,Ceiling fan,Portable fans,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Dining table,Free parking on premises,Elevator,Pets allowed,Long term stays allowed",,FALSE,3,Moderate,BRL,37,0,30,4.7,4.9,4.9,4.6,5,4.5,4.4,3423,19793,39.1,224.4,0.238,0.257,9,51.9,9.7,56.1,87,27,278,365,0,0,45.4,259.9,0,0,0,0,0,0,0,27,90,90,Belo Horizonte,Brazil,BR,Latin America
1011900,FLATBH,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/5f3a7a76-774b-42d3-b5b1-7edafd17550c.jpg,36,639428,Marco,,,TRUE,-19.9217,-43.9497,3,1,2,1,FALSE,"Pets allowed,Wifi,Hair dryer,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Exercise equipment,Air conditioning,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Blender,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Pool,Gym,Pets allowed,Smoking allowed,Long term stays allowed",,FALSE,6,Firm,BRL,37,9,42,4.55,4.8,4.9,4.8,4.8,4.8,4.5,823,4784,38.1,219.1,0.047,0.057,2,11.4,2.4,13.9,17,67,348,365,0,0,34.5,197.7,0,0,0,0,0,0,0,0,90,90,Belo Horizonte,Brazil,BR,Latin America
1252782,Studio green: best location,Entire loft,entire_home,https://a0.muscache.com/im/pictures/a260888c-58e9-45d4-a97b-04c87c381339.jpg,23,6815721,Aline,,,TRUE,-19.9262,-43.9216,4,2,2,1,FALSE,"Stove,Washer,Dryer,Wifi,Patio or balcony,Luggage dropoff allowed,Kitchen,Essentials,Long term stays allowed,Smoking allowed,Hangers,Hot water,Free street parking,Coffee maker,Refrigerator,Cooking basics,Oven",,FALSE,,Firm,BRL,29,0,23,4.91,5,4.8,4.9,4.7,5,4.7,2604,14931,44.5,254.9,0.153,0.16,7.1,40.5,7.4,42.3,56,16,309,365,0,0,43.6,249.7,0,0,0,0,0,0,0,16,90,90,Belo Horizonte,Brazil,BR,Latin America
1273212,Apartment for 4 people in Savassi,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/19193750/d87fcc49_original.jpg,22,6929753,Patricia,,,TRUE,-19.9388,-43.935,5,2,3,2.5,FALSE,"Hair dryer,Hot water,Washer,Essentials,Hangers,Iron,TV,Crib,Pack ’n play/Travel crib,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Free parking on premises,Free street parking,Elevator,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,FALSE,4,Moderate,BRL,37,0,238,4.95,5,5,4.9,5,5,4.8,13402,77032,74.7,428.7,0.436,0,33,189.6,0,0,159,0,206,365,3123,17897,80,458.5,0.389,0,31.4,180,0,0,35,0,55,90,Belo Horizonte,Brazil,BR,Latin America
