listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
419089,"Hospitality, privacy, and identity",Private room in home,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-419089/original/83ddc576-f3ff-47c5-af44-a11692c446d3.jpeg,5.0,2084206,Daniel,,,TRUE,-15.8132,-48.0131,,,1.0,0,FALSE,"Washer,TV,Wifi,Free parking on premises",,False,,Flexible,BRL,0.0,0.0,17.0,4.94,5.0,5.0,4.9,5.0,4.7,5.0,429.0,2466.0,9.3,53.6,0.129,0.0,1.2,6.8,0.0,0.0,47.0,0.0,318.0,365.0,429.0,2466.0,9.3,53.6,0.522,0.0,4.8,27.4,0.0,0.0,47.0,0.0,43.0,90.0,Brasilia,Brazil,BR,Latin America
47340161,Suite with TV and Minibar,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-47340161/original/3d74776b-d9f4-488e-bb7f-4f77af2aa9e6.jpeg,11.0,15339212,Marcos,,,TRUE,-15.8445,-48.0483,,,1.0,0,FALSE,"Washer,TV,Wifi,Dedicated workspace,Kitchen",,False,,Flexible,BRL,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2230.0,12783.0,17.8,102.1,0.332,0.342,6.1,35.0,6.3,36.1,121.0,11.0,244.0,365.0,1398.0,8017.0,19.1,109.4,0.811,0.839,15.5,89.1,16.1,92.1,73.0,3.0,17.0,90.0,Brasilia,Brazil,BR,Latin America
6.43599E+17,Studio 20 Smart compact & charming,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-643599318721897312/original/c337a7dc-70de-4500-88d5-bb879b7f77e8.png,65.0,673790210,Maria,37181074.0,Sebastião,TRUE,-15.7433,-47.9014,2.0,1.0,1.0,1,FALSE,"Hair dryer,Shampoo,Conditioner,Body soap,Washer,Dryer,Essentials,Extra pillows and blankets,Room-darkening shades,Clothing storage,TV,Exercise equipment,Air conditioning,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Dishes and silverware,Stove,Coffee maker,Wine glasses,Free parking on premises,Elevator,Pets allowed",,False,,Firm,BRL,14.0,14.0,46.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1074.0,6155.0,44.6,255.5,0.065,0.0,2.9,16.4,0.0,0.0,23.0,0.0,332.0,355.0,1074.0,6155.0,44.4,254.5,0.256,0.0,11.3,64.8,0.0,0.0,23.0,0.0,67.0,90.0,Brasilia,Brazil,BR,Latin America
8.77085E+17,Apartment 206 - 2 Bedrooms With Garage at Qi9 Guará 1,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-877084931335385339/original/196fcf0d-2e53-4c1c-b7df-3aa40bb79196.jpeg,19.0,494985777,João Luiz,504530511.0,Dina,TRUE,-15.821,-47.9761,4.0,2.0,2.0,1,FALSE,"Essentials,TV,Wifi,Kitchen,Refrigerator,Dishes and silverware,Free parking on premises",,False,,Flexible,BRL,18.0,0.0,22.0,4.95,5.0,5.0,4.9,5.0,5.0,5.0,3512.0,20127.0,19.8,113.6,0.408,0.0,8.4,48.1,0.0,0.0,149.0,0.0,216.0,365.0,1522.0,8725.0,21.8,125.1,0.667,0.0,14.5,83.2,0.0,0.0,60.0,0.0,30.0,90.0,Brasilia,Brazil,BR,Latin America
8.87045E+17,Excellent apartment in Brasília!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-887044507056527996/original/054d302e-d8b9-43fa-9fb5-a4962c754a57.jpeg,20.0,75043476,Cleo Menezes,146117276.0,Victor,TRUE,-15.7946,-47.9229,2.0,1.0,1.0,1,FALSE,"Hair dryer,Cleaning products,Shampoo,Body soap,Bidet,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Air conditioning,Portable fans,Exterior security cameras on property,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Wine glasses,Toaster,Blender,Rice maker,Dining table,Coffee,Laundromat nearby,Free parking on premises,Elevator,Long term stays allowed",,False,,Flexible,BRL,21.0,0.0,38.0,4.97,5.0,5.0,5.0,5.0,5.0,4.9,4286.0,24550.0,34.3,197.3,0.31,0.0,10.5,60.4,0.0,0.0,113.0,0.0,252.0,365.0,1113.0,6375.0,34.5,197.9,0.311,0.0,11.0,62.8,0.0,0.0,28.0,0.0,62.0,90.0,Brasilia,Brazil,BR,Latin America
9.78526E+17,DF PLAZA - Apartment with suite,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-978525721687967680/original/fbc33815-38f6-4e75-933b-6a5104626864.jpeg,28.0,259427320,Luís Felipe,368725068.0,Nathalia,TRUE,-15.8321,-48.0408,3.0,,2.0,1,FALSE,"Cleaning products,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Drying rack for clothing,Clothing storage,TV,Exercise equipment,Pool table,Movie theater,Air conditioning,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Private entrance,Free parking on premises,Pool,Elevator,Gym,Pets allowed,Smoking allowed",,False,,Firm,BRL,27.0,0.0,18.0,5.0,5.0,5.0,4.9,5.0,4.9,4.9,2918.0,16718.0,36.8,211.5,0.192,0.196,7.0,40.3,7.2,41.2,70.0,8.0,295.0,365.0,1418.0,8127.0,37.7,216.1,0.367,0.402,13.7,78.2,15.0,85.9,33.0,8.0,57.0,90.0,Brasilia,Brazil,BR,Latin America
9.89912E+17,Cozy apartment near airport subway in PARK SUL,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-989911780617334915/original/ee3e24c6-85b4-4d3e-a445-d93bcaf10673.jpeg,37.0,539257000,Luiz,269605379.0,Joselma,TRUE,-15.8225,-47.9543,2.0,1.0,1.0,1,FALSE,"Hair dryer,Washer,TV,Exercise equipment,Air conditioning,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Free parking on premises,Paid parking on premises",,False,,Firm,BRL,28.0,0.0,14.0,4.93,5.0,4.8,4.9,4.9,5.0,4.9,528.0,3023.0,37.9,217.1,0.038,0.0,1.5,8.3,0.0,0.0,13.0,0.0,331.0,344.0,528.0,3023.0,37.7,216.0,0.144,0.0,5.6,31.8,0.0,0.0,13.0,0.0,77.0,90.0,Brasilia,Brazil,BR,Latin America
9.98456E+17,Intense Nature 50 km from Brasilia (Plano Piloto),Entire home,entire_home,https://a0.muscache.com/im/pictures/1b01498a-70cf-4049-9dd3-6c259eff325c.jpg,78.0,541071251,Eric,,,TRUE,-15.5322,-47.9958,4.0,1.0,2.0,1,FALSE,"Pets allowed,Elevator,Bathtub,Hair dryer,Cleaning products,Outdoor shower,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Outdoor playground,Portable fans,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Blender,Barbecue utensils,Coffee,Patio or balcony,Backyard,Fire pit,Hammock,BBQ grill,Free parking on premises,Free street parking,Pool,Hot tub,Single level home,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,,Firm,BRL,32.0,0.0,46.0,4.96,5.0,4.9,4.9,4.8,4.8,4.8,1532.0,8776.0,49.2,281.8,0.079,0.0,3.8,22.0,0.0,0.0,29.0,0.0,336.0,365.0,1532.0,8776.0,48.6,278.1,0.322,0.0,15.6,89.4,0.0,0.0,29.0,0.0,61.0,90.0,Brasilia,Brazil,BR,Latin America
1.00676E+18,Taguá life amazing pool view,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-1006756345277870013/original/069ed4dc-bb3a-4170-ae1c-1d0ac950fb63.jpeg,25.0,477387597,Mateus,,,FALSE,-15.8678,-48.0346,4.0,1.0,2.0,1,FALSE,"TV,Blender,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Room-darkening shades,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Laundromat nearby,Microwave,Hammock,Cleaning products,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Clothing storage,Stove,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Bidet,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace",True,False,,Flexible,BRL,0.0,0.0,25.0,4.68,4.8,4.9,4.6,4.8,4.8,4.7,2512.0,14394.0,45.1,259.0,0.151,0.198,6.9,39.4,9.0,51.8,55.0,87.0,310.0,365.0,0.0,0.0,43.5,249.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,90.0,90.0,Brasilia,Brazil,BR,Latin America
1.02519E+18,Apê cozy on the North Wing,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-1025190681906238954/original/10f4c60b-cc7d-4e06-9cca-31684108a979.jpeg,23.0,240432399,Aila,674749938.0,Aline,FALSE,-15.7639,-47.8927,4.0,1.0,2.0,1,FALSE,"TV,Air conditioning,Fire extinguisher,Wifi,Kitchen,Free parking on premises",,False,,Moderate,BRL,14.0,0.0,5.0,4.8,4.8,5.0,4.8,5.0,5.0,4.8,573.0,3283.0,48.9,279.9,0.03,0.0,1.5,8.4,0.0,0.0,11.0,0.0,353.0,364.0,573.0,3283.0,48.9,280.1,0.122,0.0,5.9,33.8,0.0,0.0,11.0,0.0,79.0,90.0,Brasilia,Brazil,BR,Latin America
