listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
11508,Amazing Luxurious Apt-Palermo Soho,Entire condo,entire_home,https://a0.muscache.com/im/pictures/19357696/b1de16cb_original.jpg,44,42762,Candela,,,True,-34.582,-58.424,2.0,1.0,1.0,1.0,False,"Bathtub,Hair dryer,Cleaning products,Bidet,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Books and reading material,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Coffee maker,Wine glasses,Toaster,Dining table,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Pool,Sauna,Elevator,Gym,Paid parking off premises,Single level home,Long term stays allowed",,False,3.0,Strict,ARS,95.0,0.0,51,4.82,4.9,4.9,4.9,5.0,4.9,4.8,21963,25400000.0,87.4,101177.4,0.649,0.0,56.8,65474.7,0.0,0.0,237,0,128,365,7869,9291776.0,108.8,128485.0,0.756,0.0,80.0,94517.1,0.0,0.0,68,0,22,90,Buenos Aires,Argentina,AR,Latin America
14222,"RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/4695637/bbae8e87_original.jpg,52,87710233,María,"558,251,618,223","Manuel,Mercedes",False,-34.5862,-58.4104,2.0,1.0,1.0,1.0,False,"Bathtub,Hot water,Washer,Essentials,Hangers,Room-darkening shades,Iron,TV,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Patio or balcony,Paid parking off premises,Long term stays allowed",,False,7.0,Firm,ARS,55.0,0.0,129,4.78,4.8,4.8,4.8,4.9,4.9,4.8,4095,4587010.0,35.3,40829.0,0.334,0.338,10.0,11143.7,10.1,11267.2,122,4,243,365,183,216088.0,40.8,48176.8,0.033,0.0,1.4,1679.4,0.0,0.0,3,0,87,90,Buenos Aires,Argentina,AR,Latin America
20062,PENTHOUSE /Terrace & pool /City views /2bedrooms,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/165679/2eb44847_original.jpg,39,75891,Sergio,2576230,Silvana,True,-34.5818,-58.4416,4.0,2.0,2.0,1.5,False,"Wifi,Bathtub,Hair dryer,Cleaning products,Body soap,Bidet,Outdoor shower,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Pack ’n play/Travel crib,Air conditioning,Heating,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Coffee maker,Toaster,Baking sheet,Patio or balcony,Outdoor furniture,Outdoor dining area,Free street parking,Pool,Hot tub,Elevator,Paid parking off premises,Long term stays allowed,Cleaning before checkout",,False,2.0,Firm,ARS,70.0,0.0,364,4.94,4.9,4.9,4.9,4.9,4.9,4.8,33476,38700000.0,116.9,134795.8,0.718,0.72,82.7,95302.3,82.9,95564.1,262,1,103,365,10167,12000000.0,116.6,137682.1,0.889,0.899,102.9,121452.6,104.0,122817.2,80,1,10,90,Buenos Aires,Argentina,AR,Latin America
24713,"BEAUTIFUL, EXCELLENT UBICATION/OBELISK  5 STARS!!!",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/0efe9841-2777-4a07-983e-99522ca274b7.jpg,47,100743,Griselda,714056878,Ignacio,True,-34.6025,-58.3781,3.0,1.0,2.0,1.0,False,"Wifi,Hair dryer,Cleaning products,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Books and reading material,Air conditioning,Heating,Exterior security cameras on property,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Dishes and silverware,Coffee maker,Toaster,Private entrance,Laundromat nearby,Elevator,Paid parking off premises",,False,1.0,Moderate,ARS,30.0,0.0,391,4.67,4.7,4.9,4.8,4.9,4.8,4.6,2905,3393387.0,32.9,37921.9,0.192,0.0,6.4,7453.0,0.0,0.0,70,0,295,365,814,961179.0,33.7,39793.3,0.222,0.0,7.4,8711.8,0.0,0.0,20,0,70,90,Buenos Aires,Argentina,AR,Latin America
27631,"Apartment in Vicente López and Callao, Recoleta",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/9492029/ef02f171_original.jpg,26,119446,Inés,,,False,-34.5927,-58.3894,3.0,1.0,3.0,1.0,False,"Bathtub,Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Air conditioning,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Wine glasses,Dining table,Coffee,Private entrance,Laundromat nearby,Fire pit,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Free street parking,Paid parking off premises,Paid parking on premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Moderate,ARS,10.0,0.0,117,4.71,4.8,4.8,4.7,4.8,5.0,4.7,4042,4477918.0,40.8,47190.8,0.31,0.876,10.8,11912.4,30.5,33705.7,113,236,252,365,0,0.0,45.7,53910.4,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Buenos Aires,Argentina,AR,Latin America
31514,Beauty Duplex 4 - without air conditioning,Entire loft,entire_home,https://a0.muscache.com/im/pictures/cdb344b5-6d8a-4924-a941-56fec62c9d3e.jpg,14,64880,Mariano,,,False,-34.6149,-58.3752,5.0,1.0,4.0,1.0,False,"Hair dryer,Hot water,Essentials,Hangers,Iron,TV,Heating,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Dishes and silverware,Patio or balcony,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,ARS,0.0,0.0,49,4.35,4.4,4.8,4.1,4.7,4.4,4.5,8222,9320164.0,59.9,69058.7,0.362,0.478,22.5,25534.7,29.8,33768.7,132,89,233,365,395,466419.0,51.0,60221.2,0.089,0.216,4.4,5182.4,10.7,12605.9,8,53,82,90,Buenos Aires,Argentina,AR,Latin America
37347,Palermo/Las Cañitas Apartment.,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/25521548/ce490428_original.jpg,26,161327,Mariano,440162414,Sandra,True,-34.5715,-58.4325,2.0,1.0,1.0,1.0,False,"Hair dryer,Hot water,Washer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Dishes and silverware,Patio or balcony,Pool,Elevator,Long term stays allowed",,False,5.0,Moderate,ARS,20.0,0.0,116,4.83,4.8,5.0,4.8,4.9,4.9,4.8,7491,8558106.0,38.8,44881.0,0.523,0.568,19.6,22346.9,21.3,24275.7,191,29,174,365,754,890326.0,42.6,50302.6,0.2,0.0,8.2,9630.1,0.0,0.0,18,0,72,90,Buenos Aires,Argentina,AR,Latin America
41608,Palermo Soho Spectacular Modern Unit,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-41608/original/46f86d02-7de7-43ea-b436-9be336f53a12.jpeg,36,181721,Silveria,,,True,-34.5851,-58.4274,2.0,,1.0,1.0,False,"Bathtub,Hair dryer,Bidet,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Drying rack for clothing,Safe,TV,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Laundromat nearby,Patio or balcony,Outdoor furniture,Free street parking,Pool,Hot tub,Elevator,Gym,Pets allowed,Long term stays allowed",,False,2.0,Moderate,ARS,25.0,0.0,166,4.8,4.8,4.9,4.7,4.9,4.9,4.7,6009,6901116.0,65.4,75386.3,0.258,0.631,16.1,18502.8,39.5,45325.6,94,216,271,365,0,0.0,67.7,79940.7,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Buenos Aires,Argentina,AR,Latin America
42450,French Classic in San Telmo: Balcony over Defensa!,Entire condo,entire_home,https://a0.muscache.com/im/pictures/68d4fd68-d2b2-4735-9a1f-54b889a56254.jpg,25,185437,Grisel,,,False,-34.6158,-58.3718,4.0,2.0,2.0,2.0,False,"Bathtub,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Ethernet connection,TV,Crib,Pack ’n play/Travel crib,Baby bath,Children’s dinnerware,Air conditioning,Heating,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Private entrance,Patio or balcony,Free street parking,Elevator,Paid parking off premises,Long term stays allowed",,False,4.0,Firm,ARS,25.0,0.0,226,4.83,4.9,4.9,4.8,5.0,5.0,4.9,31159,35900000.0,93.3,107545.2,0.882,0.892,82.2,94727.6,83.1,95777.2,322,4,43,365,7542,8905643.0,95.3,112544.0,0.833,0.0,79.9,94359.6,0.0,0.0,75,0,15,90,Buenos Aires,Argentina,AR,Latin America
45498,"Quiet & Chic fully equipped loft, heart of Palermo",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/029977e6-75d6-4b17-9e63-aa2c6ddc2ecd.jpg,31,75891,Sergio,2576230,Silvana,True,-34.5818,-58.4414,4.0,2.0,2.0,1.5,False,"Wifi,Bathtub,Hair dryer,Cleaning products,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Pack ’n play/Travel crib,Air conditioning,Heating,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Baking sheet,Dining table,Patio or balcony,Outdoor furniture,Outdoor dining area,Free street parking,Pool,Elevator,Paid parking off premises,Long term stays allowed,Cleaning before checkout",,False,2.0,Limited,ARS,60.0,0.0,212,4.9,4.9,5.0,4.9,4.9,4.9,4.8,23927,27800000.0,118.4,136635.4,0.493,0.0,59.8,69497.0,0.0,0.0,180,0,185,365,8533,10100000.0,129.2,152507.9,0.656,0.0,86.1,101720.0,0.0,0.0,59,0,31,90,Buenos Aires,Argentina,AR,Latin America
