listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
82460,Cancun downtown room PEZ,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/47db21b3-8814-4ba2-a21f-f8a8ffaa69b7.jpg,13,448818,Cancun Guest House,,,False,21.1658,-86.8285,2.0,1.0,1.0,1.0,False,"Wifi,Air conditioning,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Smoke alarm,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Shampoo,Hangers,Private entrance",True,False,1.0,Moderate,MXN,7,0.0,643,4.75,4.8,4.9,4.8,4.9,4.8,4.8,1471.0,29311.0,29.6,583.9,0.123,0.0,3.8,76.6,0.0,0.0,45,0,320,365,519.0,10090.0,35.5,690.3,0.144,0.0,5.5,107.6,0.0,0.0,13,0,77,90,Cancun,Mexico,MX,Latin America
85056,Cancun downtown studio NOPAL,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/c85b817c-e9ed-4337-9396-a33d13f9818f.jpg,40,448818,Cancun Guest House,,,False,21.1658,-86.8285,4.0,1.0,3.0,1.0,False,"Wifi,Air conditioning,Shampoo,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Air conditioning,Exterior security cameras on property,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Coffee maker,Private entrance,Patio or balcony,Backyard,Free street parking,Luggage dropoff allowed",,False,1.0,Moderate,MXN,10,0.0,635,4.71,4.8,4.9,4.8,4.9,4.7,4.8,2362.0,47310.0,33.7,665.1,0.189,0.299,6.1,122.2,9.6,193.0,69,134,296,365,150.0,2916.0,38.4,745.6,0.056,0.217,1.6,30.2,6.1,118.3,5,67,85,90,Cancun,Mexico,MX,Latin America
86722,"Private Hotel Zone, Wifi, Beach, Pool, Kitchen, TV",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/17199225/c43cd9e4_original.jpg,42,475399,Abel,,,False,21.0456,-86.7826,4.0,1.0,1.0,1.0,False,"TV,Cable TV,Blender,Wifi,Air conditioning,Pool,Crib,Pack ’n play/Travel crib,Free parking on premises,Ceiling fan,Hot water,Body soap,Conditioner,Outdoor shower,Elevator,Free street parking,Laundromat nearby,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Wine glasses,Beach access,Backyard,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Safe,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Sun loungers,Toaster",False,,4.0,Strict,MXN,0,0.0,110,4.7,4.7,4.7,4.6,4.8,4.8,4.7,2423.0,48762.0,93.8,1840.3,0.11,0.114,6.6,133.6,6.9,139.3,40,15,325,365,0.0,0.0,158.1,3072.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Cancun,Mexico,MX,Latin America
133047,Cancun ECO- apartment & swimming pool,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/3329563/932e60d0_original.jpg,63,653512,Gaby,,,True,21.1453,-86.8455,3.0,2.0,2.0,1.0,False,"Air conditioning,Hair dryer,Cleaning products,Shampoo,Conditioner,Hot water,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Clothing storage,TV,Books and reading material,Children’s books and toys,Air conditioning,Ceiling fan,Exterior security cameras on property,Carbon monoxide alarm,First aid kit,Wifi,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Coffee,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Hammock,BBQ grill,Sun loungers,Free parking on premises,Free street parking,Pool,Pets allowed,Luggage dropoff allowed,Smoking allowed",,False,1.0,Strict,MXN,10,0.0,655,4.91,4.9,5.0,4.9,5.0,4.7,4.9,10115.0,199169.0,52.7,1038.0,0.515,0.558,27.1,534.5,29.4,578.9,188,28,177,365,3667.0,71284.0,52.5,1020.8,0.744,0.985,40.3,783.4,53.3,1036.9,67,22,23,90,Cancun,Mexico,MX,Latin America
133063,Beach Resort • Lagoon View • King Bed,Room in boutique hotel,private_room,https://a0.muscache.com/im/pictures/00efa126-e9fa-4a6e-a432-1ba0825a5339.jpg,35,481799,Michelle,,,False,21.0525,-86.7826,2.0,,1.0,1.0,False,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Ceiling fan,Resort access,Conditioner,Mini fridge,Elevator,Laundromat nearby,Outdoor furniture,Coffee,Clothing storage,Wine glasses,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Freezer,Private entrance,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Outdoor playground,Toaster",,False,3.0,Flexible,MXN,0,0.0,144,4.66,4.8,4.9,4.9,4.8,4.8,4.7,6774.0,133330.0,106.9,2106.6,0.175,0.203,18.6,365.3,21.4,421.9,64,49,301,365,1181.0,22958.0,108.5,2108.4,0.122,0.0,13.1,255.1,0.0,0.0,11,0,79,90,Cancun,Mexico,MX,Latin America
137979,Beach Front condo in Cancun !,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/6efa595d-fc0e-407d-a2cb-9ac6966f45c4.jpg,9,696715,Carmen,149001391,Rosa Irene,False,21.1314,-86.8906,4.0,1.0,2.0,1.0,False,"TV,Washer,Cable TV,Dryer,Wifi,Carbon monoxide alarm,Patio or balcony,Air conditioning,Pool,Essentials,Free parking on premises,Smoking allowed,Hot water,Elevator,Microwave,Coffee maker,Refrigerator",False,False,2.0,Moderate,MXN,20,0.0,49,4.53,4.3,4.7,4.4,4.8,4.7,4.5,3507.0,68569.0,112.3,2212.3,0.082,0.0,9.3,181.5,0.0,0.0,30,0,335,365,2089.0,40610.0,115.5,2245.2,0.2,0.0,22.5,438.3,0.0,0.0,18,0,72,90,Cancun,Mexico,MX,Latin America
190126,Cancun downtown room SOL,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/87a4ea84-48fa-4e58-99ed-d793c1306e95.jpg,19,448818,Cancun Guest House,,,False,21.1658,-86.8285,2.0,1.0,1.0,1.0,False,"Wifi,Air conditioning,Shampoo,Hot water,Essentials,Hangers,Clothing storage,Air conditioning,Exterior security cameras on property,Wifi,Dedicated workspace,Dishes and silverware,Mini fridge,Hot water kettle,Toaster,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Free street parking,Single level home,Luggage dropoff allowed",,False,1.0,Moderate,MXN,7,0.0,797,4.72,4.8,4.9,4.8,4.9,4.7,4.8,2249.0,44218.0,30.6,603.6,0.195,0.0,5.9,115.9,0.0,0.0,71,0,294,365,620.0,12052.0,34.2,663.9,0.178,0.0,6.7,129.4,0.0,0.0,16,0,74,90,Cancun,Mexico,MX,Latin America
220674,Luxurious Suite in the Cancun Hotel Zone,Private room in villa,private_room,https://a0.muscache.com/im/pictures/2238954/5669103b_original.jpg,50,988806,Carmen And Eli,,,True,21.1444,-86.7899,,,2.0,0.0,False,"Air conditioning,Smoking allowed,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,Mosquito net,Clothing storage,TV,High chair,Children’s dinnerware,Air conditioning,Ceiling fan,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Oven,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Waterfront,Lake access,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Beach essentials,Boat slip,Sun loungers,Free parking on premises,Free street parking,Pool,Hot tub,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Flexible,MXN,0,0.0,758,4.86,4.9,4.9,4.9,4.8,4.8,4.8,19385.0,383329.0,74.5,1468.2,0.718,0.72,53.1,1050.2,53.3,1053.1,262,1,103,365,5443.0,105806.0,93.8,1822.9,0.644,0.0,60.5,1175.6,0.0,0.0,58,0,32,90,Cancun,Mexico,MX,Latin America
266486,Beautifull Beach front house...,Entire villa,entire_home,https://a0.muscache.com/im/pictures/2650179/7a50910f_original.jpg,38,1397425,Roberto,,,False,21.1163,-86.7585,12.0,4.0,11.0,4.5,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Smoking allowed,Hot water,Free street parking,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Beach access,Essentials,Shampoo,Hair dryer,Iron,Dedicated workspace",False,False,3.0,Moderate,MXN,20,0.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10842.0,220449.0,1093.2,21552.9,0.027,0.029,29.6,602.9,31.1,632.4,10,17,355,365,1090.0,21189.0,1083.3,21058.3,0.011,0.014,12.1,235.4,14.9,290.3,1,17,89,90,Cancun,Mexico,MX,Latin America
569052,Super Apart Right on the best Beach $deal$,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/075c29c3-557a-4553-9973-999c4e6087aa.jpg,32,2800753,Tamy,,,False,21.053,-86.7828,4.0,1.0,2.0,1.0,False,"Cable TV,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Coffee maker,Beach access,Resort access,Patio or balcony,Outdoor furniture,Outdoor dining area,Free parking on premises,Pool,Elevator",,False,2.0,Firm,MXN,0,0.0,55,4.29,4.3,4.2,4.2,4.5,4.6,4.4,8560.0,170264.0,91.0,1795.2,0.255,0.27,23.5,466.5,24.9,495.0,93,21,272,365,1387.0,26962.0,89.4,1738.1,0.167,0.208,15.4,299.6,19.3,374.5,15,18,75,90,Cancun,Mexico,MX,Latin America
