listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
83802,"Charming flat, inside walled city",Entire condo,entire_home,https://a0.muscache.com/im/pictures/602495/b8792d42_original.jpg,29.0,457131,Julio,,,True,10.4242,-75.5508,4.0,1.0,3,1.0,True,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Pets allowed,Hot water,Elevator,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Coffee,Stove,Washer,Dryer,Carbon monoxide alarm,Patio or balcony,Essentials,Dining table,Hair dryer",,False,2.0,Strict,COP,13.0,0.0,239.0,4.76,4.8,4.9,4.7,4.9,5.0,4.6,5629,23400000.0,88.6,368458.7,0.175,0.185,15.0,62319.3,15.8,65741.5,64,19,301,365,2081,8646555.0,90.9,377597.2,0.244,0.31,22.4,93072.0,28.4,117978.6,22,19,68,90,Cartagena,Colombia,CO,Latin America
115675,PRIVATE ROOM IN CARTAGENA COLOMBIA,Private room in home,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-115675/original/45a4808b-60c4-4003-9256-39e6e53cf32a.jpeg,17.0,585231,John,,,False,10.4007,-75.5544,3.0,1.0,1,1.0,True,"Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Clothing storage,TV,Air conditioning,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Coffee maker,Beach access,Private entrance,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,COP,9.0,0.0,225.0,4.85,4.9,4.9,4.9,5.0,4.9,4.8,2470,10300000.0,34.3,142770.1,0.184,0.255,6.4,26687.0,8.9,37037.0,67,102,298,365,779,3236745.0,45.2,187621.3,0.167,0.246,8.4,34717.3,12.3,51222.3,15,29,75,90,Cartagena,Colombia,CO,Latin America
140127,HISTORIC CENTER - SPECTACULAR HOUSE,Entire villa,entire_home,https://a0.muscache.com/im/pictures/51882541/56eb28ef_original.jpg,30.0,682729,Katia,,,False,10.4273,-75.5462,8.0,3.0,5,3.5,True,"Shampoo,Hot water,Washer,Dryer,Essentials,TV,Crib,Air conditioning,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Stove,Oven,Coffee maker,Private entrance,Pool,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Strict,COP,100.0,0.0,126.0,4.92,4.9,5.0,4.9,4.8,4.9,4.8,19900,82800000.0,775.7,3225878.3,0.066,0.097,52.1,216596.2,76.9,320071.3,24,118,341,365,2968,12300000.0,690.2,2867596.3,0.044,0.138,30.8,127789.3,95.4,396587.6,4,61,86,90,Cartagena,Colombia,CO,Latin America
142012,Oceanfront condo near Walled City,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/1841266/3205f0a0_original.jpg,72.0,690175,Margarita,426648119,Elisa,True,10.4572,-75.5111,4.0,2.0,4,3.0,True,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Gym,Resort access,Elevator,Cleaning products,Drying rack for clothing,Coffee,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Rice maker,Children’s books and toys,Blender,Room-darkening shades,Hot water,Outdoor shower,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,Single level home,Exercise equipment,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Toaster",False,False,7.0,Firm,COP,50.0,0.0,103.0,4.78,4.8,4.7,4.8,4.7,4.7,4.7,13108,54500000.0,116.2,483090.6,0.299,0.399,35.2,146581.7,47.1,195979.2,109,92,256,365,3772,15700000.0,121.4,504509.3,0.322,0.33,40.2,167215.7,41.2,171016.0,29,2,61,90,Cartagena,Colombia,CO,Latin America
166409,Center/pool/cleaning and kitchen service/hot water,Entire home,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-166409/original/7b7ec5c9-843b-4136-956a-f02c69d7942d.jpeg,88.0,793174,Roberto,"132,042,884,437,385,000","Berta,Wellcome.Travel",True,10.4278,-75.547,15.0,7.0,8,7.5,True,"TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Smoking allowed,Pets allowed,Hot water,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Iron,Outdoor dining area,Private entrance",,True,3.0,Firm,COP,0.0,0.0,116.0,4.94,5.0,5.0,4.9,5.0,5.0,4.8,175971,732000000.0,1121.1,4662494.6,0.4,0.0,482.1,2004317.4,0.0,0.0,146,0,219,365,70260,292000000.0,1362.5,5661049.0,0.511,0.0,780.7,3243670.0,0.0,0.0,46,0,44,90,Cartagena,Colombia,CO,Latin America
181129,Casa Gaviota Baru Beach House a few steps from the sea!,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-181129/original/82274c3e-2ba3-4571-9466-325764f62110.jpeg,94.0,761787,Yatan,,,False,10.1433,-75.6857,10.0,3.0,6,2.0,True,"Cable TV,Hair dryer,Cleaning products,Shampoo,Body soap,Outdoor shower,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Sound system,Indoor fireplace,Fire extinguisher,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Coffee maker,Beach access,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,2.0,Moderate,COP,0.0,0.0,108.0,4.76,4.7,4.7,4.6,4.7,4.8,4.6,20061,83400000.0,443.6,1844711.8,0.129,0.134,55.0,228488.0,57.0,236926.4,47,13,318,365,7552,31400000.0,434.0,1803316.2,0.2,0.234,83.9,348650.7,98.1,407513.8,18,13,72,90,Cartagena,Colombia,CO,Latin America
229044,Amazing Poolside Paradise + Ultra-Fast Internet!,Entire condo,entire_home,https://a0.muscache.com/im/pictures/0b9dcd8b-1248-4b31-95ee-753d3946cfb1.jpg,101.0,1195621,Aracely,,,False,10.4052,-75.5547,4.0,1.0,2,2.0,True,"Cable TV,Wifi,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Sound system,Exercise equipment,Books and reading material,Air conditioning,Ceiling fan,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Coffee,Waterfront,Beach access,Patio or balcony,Outdoor dining area,Free parking on premises,Pool,Elevator,Gym",,False,2.0,Firm,COP,50.0,0.0,152.0,4.93,4.9,5.0,5.0,5.0,4.9,4.9,28798,120000000.0,127.5,530336.8,0.573,0.0,73.6,305950.8,0.0,0.0,209,0,156,365,7080,29400000.0,132.0,548644.7,0.544,0.0,72.0,299160.0,0.0,0.0,49,0,41,90,Cartagena,Colombia,CO,Latin America
237948,Cozy & Nice I-1 bedroom Entire Apt,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/74764821/cea22892_original.jpg,104.0,1247002,Sonia,,,False,10.3988,-75.5614,3.0,1.0,2,1.0,True,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Board games,Hot water kettle,Paid parking off premises,Ceiling fan,Pets allowed,Gym,Elevator,Free street parking,Outdoor furniture,Cleaning products,Drying rack for clothing,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,High chair,Children’s books and toys,Blender,Crib,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Exercise equipment,Patio or balcony,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Dining table",,False,6.0,Firm,COP,35.0,30.0,170.0,4.25,4.4,4.6,4.2,4.6,4.8,4.3,1541,6411709.0,55.1,229179.1,0.068,0.103,3.7,15574.2,5.6,23393.3,25,122,340,365,689,2862795.0,65.0,269936.5,0.133,0.0,6.9,28577.2,0.0,0.0,12,0,78,90,Cartagena,Colombia,CO,Latin America
266309,Floating Penthouse with hot tub,Entire condo,entire_home,https://a0.muscache.com/im/pictures/02433153-5ea8-436f-adcb-7b0ca02ae996.jpg,53.0,1396326,Ignacio,,,True,10.4383,-75.5341,8.0,3.0,4,2.0,True,"TV,Gym,Wifi,Cable TV,Pets allowed,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,Ethernet connection,TV,Sound system,Air conditioning,Portable fans,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Blender,Dining table,Waterfront,Beach access,Patio or balcony,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Sun loungers,Free parking on premises,Free street parking,Pool,Hot tub,Sauna,Elevator,Gym,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Firm,COP,50.0,0.0,161.0,4.85,4.9,4.9,4.9,5.0,4.8,4.8,78622,327000000.0,298.0,1239232.6,0.693,0.0,208.0,865078.9,0.0,0.0,253,0,112,365,19374,80500000.0,292.3,1214368.0,0.711,0.0,208.0,864424.7,0.0,0.0,64,0,26,90,Cartagena,Colombia,CO,Latin America
266332,Spectacular Penthouse in Cartagena,Entire loft,entire_home,https://a0.muscache.com/im/pictures/eb86a592-8c8b-408f-99ca-328483d74f0c.jpg,24.0,1396326,Ignacio,,,True,10.4373,-75.5364,6.0,3.0,3,2.0,True,"TV,Cable TV,Wifi,Kitchen,Smoking allowed,Gym,Hair dryer,Cleaning products,Shampoo,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,TV,Sound system,Exercise equipment,Pack ’n play/Travel crib,Air conditioning,Portable fans,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Waterfront,Beach access,Patio or balcony,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Free parking on premises,Free street parking,Pool,Hot tub,Sauna,Elevator,Gym,Long term stays allowed,Cleaning before checkout",,False,3.0,Strict,COP,0.0,0.0,2.0,,,,,,,,12046,50100000.0,278.5,1158221.9,0.118,0.132,33.0,137126.4,37.0,153531.1,43,39,322,365,540,2243700.0,272.2,1130898.7,0.022,0.036,6.0,24930.0,9.8,40794.5,2,35,88,90,Cartagena,Colombia,CO,Latin America
