listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
31399,Bedroom for2people Close to main plaza,Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-31399/original/1d868967-ac5e-49e8-a656-5de551cbb10c.jpeg,42.0,134801,Mary Jean,395193520,Axel,True,-13.521,-71.9862,,,1,0.0,False,"Wifi,Hair dryer,Cleaning products,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Children’s books and toys,Children’s dinnerware,Window guards,Indoor fireplace,Exterior security cameras on property,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Blender,Coffee,Private entrance,Laundromat nearby,Free street parking,Paid parking off premises,Single level home,Luggage dropoff allowed,Breakfast,Long term stays allowed,Cleaning before checkout",,False,2.0,Moderate,PEN,0.0,8.0,108,4.71,4.7,4.8,4.8,4.8,4.4,4.7,2436.0,8857.0,16.5,60.1,0.395,0.0,6.7,24.3,0.0,0.0,144,0,221,365,423.0,1536.0,17.6,64.0,0.267,0.0,4.7,17.1,0.0,0.0,24,0,66,90,Cusco,Peru,PE,Latin America
128122,"Cusco's Downtown, Hostal El Triunfo",Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/819293/f1cbf2c7_original.jpg,26.0,633836,Ursula,,,True,-13.5162,-71.9771,2.0,1.0,2,1.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Crib,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Backyard,Luggage dropoff allowed,Breakfast,Long term stays allowed",,False,1.0,Flexible,PEN,0.0,0.0,56,4.73,4.8,4.8,4.9,4.9,5.0,4.8,4839.0,17704.0,52.0,189.6,0.255,0.391,13.3,48.5,20.3,74.4,93,127,272,365,759.0,2749.0,50.8,184.1,0.167,0.242,8.4,30.5,12.2,44.3,15,28,75,90,Cusco,Peru,PE,Latin America
128155,"Apartment RECOLETA DEL INKA 202, quiet & clean",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/6ff1ddd3-a35f-4eff-a6bf-5631775f52fb.jpg,20.0,603478,Recoleta Del Inka,,,True,-13.5172,-71.9688,4.0,2.0,3,1.0,False,"TV,Cable TV,Wifi,Kitchen,Hot water kettle,Hot water,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Clothing storage,Stove,Washer,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Dining table,Hair dryer,Dedicated workspace,Private entrance",False,,2.0,Moderate,PEN,12.0,0.0,68,4.75,4.8,4.8,4.7,4.9,4.8,4.7,439.0,1618.0,24.0,87.5,0.044,0.0,1.1,4.2,0.0,0.0,16,0,349,365,0.0,0.0,24.2,87.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Cusco,Peru,PE,Latin America
212755,Apartment in the historic center of Cusco,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-212755/original/9c63a343-340d-4cdf-91af-96f2b1c6a4f9.jpeg,19.0,1097073,Donny,,,True,-13.5162,-71.9841,,,1,0.0,False,"Cleaning products,Essentials,Hangers,Bed linens,Extra pillows and blankets,Drying rack for clothing,Babysitter recommendations,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Wine glasses,Baking sheet,Dining table,Private entrance,Patio or balcony,Free street parking,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Moderate,PEN,10.0,0.0,30,4.9,5.0,5.0,4.9,5.0,5.0,4.9,5692.0,20700.0,22.3,81.3,0.66,0.693,14.9,54.0,15.6,56.7,241,17,124,365,1592.0,5765.0,21.7,78.7,0.767,0.0,16.6,60.1,0.0,0.0,69,0,21,90,Cusco,Peru,PE,Latin America
346795,CONDOR SUITES Brand New Cute & Cozy Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/42e79459-89a2-4d7b-a888-63c61082699c.jpg,12.0,1748189,Carlos Javier,,,True,-13.5156,-71.9693,2.0,1.0,1,1.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,TV,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Private entrance,Patio or balcony,Backyard,Free parking on premises,Free street parking,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,4.0,Moderate,PEN,15.0,0.0,70,4.94,4.9,4.9,5.0,5.0,4.9,5.0,3032.0,11011.0,21.7,79.3,0.351,0.0,7.6,27.7,0.0,0.0,128,0,237,365,431.0,1560.0,21.8,79.1,0.2,0.0,4.3,15.5,0.0,0.0,18,0,72,90,Cusco,Peru,PE,Latin America
346814,Condor Suites - New Reno - Apt in Historic Centre,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzQ2ODE0/original/6f6e5d70-29fa-4207-a0d0-c0549ed1dd6a.jpeg,21.0,1748189,Carlos Javier,,,True,-13.5157,-71.9687,4.0,2.0,2,1.0,False,"TV,Cable TV,Blender,Wifi,Kitchen,Room-darkening shades,Hot water kettle,Books and reading material,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Paid parking on premises,Clothing storage,Stove,First aid kit,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Freezer,Private entrance",,False,4.0,Moderate,PEN,0.0,0.0,12,4.92,4.8,4.9,4.8,5.0,5.0,5.0,998.0,3614.0,28.8,104.9,0.09,0.0,2.7,9.9,0.0,0.0,33,0,332,365,0.0,0.0,26.0,94.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Cusco,Peru,PE,Latin America
346830,CONDOR SUITES Newly Built Beautiful and Modern Apt,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/99eb82c6-2977-4ccf-9c4b-e210965e4ec2.jpg,18.0,1748189,Carlos Javier,,,True,-13.5141,-71.9697,2.0,1.0,1,1.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,TV,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Private entrance,Backyard,Free parking on premises,Free street parking,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,4.0,Moderate,PEN,15.0,0.0,60,4.9,5.0,5.0,4.9,5.0,4.9,4.9,4958.0,17999.0,26.5,96.7,0.479,0.0,12.8,46.6,0.0,0.0,175,0,190,365,1024.0,3708.0,26.1,94.5,0.411,0.0,10.7,38.8,0.0,0.0,37,0,53,90,Cusco,Peru,PE,Latin America
346844,CONDOR SUITES Brand New Stylish Modern Apt,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/07ce5ba3-f773-4c02-b830-d33fcf9547c0.jpg,16.0,1748189,Carlos Javier,,,True,-13.5142,-71.9707,2.0,1.0,1,1.0,False,"Hair dryer,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Clothing storage,TV,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Dining table,Laundromat nearby,Backyard,Free parking on premises,Free street parking,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,4.0,Moderate,PEN,15.0,0.0,108,4.9,4.8,5.0,5.0,5.0,4.9,4.9,2706.0,9851.0,26.1,95.4,0.268,0.311,7.0,25.5,8.1,29.6,98,50,267,365,92.0,334.0,25.6,92.8,0.033,0.075,0.9,3.1,1.9,7.0,3,50,87,90,Cusco,Peru,PE,Latin America
351399,Ñawin Cusco · People · San Blas,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/ccbf9691-76b7-4607-a1d8-021c65625a95.jpg,24.0,1335994,Ñawin Cusco,568787862,Illa,False,-13.5136,-71.975,2.0,1.0,1,1.0,False,"Air conditioning,Pets allowed,Hair dryer,Cleaning products,Body soap,Hot water,Essentials,Hangers,Bed linens,Clothing storage,Ethernet connection,TV,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Blender,Dining table,Coffee,Laundromat nearby,Backyard,Outdoor furniture,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Flexible,PEN,0.0,0.0,307,4.91,5.0,5.0,5.0,4.9,4.9,4.9,20394.0,74436.0,81.6,297.7,0.688,0.0,55.9,203.9,0.0,0.0,251,0,114,365,3510.0,12707.0,84.1,304.4,0.467,0.0,39.0,141.2,0.0,0.0,42,0,48,90,Cusco,Peru,PE,Latin America
394287,Spacious Apartment Good location,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/806e09cf-e7e9-4003-ac52-b2ec30d6aecd.jpg,14.0,503220,Miguel,,,True,-13.5202,-71.9686,8.0,4.0,6,2.0,False,"TV,Children’s books and toys,Blender,Window guards,Wifi,Kitchen,Board games,Room-darkening shades,Hot water kettle,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Paid parking on premises,Clothing storage,Stove,Wine glasses,Single level home,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Dining table,Hair dryer,Iron,Private entrance,Rice maker",,False,2.0,Firm,PEN,14.0,0.0,133,4.57,4.6,4.9,4.4,4.8,4.6,4.6,1260.0,4563.0,38.6,140.9,0.085,0.089,3.3,12.1,3.5,12.6,31,15,334,365,77.0,279.0,37.2,134.6,0.022,0.027,0.9,3.1,1.0,3.7,2,15,88,90,Cusco,Peru,PE,Latin America
