listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
117995,"Fortaleza, the Pippen beautiful, an",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-117995/original/07cb3cd4-584f-4013-aaaf-80788d5c73d6.jpeg,47.0,595945,Elane,558899918,Gean,False,-3.729,-38.4952,4.0,2.0,5.0,2.0,False,"Cable TV,Wifi,Gym,Hot water,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Clothing storage,TV,Window guards,Air conditioning,Fire extinguisher,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Wine glasses,Blender,Dining table,Beach access,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Free parking on premises,Free street parking,Elevator,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,5.0,Moderate,BRL,33.0,0.0,9.0,4.44,4.7,4.9,4.7,4.8,4.7,4.2,2457.0,14108.0,49.8,285.8,0.123,0.141,6.2,35.5,7.1,40.7,45,46,320,365,0.0,0.0,46.4,265.7,0.0,0.0,0.0,0.0,0.0,0.0,0,40,90,90,Fortaleza,Brazil,BR,Latin America
341541,"Fortaleza, near the Beira Mar Avenue",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/8be610fc-2c6c-4832-abe1-262770aa2223.jpg,15.0,1732699,Sylvia Santos,,,True,-3.7286,-38.49,,,1.0,0.0,False,"Hot water,Washer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Clothing storage,TV,Exercise equipment,Books and reading material,Air conditioning,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Toaster,Blender,Dining table,Waterfront,Beach access,Patio or balcony,Hammock,Elevator,Gym,Luggage dropoff allowed",,False,2.0,Moderate,BRL,9.0,5.0,78.0,4.91,4.9,5.0,5.0,5.0,5.0,4.9,2892.0,16637.0,24.0,137.8,0.31,0.318,7.5,42.9,7.7,44.1,113,10,252,365,1097.0,6303.0,23.7,136.0,0.478,0.0,11.4,65.4,0.0,0.0,43,0,47,90,Fortaleza,Brazil,BR,Latin America
607262,Apartment 1 Block From the Beach,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/28377543/d7eebf56_original.jpg,21.0,3008676,Iracema,,,False,-3.7245,-38.4979,13.0,3.0,7.0,3.0,False,"Gym,Cable TV,Hot water,Washer,TV,Air conditioning,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Coffee maker,Beach access,Free parking on premises,Free street parking,Elevator,Pets allowed",,False,3.0,Strict,BRL,46.0,0.0,29.0,4.62,4.5,4.8,4.7,4.7,4.8,4.5,9964.0,57187.0,73.3,420.7,0.384,0.464,24.8,142.2,29.9,171.9,140,63,225,365,667.0,3821.0,99.7,571.0,0.111,0.37,6.9,39.5,23.0,131.7,10,63,80,90,Fortaleza,Brazil,BR,Latin America
1006851,Garden retreat 100 meters from Ibis Praia de Iracema,Tiny home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTAwNjg1MQ%3D%3D/original/19e6e380-0032-4103-88b1-c7270ada42be.jpeg,18.0,908452,Julio Lira,,,True,-3.7245,-38.5162,4.0,1.0,2.0,1.0,False,"Body soap,Hot water,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Clothing storage,TV,Air conditioning,Portable fans,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Mini fridge,Stove,Hot water kettle,Wine glasses,Blender,Rice maker,Waterfront,Beach access,Laundromat nearby,Backyard,Luggage dropoff allowed,Smoking allowed",,False,3.0,Strict,BRL,7.0,0.0,164.0,4.8,4.8,4.9,4.8,4.9,4.7,4.9,5567.0,31985.0,20.4,117.0,0.696,0.0,14.4,82.9,0.0,0.0,254,0,111,365,1743.0,9992.0,21.8,125.1,0.822,0.0,18.1,103.9,0.0,0.0,74,0,16,90,Fortaleza,Brazil,BR,Latin America
1062965,Studio house at Praia de Iracema,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/29629093/da4535fd_original.jpg,26.0,908452,Julio Lira,,,True,-3.7254,-38.5154,4.0,1.0,3.0,1.0,False,"Hot water,Essentials,Hangers,Iron,TV,Books and reading material,Air conditioning,Portable fans,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Blender,Backyard,Outdoor furniture",,False,3.0,Strict,BRL,9.0,0.0,338.0,4.75,4.8,4.9,4.7,4.9,4.6,4.8,6372.0,36645.0,22.3,127.9,0.74,0.818,16.5,94.8,18.2,104.9,270,35,95,365,1320.0,7572.0,22.3,127.8,0.633,0.74,14.0,80.1,16.3,93.6,57,13,33,90,Fortaleza,Brazil,BR,Latin America
1170786,"Family- 200m from the beach, comfort, linens",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/d47307ec-9928-45e9-8d81-cbc32db0ad74.jpg,47.0,6409216,Sônia,,,False,-3.7217,-38.5148,5.0,2.0,4.0,2.0,False,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Pets allowed,Elevator,Outdoor furniture,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses,Washer,Beach access,Smoke alarm,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Baby safety gates,Blender,Window guards,Crib,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Long term stays allowed,Dining table,Baking sheet,Toaster",False,False,2.0,Moderate,BRL,31.0,0.0,217.0,4.74,4.9,4.9,4.8,4.9,4.7,4.7,11401.0,65325.0,116.1,667.0,0.312,0.33,31.2,178.5,33.0,188.8,114,20,251,365,3343.0,19156.0,99.1,567.7,0.389,0.5,36.8,210.9,47.3,271.1,35,20,55,90,Fortaleza,Brazil,BR,Latin America
1264922,Studio 2 Private Rooms Air-Conditioning Wi-Fi on the Seashore,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/7b212186-505a-43a7-9ebf-badbcbe471d8.jpg,18.0,6885889,Jaime,,,False,-3.7264,-38.4991,10.0,2.0,5.0,2.0,False,"Hair dryer,Essentials,Hangers,Iron,TV,Air conditioning,Fire extinguisher,Wifi,Kitchen,Refrigerator,Coffee maker,Beach access,Private entrance,Free street parking,Elevator,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Strict,BRL,0.0,0.0,218.0,4.49,4.5,4.8,4.4,4.7,4.9,4.7,6321.0,36283.0,20.0,114.9,0.86,0.0,17.3,99.4,0.0,0.0,314,0,51,365,2065.0,11838.0,24.2,138.7,0.944,0.0,22.9,131.5,0.0,0.0,85,0,5,90,Fortaleza,Brazil,BR,Latin America
1336695,Landscape Fortaleza the Show Begins,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/59372545/cf297104_original.jpg,116.0,1807551,Carlo,,,False,-3.7243,-38.4983,6.0,2.0,3.0,2.0,False,"Cable TV,Hair dryer,Dryer,Essentials,Hangers,Iron,TV,Exercise equipment,Ping pong table,Pack ’n play/Travel crib,Children’s dinnerware,Children's playroom,Outdoor playground,Air conditioning,Heating,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Dishes and silverware,Resort access,Patio or balcony,Backyard,Outdoor furniture,Hammock,Outdoor dining area,Free parking on premises,Pool,Elevator,Gym,Pets allowed,Long term stays allowed",,False,1.0,Strict,BRL,34.0,0.0,11.0,4.6,4.7,4.3,4.9,4.6,4.9,4.4,9674.0,55530.0,214.5,1232.2,0.104,0.113,25.7,147.3,27.9,160.0,38,29,327,365,3530.0,20227.0,235.0,1346.3,0.122,0.0,38.5,220.4,0.0,0.0,11,0,79,90,Fortaleza,Brazil,BR,Latin America
1341559,Seaflat306 -Fortaleza Iracema Resid,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1341559/original/e95021c0-6ccb-461b-a427-b9316b3f801a.jpeg,66.0,7211910,Daniel,,,False,-3.7242,-38.484,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Hair dryer,Hot water,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Safe,Clothing storage,TV,Pack ’n play/Travel crib,Air conditioning,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Waterfront,Beach access,Patio or balcony,Outdoor furniture,Outdoor dining area,Free parking on premises,Pool,Elevator,Gym,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Super Strict 30 Days,BRL,17.0,0.0,42.0,4.64,4.7,4.6,4.7,4.7,4.9,4.6,13697.0,78614.0,71.5,410.7,0.507,0.559,35.8,205.8,39.5,227.0,185,34,180,365,4032.0,23098.0,91.6,525.0,0.467,0.636,43.3,248.0,59.0,338.2,42,24,48,90,Fortaleza,Brazil,BR,Latin America
1479878,Nice place w/ sea view in Fortaleza,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/21869501/551333ce_original.jpg,28.0,6016538,Daniele Rodrigues,,,False,-3.7228,-38.5186,5.0,1.0,2.0,1.0,False,"Cable TV,Wifi,Gym,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Exercise equipment,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Baby bath,Children’s dinnerware,Window guards,Board games,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Wine glasses,Baking sheet,Blender,Coffee,Beach access,Patio or balcony,Backyard,Outdoor furniture,Hammock,BBQ grill,Free parking on premises,Pool,Elevator,Gym,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Firm,BRL,37.0,0.0,123.0,4.73,4.8,4.8,4.7,4.8,4.5,4.6,3181.0,18141.0,81.0,465.9,0.137,0.0,8.5,48.5,0.0,0.0,50,0,315,365,753.0,4315.0,122.8,703.6,0.067,0.0,8.0,45.6,0.0,0.0,6,0,84,90,Fortaleza,Brazil,BR,Latin America
1561062,Apart - Hotel - Iracema Beach,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/68906973/a7c00f0e_original.jpg,18.0,7219370,Gabriele,,,True,-3.7213,-38.5103,6.0,2.0,3.0,2.0,False,"Wifi,Hair dryer,Cleaning products,Hot water,Essentials,Hangers,Bed linens,Room-darkening shades,Safe,TV,Window guards,Air conditioning,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Coffee maker,Blender,Dining table,Patio or balcony,Free parking on premises,Pool,Elevator,Pets allowed,Smoking allowed,Long term stays allowed",,False,1.0,Strict,BRL,10.0,4.0,80.0,4.48,4.7,4.7,4.5,4.7,4.9,4.7,3245.0,18842.0,47.9,274.9,0.205,0.625,8.6,49.9,26.1,151.8,75,245,290,365,230.0,1317.0,54.0,309.4,0.044,0.2,2.4,14.0,11.0,63.0,4,70,86,90,Fortaleza,Brazil,BR,Latin America
