listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
14086,"Serviced, 4 BR House in Chapalita, near Expo",Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-14086/original/3fdb9a18-9923-4706-8cfb-102c907bf034.jpeg,103.0,55369,James,303271124,Leonardo,False,20.6621,-103.3979,7.0,5.0,7.0,3.5,False,"TV,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Ceiling fan,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Blender,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Outdoor playground,Baking sheet,Barbecue utensils,Sun loungers,Toaster",True,False,3.0,Flexible,MXN,149.0,0.0,40,4.83,4.8,4.9,4.9,4.9,4.9,4.8,9105.0,177212.0,251.1,4955.8,0.09,0.0,23.3,453.8,0.0,0.0,33,0,332,365,2158.0,41949.0,220.6,4288.7,0.1,0.0,22.3,433.9,0.0,0.0,9,0,81,90,Guadalajara,Mexico,MX,Latin America
213926,"King Bed in Chapalita/In New Hotel Zone, Expo Area",Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-213926/original/f5f9ddb2-9028-44a2-af50-057e052b438b.jpeg,8.0,55369,James,303271124,Leonardo,False,20.6621,-103.3979,,0.0,,0.0,False,"TV,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Ceiling fan,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Sound system,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Outdoor playground,Barbecue utensils,Sun loungers,Toaster",,False,1.0,Flexible,MXN,16.0,10.0,5,5.0,5.0,4.8,5.0,5.0,5.0,5.0,2746.0,53380.0,72.7,1434.0,0.101,0.0,7.3,142.0,0.0,0.0,37,0,328,365,1116.0,21693.0,75.1,1459.0,0.167,0.0,12.0,234.1,0.0,0.0,15,0,75,90,Guadalajara,Mexico,MX,Latin America
309433,"A quiet room, w/ private bath, Chapalita/Expo-GDL",Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-309433/original/a89e2003-602d-4fac-aa4e-392eb5cf349a.jpeg,17.0,55369,James,303271124,Leonardo,False,20.662,-103.3979,,,1.0,0.0,False,"TV,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Breakfast,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Sound system,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Cleaning before checkout,Dining table,Outdoor playground,Baking sheet,Barbecue utensils,Sun loungers,Toaster",,False,1.0,Flexible,MXN,10.0,0.0,4,5.0,5.0,5.0,4.8,5.0,5.0,5.0,802.0,15591.0,76.8,1516.3,0.027,0.0,2.2,42.2,0.0,0.0,10,0,355,365,0.0,0.0,74.1,1439.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Guadalajara,Mexico,MX,Latin America
309445,"Queen Bed, A/C, desk with Fast Wi-Fi, Expo-GDL",Private room in home,private_room,https://a0.muscache.com/im/pictures/cef54740-27f8-4a7b-afb3-6b0fe6a8a5a8.jpg,22.0,55369,James,303271124,Leonardo,False,20.662,-103.3979,,,1.0,0.0,False,"TV,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Breakfast,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Sound system,Blender,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",,False,1.0,Flexible,MXN,15.0,5.0,5,4.8,4.8,5.0,5.0,4.6,4.8,4.8,694.0,13490.0,65.4,1290.4,0.027,0.0,1.9,36.2,0.0,0.0,10,0,355,365,0.0,0.0,59.4,1155.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Guadalajara,Mexico,MX,Latin America
2028590,Entire Villa/POOL/Yard/Centro/5 bed/5 full bath,Entire villa,entire_home,https://a0.muscache.com/im/pictures/b43227f9-ea52-4b5b-b8b3-a3a542fe149d.jpg,41.0,7068008,Rob,65241085,Felipe,True,20.6672,-103.3515,12.0,5.0,6.0,5.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Safe,TV,Crib,Ceiling fan,Portable fans,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Wine glasses,Toaster,Baking sheet,Private entrance,Patio or balcony,Backyard,Outdoor dining area,Free street parking,Pool,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,5.0,Firm,MXN,0.0,0.0,201,4.92,4.9,5.0,4.8,5.0,4.6,4.8,91804.0,1807900.0,449.2,8852.6,0.556,0.565,251.5,4953.2,255.7,5035.9,203,6,162,365,29227.0,568146.0,471.0,9155.2,0.689,0.0,324.7,6312.7,0.0,0.0,62,0,28,90,Guadalajara,Mexico,MX,Latin America
2447809,Beautiful room in Providencia,Private room in home,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-2447809/original/5f60c8ad-de0b-417d-95c4-7b8eb374be45.jpg,24.0,12518205,Gaby,"86166467,287629481","Oscar,Ile & Oscar",True,20.7031,-103.3822,,,1.0,0.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Ethernet connection,TV,Books and reading material,Portable fans,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Toaster,Blender,Dining table,Coffee,Laundromat nearby,Backyard,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Strict,MXN,0.0,0.0,98,4.89,4.9,4.9,4.8,4.9,5.0,4.8,3776.0,74650.0,21.1,414.3,0.507,0.0,10.3,204.5,0.0,0.0,185,0,180,365,723.0,14055.0,24.8,482.6,0.322,0.0,8.0,156.2,0.0,0.0,29,0,61,90,Guadalajara,Mexico,MX,Latin America
2447930,"Private Room, King Bed Providencia",Private room in home,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-2447930/original/743abd38-3c75-4bf9-b57b-f49296915902.jpg,38.0,12518205,Gaby,"86166467,287629481","Oscar,Ile & Oscar",True,20.7023,-103.3817,,,1.0,0.0,False,"Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Ethernet connection,TV,Books and reading material,Portable fans,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Toaster,Blender,Dining table,Laundromat nearby,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Strict,MXN,0.0,6.0,120,4.79,4.8,4.9,4.8,4.9,5.0,4.8,5284.0,103919.0,22.0,431.8,0.655,0.0,14.5,284.7,0.0,0.0,239,0,126,365,1212.0,23558.0,26.6,516.2,0.5,0.0,13.5,261.8,0.0,0.0,45,0,45,90,Guadalajara,Mexico,MX,Latin America
2723106,Little Room near of the Expo Gdl,Private room in home,private_room,https://a0.muscache.com/im/pictures/9893ab54-ec35-4e66-bc83-af123fdb726b.jpg,26.0,13935051,Ana Lorena,,,True,20.6594,-103.3889,,,1.0,0.0,False,"Air conditioning,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Mosquito net,TV,Children’s books and toys,High chair,Outdoor playground,Ceiling fan,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Pocket wifi,Refrigerator,Microwave,Dishes and silverware,Freezer,Hot water kettle,Coffee maker,Toaster,Blender,Rice maker,Dining table,Coffee,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,MXN,16.0,0.0,163,4.93,4.9,5.0,4.9,5.0,5.0,4.8,2180.0,42790.0,25.7,504.5,0.211,0.0,5.4,107.0,0.0,0.0,77,0,288,365,655.0,12733.0,27.0,525.5,0.256,0.0,6.6,127.7,0.0,0.0,23,0,67,90,Guadalajara,Mexico,MX,Latin America
2737389,"Loft Chido in the Area of Chapultepec, Chécalo!",Entire loft,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2737389/original/b4dc93c3-d263-43c1-b6a4-d771dbbd97f8.jpeg,65.0,5738731,Luis Enrique,,,True,20.6683,-103.3772,2.0,1.0,2.0,1.0,False,"Blender,Wifi,Kitchen,Hot water kettle,Books and reading material,Portable fans,Pets allowed,Hot water,Body soap,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Laundromat nearby,Outdoor furniture,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Coffee,Clothing storage,Stove,Wine glasses,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance",,,2.0,Moderate,MXN,13.0,,192,4.87,4.9,4.9,4.9,5.0,4.9,4.9,2388.0,48550.0,37.1,729.6,0.184,0.185,6.1,124.7,6.1,125.4,67,2,298,365,0.0,0.0,39.2,762.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Guadalajara,Mexico,MX,Latin America
3434347,The Art House Guadalajara Center,Private room in home,private_room,https://a0.muscache.com/im/pictures/48409571/ee3df4e3_original.jpg,25.0,17309199,Daniel,,,False,20.6722,-103.3574,2.0,1.0,1.0,2.0,False,"Air conditioning,Hot water,Washer,Essentials,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Free street parking,Smoking allowed",,False,4.0,Firm,MXN,0.0,11.0,163,4.86,4.9,4.9,4.6,4.9,4.9,4.9,731.0,14234.0,22.0,434.4,0.088,0.0,2.0,39.0,0.0,0.0,32,0,333,365,373.0,7254.0,22.5,436.8,0.178,0.0,4.1,80.6,0.0,0.0,16,0,74,90,Guadalajara,Mexico,MX,Latin America
