listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
6302539,Best Location in the city,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-6302539/original/6a7701f4-c15e-47ff-a49f-12f09af7c89e.jpeg,29,32776435,Monsy,,,True,14.6012,-90.511,,,1,0.0,False,"Air conditioning,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Piano,Children’s books and toys,Board games,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Private entrance,Backyard,Outdoor furniture,Free street parking,Paid parking off premises,Paid parking on premises,Single level home,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,1.0,Flexible,GTQ,0.0,0.0,197,4.99,5.0,5.0,5.0,5.0,5.0,5.0,5199.0,40020.0,31.6,243.2,0.449,0.0,14.2,109.6,0.0,0.0,164,0,201,365,1115.0,8559.0,30.9,237.5,0.4,0.0,12.4,95.1,0.0,0.0,36,0,54,90,Guatemala City,Guatemala,GT,Latin America
6991436,Jackie,Private room in condo,private_room,https://a0.muscache.com/im/pictures/05cdc115-5237-4fb1-b5b7-ef7eefe09833.jpg,10,36636734,César,36653577,César,False,14.6471,-90.5079,,,1,0.0,False,"Wifi,Cleaning products,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Safe,Clothing storage,Ethernet connection,Books and reading material,Board games,Outdoor playground,Portable fans,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Bread maker,Laundromat nearby,BBQ grill,Bikes,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Moderate,GTQ,0.0,5.0,81,4.84,4.8,5.0,4.7,5.0,4.8,4.9,1751.0,13499.0,15.2,116.7,0.321,0.461,4.8,37.0,6.9,53.1,117,111,248,365,286.0,2194.0,14.6,111.5,0.211,0.559,3.2,24.4,8.4,64.5,19,56,71,90,Guatemala City,Guatemala,GT,Latin America
7038551,"Modern, luxurious appartment, hotel area Z.10",Entire condo,entire_home,https://a0.muscache.com/im/pictures/104208617/b8af83cd_original.jpg,17,36905851,Adilia,,,False,14.5982,-90.5139,2.0,2.0,2,2.0,False,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Hot water,Gym,Elevator,Bed linens,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Washer,Dryer,Exercise equipment,Patio or balcony,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",,,5.0,Strict,GTQ,25.0,,33,4.91,5.0,5.0,4.8,5.0,5.0,4.8,2537.0,19599.0,66.7,513.3,0.096,0.097,6.6,51.1,6.7,51.5,35,3,330,365,0.0,0.0,68.9,529.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Guatemala City,Guatemala,GT,Latin America
8171196,704- Executive Apartment 1 BEDR.,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/6486b220-8e84-47e4-b70d-3ce203f2a9e7.jpg,15,35702969,Dorothee,49547050,Caroline,False,14.5933,-90.5207,4.0,1.0,2,1.0,False,"Wifi,Hair dryer,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Pack ’n play/Travel crib,Portable fans,Exterior security cameras on property,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Toaster,Elevator,Paid parking on premises,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Moderate,GTQ,8.0,0.0,493,4.86,4.9,4.9,4.8,4.9,4.9,4.8,3418.0,26272.0,37.2,286.3,0.244,0.251,8.9,68.8,9.2,70.7,89,10,276,365,988.0,7580.0,37.0,283.9,0.289,0.0,10.4,79.5,0.0,0.0,26,0,64,90,Guatemala City,Guatemala,GT,Latin America
8411542,701-Spacious STUDIO Apt. a Favorite,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/9585d137-e439-42ee-9c82-f67b1dd0fd67.jpg,20,35702969,Dorothee,49547050,Caroline,False,14.5933,-90.5207,3.0,1.0,1,1.0,False,"Wifi,Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Clothing storage,TV,Books and reading material,Pack ’n play/Travel crib,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Wine glasses,Rice maker,Patio or balcony,Elevator,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Firm,GTQ,8.0,0.0,559,4.82,4.9,4.9,4.9,4.9,4.9,4.8,3320.0,25516.0,37.0,284.2,0.241,0.261,8.7,66.7,9.4,72.3,88,28,277,365,1356.0,10408.0,37.5,287.7,0.422,0.0,14.8,113.6,0.0,0.0,38,0,52,90,Guatemala City,Guatemala,GT,Latin America
10695430,Casa Benavente (Room 1),Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-10695430/original/a4e310c5-423a-48a8-91fe-3d3a7b52e93f.jpeg,28,2811268,Cozy,,,False,14.5937,-90.5573,4.0,1.0,2,1.5,False,"Shampoo,Washer,Essentials,Hangers,Bed linens,Iron,TV,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Patio or balcony,BBQ grill,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Moderate,GTQ,0.0,10.0,108,4.5,4.7,4.8,4.8,4.7,4.8,4.7,3241.0,24918.0,15.9,122.2,0.559,0.646,8.9,68.3,10.3,78.9,204,49,161,365,391.0,3001.0,15.9,122.2,0.278,0.61,4.3,33.3,9.5,73.2,25,49,65,90,Guatemala City,Guatemala,GT,Latin America
10825146,Modern and convenient apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-10825146/original/ccbb4147-f69c-4cfc-b169-4e9bc5700be4.jpeg,51,295473380,Jafet,47287455,Inmobiliaria San Pancho,False,14.5974,-90.5156,4.0,2.0,2,2.0,False,"Wifi,Elevator,Hair dryer,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,TV,Crib,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Coffee maker,Blender,Dining table,Patio or balcony,Backyard,Outdoor dining area,Elevator,Paid parking off premises,Paid parking on premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Moderate,GTQ,0.0,0.0,368,4.69,4.8,4.8,4.7,4.8,4.9,4.7,3061.0,23526.0,79.3,609.6,0.107,0.0,8.4,64.5,0.0,0.0,39,0,326,365,936.0,7184.0,77.8,597.5,0.133,0.0,10.4,79.8,0.0,0.0,12,0,78,90,Guatemala City,Guatemala,GT,Latin America
10962952,702-Elegant SUITE ONE BEDROOM Apt.,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/98c10364-8e9a-4c94-8051-5b18d2a55f7e.jpg,20,35702969,Dorothee,49547050,Caroline,False,14.5933,-90.5207,4.0,1.0,1,1.0,False,"Wifi,Hair dryer,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Clothing storage,Ethernet connection,TV,Books and reading material,Pack ’n play/Travel crib,Portable fans,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Elevator,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Firm,GTQ,8.0,0.0,354,4.82,4.9,4.9,4.8,4.8,4.9,4.8,723.0,5566.0,41.0,315.4,0.047,0.051,1.9,14.4,2.0,15.7,17,30,348,365,137.0,1050.0,40.0,307.3,0.033,0.05,1.4,11.0,2.2,16.5,3,30,87,90,Guatemala City,Guatemala,GT,Latin America
11275127,Nice Studio Apartment  with garden,Private room in guest suite,private_room,https://a0.muscache.com/im/pictures/c9ce17a9-cce6-46ad-8b39-d87d00236dd4.jpg,22,60536166,Jennifer,12973761,Francisco,True,14.6124,-90.5033,2.0,1.0,1,1.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Essentials,Hangers,Bed linens,Iron,Clothing storage,TV,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Microwave,Dishes and silverware,Mini fridge,Coffee maker,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,GTQ,0.0,0.0,157,4.94,4.9,4.9,4.9,4.9,4.8,4.9,2382.0,18338.0,23.8,183.2,0.263,0.294,6.5,50.2,7.3,56.3,96,39,269,365,251.0,1925.0,20.7,159.1,0.133,0.0,2.8,21.4,0.0,0.0,12,0,78,90,Guatemala City,Guatemala,GT,Latin America
11293514,CASA BENAVENTE (Room#2),Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-11293514/original/0964d0e1-001a-4549-a00c-be0fb0ced642.jpeg,30,2811268,Cozy,,,False,14.5924,-90.5559,2.0,1.0,1,2.5,False,"Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,TV,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Patio or balcony,BBQ grill,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Flexible,GTQ,0.0,5.0,179,4.67,4.8,4.8,4.8,4.8,4.7,4.7,2001.0,15380.0,15.5,119.5,0.348,0.492,5.5,42.1,7.8,59.6,127,107,238,365,292.0,2241.0,15.4,118.4,0.211,0.487,3.2,24.9,7.5,57.5,19,51,71,90,Guatemala City,Guatemala,GT,Latin America
