listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
5635597,Suite Havana(120m2)Modern and Fancy in Old Havana,Entire home,entire_home,https://a0.muscache.com/im/pictures/0ada7f80-be7f-4a7e-a18d-6db23a1904c7.jpg,59.0,9520229,Leandis,,,True,23.1387,-82.3502,6.0,2.0,4,1.0,False,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Pets allowed,Conditioner,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Blender,Window guards,Crib,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Shower gel,Patio or balcony,Backyard,Beach essentials,Long term stays allowed,Dining table,Toaster",,False,1.0,Firm,CUP,46,0.0,111,4.95,5.0,4.9,5.0,4.9,4.9,4.9,6878,182275,197.5,5234.7,0.079,0.09,18.0,476.0,20.4,541.3,29,44,336,365,692,18339,196.5,5208.7,0.033,0.054,7.2,190.2,11.5,305.7,3,34,87,90,Havana,Cuba,CU,Latin America
5664734,Beautiful quiet apartment with full privacy,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/70503000/ec89fc72_original.jpg,56.0,12543857,Estrella,,,True,23.1045,-82.4451,3.0,1.0,1,1.0,False,"TV,Air conditioning,Crib,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Pets allowed,Hot water,Free street parking,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Washer,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron,Dedicated workspace,Baby bath",,False,1.0,Flexible,CUP,11,0.0,13,4.46,4.8,4.8,4.8,4.9,4.3,4.4,380,10074,31.0,821.0,0.033,0.0,1.0,26.8,0.0,0.0,12,0,353,365,0,0,30.1,799.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Havana,Cuba,CU,Latin America
5678656,Colonial House / Apartment/ La Habana,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2133c0be-0abc-471e-bf54-fdf145109b6d.jpg,13.0,29442462,Alicia,,,True,23.1194,-82.429,2.0,1.0,1,1.0,False,"Hair dryer,Body soap,Bidet,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Books and reading material,Window guards,Air conditioning,Ceiling fan,Portable fans,Wifi,Pocket wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Coffee maker,Wine glasses,Barbecue utensils,Dining table,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Flexible,CUP,0,20.0,53,4.79,4.8,4.8,4.9,4.8,4.7,4.8,2323,61574,41.7,1104.2,0.151,0.169,6.4,168.7,7.1,188.9,55,39,310,365,270,7157,38.8,1028.2,0.078,0.137,3.0,79.5,5.3,140.3,7,39,83,90,Havana,Cuba,CU,Latin America
5678664,"Colonial House - Efficiency, La Habana",Casa particular,entire_home,https://a0.muscache.com/im/pictures/5afbf4f5-a50c-4293-a495-e201d7ab08ed.jpg,11.0,29442462,Alicia,,,True,23.1194,-82.429,2.0,1.0,1,1.0,False,"Hair dryer,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Window guards,Air conditioning,Portable fans,Wifi,Pocket wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Coffee maker,Wine glasses,Barbecue utensils,Dining table,Private entrance,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Flexible,CUP,0,0.0,71,4.83,4.9,4.9,4.9,4.9,4.7,4.8,4419,117135,30.3,804.3,0.405,0.658,12.1,320.9,19.6,520.6,148,140,217,365,2701,71597,30.0,795.5,1.0,0.0,30.0,795.5,0.0,0.0,90,0,0,90,Havana,Cuba,CU,Latin America
5695451,"Casa Allegro Havana, Studio 2 with one bedroom",Casa particular,entire_home,https://a0.muscache.com/im/pictures/685514d1-9b19-40e4-81d9-73a90175939b.jpg,27.0,29527473,Casa Allegro Havana,,,True,23.1381,-82.3512,2.0,1.0,1,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Smoking allowed,Hot water,Bed linens,Extra pillows and blankets,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Smoke alarm,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area",False,False,3.0,Moderate,CUP,25,0.0,189,4.73,4.9,4.9,4.7,4.8,4.9,4.7,1220,32343,37.7,999.2,0.09,0.0,3.1,81.3,0.0,0.0,33,0,332,365,519,13759,30.6,811.7,0.167,0.0,5.2,138.1,0.0,0.0,15,0,75,90,Havana,Cuba,CU,Latin America
5704248,La Rosa de Ortega/Extra Superior,Room in hostel,hotel_room,,,29150200,,,,False,23.0908,-82.3718,2.0,1.0,1,1.0,False,"TV,Dryer,Wifi,Air conditioning,Pool,Crib,Luggage dropoff allowed,Essentials,Free parking on premises,Hangers,Hair dryer,Hot water,Iron,Gym,Extra pillows and blankets,Free street parking",,False,1.0,Flexible,CUP,0,0.0,148,4.93,4.9,4.9,5.0,4.9,4.5,4.9,3207,84996,84.0,2226.9,0.101,0.0,8.8,232.9,0.0,0.0,37,0,328,365,0,0,79.8,2116.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Havana,Cuba,CU,Latin America
5704281,La Rosa de Ortega / Family Suite,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/72869821/96d6e5e0_original.jpg,76.0,29150200,Silvio Oscar,,,False,23.0907,-82.3718,,2.0,2,0.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Extra pillows and blankets,Iron,TV,Crib,Air conditioning,Wifi,Refrigerator,Private entrance,Backyard,Free parking on premises,Free street parking,Pool,Gym,Luggage dropoff allowed",,False,1.0,Flexible,CUP,0,0.0,60,4.97,4.9,5.0,5.0,5.0,4.5,4.9,6105,161792,150.7,3993.5,0.101,0.0,16.7,443.3,0.0,0.0,37,0,328,365,0,0,130.8,3467.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Havana,Cuba,CU,Latin America
5712685,Casa Tamara & Chen - A Gem in Habana Vieja,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/c70220ce-06ee-4bfb-b913-cc5e94346144.jpg,26.0,29038375,Tamara,,,True,23.1396,-82.3553,4.0,2.0,3,2.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Crib,Babysitter recommendations,Air conditioning,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Private entrance,Backyard,Beach essentials,Free parking on premises,Free street parking,Paid parking off premises,Single level home,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Flexible,CUP,0,0.0,169,4.99,5.0,5.0,5.0,5.0,5.0,5.0,8965,237604,74.5,1975.4,0.359,0.435,24.6,651.0,29.8,789.4,131,64,234,365,783,20753,94.9,2515.4,0.1,0.18,8.7,230.6,15.7,415.1,9,40,81,90,Havana,Cuba,CU,Latin America
5717762,"Luxury Miramar (Generator , WiFi, jacuzzi, pool",Casa particular,entire_home,https://a0.muscache.com/im/pictures/7909e6aa-f1bd-4c75-8744-e794872fd8ec.jpg,90.0,1481763,R-Dream Travel,,,True,23.1315,-82.4124,16.0,7.0,9,6.0,False,"TV,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Ping pong table,Crib,Children’s books and toys,Children's playroom,Outdoor playground,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Free parking on premises,Free street parking,Pool,Hot tub,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Firm,CUP,0,0.0,181,4.9,4.9,4.9,4.9,4.8,4.8,4.8,107599,2851405,869.0,23028.7,0.337,0.34,294.8,7812.1,297.2,7876.8,123,3,242,365,27176,720176,828.0,21943.5,0.367,0.0,302.0,8002.0,0.0,0.0,33,0,57,90,Havana,Cuba,CU,Latin America
5766493,"Colonial House - Studio, Havana.",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/dc5d8e5a-b136-42c1-95a5-18d8ee1eb339.jpg,11.0,29442462,Alicia,,,True,23.1194,-82.429,2.0,1.0,1,1.0,False,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Books and reading material,Smoking allowed,Ceiling fan,Hot water,Body soap,Bed linens,Extra pillows and blankets,Free street parking,Pocket wifi,Outdoor furniture,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,BBQ grill,Patio or balcony,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Barbecue utensils,Freezer",False,False,3.0,Flexible,CUP,0,0.0,22,4.77,4.9,4.8,4.9,4.9,4.5,4.7,571,15133,40.4,1072.1,0.038,0.043,1.6,41.5,1.8,46.4,14,39,351,365,0,0,39.9,1058.7,0.0,0.0,0.0,0.0,0.0,0.0,0,22,90,90,Havana,Cuba,CU,Latin America
5771562,"Luxury Riviera, 2 jacuzzi, solar panel, pool",Entire villa,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-5771562/original/8d6b52ac-de83-43e8-a89e-93b81a3e8bf9.jpeg,156.0,1481763,R-Dream Travel,,,True,23.1339,-82.4115,16.0,7.0,14,6.5,False,"TV,Wifi,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Outdoor shower,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Game console,Exercise equipment,Crib,Children’s books and toys,Baby bath,Changing table,Window guards,Table corner guards,Babysitter recommendations,Air conditioning,Heating,Exterior security cameras on property,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Beach access,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Free parking on premises,Free street parking,Pool,Hot tub,Gym,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Firm,CUP,0,0.0,239,4.64,4.6,4.8,4.8,4.7,4.7,4.6,158767,4207377,849.6,22513.4,0.507,0.0,435.0,11527.1,0.0,0.0,185,0,180,365,25923,686972,753.6,19969.8,0.389,0.0,288.0,7633.0,0.0,0.0,35,0,55,90,Havana,Cuba,CU,Latin America
5812019,"Charming room,breakfast,power generator,wifi.",Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-5812019/original/516e5e52-9e21-435e-a9c7-e4b5d9e2ab31.jpeg,17.0,23035624,Luca,,,True,23.1339,-82.395,,,1,0.0,False,"TV,Baby safety gates,Blender,Wifi,Air conditioning,Hot water,Breakfast,Mini fridge,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Oven,Washer,BBQ grill,Shower gel,Patio or balcony,First aid kit,Luggage dropoff allowed,Essentials,Safe,Shampoo,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Outdoor dining area",True,,1.0,Moderate,CUP,0,8.0,53,4.85,4.9,4.9,5.0,4.8,4.7,4.7,1225,32468,53.1,1408.1,0.068,0.0,3.4,89.0,0.0,0.0,25,0,340,365,0,0,54.2,1437.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Havana,Cuba,CU,Latin America
5837101,Entire apartment with terrace and view,Casa particular,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTgzNzEwMQ==/original/5fec1356-fbfe-4330-85f3-04c9ac1d1b3b.jpeg,26.0,30234949,Melvis,19914403,Tom,True,23.142,-82.3543,4.0,2.0,3,1.0,False,"TV,Wifi,Kitchen,Smoking allowed,Gym,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,Ethernet connection,Books and reading material,Children’s dinnerware,Air conditioning,Portable fans,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Blender,Rice maker,Dining table,Coffee,Private entrance,Patio or balcony,Beach essentials,Free street parking,Elevator,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Moderate,CUP,0,0.0,677,4.91,4.9,4.9,5.0,4.9,4.9,4.9,18520,490853,63.6,1686.0,0.795,0.0,50.7,1344.8,0.0,0.0,290,0,75,365,4851,128572,62.0,1642.7,0.867,0.0,53.9,1428.6,0.0,0.0,78,0,12,90,Havana,Cuba,CU,Latin America
5872073,ANGLES - My Proud Havana,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2b862ed9-1d32-4fa6-940b-4b6cc04624f6.jpg,41.0,11578636,Idekich,37226591,Karel,True,23.1415,-82.3555,3.0,1.0,2,1.0,False,"Wifi,Hair dryer,Shampoo,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Window guards,Air conditioning,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Patio or balcony,Free street parking,Paid parking off premises,Luggage dropoff allowed",,False,1.0,Moderate,CUP,17,0.0,476,4.82,4.9,4.9,4.8,4.9,4.9,4.8,5303,140567,46.6,1235.9,0.288,0.0,13.3,353.0,0.0,0.0,105,0,260,365,1530,40556,54.1,1434.8,0.3,0.0,16.1,425.6,0.0,0.0,27,0,63,90,Havana,Cuba,CU,Latin America
5881759,YingYang Havana Hostel,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/a916c4ac-5de6-400a-8dda-26a456383d80.jpg,19.0,30543601,Juan,,,False,23.1327,-82.3497,4.0,1.0,3,1.0,False,"TV,Washer,Cable TV,Wifi,Air conditioning,Luggage dropoff allowed,Kitchen,Essentials,Long term stays allowed,Smoking allowed,Cleaning before checkout,Pets allowed,Hangers,Hot water,Iron,Breakfast,Free street parking,Coffee maker,Refrigerator,Cooking basics,Oven",False,,1.0,Moderate,CUP,0,5.0,4,4.5,4.8,5.0,4.2,4.5,4.8,4.5,195,5172,14.3,380.3,0.036,0.057,0.5,14.2,0.9,22.8,13,138,352,365,0,0,12.4,329.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Havana,Cuba,CU,Latin America
