listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
164380,"Cap Cana Luxurious Marina Condo, exclusive beach!",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/34561209/d34bb85a_original.jpg,20,753252,Jonathan,,,False,18.5025,-68.3821,6.0,2.0,3.0,2.5,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Beach access,Patio or balcony,Free parking on premises,Pool,Hot tub,Elevator,Gym,Pets allowed,Long term stays allowed",,False,1.0,Firm,DOP,50.0,0.0,81.0,4.85,4.9,4.8,4.8,4.8,4.9,4.7,53713.0,3233747.0,288.2,17238.2,0.493,0.501,142.8,8601.3,145.2,8745.1,180,6,185,365,11659.0,686936.0,256.7,15123.1,0.456,0.471,124.0,7305.3,128.3,7557.2,41,3,49,90,Higuey,Dominican Republic,DO,Latin America
266349,Luxury beachfront Condo + WIFI + HOUSEKEEPER,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-266349/original/e8c4607c-95b4-4f80-a731-bb353ec5ff10.jpeg,33,1396542,Leah,,,True,18.6847,-68.4159,7.0,3.0,5.0,3.0,False,"Cable TV,Hair dryer,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Pack ’n play/Travel crib,High chair,Air conditioning,Ceiling fan,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Coffee maker,Beach access,Patio or balcony,Backyard,Free parking on premises,Pool,Elevator,Smoking allowed",,False,4.0,Strict,DOP,0.0,0.0,29.0,4.86,5.0,4.9,5.0,4.9,4.8,4.8,39215.0,2363958.0,301.2,18010.8,0.329,0.0,107.4,6476.6,0.0,0.0,120,0,245,365,16763.0,987657.0,368.5,21712.9,0.489,0.0,186.3,10974.0,0.0,0.0,44,0,46,90,Higuey,Dominican Republic,DO,Latin America
780087,BonitoRentals - Incredible 3 Bedroom w Oceanviews,Entire condo,entire_home,https://a0.muscache.com/im/pictures/10924690/b3dfc42a_original.jpg,51,1916080,Ricardo,,,False,18.5041,-68.3804,6.0,3.0,5.0,3.5,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Crib,High chair,Air conditioning,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Free parking on premises,Free street parking,Pool,Elevator,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Firm,DOP,85.0,0.0,50.0,4.36,4.5,4.5,4.3,4.5,4.7,4.4,35173.0,2103876.0,241.7,14495.6,0.37,0.376,90.5,5421.0,92.1,5511.6,135,6,230,365,12733.0,750215.0,232.4,13691.4,0.544,0.0,135.8,8001.9,0.0,0.0,49,0,41,90,Higuey,Dominican Republic,DO,Latin America
881816,Las Piedras Eco-Guesthouse,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/51645617/5c91490c_original.jpg,23,3013932,Lila,,,False,18.6896,-68.4559,,,1.0,0.0,False,"TV,Wifi,Free parking on premises,Books and reading material,Smoking allowed,Pets allowed,Gym,Outdoor furniture,Hammock,Drying rack for clothing,Coffee,Clothing storage,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Baby bath,Children’s books and toys,Blender,Babysitter recommendations,Room-darkening shades,Body soap,Bed linens,Extra pillows and blankets,Coffee maker,Refrigerator,Fire pit,Single level home,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Baking sheet",,False,1.0,Strict,DOP,10.0,0.0,191.0,4.67,4.8,4.7,4.6,4.8,4.3,4.7,730.0,43390.0,38.6,2310.0,0.063,0.0,1.9,112.4,0.0,0.0,23,0,342,365,598.0,35234.0,32.2,1899.1,0.222,0.0,6.3,371.9,0.0,0.0,20,0,70,90,Higuey,Dominican Republic,DO,Latin America
902506,"GREAT OCEANVIEW   SUPER DEAL  ,3bdr/3bath",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/e37ec20c-8510-4f4b-9ab8-484e53c66208.jpg,33,4310125,Roberta,,,True,18.6821,-68.4127,6.0,3.0,4.0,3.0,False,"Cable TV,Elevator,Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,TV,Crib,Pack ’n play/Travel crib,Air conditioning,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Waterfront,Beach access,Patio or balcony,Backyard,Outdoor furniture,BBQ grill,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Strict,DOP,50.0,0.0,168.0,4.78,4.9,4.9,4.8,4.9,4.9,4.8,40310.0,2439498.0,307.0,18367.7,0.342,0.0,107.4,6506.0,0.0,0.0,125,0,240,365,12543.0,739021.0,297.8,17543.4,0.433,0.0,136.6,8047.7,0.0,0.0,39,0,51,90,Higuey,Dominican Republic,DO,Latin America
902550,"SUPER  DEAL,  20 MTS BEACH ACCESS  2b/2,5 b",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/94224bf2-01d5-4bbf-a69a-8b02b59ac492.jpg,25,4310125,Roberta,,,True,18.6821,-68.4126,4.0,2.0,2.0,2.5,False,"TV,Wifi,Air conditioning,Crib,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Room-darkening shades,Ceiling fan,Pets allowed,Hot water,Bed linens,Laundromat nearby,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Single level home,Beach access,Smoke alarm,BBQ grill,Patio or balcony,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron,Dedicated workspace",True,False,1.0,Strict,DOP,45.0,0.0,40.0,4.63,4.7,4.6,4.6,4.7,4.7,4.5,2721.0,166307.0,196.1,11736.9,0.036,0.039,7.2,441.1,7.9,483.5,13,32,352,365,988.0,58212.0,182.7,10765.8,0.056,0.0,10.5,617.3,0.0,0.0,5,0,85,90,Higuey,Dominican Republic,DO,Latin America
1030079,Cosy Beachfront 2 BDR Apartment - G-406,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1030079/original/147b41a4-7990-451a-9682-473ad1c1f6b3.jpeg,19,4281805,Volalto,375523339,Sunfiveparadise,True,18.6838,-68.4142,4.0,2.0,2.0,2.0,False,"Hair dryer,Shampoo,Bidet,Hot water,Essentials,Hangers,Iron,TV,Crib,Air conditioning,Air conditioning,Air conditioning,Air conditioning,Ceiling fan,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Freezer,Coffee maker,Toaster,Blender,Private entrance,Outdoor furniture,Free parking on premises,Pool,Long term stays allowed",,True,2.0,Moderate,DOP,60.0,0.0,159.0,4.75,4.8,4.9,4.8,4.8,4.9,4.8,27428.0,1634271.0,183.0,10961.7,0.381,0.403,72.4,4312.8,76.5,4562.8,139,20,226,365,12200.0,718812.0,197.9,11659.4,0.678,0.0,128.2,7554.7,0.0,0.0,61,0,29,90,Higuey,Dominican Republic,DO,Latin America
1030197,Renovated Beach Apartment with Internet - K104,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1030197/original/a3569e59-c6c2-4dc3-858a-c4f52ed9be80.jpeg,23,4281805,Volalto,375523339,Sunfiveparadise,True,18.6845,-68.4134,4.0,1.0,1.0,2.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Iron,TV,Crib,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Beach access,Patio or balcony,Backyard,Outdoor furniture,BBQ grill,Free parking on premises,Pool,Long term stays allowed",,False,2.0,Moderate,DOP,60.0,0.0,98.0,4.72,4.8,4.8,4.7,4.8,4.9,4.7,19582.0,1189204.0,148.6,8895.1,0.348,0.469,50.4,3064.4,67.8,4127.3,127,94,238,365,1337.0,78773.0,167.5,9869.5,0.1,0.257,13.5,796.7,34.8,2048.7,9,55,81,90,Higuey,Dominican Republic,DO,Latin America
1038152,OceanaMare Beachfront Family Deluxe Condo L201,Entire condo,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1038152/original/6da29911-cc8e-4f44-ac6d-d0a9fdc14369.jpeg,53,4281805,Volalto,375523339,Sunfiveparadise,True,18.6826,-68.4136,8.0,3.0,2.0,3.0,False,"Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Essentials,Hangers,Extra pillows and blankets,Room-darkening shades,Iron,Ethernet connection,Sound system,Crib,Air conditioning,Air conditioning,Air conditioning,Air conditioning,Ceiling fan,Heating,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Oven,Coffee maker,Toaster,Outdoor furniture,Outdoor dining area,Free parking on premises,Long term stays allowed,Cleaning before checkout",,True,2.0,Moderate,DOP,60.0,0.0,78.0,4.78,4.8,4.9,4.7,4.9,4.9,4.8,40819.0,2473285.0,257.8,15469.2,0.403,0.536,108.1,6553.4,143.9,8729.9,147,91,218,365,8113.0,478006.0,300.9,17729.3,0.333,0.508,85.5,5036.2,130.4,7682.4,30,31,60,90,Higuey,Dominican Republic,DO,Latin America
1215580,Apartment B6 El Dorado Village,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/18287838/4d6dbe31_original.jpg,52,6634258,Antonio,,,False,18.6832,-68.4167,4.0,1.0,2.0,1.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Ethernet connection,TV,Crib,Outlet covers,Babysitter recommendations,Air conditioning,Ceiling fan,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Oven,Coffee maker,Baking sheet,Barbecue utensils,Waterfront,Beach access,Lake access,Private entrance,Laundromat nearby,Patio or balcony,Backyard,BBQ grill,Beach essentials,Free parking on premises,Free street parking,Pool,Gym,Single level home,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,2.0,Firm,DOP,46.0,0.0,7.0,4.0,4.4,4.7,3.9,4.3,4.1,4.0,3876.0,238900.0,59.7,3570.6,0.173,0.225,10.1,624.8,13.2,814.5,63,85,302,365,0.0,0.0,59.3,3493.7,0.0,0.0,0.0,0.0,0.0,0.0,0,85,90,90,Higuey,Dominican Republic,DO,Latin America
