listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
877072.0,Best location washer+dryer big apt & great views,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-877072/original/38b40278-f42b-419f-bb84-6d32dfc40bed.jpeg,79,1109569,Carlos,586447685,Jimena Susana,True,-16.5096,-68.1255,5.0,2.0,4,2.0,False,"TV,Cable TV,Blender,Wifi,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Books and reading material,Pets allowed,Hot water,Body soap,Elevator,Bed linens,Extra pillows and blankets,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Clothing storage,Stove,Wine glasses,Washer,Dryer,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Toaster,Bathtub",,False,1.0,Flexible,BOB,10,0.0,587,4.66,4.8,4.8,4.6,4.7,4.9,4.7,1394,9632,41.3,285.4,0.085,0.086,3.7,25.3,3.7,25.5,31,4,334,365,284,1963,36.8,254.4,0.078,0.0,2.8,19.5,0.0,0.0,7,0,83,90,La Paz,Bolivia,BO,Latin America
1220469.0,"Fully independent apartment - Moon Valley, Mallasa",Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-1220469/original/9ccb6952-9ed3-4cc0-968e-07f382fd38fa.jpeg,19,7280576,Ivonne,"69,277,362,850,186,600,000","Maria Jose,Ernesto,Amancaya",False,-16.5683,-68.0894,3.0,1.0,1,1.0,False,"Children’s books and toys,Single level home,Wifi,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Paid parking off premises,Cleaning before checkout,Hot water,Mini fridge,Bed linens,Extra pillows and blankets,Laundromat nearby,Private entrance,Dishes and silverware,Heating,Cooking basics,Paid parking on premises",False,False,2.0,Flexible,BOB,5,10.0,46,4.54,4.7,4.7,4.3,4.7,4.8,4.7,221,1530,11.8,81.4,0.047,0.0,0.6,3.8,0.0,0.0,17,0,348,365,101,699,10.9,75.5,0.089,0.0,1.1,7.4,0.0,0.0,8,0,82,90,La Paz,Bolivia,BO,Latin America
2356314.0,The Green Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/62234128/8f6ed42a_original.jpg,25,9467228,Bernardo,11995184,Sergio,True,-16.5083,-68.1321,5.0,4.0,4,1.0,False,"Bathtub,Hair dryer,Cleaning products,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Board games,Babysitter recommendations,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Free street parking,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Flexible,BOB,15,0.0,317,4.89,4.9,4.9,4.9,4.9,4.9,4.9,10655,73623,42.8,295.9,0.658,0.0,28.1,194.3,0.0,0.0,240,0,125,365,1612,11128,41.4,285.9,0.422,0.0,17.2,119.0,0.0,0.0,38,0,52,90,La Paz,Bolivia,BO,Latin America
3105750.0,Private bathroom + independent access | Near US Embassy,Private room in serviced apartment,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzEwNTc1MA%3D%3D/original/40274d4a-89d3-4de1-b09d-a94eacd1fb99.jpeg,8,15789727,Alcides,,,False,-16.5107,-68.1232,2.0,1.0,1,1.0,False,"Stove,TV,Cable TV,Wifi,Patio or balcony,Fire extinguisher,Essentials,Shampoo,Room-darkening shades,Lock on bedroom door,Hot water,Iron,Body soap,Elevator,Bed linens,Extra pillows and blankets",,False,1.0,Moderate,BOB,5,6.0,90,4.31,4.4,4.5,4.5,4.2,4.7,4.4,835,5765,19.0,131.2,0.118,0.123,2.2,14.8,2.2,15.5,43,16,322,365,197,1359,17.9,123.1,0.111,0.115,2.0,13.9,2.1,14.4,10,3,80,90,La Paz,Bolivia,BO,Latin America
3136159.0,Cozy warm 3BR Duplex Blocks away from White Telefe,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-3136159/original/2d8abfe4-8c18-4ea9-8831-e21c28c4697e.jpeg,25,15923832,K’Acha,,,True,-16.5058,-68.1171,5.0,3.0,3,1.0,False,"Cleaning products,Washer,Essentials,Hangers,Bed linens,Drying rack for clothing,Clothing storage,TV,Books and reading material,Heating,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Baking sheet,Blender,Dining table,Coffee,Private entrance,Long term stays allowed",,False,2.0,Moderate,BOB,10,0.0,135,4.77,4.8,4.8,4.7,4.9,4.6,4.8,1560,10783,23.8,164.8,0.17,0.0,3.9,27.1,0.0,0.0,62,0,303,365,432,2985,22.7,156.6,0.189,0.0,4.2,29.3,0.0,0.0,17,0,73,90,La Paz,Bolivia,BO,Latin America
3248277.0,Comfortable apartment excellent location and view,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-3248277/original/c0035c9f-028c-48a8-9cc1-e7de06e4250d.jpeg,18,16397340,Jaime,19076095,Rodi,True,-16.5132,-68.1224,4.0,2.0,2,2.0,False,"TV,Wifi,Kitchen,Hot water kettle,Hot water,Elevator,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Clothing storage,Washer,Essentials,Long term stays allowed,Safe,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Bathtub",False,,2.0,Firm,BOB,12,0.0,79,4.72,4.8,4.8,4.8,4.9,4.8,4.7,1200,8304,26.5,183.3,0.107,0.0,3.1,21.4,0.0,0.0,39,0,326,365,0,0,24.8,171.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,La Paz,Bolivia,BO,Latin America
3560534.0,Beautiful Apartment For Rent,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/52914852/1f564bad_original.jpg,31,9330101,Jimena,,,True,-16.5115,-68.125,5.0,2.0,3,2.0,False,"Wifi,Hair dryer,Cleaning products,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Safe,Clothing storage,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Baby bath,Children’s dinnerware,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Oven,Coffee maker,Wine glasses,Toaster,Patio or balcony,Free parking on premises,Elevator,Pets allowed,Luggage dropoff allowed",,False,1.0,Moderate,BOB,7,0.0,460,4.9,5.0,5.0,4.9,4.9,4.9,4.9,8798,60770,47.0,324.5,0.496,0.0,23.6,162.9,0.0,0.0,181,0,184,365,1480,10223,45.1,311.4,0.356,0.0,15.9,109.9,0.0,0.0,32,0,58,90,La Paz,Bolivia,BO,Latin America
6327640.0,"Homestay, Sopocachi area",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-6327640/original/5111e3d2-f6bf-47c1-bb90-560f43d6e5f4.jpeg,5,32931965,Ely,,,True,-16.5103,-68.1327,1.0,1.0,1,1.0,False,"Hot water,Essentials,Hangers,Bed linens,Room-darkening shades,Clothing storage,Ethernet connection,First aid kit,Wifi,Dedicated workspace,Kitchen,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Hot water kettle,Private entrance,Laundromat nearby,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Moderate,BOB,0,0.0,60,4.77,4.8,4.9,4.7,4.8,4.6,4.8,2020,13981,12.7,88.0,0.436,0.47,5.5,38.3,6.0,41.4,159,27,206,365,353,2444,13.1,90.5,0.3,0.429,3.9,27.2,5.6,38.8,27,27,63,90,La Paz,Bolivia,BO,Latin America
6675365.0,"A Place in the Sky, Beatifull Appartment like Home",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/ef85c533-d3fa-4211-837e-3418688831a5.jpg,24,28090860,Bern,,,False,-16.5381,-68.0743,2.0,1.0,2,1.0,False,"Wifi,Pets allowed,Bathtub,Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Safe,Clothing storage,TV,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Oven,Dining table,Private entrance,Laundromat nearby,Free street parking,Hot tub,Elevator,Long term stays allowed",,False,1.0,Flexible,BOB,0,0.0,36,4.75,4.8,4.8,4.8,4.7,4.8,4.6,1346,9308,33.2,229.7,0.112,0.0,3.7,25.5,0.0,0.0,41,0,324,365,0,0,32.1,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,La Paz,Bolivia,BO,Latin America
8520479.0,Stay at the tallest building!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/108281717/bf135fd5_original.jpg,23,3976753,Franco,,,False,-16.511,-68.1246,4.0,3.0,3,3.0,False,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Paid parking off premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Single level home,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Private entrance",,False,5.0,Moderate,BOB,0,0.0,60,4.63,4.7,4.9,4.3,4.8,4.9,4.7,1981,13684,52.0,359.5,0.104,0.0,5.4,37.5,0.0,0.0,38,0,327,365,207,1429,43.3,299.2,0.056,0.0,2.3,15.9,0.0,0.0,5,0,85,90,La Paz,Bolivia,BO,Latin America
