listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
5309219,"Apartment in Punta Hermosa, Playa La Isla",Entire condo,entire_home,https://a0.muscache.com/im/pictures/72021571/48a71662_original.jpg,24,216268357,Nicole,21696371,Gerson Antonio,False,-12.3394,-76.8248,8.0,4.0,5.0,3.0,False,"Cable TV,Hair dryer,Hot water,Bed linens,Room-darkening shades,Clothing storage,TV,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Oven,Hot water kettle,Coffee maker,Wine glasses,Blender,Rice maker,Trash compactor,Smoking allowed",,False,,Firm,PEN,60.0,0.0,5,5.0,5.0,4.8,4.8,4.8,5.0,4.8,6652.0,24080.0,152.0,550.2,0.115,0.119,17.6,63.6,18.1,65.6,42,11,323,365,6652.0,24080.0,152.8,553.3,0.467,0.532,71.2,257.9,81.2,293.8,42,11,48,90,Lima,Peru,PE,Latin America
10656955,Oceanview+great location Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/08c5aeea-5530-4ab0-ae6e-9ae1788736d8.jpg,27,47328932,Marga,,,False,-12.1191,-77.0444,3.0,2.0,2.0,2.0,False,"TV,Window guards,Wifi,Waterfront,Kitchen,Room-darkening shades,Hot water,Outdoor shower,Elevator,Bed linens,Extra pillows and blankets,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Washer,Beach access,Patio or balcony,Essentials,Long term stays allowed,Hangers,Iron,Private entrance,Bathtub",False,False,,Moderate,PEN,39.0,10.0,4,5.0,4.8,5.0,4.8,5.0,5.0,5.0,1152.0,4170.0,58.9,214.8,0.049,0.055,2.8,10.3,3.2,11.4,18,37,347,365,0.0,0.0,59.3,214.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Lima,Peru,PE,Latin America
11581826,Amazing Location: 2 beds-2 bath,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-11581826/original/5d31e6d7-1d12-4059-a406-59640880adc1.jpeg,14,61232919,Marco,,,True,-12.1227,-77.0269,4.0,2.0,2.0,2.5,False,"Hair dryer,Hot water,Washer,Dryer,Iron,TV,Portable fans,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Stove,Long term stays allowed",,False,,Moderate,PEN,26.0,0.0,42,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2328.0,8424.0,53.7,194.5,0.12,0.0,6.4,23.0,0.0,0.0,41,0,301,342,2328.0,8424.0,53.4,193.3,0.456,0.0,24.1,87.3,0.0,0.0,41,0,49,90,Lima,Peru,PE,Latin America
21098243,Entire apartment - San Borja,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-21098243/original/dd254379-65c9-4157-a2d8-2768bb4e2345.jpeg,21,152120620,Sara,,,True,-12.0849,-77.0062,2.0,,1.0,1.0,False,"Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Ceiling fan,Fire extinguisher,First aid kit,Wifi,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Baking sheet,Blender,Rice maker,Dining table,Private entrance,Free street parking,Elevator,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,,Firm,PEN,2.0,13.0,15,4.6,4.6,5.0,4.3,4.9,4.7,4.4,1336.0,4839.0,37.3,135.1,0.096,0.0,3.6,13.2,0.0,0.0,35,0,330,365,1336.0,4839.0,37.5,135.8,0.389,0.0,14.7,53.4,0.0,0.0,35,0,55,90,Lima,Peru,PE,Latin America
30798264,"Loft in Miraflores Parking, Pool and Park View",Entire loft,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-30798264/original/768810aa-86c8-41bc-a6df-91d1b718fcfb.png,68,230412141,Giovanni,77794689,Lanna&Tony,False,-12.126,-77.0208,3.0,1.0,2.0,1.0,False,"Wifi,Hair dryer,Hot water,Washer,Dryer,Hangers,Bed linens,Room-darkening shades,Clothing storage,TV,Exercise equipment,Outdoor playground,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Oven,Hot water kettle,Wine glasses,Blender,Rice maker,Waterfront,Beach access,Private entrance,Laundromat nearby,Outdoor dining area,BBQ grill,Free parking on premises,Pool,Gym",,False,,Firm,PEN,0.0,0.0,2,,,,,,,,750.0,2723.0,40.8,148.6,0.049,0.0,2.1,7.5,0.0,0.0,18,0,347,365,0.0,0.0,40.3,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Lima,Peru,PE,Latin America
45078538,Miraflores Efficiency,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/398d3b90-7c09-41cf-8503-01a6364888c7.jpg,14,359881125,Claudia,,,False,-12.1291,-77.016,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Wifi,Kitchen,Cooking basics,Private entrance,Smoking allowed",,False,,Flexible,PEN,0.0,0.0,13,4.69,4.8,4.8,4.7,4.7,4.9,4.8,3900.0,14134.0,28.9,105.4,0.373,0.383,10.7,38.7,11.0,39.8,136,10,229,365,1539.0,5575.0,30.0,108.5,0.567,0.638,17.1,61.9,19.2,69.7,51,10,39,90,Lima,Peru,PE,Latin America
668693174905959201,Beautiful 110m2 appartement,Tiny home,entire_home,https://a0.muscache.com/im/pictures/3b95f1c1-95b8-4010-bde5-9e7c0d903933.jpg,46,468868222,Susy,,,True,-12.1235,-77.0325,2.0,1.0,1.0,1.0,False,"Cleaning products,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Sound system,Books and reading material,Life size games,Portable fans,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Free street parking,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,,Flexible,PEN,89.0,0.0,57,4.81,4.8,5.0,4.8,5.0,4.9,4.9,3702.0,13409.0,72.3,261.7,0.134,0.138,9.7,35.0,9.9,35.9,49,9,316,365,3702.0,13409.0,72.0,260.8,0.544,0.605,39.2,141.8,43.5,157.6,49,9,41,90,Lima,Peru,PE,Latin America
821973056799595884,Accommodation near the San Isidro Financial Center,Private room in serviced apartment,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-821973056799595884/original/c806c88a-17b3-4683-81bd-b39a69787f44.jpeg,8,481393963,Misban,177180555,Maria,False,-12.0873,-77.0341,1.0,1.0,1.0,1.0,False,"Blender,Wifi,Kitchen,Room-darkening shades,Hot water,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Paid parking on premises,Clothing storage,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Long term stays allowed,Lock on bedroom door,Hangers,Dining table,Iron,Dedicated workspace,Outdoor dining area,Freezer",False,False,,Moderate,PEN,0.0,0.0,23,4.48,4.6,4.4,4.6,4.6,4.8,4.6,477.0,1731.0,17.6,64.2,0.077,0.0,1.3,4.7,0.0,0.0,28,0,337,365,0.0,0.0,21.8,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Lima,Peru,PE,Latin America
828162276608378537,a few blocks from Parque el Olivar 808,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-828162276608378537/original/dd117397-5366-460b-baec-388d99007a9c.jpeg,33,500599767,Jose,,,False,-12.0964,-77.032,4.0,2.0,4.0,2.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,Clothing storage,Ethernet connection,TV,Exercise equipment,Pool table,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Baking sheet,Blender,Barbecue utensils,Outdoor dining area,BBQ grill,Pool,Hot tub,Elevator,Paid parking on premises,Pets allowed,Long term stays allowed",,False,,Flexible,PEN,10.0,0.0,16,4.69,4.8,4.6,4.4,4.6,4.9,4.7,5600.0,20274.0,45.5,165.9,0.34,0.0,15.1,54.8,0.0,0.0,124,0,241,365,3398.0,12304.0,45.0,162.8,0.833,0.0,37.2,134.7,0.0,0.0,75,0,15,90,Lima,Peru,PE,Latin America
835752186720338323,Rooms with private bathrooms,Private room in home,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-835752186720338323/original/1245a9cf-a032-4faf-896e-40d87aa792a4.jpeg,35,175067074,Julio,,,False,-12.1295,-76.9713,,2.0,2.0,0.0,False,"TV,Exterior security cameras on property,Wifi,Dedicated workspace,Free parking on premises",,False,,Flexible,PEN,2.0,5.0,2,,,,,,,,193.0,698.0,15.2,55.2,0.038,0.043,0.5,1.8,0.6,2.1,14,42,351,365,0.0,0.0,17.5,63.3,0.0,0.0,0.0,0.0,0.0,0.0,0,42,90,90,Lima,Peru,PE,Latin America
