listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
771351,Apart Hotel Manaus Unit 2525,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/10828448/cbc9c566_original.jpg,39,4068693,Moacir,536930338,Gervasio,False,-3.0892,-60.0271,10.0,4.0,15.0,3.0,False,"TV,Washer,Cable TV,Wifi,Air conditioning,Kitchen,Essentials,Room-darkening shades,Pets allowed,Hangers,Dedicated workspace,Bed linens,Drying rack for clothing,Dishes and silverware,Clothing storage",,False,1.0,Firm,BRL,0,11.0,10,3.4,3.5,4.6,3.7,4.2,4.4,3.3,1530.0,8791.0,25.9,148.7,0.151,0.0,4.2,24.1,0.0,0.0,55,0,310,365,0.0,0.0,23.2,132.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Manaus,Brazil,BR,Latin America
871955,Residential Water Purification,Entire home,entire_home,https://a0.muscache.com/im/pictures/56128428/e60b1e13_original.jpg,38,4598043,Enrico Tempesti,,,False,-3.0554,-59.9813,4.0,1.0,3.0,1.0,False,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Free street parking,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Washer,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Hair dryer",,False,2.0,Moderate,BRL,5,5.0,28,4.54,4.8,4.9,4.4,4.8,4.2,4.7,725.0,4167.0,19.7,113.0,0.09,0.104,1.9,10.8,2.2,12.4,33,47,332,365,182.0,1043.0,20.4,117.0,0.089,0.0,1.9,10.6,0.0,0.0,8,0,82,90,Manaus,Brazil,BR,Latin America
1055278,House nook in Amazon forest,Private room in home,private_room,https://a0.muscache.com/im/pictures/16231999/f7790c85_original.jpg,23,5811273,Maristela,,,False,-3.0846,-60.0179,,,4.0,0.0,False,"Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Children’s books and toys,Air conditioning,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Patio or balcony,Backyard,Free parking on premises,Pets allowed,Smoking allowed",,False,1.0,Flexible,BRL,5,6.0,106,4.8,4.7,4.8,4.6,4.8,4.8,4.7,1978.0,11320.0,17.7,101.8,0.301,0.0,5.3,30.1,0.0,0.0,110,0,255,365,366.0,2096.0,20.9,119.7,0.211,0.0,4.0,22.6,0.0,0.0,19,0,71,90,Manaus,Brazil,BR,Latin America
1542735,Flat no Centro - Cond. Ajuricaba,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/22573649/4d71447b_original.jpg,10,8222558,Mauro,,,True,-3.1371,-60.0231,2.0,1.0,1.0,1.0,False,"Cleaning products,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,Clothing storage,TV,Air conditioning,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Toaster,Blender,Rice maker,Waterfront,Patio or balcony,Elevator,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Firm,BRL,14,0.0,228,4.83,4.8,5.0,4.8,5.0,4.6,4.8,8617.0,49468.0,26.1,149.6,0.808,0.0,21.2,121.5,0.0,0.0,295,0,70,365,2322.0,13303.0,26.7,153.1,0.833,0.0,22.4,128.3,0.0,0.0,75,0,15,90,Manaus,Brazil,BR,Latin America
2240675,Full room in Casa Aprazível,Private room in home,private_room,https://a0.muscache.com/im/pictures/d055fa39-c067-481a-b574-914ab0e72833.jpg,10,5811273,Maristela,,,True,-3.0876,-60.0174,,1.0,,0.0,False,"TV,Washer,Cable TV,Dryer,Wifi,Patio or balcony,Air conditioning,Backyard,Kitchen,Essentials,Free parking on premises,Smoking allowed,Coffee maker,Refrigerator,Dishes and silverware",,False,1.0,Flexible,BRL,5,6.0,42,4.86,4.8,4.9,4.7,4.9,4.9,4.9,820.0,4689.0,14.4,82.5,0.132,0.147,2.2,12.3,2.4,13.8,48,39,317,365,115.0,659.0,14.3,81.9,0.078,0.0,1.1,6.4,0.0,0.0,7,0,83,90,Manaus,Brazil,BR,Latin America
3503408,Pousada Mauro,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/BnbProperty/BnbProperty-1516536546918578095/original/8adb66ca-6592-48a3-bf12-d037c6dc20ac.jpeg,35,8222558,Mauro,,,True,-3.104,-60.0177,,,,,False,"TV,Wifi,Air conditioning,Bed linens,Pool,Fire extinguisher,Essentials,Lock on bedroom door,Hot water",,False,5.0,Firm,BRL,10,0.0,57,4.86,4.8,5.0,4.7,5.0,5.0,4.9,548.0,3138.0,33.3,190.9,0.044,0.0,1.4,8.3,0.0,0.0,16,0,349,365,0.0,0.0,35.7,204.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Manaus,Brazil,BR,Latin America
5394010,Flat overlooking Rio Negro,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTM5NDAxMA%3D%3D/original/aa48f8a8-8870-4ba8-87d9-20324e8217fe.jpeg,51,27923006,Nádia,,,True,-3.062,-60.1077,4.0,1.0,2.0,1.0,False,"Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,Clothing storage,TV,Air conditioning,Exterior security cameras on property,Smoke alarm,Wifi,Microwave,Dishes and silverware,Mini fridge,Coffee maker,Waterfront,Backyard,Pool,Elevator,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Flexible,BRL,13,0.0,185,4.83,4.9,4.9,4.8,4.9,4.9,4.8,10213.0,58627.0,47.7,273.6,0.553,0.0,26.4,151.7,0.0,0.0,202,0,163,365,2950.0,16895.0,52.6,301.1,0.6,0.0,31.5,180.3,0.0,0.0,54,0,36,90,Manaus,Brazil,BR,Latin America
6527749,Family Apartment with Roof & Amazonas Theatre View,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-6527749/original/7a6c900a-b769-4713-9628-9991b2bc07c2.jpeg,64,9897709,Mounir,,,False,-3.1309,-60.0209,4.0,2.0,5.0,2.0,False,"Wifi,Hair dryer,Body soap,Outdoor shower,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Air conditioning,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Coffee maker,Blender,Dining table,Waterfront,Private entrance,Patio or balcony,BBQ grill,Sun loungers,Free parking on premises,Elevator,Smoking allowed,Long term stays allowed",,False,2.0,Flexible,BRL,21,19.0,87,4.55,4.6,4.8,4.4,4.7,4.9,4.5,3438.0,19720.0,40.4,231.9,0.247,0.0,8.8,50.4,0.0,0.0,90,0,275,365,116.0,664.0,44.5,254.9,0.033,0.0,1.1,6.0,0.0,0.0,3,0,87,90,Manaus,Brazil,BR,Latin America
9177874,Amazonia Home and Jungle  Trips Exp,Private room in guest suite,private_room,https://a0.muscache.com/im/pictures/b2db0aa2-0b6a-4165-a7b6-c64f67ad2380.jpg,86,47758874,Antonio Dutra,,,True,-3.0283,-60.0669,,2.0,8.0,0.0,False,"Bathtub,Hair dryer,Cleaning products,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Air conditioning,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Mini fridge,Freezer,Stove,Oven,Coffee maker,Blender,Coffee,Patio or balcony,Backyard,Hammock,Outdoor dining area,Outdoor kitchen,BBQ grill,Sun loungers,Free parking on premises,Free street parking,Pool,Hot tub,Luggage dropoff allowed,Breakfast,Smoking allowed,Cleaning before checkout",,False,1.0,Moderate,BRL,5,27.0,62,4.85,4.9,4.9,4.9,4.9,4.8,4.8,4631.0,26604.0,39.2,225.2,0.321,0.0,12.5,71.7,0.0,0.0,117,0,248,365,939.0,5378.0,39.8,227.9,0.256,0.0,10.2,58.5,0.0,0.0,23,0,67,90,Manaus,Brazil,BR,Latin America
9605410,Amazon Arena and V. Vasques Convention Center,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/7d051022-aee3-485b-971d-3f074c83fe76.jpg,57,49703819,Aline Lauria,,,True,-3.0883,-60.0268,5.0,2.0,4.0,2.0,False,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Portable fans,Gym,Conditioner,Elevator,Trash compactor,Free street parking,Outdoor furniture,Hammock,Cleaning products,Indoor fireplace,Drying rack for clothing,Clothing storage,Wine glasses,Washer,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor kitchen,Blender,Window guards,Room-darkening shades,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Exercise equipment,Patio or balcony,Backyard,Long term stays allowed,Dining table,Baking sheet",,False,2.0,Firm,BRL,27,0.0,65,4.97,5.0,5.0,5.0,5.0,4.9,4.8,5435.0,31154.0,47.6,273.2,0.274,0.346,13.9,79.4,17.5,100.3,100,76,265,365,2131.0,12210.0,51.9,297.1,0.411,0.0,23.1,132.2,0.0,0.0,37,0,53,90,Manaus,Brazil,BR,Latin America
