listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
120360,Apartment in Medellin La Mota,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/1119787/e1bb4a11_original.jpg,34,605844,Vivian,,,False,6.216,-75.5978,4.0,2.0,2.0,1.0,True,"Cleaning products,Hot water,Shower gel,Washer,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Drying rack for clothing,Safe,Clothing storage,TV,Table corner guards,Babysitter recommendations,Portable fans,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Coffee maker,Blender,Rice maker,Dining table,Coffee,Backyard,Free parking on premises,Free street parking,Pool,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,12.0,Flexible,COP,,,42,4.74,4.8,4.9,4.5,4.9,4.7,4.7,1008.0,4191361.0,33.9,141147.8,0.079,0.212,2.8,11483.2,7.4,30593.9,29,228,336,365,0.0,0.0,33.8,140623.7,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Medellin,Colombia,CO,Latin America
276929,Amazing loft El Poblado Medellin,Entire loft,entire_home,https://a0.muscache.com/im/pictures/106375594/a9b5bb0d_original.jpg,28,1420953,Ivan,,,True,6.2106,-75.5578,2.0,1.0,2.0,1.0,True,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,Safe,TV,Portable fans,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Coffee maker,Coffee,Private entrance,Laundromat nearby,Backyard,Free parking on premises,Pool,Hot tub,Sauna,Elevator,Gym,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Strict,COP,29.0,0.0,515,4.77,4.9,4.9,4.8,4.9,4.9,4.8,28056.0,116653312.0,90.4,375806.1,0.805,0.0,72.9,303092.0,0.0,0.0,294,0,71,365,7036.0,29234580.0,89.0,369979.7,0.844,0.0,75.9,315456.8,0.0,0.0,76,0,14,90,Medellin,Colombia,CO,Latin America
662415,Medellin's Best Short Term Rental 301,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/9202663/84e1a909_original.jpg,16,2199611,Catalina,,,True,6.2109,-75.5699,5.0,2.0,3.0,1.0,True,"TV,Cable TV,Blender,Wifi,Air conditioning,Kitchen,Room-darkening shades,Portable fans,Hot water,Body soap,Conditioner,Bed linens,Free street parking,Ethernet connection,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Oven,Clothing storage,Stove,Washer,Dryer,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,Luggage dropoff allowed,Essentials,Long term stays allowed,Safe,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance",,False,2.0,Moderate,COP,25.0,0.0,384,4.76,4.9,4.9,4.8,4.9,4.9,4.8,10435.0,43416912.0,57.8,240156.8,0.471,0.521,26.4,109843.6,29.2,121493.7,172,35,193,365,1212.0,5035860.0,61.3,254747.7,0.189,0.293,11.8,49029.0,18.3,76079.5,17,32,73,90,Medellin,Colombia,CO,Latin America
985695,Beautiful green back garden,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6OTg1Njk1/original/72f9b9ed-1fb9-4d2b-94e4-38aa60c4535a.jpeg,83,2203522,Gloria Helena De La Cruz,,,True,6.2184,-75.5689,4.0,2.0,2.0,2.0,True,"Wifi,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Crib,Window guards,Outdoor playground,Portable fans,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Dining table,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Hammock,Outdoor dining area,Sun loungers,Free parking on premises,Pool,Elevator,Gym,Single level home,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,30.0,Flexible,COP,,,64,4.98,5.0,5.0,4.9,5.0,4.9,4.8,10383.0,43190913.0,39.1,162679.7,0.721,0.907,28.4,118331.3,35.8,148934.2,263,75,102,365,148.0,614940.0,38.4,159552.0,0.044,0.267,1.6,6832.7,9.9,40996.0,4,75,86,90,Medellin,Colombia,CO,Latin America
1330413,Perfect House Even Better Location-,Private room in home,private_room,https://a0.muscache.com/im/pictures/26567049/38feb492_original.jpg,15,7230188,Nataly,598610452,Luisa Fernanda,True,6.2537,-75.59,,,1.0,0.0,True,"Air conditioning,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Exercise equipment,Board games,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Coffee maker,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Free street parking,Gym,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Strict,COP,0.0,5.0,97,4.87,4.9,5.0,4.8,5.0,4.9,4.8,4980.0,20718997.0,25.2,104642.5,0.542,0.604,13.6,56764.4,15.2,63167.7,198,37,167,365,734.0,3049770.0,24.4,101335.8,0.333,0.566,8.2,33886.3,13.8,57542.8,30,37,60,90,Medellin,Colombia,CO,Latin America
1332812,Perfect House Even Better Location1,Private room in home,private_room,https://a0.muscache.com/im/pictures/26564460/662ab7a2_original.jpg,15,7230188,Nataly,598610452,Luisa Fernanda,True,6.2511,-75.59,,,1.0,0.0,True,"Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Exercise equipment,Board games,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Patio or balcony,Backyard,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Free street parking,Gym,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Strict,COP,0.0,5.0,118,4.91,4.9,4.9,4.8,5.0,4.9,4.8,5084.0,21144306.0,24.2,100459.8,0.581,0.0,13.9,57929.6,0.0,0.0,212,0,153,365,1875.0,7790625.0,23.1,95842.0,0.9,0.0,20.8,86562.5,0.0,0.0,81,0,9,90,Medellin,Colombia,CO,Latin America
1336957,Nice Furnished Studio Apartment in the Poblado sector.,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1336957/original/120cd8ad-1979-40d1-909f-b9a48d76b46f.jpeg,23,4010255,Luis Fernando,47433074,Martin,True,6.2082,-75.5599,2.0,1.0,1.0,1.0,True,"Pets allowed,Hair dryer,Cleaning products,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Books and reading material,Portable fans,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Coffee maker,Wine glasses,Blender,Rice maker,Coffee,Patio or balcony,Backyard,Sun loungers,Free parking on premises,Elevator,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Limited,COP,18.0,10.0,82,4.98,4.9,5.0,5.0,5.0,4.9,4.9,11651.0,48451797.0,45.3,188376.7,0.679,0.732,31.0,128851.5,33.4,138733.9,248,26,117,365,2006.0,8334930.0,42.8,177834.0,0.489,0.55,21.3,88455.3,24.0,99512.2,44,10,46,90,Medellin,Colombia,CO,Latin America
1370783,Perfect House Even Better Locationn,Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-1370783/original/045a6382-4414-4f88-b94e-5d90c7528371.jpeg,13,7230188,Nataly,598610452,Luisa Fernanda,True,6.2523,-75.5889,,,1.0,0.0,True,"Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Exercise equipment,Board games,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Free street parking,Gym,Pets allowed",,False,3.0,Strict,COP,0.0,5.0,194,4.87,4.8,4.9,4.8,4.9,4.9,4.8,2086.0,8676058.0,19.7,81843.0,0.293,0.345,5.7,23770.0,6.7,27987.3,107,55,258,365,823.0,3419565.0,19.1,79175.8,0.478,0.0,9.1,37995.2,0.0,0.0,43,0,47,90,Medellin,Colombia,CO,Latin America
1376821,ROOFTOP JACUZZI MEDELLIN APARTMENT,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/85832451/9aea5283_original.jpg,76,3381708,Diego,,,False,6.2493,-75.5863,5.0,2.0,2.0,2.0,True,"Hair dryer,Outdoor shower,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Crib,Pack ’n play/Travel crib,Air conditioning,Portable fans,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Patio or balcony,Outdoor furniture,Outdoor dining area,Sun loungers,Hot tub,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,COP,19.0,0.0,249,4.79,4.8,4.9,4.8,5.0,4.9,4.7,11487.0,47792678.0,92.1,383207.1,0.337,0.362,30.3,126180.5,32.6,135458.5,123,25,242,365,2349.0,9760095.0,98.6,409821.5,0.256,0.354,25.5,105814.0,35.3,146511.7,23,25,67,90,Medellin,Colombia,CO,Latin America
1376870,ROOFTOP HOT TUB WITH VIEW,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/29163615/07d9efee_original.jpg,75,3381708,Diego,,,False,6.2504,-75.5869,5.0,2.0,3.0,2.0,True,"Hair dryer,Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,TV,Crib,Pack ’n play/Travel crib,Air conditioning,Portable fans,Exterior security cameras on property,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Coffee maker,Wine glasses,Toaster,Blender,Barbecue utensils,Dining table,Patio or balcony,Outdoor furniture,Outdoor dining area,BBQ grill,Sun loungers,Hot tub,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,COP,25.0,0.0,409,4.76,4.7,4.9,4.8,4.9,4.8,4.7,21431.0,89108804.0,107.4,446616.9,0.529,0.0,56.1,233319.3,0.0,0.0,193,0,172,365,5070.0,21065850.0,116.3,483088.0,0.467,0.0,53.8,223677.5,0.0,0.0,42,0,48,90,Medellin,Colombia,CO,Latin America
