listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
60805,Enjoy Sunrise Apart Montevideo,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-60805/original/b9ae3919-175e-4d5c-987d-aa296d1927f1.jpeg,38.0,293452,María,,,False,-34.9203,-56.1523,4.0,1.0,2.0,1.0,False,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Kitchen,Room-darkening shades,Hot water kettle,Children’s dinnerware,Smoking allowed,Hot water,Mini fridge,Elevator,Bed linens,Extra pillows and blankets,Ethernet connection,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Beach access,Smoke alarm,Carbon monoxide alarm,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Iron,Dedicated workspace,Freezer,Private entrance,Toaster",,False,3.0,Firm,UYU,50.0,10.0,93.0,4.73,4.8,4.9,4.7,4.9,5.0,4.7,4355.0,183114.0,57.1,2391.6,0.192,0.378,11.1,467.5,21.9,922.3,70,180,295,365,0.0,0.0,57.5,2393.6,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Montevideo,Uruguay,UY,Latin America
99421,"Room with bathroom, student, traveler",Private room in home,private_room,https://a0.muscache.com/im/pictures/21076064/990a3d1d_original.jpg,13.0,502763,Dolores,,,True,-34.8997,-56.1439,,,1.0,0.0,False,"Hot water,Essentials,Bed linens,Extra pillows and blankets,Iron,TV,Portable fans,Heating,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Dishes and silverware,Mini fridge,Stove,Backyard,Free street parking,Long term stays allowed,Cleaning before checkout",,False,5.0,Flexible,UYU,0.0,0.0,44.0,4.23,4.4,4.5,4.0,4.5,4.5,4.3,3534.0,147994.0,22.2,932.1,0.43,0.809,9.7,405.5,18.2,762.9,157,171,208,365,0.0,0.0,20.5,853.7,0.0,0.0,0.0,0.0,0.0,0.0,0,76,90,90,Montevideo,Uruguay,UY,Latin America
279954,Modern Apt Blocks from Best Beach,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/32ea624c-639e-43e5-9f78-bc74a610fb2c.jpg,20.0,1459786,Rossana,,,False,-34.9083,-56.1464,2.0,1.0,1.0,1.0,False,"Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Children’s dinnerware,Air conditioning,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Beach access,Patio or balcony,Elevator,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,7.0,Moderate,UYU,50.0,0.0,16.0,4.8,4.8,4.9,4.9,4.8,5.0,4.8,8953.0,375305.0,53.5,2243.5,0.441,0.454,23.3,976.9,24.0,1004.4,161,10,204,365,4270.0,177722.0,52.1,2167.1,0.867,0.0,45.2,1882.2,0.0,0.0,78,0,12,90,Montevideo,Uruguay,UY,Latin America
361696,Apt with amazing view in the middle of the city,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-361696/original/d1665bd0-dded-4cfc-aeea-a043434f534c.jpeg,16.0,169112,Tali,,,False,-34.8957,-56.1419,3.0,2.0,1.0,2.0,False,"TV,Washer,Dryer,Children’s books and toys,Wifi,Kitchen,Free parking on premises,Room-darkening shades,Hangers,Hair dryer,Hot water,Iron,Dedicated workspace,Conditioner,Elevator,Bed linens,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Clothing storage",False,False,14.0,Flexible,UYU,,,1.0,,,,,,,,3415.0,142384.0,96.8,4055.2,0.099,0.139,9.4,390.1,13.2,549.7,36,106,329,365,0.0,0.0,98.5,4098.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Montevideo,Uruguay,UY,Latin America
761642,CONTEMPORARY STUDIO IN  POCITOS 2,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/11307144/12d1f289_original.jpg,15.0,3675085,Rosanna,,,True,-34.9159,-56.1566,2.0,,1.0,1.0,False,"Hair dryer,Bidet,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Air conditioning,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Beach access,Patio or balcony,Free street parking,Elevator,Gym,Paid parking on premises,Long term stays allowed",,False,2.0,Moderate,UYU,23.0,0.0,284.0,4.78,4.8,4.9,4.7,4.9,4.9,4.7,10033.0,420781.0,49.8,2088.2,0.512,0.522,25.4,1066.3,25.9,1087.2,187,7,178,365,2473.0,102925.0,50.9,2117.1,0.5,0.542,25.2,1047.9,27.3,1136.3,45,7,45,90,Montevideo,Uruguay,UY,Latin America
781642,room 3,Private room in home,private_room,https://a0.muscache.com/im/pictures/d5b23425-7266-41b9-86da-17896526bfd4.jpg,44.0,4122716,Damian Uriarte,,,True,-34.8827,-56.187,,,1.0,0.0,False,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Barbecue utensils,Patio or balcony,Backyard,Free parking on premises,Free street parking,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,7.0,Moderate,UYU,0.0,0.0,131.0,4.83,4.7,4.9,4.6,4.9,4.3,4.7,967.0,41147.0,19.8,829.8,0.137,0.197,2.6,112.7,3.8,162.0,50,111,315,365,300.0,12487.0,20.6,856.0,0.167,0.283,3.3,138.7,5.7,235.6,15,37,75,90,Montevideo,Uruguay,UY,Latin America
785083,Fab Renovated 2BdrmApt104TerrBBQ,Entire loft,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Nzg1MDgz/original/7e098e5d-b6bb-4291-8df2-441c5e85eef3.jpeg,40.0,2024041,Urban,,,False,-34.907,-56.211,4.0,2.0,2.0,2.0,False,"Air conditioning,Kitchen,Hair dryer,Cleaning products,Bidet,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Pack ’n play/Travel crib,Air conditioning,Heating,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Barbecue utensils,Dining table,Private entrance,Patio or balcony,Outdoor furniture,BBQ grill,Paid parking off premises,Long term stays allowed,Cleaning before checkout",,False,3.0,Strict,UYU,35.0,0.0,39.0,4.18,4.4,4.4,4.5,4.5,4.0,3.9,11701.0,491365.0,116.6,4887.4,0.26,0.323,31.2,1310.3,38.7,1626.7,95,71,270,365,2188.0,91064.0,105.9,4406.6,0.211,1.0,23.9,995.6,113.3,4716.2,19,71,71,90,Montevideo,Uruguay,UY,Latin America
800296,Twin Room in Renovated House,Private room,private_room,https://a0.muscache.com/im/pictures/27529790/68f932fe_original.jpg,20.0,4213583,Enrico,,,False,-34.9043,-56.2073,,,2.0,0.0,False,"Washer,Iron,Heating,Wifi,Kitchen,Cooking basics",,False,1.0,Firm,UYU,0.0,0.0,104.0,4.53,4.5,4.8,4.6,4.8,4.5,4.5,597.0,24845.0,36.7,1540.0,0.055,0.062,1.6,68.1,1.8,76.4,20,40,345,365,363.0,15106.0,28.3,1176.4,0.144,0.194,4.0,167.8,5.4,225.5,13,23,77,90,Montevideo,Uruguay,UY,Latin America
822929,Single room in shared apartment,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/960d9ec9-629d-4edc-b7c8-2b27de5b5479.jpg,26.0,4321115,Alfredo,,,True,-34.896,-56.1904,6.0,1.0,1.0,1.0,False,"Blender,Wifi,Kitchen,Room-darkening shades,Hot water kettle,Bikes,Portable fans,Smoking allowed,Hot water,Body soap,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Microwave,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Washer,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Shampoo,Hangers,Iron,Freezer",False,False,2.0,Strict,UYU,0.0,0.0,13.0,4.85,4.9,5.0,4.9,5.0,4.9,4.8,1997.0,84762.0,23.8,998.2,0.222,0.278,5.5,232.2,6.9,291.3,81,74,284,365,145.0,6034.0,23.4,974.2,0.067,0.0,1.6,67.0,0.0,0.0,6,0,84,90,Montevideo,Uruguay,UY,Latin America
853837,National Heritage House,Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-853837/original/018f47c3-a8a2-4fd8-8d87-4833af142180.jpeg,61.0,4458422,Ricardo,,,False,-34.9047,-56.2054,,2.0,3.0,0.0,False,"Cleaning products,Conditioner,Body soap,Bidet,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Mosquito net,Clothing storage,Ethernet connection,TV,Exercise equipment,Books and reading material,Board games,Indoor fireplace,Fire extinguisher,Wifi,Dedicated workspace,Microwave,Dishes and silverware,Mini fridge,Freezer,Oven,Hot water kettle,Coffee maker,Blender,Coffee,Laundromat nearby,Paid parking off premises,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,7.0,Moderate,UYU,0.0,0.0,70.0,4.89,4.9,5.0,4.8,4.9,4.9,4.8,3488.0,146798.0,28.0,1173.3,0.34,0.342,9.6,402.2,9.6,404.4,124,2,241,365,1139.0,47404.0,26.4,1099.2,0.467,0.477,12.7,526.7,12.9,538.7,42,2,48,90,Montevideo,Uruguay,UY,Latin America
