listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
595711,Beach front condo in Caribbean,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-595711/original/4bbdc2a9-2d20-4ecd-a840-e14b35355207.jpeg,18.0,2043556,Christian,,,False,19.8144,-70.7155,6.0,2.0,2,2.0,False,"Cable TV,Hair dryer,Shampoo,Outdoor shower,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Crib,Air conditioning,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Barbecue utensils,Bread maker,Beach access,Private entrance,Resort access,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Pool,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Moderate,DOP,0.0,0.0,18.0,4.61,4.6,4.7,4.5,4.8,4.8,4.4,2166.0,133985.0,161.1,9626.3,0.038,0.133,5.9,367.1,20.6,1276.0,14,260,351,365,0.0,0.0,164.1,9670.8,0.0,0.0,0.0,0.0,0.0,0.0,0,85,90,90,Puerto Plata,Dominican Republic,DO,Latin America
1055453,Tropical Garden Studio by the beach,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/dfd16a89-36f2-4072-81e9-1452e946cdf0.jpg,12.0,5812725,Michael,,,False,19.8129,-70.7122,2.0,1.0,1,1.0,False,"TV,Washer,Cable TV,Wifi,Pool,Kitchen,Essentials,Long term stays allowed,Hangers,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Private entrance,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics",True,False,3.0,Firm,DOP,0.0,0.0,77.0,4.65,4.9,4.8,4.6,4.7,4.8,4.8,907.0,53443.0,44.2,2640.9,0.058,0.075,2.5,146.4,3.2,190.2,21,84,344,365,649.0,38241.0,42.4,2498.4,0.167,0.259,7.2,424.9,11.2,659.3,15,32,75,90,Puerto Plata,Dominican Republic,DO,Latin America
1272454,Tropical Garden AC Studio by the beach,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/40792800/1742340a_original.jpg,13.0,5812725,Michael,,,False,19.8125,-70.7121,2.0,1.0,1,1.0,False,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,TV,Air conditioning,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Coffee maker,Patio or balcony,Free street parking,Pool,Long term stays allowed",,False,3.0,Firm,DOP,0.0,0.0,35.0,4.63,4.7,4.7,4.5,4.7,4.7,4.7,4240.0,255887.0,49.9,2984.2,0.244,0.0,11.6,701.1,0.0,0.0,89,0,276,365,2095.0,123430.0,46.6,2746.8,0.5,0.0,23.3,1371.4,0.0,0.0,45,0,45,90,Puerto Plata,Dominican Republic,DO,Latin America
1275127,By the beach Apartment in a tropical garden,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/40793333/6646a99a_original.jpg,18.0,5812725,Michael,,,False,19.8129,-70.712,2.0,1.0,1,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Smoke alarm,Patio or balcony,Backyard,Essentials,Hangers,Hair dryer,Private entrance",False,False,2.0,Firm,DOP,0.0,0.0,85.0,4.67,4.8,4.8,4.8,4.7,4.8,4.8,1366.0,81285.0,60.9,3636.6,0.06,0.076,3.7,222.7,4.7,280.3,22,75,343,365,187.0,11018.0,62.1,3661.5,0.033,0.051,2.1,122.4,3.2,186.7,3,31,87,90,Puerto Plata,Dominican Republic,DO,Latin America
2430139,Serviced  apartment on the beach Costambar,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/fbb02849-b22b-4cd7-a214-f874611fff23.jpg,20.0,11960772,Diana,,,False,19.8139,-70.7122,2.0,1.0,1,1.0,False,"Hot water,Essentials,Hangers,Bed linens,TV,Air conditioning,Wifi,Dedicated workspace,Kitchen,Refrigerator,Dishes and silverware,Stove,Coffee maker,Waterfront,Beach access,Patio or balcony,Backyard,Free parking on premises,Free street parking,Pool,Long term stays allowed",,False,1.0,Firm,DOP,0.0,0.0,24.0,4.54,4.6,4.6,4.6,4.8,4.8,4.6,1393.0,85624.0,43.1,2588.8,0.058,0.064,3.8,234.6,4.2,259.5,21,35,344,365,265.0,15614.0,37.8,2224.6,0.078,0.091,2.9,173.5,3.4,202.8,7,13,83,90,Puerto Plata,Dominican Republic,DO,Latin America
2985747,Cozy 1BR • AC • Hot Water • Steps to the Beach,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-2985747/original/eab4c75c-1cb9-4d64-b3ab-c6845396b3de.jpeg,40.0,15225013,CasaBlanca Condo,"590101482,664333457","Maricriss Jimenez,Christopher Wagner",True,19.7725,-70.6522,2.0,1.0,1,1.0,False,"TV,Wifi,Waterfront,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Ceiling fan,Pets allowed,Trash compactor,Laundromat nearby,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Washer,Beach access,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Blender,Window guards,Crib,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Fire pit,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",,False,2.0,Flexible,DOP,0.0,0.0,62.0,4.92,4.9,5.0,4.9,5.0,4.8,4.8,5575.0,336369.0,53.7,3202.7,0.301,0.322,15.3,921.6,16.3,983.5,110,23,255,365,1433.0,84433.0,73.7,4339.8,0.233,0.313,15.9,938.1,21.4,1260.2,21,23,69,90,Puerto Plata,Dominican Republic,DO,Latin America
3257177,Serviced apartment/beach/wifi/AC,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/ceddb942-ec1f-43b2-a350-bdc5b96c215d.jpg,22.0,11960772,Diana,,,False,19.8136,-70.7122,2.0,1.0,1,1.0,False,"Outdoor shower,Hot water,Essentials,Hangers,Bed linens,Clothing storage,TV,Air conditioning,Wifi,Dedicated workspace,Kitchen,Refrigerator,Dishes and silverware,Stove,Oven,Coffee maker,Toaster,Dining table,Waterfront,Beach access,Patio or balcony,Backyard,Outdoor furniture,Sun loungers,Free parking on premises,Free street parking,Pool,Long term stays allowed,Cleaning before checkout",,False,1.0,Firm,DOP,0.0,0.0,23.0,4.7,4.9,4.9,4.7,4.7,4.9,4.7,3274.0,193756.0,44.4,2662.3,0.222,0.242,9.0,530.8,9.8,578.4,81,30,284,365,2344.0,138109.0,41.3,2432.7,0.667,0.0,26.0,1534.5,0.0,0.0,60,0,30,90,Puerto Plata,Dominican Republic,DO,Latin America
4378060,3 BR/3BA apt near beach w/pool *,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/54991854/5ecc98da_original.jpg,35.0,15134626,Luisa,,,False,19.8095,-70.7071,6.0,3.0,2,3.0,False,"Hair dryer,Hot water,Washer,Dryer,Hangers,Iron,TV,Air conditioning,Wifi,Kitchen,Free parking on premises,Pool,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Firm,DOP,25.0,0.0,6.0,4.67,4.3,4.5,4.8,4.5,4.5,4.5,2043.0,120372.0,159.5,9541.1,0.036,0.0,5.5,325.8,0.0,0.0,13,0,352,365,2043.0,120372.0,154.4,9099.0,0.144,0.0,22.4,1321.1,0.0,0.0,13,0,77,90,Puerto Plata,Dominican Republic,DO,Latin America
4548244,Lovely apartment with garden and great ocean view,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/945e429c-3b7b-440a-8fa4-8760d2f97d19.jpg,29.0,23581230,Frans,23589333,M.C,False,19.7796,-70.7526,4.0,2.0,2,2.5,False,"Pets allowed,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Ceiling fan,Portable fans,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Rice maker,Private entrance,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Pool,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Limited,DOP,30.0,0.0,23.0,5.0,5.0,5.0,5.0,4.9,4.8,4.9,2716.0,164567.0,99.0,5923.2,0.071,0.098,7.2,436.3,9.9,603.3,26,101,339,365,99.0,5833.0,95.5,5624.6,0.011,0.036,1.1,64.8,3.5,208.3,1,62,89,90,Puerto Plata,Dominican Republic,DO,Latin America
4818535,1 BR Apt near beach w/pool,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/60433610/4d64243b_original.jpg,14.0,15134626,Luisa,,,False,19.8086,-70.7075,3.0,1.0,1,2.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Air conditioning,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Barbecue utensils,Private entrance,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Pool,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,DOP,30.0,0.0,7.0,4.43,4.4,4.9,4.1,5.0,4.4,4.3,3360.0,211161.0,71.5,4276.7,0.126,0.142,9.1,573.7,10.2,644.3,46,40,319,365,0.0,0.0,71.4,4206.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Puerto Plata,Dominican Republic,DO,Latin America
