listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
79638,Modern Loft in La Mariscal: Hot Tub + Gym,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-79638/original/157938f6-d721-4fb8-b333-cae608e64216.jpeg,52.0,413961,Paul,"8572539,540522755","Patricia,Paul",True,-0.1996,-78.4851,5.0,2.0,3.0,2.0,False,"TV,Cable TV,Wifi,Kitchen,Hot water kettle,Paid parking off premises,Gym,Elevator,Laundromat nearby,Hot tub,Cleaning products,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Bidet,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Sound system,Bathtub,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Stove,Single level home,Exercise equipment,Shower gel,Long term stays allowed,Cleaning before checkout,Dining table,Toaster",False,False,2.0,Firm,USD,40.0,0.0,114,4.73,4.8,4.7,4.7,4.8,4.9,4.7,2003.0,2003.0,51.9,51.9,0.101,0.133,4.7,4.7,6.2,6.2,37,86,328,365,0.0,0.0,52.4,52.4,0.0,0.0,0.0,0.0,0.0,0.0,0,50,90,90,Quito,Ecuador,EC,Latin America
150300,"Clean, private bath, English spoken",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/11190892/11443ee9_original.jpg,26.0,723897,Marcela,,,True,-0.1865,-78.4785,,1.0,,0.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,Books and reading material,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Blender,Dining table,Coffee,Private entrance,Laundromat nearby,Free parking on premises,Elevator,Single level home,Luggage dropoff allowed,Cleaning before checkout",,False,1.0,Moderate,USD,15.0,0.0,141,4.9,4.9,5.0,5.0,5.0,4.9,4.9,2195.0,2195.0,25.4,25.4,0.208,0.0,5.6,5.6,0.0,0.0,76,0,289,365,585.0,585.0,27.1,27.1,0.211,0.0,6.0,6.0,0.0,0.0,19,0,71,90,Quito,Ecuador,EC,Latin America
425766,Beautiful Quito condo best area,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/5194812/6f630b01_original.jpg,15.0,1436233,Leticia,,,False,-0.201,-78.482,2.0,1.0,1.0,1.0,False,"TV,Wifi,Kitchen,Hot water,Elevator,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Dining table,Iron,Dedicated workspace,Toaster,Bathtub",False,False,14.0,Moderate,USD,,,32,4.77,4.8,4.9,4.8,4.7,4.8,4.8,1131.0,1131.0,25.7,25.7,0.118,0.341,3.1,3.1,9.0,9.0,43,239,322,365,511.0,511.0,24.1,24.1,0.233,1.0,5.7,5.7,24.3,24.3,21,69,69,90,Quito,Ecuador,EC,Latin America
1058422,Romantic artist appartment historic center,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/102069125/cbdf55bc_original.jpg,112.0,5828539,Marco,,,True,-0.2156,-78.5125,2.0,1.0,1.0,1.5,False,"Wifi,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Patio or balcony,Backyard,Hot tub,Paid parking off premises,Luggage dropoff allowed",,False,3.0,Moderate,USD,17.0,0.0,354,4.91,4.9,4.9,4.9,5.0,4.8,4.9,8358.0,8358.0,95.9,95.9,0.23,0.0,21.9,21.9,0.0,0.0,84,0,281,365,2006.0,2006.0,95.2,95.2,0.222,0.0,21.3,21.3,0.0,0.0,20,0,70,90,Quito,Ecuador,EC,Latin America
1127827,300 m2 apartment at the best location in Quito,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/16963441/11db0767_original.jpg,65.0,6187241,Esther,,,False,-0.1682,-78.4995,10.0,5.0,8.0,0.0,False,"TV,Wifi,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Gym,Free street parking,Cleaning products,Indoor fireplace,Drying rack for clothing,Coffee,Wine glasses,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,Freezer,Private entrance,Sound system,Bathtub,Children’s books and toys,Blender,Fireplace guards,Crib,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Barbecue utensils,Toaster",False,,2.0,Strict,USD,0.0,0.0,21,4.81,4.9,4.9,4.9,4.9,4.8,4.8,3641.0,3641.0,214.4,214.4,0.047,0.0,10.0,10.0,0.0,0.0,17,0,348,365,1317.0,1317.0,213.3,213.3,0.067,0.0,14.6,14.6,0.0,0.0,6,0,84,90,Quito,Ecuador,EC,Latin America
1212299,Best located bed and breakfast room,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/55c0e8bc-af3d-4b71-8589-7f5f81e607f3.jpg,5.0,5326972,Carolina,,,False,-0.1959,-78.4793,,,1.0,0.0,False,"Washer,Wifi,Kitchen,Essentials,Free parking on premises,Shampoo,Iron,Gym,Elevator",,False,15.0,Firm,USD,0.0,0.0,1,,,,,,,,767.0,767.0,67.3,67.3,0.033,0.0,2.1,2.1,0.0,0.0,12,0,353,365,383.0,383.0,63.0,63.0,0.067,0.0,4.3,4.3,0.0,0.0,6,0,84,90,Quito,Ecuador,EC,Latin America
1924566,Cozy bedroom No.1 - girls only room,Private room in condo,private_room,https://a0.muscache.com/im/pictures/28887684/67750818_original.jpg,6.0,9970319,Maria Antonieta,,,False,-0.1956,-78.4823,,,1.0,0.0,False,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Coffee maker,Dining table,Elevator,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,USD,0.0,0.0,12,5.0,4.9,4.9,5.0,5.0,5.0,4.9,187.0,187.0,12.0,12.0,0.041,0.048,0.5,0.5,0.6,0.6,15,54,350,365,0.0,0.0,10.4,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Quito,Ecuador,EC,Latin America
2075272,ItsHome Apartments - Casa del Parque - 7B,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjA3NTI3Mg%3D%3D/original/b63c389a-9708-4678-99ee-31f56527a146.jpeg,10.0,10413941,Pablo,,,False,-0.2063,-78.4933,4.0,2.0,3.0,2.0,False,"Washer,Dryer,Essentials,TV,Wifi,Kitchen,Cooking basics,Dishes and silverware,Coffee maker,Free parking on premises,Free street parking,Elevator,Pets allowed",,False,1.0,Flexible,USD,20.0,5.0,21,4.76,4.5,4.8,4.8,4.7,4.8,4.7,2567.0,2567.0,49.7,49.7,0.142,0.186,7.0,7.0,9.1,9.1,52,85,313,365,49.0,49.0,54.6,54.6,0.011,0.0,0.5,0.5,0.0,0.0,1,0,89,90,Quito,Ecuador,EC,Latin America
2075358,ItsaHome Apartments - Torre Santos - A2,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/28352123/803e6539_original.jpg,11.0,10413941,Pablo,,,False,-0.1856,-78.5019,5.0,3.0,4.0,2.5,False,"Washer,Dryer,TV,Indoor fireplace,Wifi,Kitchen,Cooking basics,Free street parking",,False,1.0,Flexible,USD,20.0,5.0,34,4.56,4.6,4.7,4.6,4.6,4.9,4.4,2717.0,2717.0,46.6,46.6,0.151,0.0,6.8,6.8,0.0,0.0,55,0,310,365,786.0,786.0,45.8,45.8,0.167,0.0,7.8,7.8,0.0,0.0,15,0,75,90,Quito,Ecuador,EC,Latin America
2137619,Quito Historic Center Loft - Luxury and Safety,Entire loft,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2137619/original/8bf52826-90df-424d-b53c-d623f9425963.jpeg,47.0,10908879,Maria,,,True,-0.2169,-78.5114,6.0,1.0,3.0,1.5,False,"Hair dryer,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Books and reading material,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Coffee,Private entrance,Laundromat nearby,Backyard,Free parking on premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Firm,USD,60.0,15.0,184,4.9,4.9,4.8,4.9,4.9,4.8,4.9,11120.0,11120.0,70.5,70.5,0.373,0.0,26.2,26.2,0.0,0.0,136,0,229,365,2795.0,2795.0,78.3,78.3,0.333,0.0,26.4,26.4,0.0,0.0,30,0,60,90,Quito,Ecuador,EC,Latin America
