listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
133553,Bedroom single,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTMzNTUz/original/d7aec0e3-7e03-4bf6-9567-1227686e84f1.jpeg,1,655751,Antonio,,,False,-8.0626,-34.883,,,1.0,0.0,False,"TV,Wifi,Kitchen,Elevator",,False,1.0,Flexible,BRL,5.0,0.0,6.0,5.0,4.3,4.8,4.3,5.0,5.0,4.3,911.0,5281.0,15.5,88.9,0.153,0.0,2.5,14.3,0.0,0.0,56,0,309,365,42.0,240.0,15.6,89.3,0.033,0.0,0.5,2.7,0.0,0.0,3,0,87,90,Recife,Brazil,BR,Latin America
619373,#Private couple room in Recife - PE2,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/25121825/c77b486b_original.jpg,11,3068610,Zelma,,,False,-8.0272,-34.915,,,1.0,0.0,False,"Washer,TV,Wifi,Kitchen,Refrigerator,Microwave,Coffee maker,Patio or balcony,Pool,Elevator,Gym",,False,1.0,Flexible,BRL,0.0,0.0,81.0,4.88,4.8,4.9,4.9,4.9,4.8,4.8,1080.0,6205.0,29.1,167.1,0.099,0.107,3.0,17.0,3.2,18.5,36,30,329,365,0.0,0.0,31.1,178.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Recife,Brazil,BR,Latin America
624040,#Private couple room in Recife - PE.,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/25121091/9dc5853d_original.jpg,11,3068610,Zelma,,,False,-8.0307,-34.9167,,,1.0,0.0,False,"Washer,TV,Wifi,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Patio or balcony,Pool,Elevator,Gym",,False,1.0,Firm,BRL,0.0,0.0,63.0,4.87,4.8,4.9,4.9,4.9,4.9,4.9,1363.0,7857.0,28.4,163.0,0.129,0.135,3.7,21.5,3.9,22.6,47,18,318,365,227.0,1300.0,29.7,169.9,0.089,0.0,2.5,14.4,0.0,0.0,8,0,82,90,Recife,Brazil,BR,Latin America
764081,Perfect Room / GOOD TRIP / RECIFE!,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/11115876/20933328_original.jpg,33,4018426,Elisabete,,,False,-8.1353,-34.9038,,,1.0,0.0,False,"Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Air conditioning,Wifi,Kitchen,Refrigerator,Elevator",,False,3.0,Flexible,BRL,22.0,8.0,78.0,4.96,5.0,5.0,5.0,5.0,4.9,4.9,534.0,3090.0,35.9,206.2,0.036,0.0,1.3,7.8,0.0,0.0,13,0,352,365,0.0,0.0,43.1,246.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Recife,Brazil,BR,Latin America
807766,Room / Boa Viagem / RECIFE,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/11590120/c670b9e8_original.jpg,31,4018426,Elisabete,,,False,-8.1366,-34.9036,,,1.0,0.0,False,"Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Clothing storage,TV,Air conditioning,Wifi,Kitchen,Dishes and silverware,Elevator",,False,3.0,Flexible,BRL,19.0,8.0,59.0,4.91,5.0,5.0,5.0,4.9,4.8,4.9,527.0,3055.0,33.3,191.4,0.038,0.0,1.3,7.8,0.0,0.0,14,0,351,365,0.0,0.0,41.7,239.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Recife,Brazil,BR,Latin America
851866,Jaqueira Park Home Service,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/24cde8b6-cf03-424b-8181-5c5f778ae182.jpg,28,3727537,Carlos Alberto Arruda,653674031,Cauã,True,-8.0355,-34.8978,5.0,1.0,2.0,1.0,False,"Wifi,Kitchen,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,TV,Exercise equipment,Board games,Air conditioning,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Free parking on premises,Pool,Elevator,Gym,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Strict,BRL,7.0,0.0,163.0,4.75,4.8,5.0,4.6,5.0,4.9,4.7,11634.0,66918.0,38.1,219.3,0.822,0.836,31.0,178.6,31.6,181.6,300,6,65,365,2877.0,16484.0,38.6,221.1,0.789,0.0,30.6,175.6,0.0,0.0,71,0,19,90,Recife,Brazil,BR,Latin America
895738,Wonderful apartment in Boa Viagem Beach,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODk1NzM4/original/e403622e-9fba-49ff-855b-c4b83a013c27.jpeg,26,4773646,André,,,False,-8.1436,-34.9045,6.0,2.0,4.0,2.0,False,"Cable TV,Shampoo,Washer,Essentials,TV,Air conditioning,Wifi,Kitchen,Refrigerator,Beach access,Pool,Elevator",,False,21.0,Firm,BRL,,,14.0,4.43,4.6,4.9,4.6,4.6,4.6,4.4,3744.0,21676.0,53.0,304.2,0.222,0.287,10.3,59.4,13.3,76.9,81,83,284,365,357.0,2045.0,80.5,461.4,0.1,0.214,4.0,22.7,8.5,48.7,9,48,81,90,Recife,Brazil,BR,Latin America
923757,Flat in the best stretch of Boa Viagem Beach,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-923757/original/ec35ae6e-742d-4d0d-a600-b30c5a68fba0.jpeg,48,4843621,Alexandre,,,True,-8.1213,-34.8964,3.0,1.0,2.0,1.0,False,"TV,Air conditioning,Wifi,Kitchen,Free parking on premises,Pool,Elevator,Pets allowed,Smoking allowed",,False,1.0,Moderate,BRL,13.0,0.0,497.0,4.59,4.7,4.9,4.5,4.9,4.9,4.7,13856.0,79506.0,37.0,212.3,0.942,0.0,34.9,200.4,0.0,0.0,344,0,21,365,4083.0,23383.0,43.1,246.7,0.978,0.0,42.2,241.7,0.0,0.0,88,0,2,90,Recife,Brazil,BR,Latin America
928668,Beira Mar Boa Viagem Apartment,Entire condo,entire_home,https://a0.muscache.com/im/pictures/14068716/8962fd49_original.jpg,37,4999416,Reginaldo,,,True,-8.1346,-34.9013,6.0,3.0,4.0,3.0,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Elevator,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Beach access,Patio or balcony,Backyard,Essentials,Long term stays allowed,Hangers,Dining table,Iron,Private entrance,Toaster",,False,1.0,Firm,BRL,38.0,0.0,98.0,4.83,4.8,4.9,4.9,4.9,5.0,4.7,6165.0,35470.0,82.1,471.2,0.184,0.19,15.7,90.6,16.3,94.0,67,13,298,365,2745.0,15732.0,80.8,463.1,0.333,0.39,28.8,165.1,33.7,193.0,30,13,60,90,Recife,Brazil,BR,Latin America
942359,Comfortable Private Suites,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-942359/original/ea9a473d-60d4-4ad3-8b86-a3981fb1cc4b.jpeg,27,5095953,Cosmopolitan Hostel,,,False,-8.0998,-34.8886,2.0,1.0,1.0,1.5,False,"Body soap,Essentials,Bed linens,TV,Air conditioning,Fire extinguisher,Wifi,Kitchen,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Patio or balcony,Backyard,Pool,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Moderate,BRL,0.0,0.0,37.0,4.19,4.1,4.6,4.2,4.5,4.4,4.2,581.0,3325.0,20.8,119.1,0.085,0.0,1.6,9.1,0.0,0.0,31,0,334,365,156.0,891.0,16.9,96.9,0.1,0.0,1.7,9.9,0.0,0.0,9,0,81,90,Recife,Brazil,BR,Latin America
