listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
17878,"Very Nice 2Br in Copacabana w. balcony, fast WiFi",Entire condo,entire_home,https://a0.muscache.com/im/pictures/65320518/30698f38_original.jpg,23,68997,Matthias,,,True,-22.966,-43.1794,5.0,2.0,2.0,1.0,False,"Bathtub,Hair dryer,Hot water,Essentials,Hangers,Bed linens,Iron,TV,Air conditioning,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Private entrance,Patio or balcony,Elevator,Paid parking off premises,Luggage dropoff allowed,Smoking allowed",,False,5.0,Firm,BRL,55.0,0.0,347,4.72,4.8,4.8,4.7,4.9,4.8,4.7,19535.0,112440.0,76.3,439.0,0.633,0.724,49.2,283.0,56.2,323.8,231,46,134,365,2394.0,13715.0,75.6,433.1,0.333,0.682,24.8,141.9,50.7,290.2,30,46,60,90,Rio de Janeiro,Brazil,BR,Latin America
25026,Beautiful Modern Decorated Studio in Copacabana,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/7c08fa4f-1d7b-4505-bf97-3b592ff73f33.jpg,41,102840,Viviane,,,True,-22.9765,-43.1912,3.0,1.0,2.0,1.0,False,"Hair dryer,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Air conditioning,Ceiling fan,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Coffee,Beach access,Laundromat nearby,Hammock,Elevator,Paid parking off premises,Single level home",,False,2.0,Firm,BRL,49.0,0.0,320,4.76,4.8,4.8,4.8,4.9,4.8,4.7,18150.0,104341.0,64.7,371.6,0.734,0.786,46.6,268.2,49.9,287.0,268,24,97,365,4478.0,25663.0,65.8,377.1,0.678,0.718,44.3,253.9,46.9,268.9,61,5,29,90,Rio de Janeiro,Brazil,BR,Latin America
35764,COPACABANA SEA BREEZE  -  RIO - 25  X Superhost,Entire loft,entire_home,https://a0.muscache.com/im/pictures/23782972/1d3e55b0_original.jpg,48,153691,Patricia&Paulo,,,True,-22.9811,-43.1914,2.0,1.0,1.0,1.5,False,"Cable TV,Hair dryer,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Beach access,Elevator,Paid parking off premises,Luggage dropoff allowed",,False,3.0,Firm,BRL,29.0,0.0,539,4.91,4.9,5.0,4.9,5.0,5.0,4.9,11312.0,64808.0,48.7,280.1,0.573,0.843,28.3,162.1,41.6,238.6,209,117,156,365,4785.0,27416.0,51.9,297.6,0.944,0.0,49.0,280.6,0.0,0.0,85,0,5,90,Rio de Janeiro,Brazil,BR,Latin America
48305,Bright 6bed Penthouse Seconds from Beach,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-48305/original/cce14bf9-c5b6-44c6-a89f-61323975afdb.jpeg,29,70933,Goitaca,601323,Laurent,True,-22.9859,-43.203,13.0,6.0,7.0,7.0,False,"TV,Wifi,Air conditioning,Crib,Kitchen,Pack ’n play/Travel crib,Room-darkening shades,Paid parking off premises,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Oven,Stove,BBQ grill,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Private entrance,Baby bath",,False,7.0,Strict,BRL,143.0,0.0,184,4.77,4.7,4.8,4.7,4.8,5.0,4.6,38778.0,223100.0,745.6,4287.7,0.148,0.297,102.3,588.8,205.2,1180.8,54,183,311,365,5332.0,30551.0,866.1,4962.4,0.056,0.263,57.7,330.4,273.1,1564.8,5,71,85,90,Rio de Janeiro,Brazil,BR,Latin America
48901,Extra large 4BD 3BT on the AtlanticAve. Copacabana,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDg5MDE%3D/original/c3a8d839-4a72-42ef-976c-bd24b35ae75f.jpeg,22,222884,Marcio,,,False,-22.9657,-43.1751,9.0,4.0,5.0,2.5,False,"Cable TV,Hair dryer,Hot water,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Clothing storage,TV,Air conditioning,Portable fans,Exterior security cameras on property,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Toaster,Blender,Dining table,Beach access,Elevator,Paid parking off premises,Paid parking on premises,Pets allowed,Smoking allowed,Long term stays allowed",,False,2.0,Strict,BRL,53.0,0.0,59,4.64,4.7,4.9,4.5,4.9,5.0,4.6,47943.0,276105.0,213.4,1227.2,0.567,0.0,126.4,728.1,0.0,0.0,207,0,158,365,13237.0,75843.0,260.1,1490.0,0.533,0.0,140.0,802.2,0.0,0.0,48,0,42,90,Rio de Janeiro,Brazil,BR,Latin America
49179,Djalma Ocean View Studio with Amazing Views,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-49179/original/d1b3bf11-8f71-4b41-a720-2b2c38394fd3.jpeg,34,224192,David,"262684250,554957480","Valdineide,Nicholas",True,-22.9791,-43.1901,2.0,1.0,1.0,1.0,False,"Cable TV,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,Clothing storage,Ethernet connection,TV,Air conditioning,Ceiling fan,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Coffee maker,Beach access,Laundromat nearby,Elevator,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,4.0,Firm,BRL,35.0,0.0,197,4.85,4.9,4.9,4.7,4.9,4.9,4.8,18140.0,104215.0,55.8,320.4,0.83,0.0,46.1,264.6,0.0,0.0,303,0,62,365,5215.0,29888.0,59.1,338.8,0.9,0.0,53.3,305.3,0.0,0.0,81,0,9,90,Rio de Janeiro,Brazil,BR,Latin America
50759,Casanova Residence great for shoots and events,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-50759/original/7cf2906e-d6eb-4def-a022-2a51c522b38a.jpeg,25,233554,Felipe,117157556,Andres,False,-23.0045,-43.3087,16.0,6.0,10.0,7.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Hot water,Breakfast,Elevator,Bed linens,Extra pillows and blankets,Hot tub,Washer,Dryer,Smoke alarm,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron",,False,1.0,Strict,BRL,145.0,0.0,7,4.57,4.9,4.9,4.9,4.6,4.7,4.6,8281.0,48300.0,623.5,3580.7,0.036,0.0,21.9,127.8,0.0,0.0,13,0,352,365,0.0,0.0,637.2,3650.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Rio de Janeiro,Brazil,BR,Latin America
51703,"Ocean view, block of the beach, Copacabana,Ipanema",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/d0295650-2b1e-4f32-830e-a0f6059c2095.jpg,42,238091,Dalia,,,True,-22.9817,-43.1906,2.0,,1.0,1.0,False,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Kitchen,Room-darkening shades,Hot water,Body soap,Conditioner,Elevator,Bed linens,Microwave,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Clothing storage,Stove,Beach access,Beach essentials,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Private entrance,Toaster",,False,1.0,Strict,BRL,26.0,0.0,343,4.79,4.8,4.9,4.8,4.9,4.9,4.7,10128.0,58018.0,53.9,309.7,0.504,0.601,25.5,146.3,30.5,174.5,184,59,181,365,4028.0,23081.0,69.4,397.7,0.667,0.845,40.1,230.0,50.9,291.5,60,19,30,90,Rio de Janeiro,Brazil,BR,Latin America
53533,Walk to Joatinga Beach / Pool / PedraDaGávea Views,Entire home,entire_home,https://a0.muscache.com/im/pictures/95476a43-5eb9-4c45-9a32-1ef3a858c266.jpg,164,249439,Sherri & Andre,,,False,-23.0081,-43.2911,10.0,4.0,6.0,4.0,False,"Pets allowed,Elevator,Hair dryer,Body soap,Outdoor shower,Hot water,Dryer,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Books and reading material,Children’s dinnerware,Board games,Air conditioning,Ceiling fan,Portable fans,Exterior security cameras on property,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Blender,Rice maker,Trash compactor,Barbecue utensils,Dining table,Coffee,Beach access,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Hammock,Outdoor dining area,Outdoor kitchen,Free street parking,Pool,Long term stays allowed,Cleaning before checkout",,False,3.0,Firm,BRL,80.0,0.0,44,4.95,4.9,4.9,5.0,4.9,4.9,4.7,9495.0,54692.0,279.7,1606.1,0.093,0.098,25.4,146.1,26.7,153.7,34,18,331,365,4057.0,23243.0,296.6,1699.6,0.167,0.208,44.2,253.2,55.2,316.5,15,18,75,90,Rio de Janeiro,Brazil,BR,Latin America
64795,Ipanema amazing 3 bedrooms apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/d8cdea3d-ddf3-4e11-88c8-b0e37c08056e.jpg,48,93005,Andrea,"601323,364488567,392083762","Laurent,Victor,OKA Property",False,-22.9817,-43.2028,6.0,3.0,4.0,2.5,False,"Bathtub,Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Books and reading material,Crib,Pack ’n play/Travel crib,Babysitter recommendations,Air conditioning,Ceiling fan,Heating,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Blender,Dining table,Beach access,Lake access,Private entrance,Laundromat nearby,Hammock,Free parking on premises,Hot tub,Elevator,Long term stays allowed",,False,3.0,Strict,BRL,64.0,0.0,123,4.74,4.7,4.9,4.5,4.9,4.9,4.6,41817.0,240471.0,160.9,924.2,0.644,0.0,107.6,618.6,0.0,0.0,235,0,130,365,14757.0,84553.0,203.1,1163.7,0.744,0.0,156.1,894.6,0.0,0.0,67,0,23,90,Rio de Janeiro,Brazil,BR,Latin America
