listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
601532,Duplex in an excellent area of Rosario - Arroyito Río,Entire condo,entire_home,https://a0.muscache.com/im/pictures/f7abf758-02c5-46ca-b83f-1bcf8e862f34.jpg,17,2976674,Cristian,,,False,-32.9131,-60.677,4.0,2.0,4.0,1.5,False,"Hot water,Washer,Dryer,Essentials,Bed linens,Extra pillows and blankets,TV,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Patio or balcony,Free street parking,Paid parking off premises,Paid parking on premises,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Strict,ARS,0.0,0.0,37,4.65,4.8,5.0,4.2,5.0,4.9,4.5,1193.0,1290445.0,44.3,51085.7,0.077,0.088,3.3,3535.5,3.8,4058.0,28,47,337,365,52.0,61402.0,46.2,54500.8,0.011,0.0,0.6,682.2,0.0,0.0,1,0,89,90,Rosario,Argentina,AR,Latin America
604477,"Centrally located house, art, music, and antiques.",Entire home,entire_home,https://a0.muscache.com/im/pictures/9a2866bd-63ab-4457-8ba0-9f449260b456.jpg,39,2992630,Pablo,,,False,-32.9516,-60.6417,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Bed linens,TV,Air conditioning,Heating,Wifi,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Barbecue utensils,Patio or balcony,Backyard,BBQ grill,Pets allowed,Luggage dropoff allowed,Smoking allowed",,False,1.0,Strict,ARS,16.0,20.0,234,4.82,4.9,4.9,4.5,4.9,4.8,4.8,3224.0,3767439.0,26.4,30492.0,0.293,0.0,8.0,9286.5,0.0,0.0,107,0,258,365,608.0,717932.0,24.6,29061.0,0.233,0.0,5.9,6927.4,0.0,0.0,21,0,69,90,Rosario,Argentina,AR,Latin America
2111584,nice neighborhood,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/69242482/ee90852c_original.jpg,15,10765038,Rodol,,,False,-32.9333,-60.6553,2.0,1.0,1.0,1.0,False,"TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Dishes and silverware,Patio or balcony,Backyard,Pets allowed,Smoking allowed",,False,4.0,Moderate,ARS,0.0,0.0,86,4.77,4.9,5.0,4.7,5.0,4.9,4.7,564.0,665971.0,24.0,27620.4,0.063,0.0,1.5,1824.6,0.0,0.0,23,0,342,365,418.0,493574.0,24.3,28745.9,0.189,0.0,4.6,5484.2,0.0,0.0,17,0,73,90,Rosario,Argentina,AR,Latin America
2513181,Art house - Private room & bath,Private room in condo,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-2513181/original/da60c57a-c97b-42be-9101-7c4f8ac20da0.jpeg,52,12864488,Maria Rosa,,,True,-32.9535,-60.6353,,,1.0,0.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Drying rack for clothing,Clothing storage,TV,Ceiling fan,Heating,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Blender",,False,1.0,Moderate,ARS,6.0,0.0,93,4.81,4.9,5.0,4.8,4.9,4.9,4.8,3469.0,3956707.0,16.7,19231.3,0.567,0.0,9.3,10549.1,0.0,0.0,207,0,158,365,590.0,696664.0,13.4,15783.2,0.456,0.0,6.4,7504.5,0.0,0.0,41,0,49,90,Rosario,Argentina,AR,Latin America
4828314,Internal apartment in Rosario,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/b77b32f5-3c4e-452b-8162-8bd45d8ae007.jpg,12,10425901,Sebastian,,,False,-32.9447,-60.6439,5.0,1.0,3.0,1.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Extra pillows and blankets,Iron,TV,Air conditioning,Heating,Exterior security cameras on property,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Paid parking off premises,Paid parking on premises,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,2.0,Firm,ARS,10.0,13.0,78,4.82,4.7,5.0,4.8,4.9,4.9,4.6,298.0,331626.0,29.4,33903.7,0.027,0.0,0.8,843.9,0.0,0.0,10,0,355,365,0.0,0.0,31.5,37142.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Rosario,Argentina,AR,Latin America
8475249,WARM/QUIET/SPACIOUS/LARGE BATHROOM/CLOSE TO EVERYTHING,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/111914334/eb311913_original.jpg,13,44632965,Jose,,,True,-32.9478,-60.64,5.0,,3.0,0.0,False,"Bathtub,Hair dryer,Shampoo,Conditioner,Body soap,Bidet,Hot water,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Crib,Pack ’n play/Travel crib,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Hot water kettle,Coffee maker,Toaster,Blender,Dining table,Elevator,Paid parking off premises,Pets allowed",,False,1.0,Flexible,ARS,5.0,0.0,263,4.82,4.9,4.9,4.8,4.9,4.8,4.8,1456.0,1653307.0,65.4,75054.3,0.06,0.0,3.9,4464.9,0.0,0.0,22,0,343,365,371.0,438080.0,53.6,63278.2,0.078,0.0,4.1,4802.0,0.0,0.0,7,0,83,90,Rosario,Argentina,AR,Latin America
8827661,Big room near bus station (private bathroom),Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-8827661/original/d118ddbe-c71f-42d0-9de0-39984676c750.jpeg,28,46237498,"Silvia, Javier Y Sebastian",,,False,-32.9382,-60.67,,,3.0,0.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Pets allowed,Hot water,Body soap,Breakfast,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Stove,Washer,Shower gel,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Toaster",,False,2.0,Moderate,ARS,3.0,10.0,7,4.14,4.7,4.8,4.3,4.8,4.0,4.5,711.0,805937.0,52.0,59757.4,0.036,0.0,1.9,2159.5,0.0,0.0,13,0,352,365,0.0,0.0,49.6,58581.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Rosario,Argentina,AR,Latin America
9174044,Condominium in the Highlands 3 pool/gym/security and more,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-9174044/original/42f29d18-e406-4fcf-8fca-ebd93f1c153c.jpeg,24,47741881,Fabian,,,True,-32.9259,-60.6659,2.0,1.0,2.0,1.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,TV,Exercise equipment,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Baking sheet,Dining table,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Sun loungers,Free street parking,Pool,Sauna,Elevator,Gym,Paid parking on premises,Long term stays allowed,Cleaning before checkout",,False,3.0,Firm,ARS,16.0,0.0,105,4.88,4.9,5.0,4.9,5.0,4.9,4.8,8452.0,9558906.0,44.0,50485.3,0.482,0.568,22.1,24998.3,26.1,29433.4,176,55,189,365,1097.0,1295348.0,42.7,50394.2,0.256,0.657,11.8,13972.9,30.4,35930.3,23,55,67,90,Rosario,Argentina,AR,Latin America
11410952,Large house with a garden and pool,Entire residential home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-11410952/original/b18f62fe-ef63-4b58-8fba-a2e1ca91c070.jpeg,34,47905744,Ernesto,,,True,-32.9249,-60.7292,11.0,4.0,8.0,3.0,False,"Bathtub,Hair dryer,Cleaning products,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Hangers,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,TV,Sound system,Game console,Books and reading material,Fireplace guards,Board games,Air conditioning,Indoor fireplace,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Backyard,Outdoor furniture,BBQ grill,Sun loungers,Free parking on premises,Free street parking,Pool,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,1.0,Strict,ARS,40.0,0.0,121,4.66,4.7,4.9,4.5,4.8,4.7,4.5,7443.0,8788749.0,214.5,247520.8,0.085,0.0,19.6,23172.9,0.0,0.0,31,0,334,365,3224.0,3806922.0,239.4,282659.1,0.144,0.0,34.9,41249.5,0.0,0.0,13,0,77,90,Rosario,Argentina,AR,Latin America
12049169,"A bright studio apartment, centrally located.",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/426f3724-6d54-4dd2-a29e-d3377cc45e23.jpg,64,42230174,Cristina,,,False,-32.9556,-60.6502,3.0,1.0,4.0,1.0,False,"TV,Baby safety gates,Window guards,Wifi,Air conditioning,Kitchen,Room-darkening shades,Pets allowed,Hot water,Elevator,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,First aid kit,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",,False,2.0,Moderate,ARS,29.0,0.0,101,4.87,4.8,5.0,4.9,5.0,4.9,4.8,3108.0,3522120.0,47.6,55048.1,0.195,0.449,8.1,9180.6,18.8,21208.3,71,207,294,365,0.0,0.0,51.9,61323.3,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Rosario,Argentina,AR,Latin America
