listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
208788,Casa Coronado -Tiny house on the sand in Rosarito.,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/7f4ab56c-ce00-4cca-976e-7ed433c13769.jpg,27,1025946,Lizzie,,,False,32.341,-117.0587,2.0,1.0,1.0,1.0,False,"Cable TV,Shampoo,Hot water,Essentials,Hangers,TV,Heating,Smoke alarm,First aid kit,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Waterfront,Beach access,Patio or balcony,Backyard,Fire pit,Outdoor furniture,BBQ grill,Free parking on premises,Free street parking,Paid parking on premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,1,Firm,MXN,50.0,0.0,380,4.69,4.7,4.8,4.5,4.9,4.8,4.5,8031.0,158648.0,139.3,2742.0,0.142,0.0,19.7,389.4,0.0,0.0,52,0,313,365,636.0,12364.0,139.1,2704.4,0.044,0.0,6.0,115.8,0.0,0.0,4,0,86,90,Rosarito,Mexico,MX,Latin America
678503,Las Olas Mar y Sol,Entire condo,entire_home,https://a0.muscache.com/im/pictures/e889084d-6c24-459d-a806-c1e47b2d13f8.jpg,56,3452525,Wagdy,,,True,32.3934,-117.0858,6.0,2.0,6.0,2.0,False,"TV,Cable TV,Wifi,Waterfront,Pool,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Gym,Resort access,Elevator,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,High chair,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,Single level home,Exercise equipment,Shower gel,Patio or balcony,Beach essentials,Long term stays allowed,Cleaning before checkout,Dining table,Outdoor playground,Sun loungers,Bread maker,Toaster",,False,2,Firm,MXN,0.0,0.0,331,4.76,4.8,4.8,4.7,4.9,4.7,4.8,53363.0,1037320.0,279.5,5517.5,0.54,0.0,146.2,2842.0,0.0,0.0,197,0,168,365,14909.0,289814.0,245.5,4772.7,0.656,0.0,165.7,3220.2,0.0,0.0,59,0,31,90,Rosarito,Mexico,MX,Latin America
830994,Rental in a warm Mexican town 2 beds one bath,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/b8e1a2ea-8b76-4b2e-9ca2-3b6979c87b1f.jpg,22,2677660,Patricia,,,False,32.3506,-117.0565,3.0,1.0,3.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Ceiling fan,Pets allowed,Conditioner,Free street parking,Laundromat nearby,Cleaning products,Heating,Coffee,Clothing storage,Wine glasses,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Rice maker,Blender,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",,False,2,Flexible,MXN,40.0,0.0,74,4.78,4.8,4.9,4.9,4.9,4.7,4.7,4075.0,79214.0,249.9,4921.8,0.041,0.0,10.8,210.6,0.0,0.0,15,0,350,365,0.0,0.0,204.5,3975.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Rosarito,Mexico,MX,Latin America
2829128,Gaviotas comfortable home for family and friends,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2829128/original/74308006-f809-4da3-b96a-c34441cfed5b.jpeg,50,14472304,Max,,,False,32.2543,-116.965,8.0,4.0,6.0,4.0,False,"Cable TV,Wifi,Gym,Bathtub,Hair dryer,Cleaning products,Body soap,Outdoor shower,Hot water,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Safe,TV,Outdoor playground,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Waterfront,Beach access,Resort access,Patio or balcony,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Pool,Hot tub,Cleaning before checkout",,False,2,Strict,MXN,65.0,0.0,72,4.97,5.0,5.0,5.0,5.0,5.0,4.9,28752.0,566984.0,490.6,9676.3,0.151,0.0,75.7,1494.5,0.0,0.0,55,0,310,365,0.0,0.0,465.4,9046.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Rosarito,Mexico,MX,Latin America
2864178,Comfortable House in Gated Beach Community,Entire home,entire_home,https://a0.muscache.com/im/pictures/37082620/d755b24f_original.jpg,20,14639115,Denise,,,True,32.3507,-117.0645,6.0,3.0,3.0,2.0,False,"Stove,TV,Cable TV,Smoke alarm,Wifi,Carbon monoxide alarm,Patio or balcony,Pool,Kitchen,Free parking on premises,Hangers,Hair dryer,Hot water,Iron,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven",,False,2,Strict,MXN,60.0,0.0,140,4.78,4.9,5.0,4.8,4.9,4.9,4.9,17986.0,352295.0,127.8,2517.7,0.351,0.0,44.8,878.9,0.0,0.0,128,0,237,365,1972.0,38333.0,129.1,2509.4,0.144,0.0,19.2,374.1,0.0,0.0,13,0,77,90,Rosarito,Mexico,MX,Latin America
3471648,Oceanfront Home with Private Pool and Hot Tub,Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzQ3MTY0OA%3D%3D/original/22ea481c-b2cd-43ee-b5f2-672ace9ade58.jpeg,35,1335873,Shane,,,True,32.3304,-117.0547,12.0,4.0,10.0,4.0,False,"Cable TV,Pets allowed,Gym,Hair dryer,Cleaning products,Shampoo,Conditioner,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,TV,Sound system,Books and reading material,Children’s books and toys,Board games,Air conditioning,Indoor fireplace,Ceiling fan,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Waterfront,Beach access,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Pool,Hot tub,Single level home,Pets allowed,Long term stays allowed",,False,1,Strict,MXN,150.0,0.0,392,4.83,4.9,4.9,4.9,4.8,4.9,4.7,89538.0,1757898.0,486.9,9569.1,0.463,0.0,226.4,4448.7,0.0,0.0,169,0,196,365,21148.0,411098.0,461.9,8979.1,0.456,0.0,215.0,4179.0,0.0,0.0,41,0,49,90,Rosarito,Mexico,MX,Latin America
4967739,Callado Ranch - Pai Pai Cabin,Entire cabin,entire_home,https://a0.muscache.com/im/pictures/060a6240-6b37-42dd-b70b-7fa1a13fad72.jpg,40,25609769,Ricardo,,,False,32.2836,-116.8652,10.0,2.0,7.0,1.0,False,"Pets allowed,Bathtub,Shampoo,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Clothing storage,Exercise equipment,Children’s books and toys,Children’s dinnerware,Fireplace guards,Indoor fireplace,Fire extinguisher,First aid kit,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Private entrance,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Bikes,Free parking on premises,Paid parking off premises,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,2,Moderate,MXN,94.0,0.0,39,4.87,4.9,4.9,4.6,5.0,4.8,4.8,2962.0,57578.0,281.4,5556.7,0.027,0.0,7.3,142.7,0.0,0.0,10,0,355,365,2659.0,51688.0,237.1,4609.1,0.1,0.0,26.4,513.4,0.0,0.0,9,0,81,90,Rosarito,Mexico,MX,Latin America
5337823,Hacienda Los Arcos,Entire home,entire_home,https://a0.muscache.com/im/pictures/73c8151f-a5ec-4a19-8173-b02eba96a185.jpg,34,19138737,Hector,,,True,32.3348,-117.0517,16.0,4.0,8.0,7.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Bed linens,Extra pillows and blankets,Iron,Ethernet connection,TV,Air conditioning,Indoor fireplace,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Private entrance,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Free street parking,Pool,Hot tub,Single level home,Pets allowed,Luggage dropoff allowed",,False,2,Firm,MXN,100.0,0.0,108,4.9,4.8,5.0,4.9,5.0,5.0,4.8,69587.0,1370089.0,831.8,16415.2,0.216,0.23,184.1,3625.8,195.3,3847.2,79,21,286,365,15985.0,310736.0,737.7,14340.0,0.222,0.0,168.7,3279.8,0.0,0.0,20,0,70,90,Rosarito,Mexico,MX,Latin America
5353932,Amazing Ocean Front House Rosarito,Entire home,entire_home,https://a0.muscache.com/im/pictures/66880284/9f09bfe9_original.jpg,54,1398872,Lourdes,,,False,32.3172,-117.0489,6.0,3.0,4.0,3.0,False,"Hair dryer,Cleaning products,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,TV,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Beach access,Private entrance,Patio or balcony,BBQ grill,Free parking on premises,Pool,Luggage dropoff allowed,Long term stays allowed",,False,2,Firm,MXN,85.0,0.0,457,4.78,4.8,4.9,4.7,4.8,4.9,4.8,34005.0,669198.0,213.7,4209.1,0.397,0.0,86.4,1702.2,0.0,0.0,145,0,220,365,5113.0,99392.0,221.1,4298.0,0.233,0.0,52.1,1012.6,0.0,0.0,21,0,69,90,Rosarito,Mexico,MX,Latin America
5825778,Ocean Front Beach House,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/fddb0c38-197a-4977-819d-4c8b0c55d927.jpg,23,12213295,Beth,,,True,32.3446,-117.0609,2.0,1.0,1.0,1.0,False,"TV,Beach access,Smoke alarm,Wifi,Carbon monoxide alarm,Patio or balcony,Backyard,Kitchen,Essentials,Free parking on premises,Shampoo,Pets allowed,Hot water,Outdoor furniture,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics",,False,1,Strict,MXN,65.0,0.0,732,4.91,4.9,4.9,4.9,4.9,4.9,4.8,6798.0,134216.0,153.8,3028.2,0.096,0.101,16.8,333.1,17.7,349.4,35,17,330,365,297.0,5773.0,146.9,2855.6,0.022,0.027,3.3,64.1,4.1,79.1,2,17,88,90,Rosarito,Mexico,MX,Latin America
