listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
25492,"Cozy studio apartment in Salvador, near Pelourinho",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/15794453/ff3be570_original.jpg,17,25798,Eva,,,True,-12.9697,-38.5077,2.0,1.0,3.0,1.5,False,"Blender,Wifi,Kitchen,Room-darkening shades,Paid parking off premises,Books and reading material,Portable fans,Hot water,Body soap,Bed linens,Extra pillows and blankets,Laundromat nearby,Cleaning products,Refrigerator,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Beach access,Luggage dropoff allowed,Essentials,Long term stays allowed,Cleaning before checkout,Hangers,Dining table,Dedicated workspace,Freezer,Private entrance",,False,2.0,Moderate,BRL,17.0,0.0,128,4.72,4.8,4.9,4.8,4.8,4.8,4.7,3453.0,19960.0,42.9,246.4,0.192,0.203,8.9,51.2,9.4,54.4,70,21,295,365,772.0,4421.0,47.3,271.3,0.144,0.188,7.8,44.8,10.2,58.4,13,21,77,90,Salvador,Brazil,BR,Latin America
32689,Barra- Nice flat close to the beach,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-32689/original/d67cd2fa-5398-4169-ae41-e1b9e73211a8.jpeg,22,141481,Gilberto,,,False,-13.0045,-38.5307,4.0,1.0,1.0,1.0,False,"Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,TV,Air conditioning,Portable fans,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Wine glasses,Baking sheet,Blender,Dining table,Coffee,Beach access,Private entrance,Laundromat nearby,Patio or balcony,Free parking on premises,Free street parking,Pool,Sauna,Elevator,Gym",,False,3.0,Firm,BRL,27.0,0.0,6,4.67,4.5,4.7,4.8,4.8,4.8,4.3,1425.0,8211.0,53.9,309.3,0.06,0.0,3.6,20.8,0.0,0.0,22,0,343,365,1044.0,5982.0,62.5,358.1,0.167,0.0,10.7,61.3,0.0,0.0,15,0,75,90,Salvador,Brazil,BR,Latin America
60245,Penthouse Apartment with Private Roof Terrace,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-60245/original/6d5155fd-89fe-4692-a756-edbe4819b856.jpeg,29,290098,Paul,592772932,Laércio,True,-13.0067,-38.5286,8.0,3.0,4.0,3.0,False,"Outdoor shower,Hot water,Washer,Essentials,Bed linens,TV,Air conditioning,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Patio or balcony,Free street parking,Pets allowed",,False,5.0,Firm,BRL,29.0,0.0,122,4.66,4.7,4.8,4.6,4.9,4.7,4.6,11451.0,66147.0,130.4,748.9,0.227,0.0,30.3,174.9,0.0,0.0,83,0,282,365,3802.0,21784.0,160.2,917.9,0.244,0.0,41.3,236.5,0.0,0.0,22,0,68,90,Salvador,Brazil,BR,Latin America
121731,"Room in house with Family, Centro",Private room in home,private_room,https://a0.muscache.com/im/pictures/16082089/8207a07a_original.jpg,17,611277,Evani Dos Santos,,,True,-12.9798,-38.5178,,,1.0,0.0,False,"Stove,Smoke alarm,Wifi,Carbon monoxide alarm,Fire extinguisher,Kitchen,Essentials,Paid parking off premises,Lock on bedroom door,Hot water,Free street parking,Private entrance,Microwave,Refrigerator,Dishes and silverware",,False,3.0,Firm,BRL,5.0,0.0,231,4.69,4.8,4.9,4.8,4.9,4.4,4.8,202.0,1184.0,18.8,107.9,0.027,0.0,0.5,3.1,0.0,0.0,10,0,355,365,0.0,0.0,19.4,111.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Salvador,Brazil,BR,Latin America
122559,Excellent flat at Barra/Salvador/BA,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/c22ced94-2a9d-4c0a-82db-20181c30b899.jpg,27,614074,Ivana,,,True,-13.0077,-38.5267,3.0,1.0,1.0,1.0,False,"Washer,Essentials,Bed linens,Iron,Clothing storage,TV,Air conditioning,Wifi,Kitchen,Refrigerator,Dishes and silverware,Stove,Blender,Free parking on premises",,False,2.0,Moderate,BRL,16.0,0.0,206,4.65,4.7,4.8,4.7,4.9,4.9,4.7,14138.0,81310.0,42.0,241.5,0.827,0.0,35.2,202.6,0.0,0.0,302,0,63,365,4116.0,23589.0,50.2,287.4,0.833,0.0,42.4,242.7,0.0,0.0,75,0,15,90,Salvador,Brazil,BR,Latin America
132017,Room in great location in Barra!,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/3701e2a6-2ec4-4fb0-998b-12de7bc7172b.jpg,15,648937,Yocione,,,False,-13.0063,-38.526,,,2.0,0.0,False,"Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Children’s books and toys,Portable fans,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Blender,Dining table,Beach access,Laundromat nearby,Free street parking,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Firm,BRL,0.0,13.0,25,4.67,4.7,5.0,4.5,4.7,4.9,4.6,698.0,4049.0,19.5,112.5,0.049,0.052,1.9,11.1,2.0,11.7,18,20,347,365,388.0,2225.0,19.3,110.4,0.111,0.0,4.3,24.7,0.0,0.0,10,0,80,90,Salvador,Brazil,BR,Latin America
134087,Historical Stays in Pelourinho,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTM0MDg3/original/1993ef11-9d7a-4064-9e46-b1ea9c6d8724.jpeg,11,658147,A Casa Dos Mestres,,,False,-12.9754,-38.5111,,,2.0,0.0,False,"Wifi,Patio or balcony,Air conditioning,Fire extinguisher,Long term stays allowed,Paid parking off premises,Lock on bedroom door,Cleaning before checkout,Dining table,Hot water,Dedicated workspace,Bed linens,Drying rack for clothing,Clothing storage",,False,1.0,Refundable,BRL,0.0,6.0,31,4.81,4.8,4.9,4.9,4.9,4.6,4.8,539.0,3138.0,25.3,145.2,0.058,0.062,1.5,8.6,1.6,9.2,21,24,344,365,168.0,963.0,26.7,152.8,0.067,0.091,1.9,10.7,2.5,14.6,6,24,84,90,Salvador,Brazil,BR,Latin America
146846,"Penthouse in Barra, Salvador. Panoramic Seaviews!",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/929123/51f6562a_original.jpg,65,709132,Jon,"453958999,503744426","Rosana,João",True,-13.0098,-38.5303,9.0,3.0,8.0,3.0,False,"TV,Cable TV,Kitchen,Gym,Hair dryer,Cleaning products,Body soap,Outdoor shower,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,Ethernet connection,TV,Sound system,Books and reading material,Air conditioning,Ceiling fan,Exterior security cameras on property,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Blender,Dining table,Coffee,Waterfront,Beach access,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,Sun loungers,Elevator,Paid parking off premises,Luggage dropoff allowed",,False,2.0,Strict,BRL,90.0,0.0,152,4.96,5.0,5.0,4.9,5.0,4.9,4.9,60364.0,348401.0,220.4,1269.8,0.655,0.0,153.3,885.3,0.0,0.0,239,0,126,365,11279.0,64629.0,217.2,1244.5,0.522,0.0,113.3,649.3,0.0,0.0,47,0,43,90,Salvador,Brazil,BR,Latin America
191817,BARRA room with air conditioner and bwc,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/2418349/f744713a_original.jpg,25,928274,Liliana,,,True,-13.0048,-38.5204,,,2.0,0.0,False,"Hair dryer,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Exercise equipment,Air conditioning,Ceiling fan,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Blender,Beach access,Free street parking,Paid parking off premises,Luggage dropoff allowed",,False,1.0,Firm,BRL,7.0,7.0,135,4.91,4.9,5.0,4.9,5.0,4.8,4.8,2719.0,15702.0,33.9,194.5,0.214,0.223,7.2,41.6,7.5,43.4,78,15,287,365,1350.0,7734.0,32.3,185.2,0.444,0.465,14.5,83.3,15.2,87.1,40,4,50,90,Salvador,Brazil,BR,Latin America
224994,Pelourinho studio apt shared rooftop terrace 1,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-224994/original/35e3dfe1-6e43-41ba-b0eb-cfe232f53565.jpeg,24,1171372,David,,,False,-12.9761,-38.5093,2.0,1.0,1.0,1.0,False,"Wifi,Air conditioning,Essentials,Iron,TV,Wifi,Dedicated workspace,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Backyard,Hammock",,False,3.0,Firm,BRL,20.0,0.0,47,4.11,4.5,4.5,4.4,4.6,3.6,4.2,2929.0,17020.0,25.5,146.8,0.296,0.387,7.7,44.7,10.1,58.5,108,86,257,365,60.0,344.0,33.8,193.9,0.011,0.034,0.4,2.5,1.4,7.9,1,61,89,90,Salvador,Brazil,BR,Latin America
