listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
43330,Amazing 2 story Penthouse Rooftop Terrace Jacuzzi,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDMzMzA=/original/c2f0824a-17ce-4b9d-adc1-29963c151652.jpeg,144.0,189131,Nogasa,,,False,23.0518,-109.6969,6.0,3.0,3.0,3.0,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Gym,Resort access,Elevator,Free street parking,Outdoor furniture,Hot tub,Washer,Dryer,Beach access,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Crib,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Exercise equipment,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,MXN,104.0,0.0,8.0,4.38,4.1,4.1,4.5,4.2,4.4,4.1,9215.0,179130.0,617.5,12152.4,0.036,0.078,24.7,479.7,54.3,1054.7,13,199,352,365,8668.0,168497.0,746.5,14510.8,0.133,0.0,94.0,1827.3,0.0,0.0,12,0,78,90,San Jose,Costa Rica,CR,Latin America
269854,3 BD Suite Ocean View near the beach & Art Walk,Room in boutique hotel,private_room,https://a0.muscache.com/im/pictures/24113169/e00f4232_original.jpg,21.0,189131,Nogasa,,,False,23.0506,-109.6964,6.0,3.0,3.0,1.0,False,"TV,Cable TV,Pool,Gym,Bathtub,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Safe,TV,Ping pong table,Mini golf,Crib,Pack ’n play/Travel crib,High chair,Air conditioning,Ceiling fan,Exterior security cameras on property,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Fire pit,BBQ grill,Free parking on premises,Free street parking,Pool,Hot tub,Sauna,Elevator,Gym,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,MXN,87.0,0.0,7.0,4.57,4.1,4.7,4.3,4.6,4.7,4.3,8604.0,175194.0,499.1,9840.8,0.044,0.05,22.9,466.1,26.0,530.0,16,44,349,365,1789.0,34776.0,594.9,11563.7,0.033,0.057,18.9,367.6,32.1,624.2,3,37,87,90,San Jose,Costa Rica,CR,Latin America
269859,Perfect Suite for family with stunning ocean view,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/24199615/c3e96997_original.jpg,21.0,189131,Nogasa,,,False,23.0528,-109.6964,4.0,2.0,2.0,2.0,False,"TV,Cable TV,Ping pong table,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Ceiling fan,Gym,Resort access,Elevator,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Coffee,Clothing storage,Wine glasses,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Outdoor kitchen,Private entrance,Sound system,Bathtub,Blender,Babysitter recommendations,Crib,Room-darkening shades,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Pocket wifi,Microwave,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,BBQ grill,Exercise equipment,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Barbecue utensils,Toaster",,False,2.0,Moderate,MXN,81.0,0.0,21.0,4.71,4.6,4.9,4.6,4.6,4.7,4.7,7203.0,140824.0,379.4,7484.0,0.052,0.057,19.3,377.2,21.1,413.4,19,32,346,365,2487.0,48345.0,412.9,8027.3,0.067,0.0,26.7,519.7,0.0,0.0,6,0,84,90,San Jose,Costa Rica,CR,Latin America
294370,Relaxing Oceanview Condo | Beachfront Paradise,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3076806/65e0f6a5_original.jpg,17.0,1509999,Robert,,,False,23.0305,-109.7149,3.0,1.0,1.0,1.0,False,"TV,Cable TV,Air conditioning,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Ceiling fan,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Coffee maker,Waterfront,Beach access,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Free street parking,Pool,Long term stays allowed",,False,7.0,Strict,MXN,55.0,0.0,39.0,4.82,4.9,4.8,4.6,5.0,4.9,4.8,8933.0,179382.0,118.7,2339.4,0.195,0.281,22.8,459.2,32.9,662.5,71,112,294,365,124.0,2410.0,124.6,2421.2,0.011,0.059,1.4,26.8,7.3,141.8,1,73,89,90,San Jose,Costa Rica,CR,Latin America
358390,Beachfront San Jose del Cabo condo.,Entire condo,entire_home,https://a0.muscache.com/im/pictures/4000016/ab8722c3_original.jpg,49.0,1814209,Nancy,,,False,23.0351,-109.7108,2.0,1.0,1.0,1.0,False,"Cable TV,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Sound system,Books and reading material,Air conditioning,Ceiling fan,Portable fans,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Barbecue utensils,Dining table,Waterfront,Beach access,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Sun loungers,Free parking on premises,Pool",,False,4.0,Firm,MXN,60.0,0.0,79.0,4.91,4.9,5.0,5.0,5.0,4.9,4.9,28405.0,564785.0,160.7,3166.3,0.463,0.515,74.5,1483.5,82.9,1650.8,169,37,196,365,11326.0,220164.0,166.2,3231.4,0.722,0.833,119.8,2329.7,138.3,2688.1,65,12,25,90,San Jose,Costa Rica,CR,Latin America
454805,Beachfront Poolside Condo with Spectacular View,Entire condo,entire_home,https://a0.muscache.com/im/pictures/11665132/a28f8b3e_original.jpg,29.0,11428344,Danielle,1936815,Judy,False,22.9771,-109.7735,4.0,1.0,3.0,1.0,False,"Cable TV,Hair dryer,Shampoo,Conditioner,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Books and reading material,Ceiling fan,Exterior security cameras on property,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Blender,Barbecue utensils,Waterfront,Beach access,Private entrance,Patio or balcony,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Sun loungers,Free parking on premises,Pool,Hot tub,Elevator,Luggage dropoff allowed",,False,3.0,Moderate,MXN,75.0,0.0,64.0,4.95,4.9,4.9,4.9,5.0,4.9,4.9,20672.0,410474.0,169.8,3347.3,0.299,0.344,53.1,1056.7,61.2,1216.7,109,48,256,365,10745.0,208869.0,189.5,3684.1,0.6,0.0,113.6,2207.4,0.0,0.0,54,0,36,90,San Jose,Costa Rica,CR,Latin America
495711,Mykonos Beach Resort - Grd Floor End Unit,Entire condo,entire_home,https://a0.muscache.com/im/pictures/29543926/11e96a53_original.jpg,86.0,2448361,Dennis,,,False,23.0325,-109.7135,4.0,1.0,2.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,Children’s dinnerware,Air conditioning,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Oven,Coffee maker,Wine glasses,Coffee,Waterfront,Beach access,Private entrance,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Pool,Hot tub,Elevator,Gym,Luggage dropoff allowed,Long term stays allowed",,False,4.0,Firm,MXN,75.0,0.0,62.0,4.89,4.8,4.9,4.9,4.9,4.9,4.9,18068.0,366121.0,160.6,3167.8,0.285,0.426,47.0,955.1,70.4,1428.8,104,121,261,365,0.0,0.0,157.0,3051.3,0.0,0.0,0.0,0.0,0.0,0.0,0,70,90,90,San Jose,Costa Rica,CR,Latin America
555701,Casa Helios - Ocean View Palmilla Beach,Entire villa,entire_home,https://a0.muscache.com/im/pictures/7ea44e1d-70de-4416-a5f1-2d79115b54a2.jpg,27.0,2688060,Anandita,,,False,22.9971,-109.7285,10.0,4.0,4.0,4.0,False,"TV,Cable TV,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Clothing storage,TV,Sound system,Babysitter recommendations,Air conditioning,Ceiling fan,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Barbecue utensils,Dining table,Beach access,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Outdoor kitchen,BBQ grill,Beach essentials,Free parking on premises,Free street parking,Pool,Hot tub,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Firm,MXN,200.0,0.0,38.0,4.92,5.0,5.0,4.9,5.0,4.9,4.8,53744.0,1051058.0,715.4,14100.2,0.197,0.324,140.1,2741.1,230.4,4506.8,72,143,293,365,11682.0,227088.0,779.6,15154.3,0.156,0.222,120.9,2350.4,172.7,3357.7,14,27,76,90,San Jose,Costa Rica,CR,Latin America
613431,A Traveler´s place in  San José  Downtown Core!,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-613431/original/ce4859e9-b97d-4f57-b15b-93f94010ef71.jpeg,97.0,3042457,Señor,230526625,Cinthya Adriana,False,23.063,-109.6938,,,1.0,0.0,False,"Hair dryer,Shampoo,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Sound system,Crib,Children’s books and toys,Children’s dinnerware,Window guards,Babysitter recommendations,Air conditioning,Ceiling fan,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Coffee maker,Barbecue utensils,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Hammock,Outdoor dining area,Outdoor kitchen,BBQ grill,Beach essentials,Sun loungers,Free street parking,Paid parking off premises,Single level home,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,1.0,Moderate,MXN,0.0,0.0,92.0,4.34,4.4,4.8,4.3,4.8,4.8,4.3,2428.0,48476.0,53.3,1052.8,0.115,0.115,6.7,132.8,6.7,133.2,42,1,323,365,1063.0,20662.0,54.9,1067.9,0.2,0.202,11.8,229.6,11.9,232.2,18,1,72,90,San Jose,Costa Rica,CR,Latin America
698290,Cabo best deal per night or week!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/bfd04f19-23c4-44ee-a27b-a5edff7b258f.jpg,34.0,3578992,Rubén Eduardo,,,False,23.0489,-109.7076,2.0,1.0,1.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Mosquito net,Clothing storage,TV,Air conditioning,Ceiling fan,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Toaster,Patio or balcony,Outdoor dining area,Sun loungers,Free parking on premises,Free street parking,Pool,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Moderate,MXN,25.0,0.0,237.0,4.77,4.9,4.8,4.7,4.8,4.6,4.9,5763.0,117345.0,81.7,1609.1,0.205,0.481,15.1,308.2,35.3,721.1,75,209,290,365,0.0,0.0,89.6,1742.0,0.0,0.0,0.0,0.0,0.0,0.0,0,83,90,90,San Jose,Costa Rica,CR,Latin America
