listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
154395,"Santiago Las Condes 2D2B Luminous, huge, cozy",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTU0Mzk1/original/fb328364-562d-449e-a0dd-631efec7b4c4.jpeg,62,716143,Eugenio,,,True,-33.414,-70.5823,3.0,2.0,3.0,1.5,False,"Pets allowed,Wifi,Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Crib,Portable fans,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Private entrance,Patio or balcony,Outdoor furniture,Free parking on premises,Elevator,Paid parking off premises,Single level home,Long term stays allowed",,False,5.0,Limited,CLP,0.0,0.0,255.0,4.91,4.9,5.0,4.9,5.0,5.0,4.9,21051.0,19841809.0,66.8,62884.1,0.863,0.0,57.7,54361.1,0.0,0.0,315,0,50,365,4877.0,4556912.0,66.4,62042.0,0.811,0.0,54.2,50632.4,0.0,0.0,73,0,17,90,Santiago,Chile,CL,Latin America
154615,Furnished apartment near Metro,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3632503/9bbc984b_original.jpg,15,743719,Roberto,,,False,-33.4164,-70.6023,2.0,1.0,1.0,1.0,False,"Bathtub,Hair dryer,Shampoo,Body soap,Hot water,Essentials,Hangers,Bed linens,Iron,Clothing storage,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Microwave,Dishes and silverware,Stove,Hot water kettle,Wine glasses,Dining table,Private entrance,Laundromat nearby,Patio or balcony,Elevator,Paid parking on premises,Single level home,Long term stays allowed",,False,2.0,Moderate,CLP,20.0,0.0,84.0,4.67,4.7,4.8,4.6,4.8,4.9,4.6,5598.0,5252983.0,48.0,45259.1,0.288,0.375,13.9,13060.6,18.1,17025.4,105,85,260,365,981.0,916615.0,48.6,45379.1,0.211,0.0,9.6,8938.8,0.0,0.0,19,0,71,90,Santiago,Chile,CL,Latin America
191754,Apartment Historical Downtown Stgo.,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/6518577/a5cfb48e_original.jpg,22,927912,Miguel,,,True,-33.4404,-70.658,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Pool,Kitchen,Hot water kettle,Paid parking off premises,Portable fans,Pets allowed,Gym,Elevator,Laundromat nearby,Cleaning products,Drying rack for clothing,Heating,Paid parking on premises,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Room-darkening shades,Hot water,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Luggage dropoff allowed,Long term stays allowed,Baking sheet",False,False,4.0,Moderate,CLP,16.0,0.0,153.0,4.79,4.8,4.9,4.5,4.9,4.8,4.8,6069.0,5727124.0,31.1,29325.5,0.501,0.735,15.9,15035.4,23.3,22039.9,183,116,182,365,0.0,0.0,28.7,26857.8,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Santiago,Chile,CL,Latin America
202286,Furnished Apartment Forestal Park 1,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/76369245/89461472_original.jpg,37,131488797,Daniela-Fernando,"980389,139815626,421936352","Jorge,Jorge,Sebastian",True,-33.4339,-70.6474,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Pool,Kitchen,Paid parking off premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Dryer,Single level home,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",False,False,2.0,Moderate,CLP,21.0,0.0,415.0,4.59,4.8,4.8,4.5,4.8,4.6,4.6,2056.0,1937689.0,38.8,36595.5,0.129,0.135,5.1,4771.1,5.3,5004.2,47,17,318,365,0.0,0.0,37.7,35215.2,0.0,0.0,0.0,0.0,0.0,0.0,0,17,90,90,Santiago,Chile,CL,Latin America
288216,Santiago Mountain View right by Parque forestal,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2991108/123f6d22_original.jpg,50,155589,Carlos,,,True,-33.4328,-70.6475,2.0,1.0,2.0,1.0,False,"Wifi,Pets allowed,Bathtub,Hair dryer,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Air conditioning,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,BBQ grill,Pool,Elevator,Paid parking off premises,Long term stays allowed",,False,4.0,Firm,CLP,27.0,0.0,42.0,4.74,4.9,5.0,4.6,4.9,4.6,4.7,6797.0,6406251.0,36.0,33907.9,0.51,0.657,17.7,16652.8,22.8,21478.0,186,82,179,365,2083.0,1946280.0,42.5,39679.4,0.556,0.847,22.2,20784.4,33.9,31705.0,50,31,40,90,Santiago,Chile,CL,Latin America
357316,private bath+Complimentary breakfast & dinner+wifi,Private room in condo,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-357316/original/0353552b-64aa-429f-bbda-d4992d6a7073.jpg,33,1808137,Eduardo & Claudio,,,True,-33.4462,-70.6423,,,1.0,0.0,False,"Wifi,Pets allowed,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Sound system,Books and reading material,Window guards,Outdoor playground,Air conditioning,Heating,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Laundromat nearby,Patio or balcony,Free parking on premises,Free street parking,Elevator,Paid parking off premises,Paid parking on premises,Luggage dropoff allowed,Breakfast,Smoking allowed,Long term stays allowed",,False,2.0,Moderate,CLP,10.0,20.0,97.0,4.98,4.9,5.0,5.0,5.0,4.9,5.0,7107.0,6671450.0,38.6,36420.4,0.485,0.496,18.6,17484.3,19.0,17876.2,177,8,188,365,1429.0,1335212.0,38.9,36367.6,0.389,0.427,15.1,14108.9,16.6,15485.4,35,8,55,90,Santiago,Chile,CL,Latin America
418760,Adventure in the heart of Santiago,Entire condo,entire_home,https://a0.muscache.com/im/pictures/5850087/6f244722_original.jpg,44,826960,Nené,,,False,-33.4335,-70.6531,2.0,1.0,1.0,1.0,False,"Wifi,Kitchen,Paid parking off premises,Books and reading material,Hot water,Elevator,Bed linens,Free street parking,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Single level home,Patio or balcony,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Toaster",False,,30.0,Strict,CLP,23.0,0.0,84.0,4.63,4.8,4.8,4.7,4.8,4.4,4.7,577.0,545379.0,29.0,27363.9,0.038,0.0,1.1,1082.1,0.0,0.0,14,0,351,365,0.0,0.0,26.7,24906.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Santiago,Chile,CL,Latin America
447699,Las Condes with a view of the Andes,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-447699/original/2c79bc8d-a830-4c27-94e1-f54535bef7bc.jpeg,18,974151,Raul And Erna,,,False,-33.4195,-70.5575,4.0,2.0,2.0,2.0,False,"Hot water,Washer,Dryer,Essentials,TV,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Stove,Oven,Patio or balcony,Elevator,Paid parking on premises",,False,14.0,Moderate,CLP,,,31.0,4.74,4.8,4.9,4.8,5.0,4.9,4.6,8884.0,8367297.0,59.6,56164.9,0.411,0.63,24.3,22924.1,37.3,35156.7,150,127,215,365,0.0,0.0,60.1,56134.7,0.0,0.0,0.0,0.0,0.0,0.0,0,71,90,90,Santiago,Chile,CL,Latin America
499566,I'm staying here!,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/6117017/65002901_original.jpg,20,2041286,Patricia,,,True,-33.438,-70.645,2.0,1.0,1.0,1.0,False,"TV,Wifi,Pool,Kitchen,Room-darkening shades,Hot water kettle,Portable fans,Hot water,Gym,Body soap,Elevator,Bed linens,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Clothing storage,Stove,Wine glasses,Washer,Dryer,Smoke alarm,Patio or balcony,Essentials,Long term stays allowed,Shampoo,Hangers,Iron,Dedicated workspace,Baking sheet,Freezer,Toaster,Bathtub",False,False,3.0,Flexible,CLP,48.0,0.0,62.0,4.79,4.8,4.9,4.8,4.9,4.9,4.8,4706.0,4447400.0,51.8,48706.1,0.238,0.253,12.0,11324.5,12.7,12015.8,87,21,278,365,0.0,0.0,59.9,55937.4,0.0,0.0,0.0,0.0,0.0,0.0,0,19,90,90,Santiago,Chile,CL,Latin America
777178,1 block Bustamente&Subway Park,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/b514bd81-dd53-4950-9821-ec1219db9046.jpg,44,3761736,Rodrigo,,,True,-33.4451,-70.6337,2.0,1.0,1.0,1.0,False,"Bathtub,Hair dryer,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Heating,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Wine glasses,Patio or balcony,Free street parking,Elevator,Gym,Luggage dropoff allowed,Long term stays allowed",,False,4.0,Moderate,CLP,14.0,47.0,157.0,4.87,4.9,5.0,4.8,5.0,4.8,4.8,5836.0,5452958.0,34.1,32155.9,0.425,0.807,15.5,14473.7,29.4,27515.1,155,173,210,365,1459.0,1363235.0,33.3,31135.1,0.456,0.661,15.6,14565.7,22.6,21143.7,41,28,49,90,Santiago,Chile,CL,Latin America
