listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
538983,Penthouse | Pool | Massages: Room 1,Private room in home,private_room,https://a0.muscache.com/im/pictures/48172596/89a99d4a_original.jpg,22.0,2647752,Eddy,,,True,18.5044,-69.9373,,,1.0,0.0,False,"TV,Cable TV,Wifi,Pool,Kitchen,Free parking on premises,Smoking allowed,Ceiling fan,Body soap,Bed linens,Free street parking,Pocket wifi,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Smoke alarm,BBQ grill,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Cleaning before checkout,Hangers,Hair dryer,Iron,Dedicated workspace,Barbecue utensils,Private entrance",,False,1.0,Flexible,DOP,0.0,12.0,71.0,4.7,4.7,4.9,4.7,4.9,4.5,4.7,586,35706,33.5,2004.8,0.047,0.0,1.6,97.8,0.0,0.0,17,0,348,365,68,4006,32.6,1921.1,0.022,0.0,0.8,44.5,0.0,0.0,2,0,88,90,Santo Domingo,Dominican Republic,DO,Latin America
894531,Prime Naco Location • 1BR Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/e767d85a-e983-47a5-b119-3c8c02212a6f.jpg,48.0,2009800,Francisco And Gisselle,,,False,18.4731,-69.9277,3.0,1.0,1.0,2.0,False,"Wifi,Hair dryer,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Clothing storage,TV,Air conditioning,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Patio or balcony,Free parking on premises,Elevator,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Flexible,DOP,30.0,0.0,113.0,4.85,4.9,5.0,4.8,5.0,5.0,4.8,5419,321663,68.4,4088.8,0.214,0.0,13.9,823.1,0.0,0.0,78,0,287,365,926,54557,56.5,3329.6,0.178,0.0,9.6,566.9,0.0,0.0,16,0,74,90,Santo Domingo,Dominican Republic,DO,Latin America
1226014,Naco Escape • Style & Comfort,Entire condo,entire_home,https://a0.muscache.com/im/pictures/a512a6b4-3d43-4d61-9b38-77fa5fb0cb68.jpg,60.0,2009800,Francisco And Gisselle,,,False,18.4725,-69.9278,3.0,1.0,1.0,2.0,False,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Hot water,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Washer,Dryer,Single level home,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",,False,2.0,Flexible,DOP,30.0,0.0,119.0,4.71,4.8,4.9,4.7,4.9,4.9,4.7,2410,145792,78.7,4699.3,0.088,0.091,6.4,384.9,6.6,398.0,32,12,333,365,319,18796,59.3,3496.6,0.044,0.0,3.2,189.2,0.0,0.0,4,0,86,90,Santo Domingo,Dominican Republic,DO,Latin America
1248008,Terrazas del Mar with 180 views,Entire condo,entire_home,https://a0.muscache.com/im/pictures/86611107/3e602b16_original.jpg,48.0,6800735,Marina,,,False,18.4645,-69.9185,4.0,2.0,3.0,2.5,False,"Wifi,Pets allowed,Gym,Bathtub,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Pack ’n play/Travel crib,Air conditioning,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Free parking on premises,Pool,Elevator,Gym,Luggage dropoff allowed,Long term stays allowed",,False,6.0,Moderate,DOP,45.0,0.0,56.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,5407,330503,84.6,5058.5,0.173,0.206,14.4,883.7,17.2,1054.1,63,59,302,365,861,50726,83.7,4930.7,0.111,0.294,9.1,534.2,24.0,1414.0,10,56,80,90,Santo Domingo,Dominican Republic,DO,Latin America
1537333,Quiet apartment with Pool and Gym top roof,Entire condo,entire_home,https://a0.muscache.com/im/pictures/34048988/dfca7653_original.jpg,40.0,200825012,Quenlly,8197191,Thomas,True,18.4546,-69.9245,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Safe,Clothing storage,Ethernet connection,TV,Exercise equipment,Air conditioning,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Coffee,Private entrance,Free parking on premises,Free street parking,Pool,Sauna,Gym,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Flexible,DOP,40.0,0.0,132.0,4.81,4.9,4.9,4.8,4.9,4.7,4.7,6373,385060,70.4,4211.5,0.255,0.294,17.1,1035.6,19.8,1196.2,93,49,272,365,3156,185953,64.0,3771.6,0.533,0.649,34.2,2013.8,41.6,2449.2,48,16,42,90,Santo Domingo,Dominican Republic,DO,Latin America
1806594,"#101 Fall Sale!  Great 1 BR, Odysseyrental",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1806594/original/e8a3c27b-79c1-41f8-932f-ace05e4d5bdf.jpeg,21.0,7590881,Juan,,,False,18.472,-69.8966,2.0,1.0,1.0,1.0,False,"TV,Wifi,Air conditioning,Kitchen,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Shower gel,Patio or balcony,Backyard,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Dedicated workspace,Outdoor dining area",,,2.0,Moderate,DOP,0.0,,46.0,4.65,4.7,4.8,4.8,4.7,4.9,4.7,870,53928,38.6,2321.2,0.079,0.0,2.4,147.7,0.0,0.0,29,0,336,365,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Santo Domingo,Dominican Republic,DO,Latin America
2798984,Balcony of Zona Colonial,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/33ad4baf-24a0-4ce0-8cf6-f3ee030151d5.jpg,53.0,13854275,Alicia,,,False,18.4728,-69.8871,3.0,2.0,3.0,2.0,False,"Hot water,Essentials,Hangers,TV,Wifi,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Private entrance,Patio or balcony",,False,4.0,Firm,DOP,30.0,0.0,25.0,4.56,4.5,4.6,4.6,4.7,4.9,4.6,3648,217010,42.3,2528.0,0.222,0.235,9.7,575.2,10.2,608.5,81,20,284,365,884,52085,44.3,2609.0,0.189,0.0,9.2,539.4,0.0,0.0,17,0,73,90,Santo Domingo,Dominican Republic,DO,Latin America
3165124,Studio with Wifi/ Air Conditioner,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/52768928/6eb7fb8d_original.jpg,23.0,16040541,Lucila,,,False,18.4538,-69.9285,2.0,1.0,1.0,1.0,False,"Body soap,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Ethernet connection,TV,Air conditioning,Ceiling fan,Wifi,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Private entrance,Laundromat nearby,Patio or balcony,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Flexible,DOP,20.0,6.0,238.0,4.48,4.5,4.7,4.7,4.8,4.5,4.5,1099,66607,22.1,1319.0,0.129,0.247,2.7,163.1,5.2,313.4,47,175,318,365,0,0,22.1,1302.6,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Santo Domingo,Dominican Republic,DO,Latin America
3197700,Spectacular apartment in Naco,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/40699665/55a08e0b_original.jpg,19.0,8139173,Raysa,,,False,18.4748,-69.9232,2.0,1.0,2.0,1.5,False,"Hair dryer,Cleaning products,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,TV,Exercise equipment,Air conditioning,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Free parking on premises,Pool,Elevator,Gym",,False,15.0,Flexible,DOP,,,37.0,4.73,4.8,4.9,4.7,4.8,4.9,4.8,2157,134953,48.9,2925.6,0.121,0.0,5.9,369.7,0.0,0.0,44,0,321,365,0,0,49.5,2914.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Santo Domingo,Dominican Republic,DO,Latin America
3344589,Regina's Alley,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/dd9b6bf0-ff06-4968-b13d-756005575c24.jpg,40.0,16881187,"Dinorka,R",,,True,18.469,-69.8884,4.0,2.0,3.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Board games,Portable fans,Ceiling fan,Conditioner,Free street parking,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Children’s books and toys,Blender,Window guards,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Single level home,Shower gel,Long term stays allowed,Cleaning before checkout,Toaster",,False,3.0,Strict,DOP,35.0,0.0,285.0,4.79,4.9,4.9,4.8,4.9,4.9,4.8,3434,212949,79.3,4740.8,0.107,0.527,8.6,538.2,42.6,2654.8,39,291,326,365,0,0,76.4,4501.6,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Santo Domingo,Dominican Republic,DO,Latin America
