listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
4917,☆ Condominium Club East Side - Terrace apartment,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDkxNw%3D%3D/original/dbf737e0-9b7d-4c90-a6ce-4986c471276f.jpeg,84,5618,Alessandro,452483230,Tracy,True,-23.5742,-46.6397,4.0,2.0,3.0,2.0,False,"Air conditioning,Hair dryer,Cleaning products,Body soap,Bidet,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Sound system,Ping pong table,Pool table,Pack ’n play/Travel crib,Children's playroom,Outdoor playground,Air conditioning,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Pool,Hot tub,Sauna,Elevator,Gym,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,7.0,Firm,BRL,,,62,4.84,4.9,4.9,4.6,4.9,5.0,4.7,21156.0,121393.0,99.8,573.8,0.595,0.676,58.0,332.6,65.9,378.2,217,44,148,365,7721.0,44242.0,98.2,562.8,0.867,0.918,85.8,491.6,90.8,520.5,78,5,12,90,Sao Paulo,Brazil,BR,Latin America
82935,Oscar Freire - Hospital das Clínicas and Nu Bank,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/4596380/cb29d42c_original.jpg,33,451565,Thaïs,,,True,-23.557,-46.6744,,,1.0,0.0,False,"Hair dryer,Cleaning products,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Piano,Books and reading material,Portable fans,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Laundromat nearby,Free street parking,Elevator,Paid parking off premises,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Firm,BRL,28.0,0.0,105,4.94,5.0,5.0,5.0,5.0,5.0,4.9,6877.0,39541.0,33.7,193.5,0.636,0.0,18.0,103.5,0.0,0.0,232,0,133,365,954.0,5467.0,46.8,268.0,0.256,0.0,9.7,55.4,0.0,0.0,23,0,67,90,Sao Paulo,Brazil,BR,Latin America
90394,Private Room in Vila Mariana Sao Paulo,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-90394/original/a15924e1-aaa6-4e10-894a-67ed785114df.jpeg,27,490120,Egnaldo,,,True,-23.5916,-46.6481,,,1.0,0.0,False,"Wifi,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,Ethernet connection,TV,Exercise equipment,Books and reading material,Portable fans,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Free street parking,Elevator,Paid parking off premises,Luggage dropoff allowed",,False,1.0,Strict,BRL,21.0,14.0,325,4.92,5.0,5.0,5.0,4.9,4.8,4.8,425.0,2447.0,21.0,120.6,0.052,0.096,1.0,6.0,1.9,11.1,19,167,346,365,0.0,0.0,22.1,126.5,0.0,0.0,0.0,0.0,0.0,0.0,0,44,90,90,Sao Paulo,Brazil,BR,Latin America
128128,Cozy room in Morumbi,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-128128/original/65484bff-e68a-4fd8-85a4-709ed6a9f48e.jpeg,14,633858,Sylvia Vieira,,,False,-23.6383,-46.736,,2.0,1.0,0.0,False,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Iron,TV,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,BBQ grill,Free parking on premises,Pool,Elevator,Gym,Long term stays allowed",,False,2.0,Moderate,BRL,16.0,9.0,31,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1054.0,6036.0,25.2,144.8,0.107,0.0,2.7,15.5,0.0,0.0,39,0,326,365,367.0,2106.0,23.9,137.4,0.156,0.0,3.7,21.4,0.0,0.0,14,0,76,90,Sao Paulo,Brazil,BR,Latin America
130606,Two-Bedroom Duplex Apartment superior,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-130606/original/76d95a02-443b-49c6-94c8-ec2d0004033a.jpeg,14,635510,Gilberto,,,True,-23.5562,-46.6595,5.0,2.0,4.0,2.0,False,"TV,Washer,Dryer,Wifi,Air conditioning,Crib,Kitchen,Essentials,Free parking on premises,Hangers,Hair dryer,Iron,Elevator,Bed linens,Microwave,Coffee maker,Refrigerator,Oven",,True,2.0,Super Strict 60 Days,BRL,0.0,0.0,97,4.83,4.9,5.0,4.9,4.9,5.0,4.6,35462.0,203985.0,196.0,1126.3,0.488,0.544,97.2,558.9,108.4,623.8,178,38,187,365,2611.0,14958.0,199.4,1142.2,0.144,0.203,29.0,166.2,40.8,233.7,13,26,77,90,Sao Paulo,Brazil,BR,Latin America
156725,"Green, silence, garage, close to everything that is good",Private room in villa,private_room,https://a0.muscache.com/im/pictures/c6eb5c6f-3f06-4437-b25d-de200197cd18.jpg,27,481539,Helena,,,False,-23.5394,-46.6839,,,2.0,0.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dining table,Backyard,Free parking on premises,Free street parking,Paid parking on premises,Luggage dropoff allowed",,False,1.0,Moderate,BRL,9.0,11.0,76,4.88,5.0,5.0,4.9,5.0,5.0,4.8,553.0,3172.0,25.2,145.0,0.052,0.0,1.3,7.7,0.0,0.0,19,0,346,365,325.0,1866.0,23.6,135.3,0.133,0.0,3.2,18.4,0.0,0.0,12,0,78,90,Sao Paulo,Brazil,BR,Latin America
199609,Room near AVPaulista / metro Statio,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/704ec874-c115-48e2-95bd-9488234931b2.jpg,54,975184,Eugenia,,,False,-23.5702,-46.6498,,,1.0,0.0,False,"TV,Window guards,Wifi,Room-darkening shades,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Smoking allowed,Ceiling fan,Hot water,Body soap,Breakfast,Conditioner,Elevator,Bed linens,Extra pillows and blankets,Microwave,Cleaning products,Indoor fireplace,Refrigerator,Dishes and silverware,Wine glasses,Smoke alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Shampoo,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Toaster",False,False,2.0,Moderate,BRL,0.0,14.0,307,4.89,4.9,5.0,4.8,4.9,5.0,4.9,1374.0,7872.0,26.5,152.5,0.142,0.299,3.8,21.6,7.9,45.2,52,191,313,365,98.0,562.0,27.2,155.6,0.044,0.125,1.1,6.2,3.1,17.6,4,58,86,90,Sao Paulo,Brazil,BR,Latin America
213908,Beautifull apartment feel in field,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/3394222/54f25c15_original.jpg,26,1103689,Rosemara,,,True,-23.5413,-46.6518,,,1.0,0.0,False,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Portable fans,Heating,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Laundromat nearby,Patio or balcony,Backyard,Elevator,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,5.0,Flexible,BRL,35.0,9.0,75,4.91,4.8,5.0,4.9,5.0,4.9,4.8,1989.0,11470.0,20.1,115.2,0.252,0.256,4.7,27.0,4.7,27.4,92,5,273,365,91.0,521.0,23.7,135.9,0.022,0.0,0.6,3.6,0.0,0.0,2,0,88,90,Sao Paulo,Brazil,BR,Latin America
230940,Facing Avenida Paulista. The best location,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/a5849ec8-89fd-4ca2-a7b1-d615c788a38e.jpg,58,1207413,Angel,,,False,-23.5572,-46.6649,,,2.0,0.0,False,"Cleaning products,Shampoo,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Movie theater,Exterior security cameras on property,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Wine glasses,Baking sheet,Blender,Elevator,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Strict,BRL,5.0,14.0,228,4.84,4.8,4.9,4.8,4.9,4.9,4.8,5080.0,29220.0,19.2,110.4,0.693,0.0,13.1,75.4,0.0,0.0,253,0,112,365,959.0,5502.0,21.2,121.7,0.489,0.0,10.0,57.3,0.0,0.0,44,0,46,90,Sao Paulo,Brazil,BR,Latin America
239103,Top View Loft in São Paulo Downtown,Entire loft,entire_home,https://a0.muscache.com/im/pictures/11919936/9e685e9e_original.jpg,62,701593,Luciano Menezes,,,True,-23.5325,-46.6527,4.0,1.0,2.0,1.0,False,"High chair,TV,Cable TV,Children’s books and toys,Wifi,Kitchen,Free parking on premises,Paid parking off premises,Children’s dinnerware,Smoking allowed,Pets allowed,Hot water,Elevator,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Stove,Patio or balcony,Fire extinguisher,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron",True,False,5.0,Moderate,BRL,28.0,0.0,83,4.76,4.8,4.8,4.7,4.8,4.8,4.6,4463.0,25718.0,34.9,200.4,0.364,0.0,11.8,67.8,0.0,0.0,133,0,232,365,0.0,0.0,37.3,213.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Sao Paulo,Brazil,BR,Latin America
