listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
17601272,"Entire One bedroom flat, iconic skyscraper GateT3",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-17601272/original/89d0a1a4-1758-4f12-92c4-c76e73475b19.jpeg,129,42644476,Semsem,,,True,24.4963,54.4096,4.0,1.0,4.0,1.0,False,"Cable TV,Air conditioning,TV,Wifi,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Game console,Exercise equipment,Ping pong table,Pool table,Books and reading material,Movie theater,Mini golf,Children’s books and toys,High chair,Children's playroom,Outdoor playground,Air conditioning,Portable fans,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Trash compactor,Barbecue utensils,Dining table,Coffee,Private entrance,Laundromat nearby,Resort access,Outdoor dining area,Bikes,Free parking on premises,Free street parking,Pool,Hot tub,Sauna,Elevator,EV charger,Gym,Paid parking off premises,Paid parking on premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Moderate,AED,16.0,0.0,71,4.93,5.0,4.9,4.9,4.9,4.9,4.9,37707.0,138512.0,128.8,473.0,0.784,0.0,101.4,372.4,0.0,0.0,286,0,79,365,12868.0,47268.0,187.3,688.0,0.756,0.0,140.1,514.7,0.0,0.0,68,0,22,90,Abu Dhabi,United Arab Emirates,AE,Middle East
19536260,Fully Furnished Studio Room,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/2320c370-988e-4ff3-8b68-886f5cecb0e6.jpg,9,123698856,Ali Qamar,,,False,24.4676,54.3746,2.0,,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Crib,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Cooking basics,Dishes and silverware,Private entrance,Elevator,Gym,Paid parking on premises,Breakfast,Smoking allowed,Long term stays allowed",,False,1.0,Flexible,AED,0.0,0.0,58,4.64,4.6,4.7,4.7,4.6,4.7,4.5,2648.0,9722.0,119.7,439.8,0.079,0.0,7.3,26.6,0.0,0.0,29,0,336,365,1067.0,3918.0,208.0,763.9,0.1,0.0,11.9,43.5,0.0,0.0,9,0,81,90,Abu Dhabi,United Arab Emirates,AE,Middle East
19538233,Fully Furnished One Bedroom with Living Area,Private room in serviced apartment,private_room,https://a0.muscache.com/im/pictures/07a0c632-a2dd-4088-87e6-36ea32e1b83b.jpg,12,123698856,Ali Qamar,,,False,24.4678,54.3742,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Crib,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Cooking basics,Private entrance,Elevator,Gym,Paid parking on premises,Smoking allowed,Long term stays allowed",,False,1.0,Flexible,AED,0.0,0.0,15,4.73,4.8,4.9,4.7,4.7,4.9,4.7,1556.0,5714.0,116.7,428.5,0.036,0.0,4.3,15.7,0.0,0.0,13,0,352,365,975.0,3581.0,147.7,542.4,0.078,0.0,10.8,39.8,0.0,0.0,7,0,83,90,Abu Dhabi,United Arab Emirates,AE,Middle East
20454547,Luxurious Apartment With Fantastic Views,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/b95b349d-2de0-422f-8a7e-869196c44f7b.jpg,28,55113264,Rasim,,,False,24.494,54.408,5.0,2.0,2.0,4.5,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Gym,Resort access,Elevator,Free street parking,Outdoor furniture,Hot tub,Hammock,Cleaning products,Drying rack for clothing,Heating,Paid parking on premises,Coffee,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Bidet,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Outdoor kitchen,Sound system,Bathtub,High chair,Blender,Window guards,Crib,Room-darkening shades,Bikes,Hot water,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Fire pit,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Toaster",,False,7.0,Moderate,AED,81.0,0.0,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6926.0,25442.0,289.6,1063.7,0.058,0.0,18.5,68.1,0.0,0.0,21,0,344,365,5264.0,19336.0,343.3,1260.9,0.167,0.0,57.6,211.5,0.0,0.0,15,0,75,90,Abu Dhabi,United Arab Emirates,AE,Middle East
24271023,Two-Bedroom Fully Serviced Apartment Abu Dhabi,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/a70fa363-5e5e-40cd-b19c-f15085afded1.jpg,3,123698526,Sherril,,,False,24.4911,54.3584,4.0,2.0,4.0,1.0,False,"Hair dryer,Shampoo,Washer,Essentials,Hangers,Iron,TV,Air conditioning,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Private entrance,Elevator,Gym,Smoking allowed",,False,1.0,Flexible,AED,0.0,0.0,23,4.26,4.3,4.2,4.3,4.3,4.6,4.3,2031.0,7462.0,236.2,867.5,0.027,0.0,5.6,20.4,0.0,0.0,10,0,355,365,256.0,940.0,317.3,1165.3,0.011,0.0,2.8,10.4,0.0,0.0,1,0,89,90,Abu Dhabi,United Arab Emirates,AE,Middle East
26172415,Furnished & Serviced Studio 02,Private room in serviced apartment,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-26172415/original/9fad9154-4eca-487e-818c-f9e9840285f2.jpeg,9,196722144,Mahmoud,,,False,24.4628,54.3867,2.0,,1.0,1.0,True,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Crib,Air conditioning,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Private entrance,Pool,Elevator,Gym,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Flexible,AED,0.0,0.0,62,4.82,4.7,4.9,4.8,4.9,4.7,4.7,1627.0,5975.0,118.8,436.2,0.047,0.0,4.5,16.4,0.0,0.0,17,0,348,365,0.0,0.0,194.1,712.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Abu Dhabi,United Arab Emirates,AE,Middle East
27142730,Furnished & Serviced Studio 03,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/cdc3a6f6-5f2f-4873-b04a-d9fe21e34b0f.jpg,11,196722144,Mahmoud,,,False,24.4628,54.3867,2.0,,1.0,1.0,True,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Crib,Air conditioning,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Cooking basics,Private entrance,Pool,Elevator,Gym,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,1.0,Flexible,AED,0.0,0.0,197,4.68,4.7,4.8,4.7,4.8,4.7,4.6,5785.0,21245.0,114.6,420.8,0.17,0.0,15.8,58.2,0.0,0.0,62,0,303,365,1842.0,6767.0,176.2,647.0,0.133,0.0,20.5,75.2,0.0,0.0,12,0,78,90,Abu Dhabi,United Arab Emirates,AE,Middle East
27142964,Furnished & Serviced Studio 04,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/6f260bfb-e1cb-432f-ba22-340dedd7948d.jpg,12,196722144,Mahmoud,,,False,24.4628,54.3867,2.0,,1.0,1.0,True,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Crib,Air conditioning,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Private entrance,Pool,Elevator,Gym,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Flexible,AED,0.0,0.0,105,4.7,4.7,4.8,4.6,4.8,4.6,4.5,1570.0,5766.0,120.8,443.7,0.049,0.0,4.3,15.8,0.0,0.0,18,0,347,365,286.0,1050.0,178.3,654.7,0.011,0.0,3.2,11.7,0.0,0.0,1,0,89,90,Abu Dhabi,United Arab Emirates,AE,Middle East
27143126,Furnished & Serviced Studio 05,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-27143126/original/e7ce85d5-4859-4278-a9ac-85ca007b0316.jpeg,10,196722144,Mahmoud,,,False,24.4628,54.3867,2.0,,1.0,1.0,True,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Crib,Air conditioning,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Cooking basics,Private entrance,Pool,Elevator,Gym,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Flexible,AED,0.0,0.0,68,4.6,4.5,4.8,4.6,4.7,4.6,4.5,2883.0,10590.0,141.9,521.3,0.079,0.0,7.9,29.0,0.0,0.0,29,0,336,365,0.0,0.0,210.6,773.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Abu Dhabi,United Arab Emirates,AE,Middle East
30249369,Lovely 1 Bedroom and living room Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2ed65750-8013-488e-88e7-cf116a660ac3.jpg,7,4811436,Caphy,,,False,24.3497,54.626,4.0,1.0,3.0,1.5,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Hot water,Body soap,Trash compactor,Free street parking,Hot tub,Microwave,Dishes and silverware,Coffee,Stove,Washer,Single level home,Shower gel,Fire extinguisher,Shampoo,Cleaning before checkout,Hair dryer,Private entrance,Toaster",False,False,3.0,Flexible,AED,2.0,0.0,17,4.47,4.4,4.9,4.5,4.8,4.4,4.4,4484.0,16469.0,42.5,156.1,0.285,0.387,12.2,45.0,16.6,61.0,104,96,261,365,129.0,474.0,42.5,156.2,0.033,0.043,1.4,5.2,1.8,6.7,3,20,87,90,Abu Dhabi,United Arab Emirates,AE,Middle East
