listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
16791358,A high-end studio with a private entrance - 2D - onyx,Entire rental unit,entire_home,https://a0.muscache.com/im/ml/photo_enhancement/pictures/hosting/Hosting-16791358/original/61e017a5-ac0e-4bb2-8975-ecadcc05a27e.jpeg,16,41090031,Mishari,,,False,24.7739,46.6296,3.0,1.0,1.0,1.0,True,"TV,Wifi,Air conditioning,Free parking on premises,Hot water kettle,Smoking allowed,Hot water,Body soap,Mini fridge,Elevator,Bed linens,Free street parking,Ethernet connection,Microwave,Cleaning products,Coffee,Single level home,Shower gel,Long term stays allowed,Shampoo,Private entrance",,,1.0,Flexible,SAR,15.0,0.0,66,4.65,4.8,4.9,4.7,4.9,4.7,4.7,4084.0,15317.0,147.4,553.0,0.074,0.091,11.1,41.8,13.7,51.4,27,68,338,365,0.0,0.0,149.5,560.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Al Shamal,Qatar,QA,Middle East
40096542,Special one bedroom Apartment - King bed,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-40096542/original/f47eef11-a5ac-4b4a-9ebc-0632a951a842.jpeg,19,309414862,Abdulmajeed,699558838,Maryam,True,24.7997,46.6633,2.0,1.0,,1.0,True,"Cleaning products,Shampoo,Conditioner,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Iron,Drying rack for clothing,Clothing storage,TV,Air conditioning,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Hot water kettle,Coffee maker,Wine glasses,Toaster,Coffee,Laundromat nearby,Free parking on premises,Free street parking,Elevator,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Firm,SAR,0.0,0.0,64,4.95,5.0,5.0,4.9,5.0,5.0,4.9,17722.0,66488.0,74.1,278.2,0.66,0.701,48.6,182.2,51.5,193.3,241,21,124,365,2530.0,9488.0,79.7,298.9,0.356,0.464,28.1,105.4,36.7,137.5,32,21,58,90,Al Shamal,Qatar,QA,Middle East
41142517,Aparthotel in Almalqa 5 neighborhood,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/35f47a04-9410-4359-b168-71e9b8d4329a.jpg,21,298401434,Awad,,,True,24.8004,46.6209,4.0,2.0,3.0,3.0,True,"Hot water,Washer,Essentials,Hangers,Iron,TV,Air conditioning,Wifi,Dedicated workspace,Kitchen,Free parking on premises,Elevator,Smoking allowed",,False,1.0,Moderate,SAR,0.0,0.0,82,4.89,5.0,5.0,4.8,5.0,5.0,4.9,8082.0,30316.0,108.7,407.6,0.197,0.0,22.1,83.1,0.0,0.0,72,0,293,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Al Shamal,Qatar,QA,Middle East
44780806,Elegant apartment with a living room and bedroom - self check-in,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-44780806/original/2d618ce6-ae45-4e9e-98f2-7f0fc57870c7.jpeg,39,53865993,Nawaf,456925304,Abdullah,True,24.7738,46.624,2.0,1.0,1.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Air conditioning,Heating,Exterior security cameras on property,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Coffee,Private entrance,Laundromat nearby,Free parking on premises,Free street parking,Single level home,Long term stays allowed",,False,1.0,Flexible,SAR,9.0,0.0,56,4.93,4.9,5.0,4.9,5.0,4.9,4.7,8367.0,31392.0,105.7,396.6,0.216,0.0,22.6,84.7,0.0,0.0,79,0,286,365,3645.0,13673.0,114.8,430.6,0.344,0.0,40.1,150.4,0.0,0.0,31,0,59,90,Al Shamal,Qatar,QA,Middle East
45871993,"New, special, and distinctive VIP apartment with smart, easy, and flexible access",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2c531c47-0134-4bbc-8b8c-0adb86ef5ebb.jpg,59,252807577,D7oom,,,True,24.7858,46.6732,3.0,1.0,1.0,3.0,True,"Wifi,Air conditioning,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Room-darkening shades,Iron,Drying rack for clothing,Safe,Mosquito net,Clothing storage,Ethernet connection,TV,Record player,Sound system,Game console,Books and reading material,Movie theater,Theme room,Children’s dinnerware,Window guards,Outlet covers,Board games,Table corner guards,Air conditioning,Indoor fireplace,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Barbecue utensils,Dining table,Coffee,Bread maker,Private entrance,Laundromat nearby,Resort access,BBQ grill,Free parking on premises,Free street parking,Elevator,EV charger,Paid parking off premises,Paid parking on premises,Pets allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Moderate,SAR,0.0,0.0,275,4.94,5.0,5.0,4.9,5.0,5.0,4.7,11378.0,42674.0,136.0,510.2,0.247,0.261,31.2,116.9,33.0,123.7,90,20,275,365,5404.0,20268.0,121.3,455.1,0.5,0.0,60.0,225.2,0.0,0.0,45,0,45,90,Al Shamal,Qatar,QA,Middle East
48970615,Luxury apartment in Riyadh,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3b982e70-3a4e-4e4b-9c3d-3ae9c0f78980.jpg,50,147228186,Alaa,,,False,24.813,46.6826,3.0,2.0,2.0,2.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Air conditioning,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Baking sheet,Dining table,Coffee,Patio or balcony,Outdoor furniture,Free parking on premises,Free street parking,Elevator,Long term stays allowed",,False,3.0,Firm,SAR,0.0,0.0,28,5.0,5.0,5.0,5.0,5.0,4.9,4.8,12881.0,48319.0,159.4,597.9,0.216,0.305,35.3,132.4,49.7,186.6,79,106,286,365,7854.0,29462.0,170.4,639.4,0.511,0.793,87.3,327.4,135.4,508.0,46,32,44,90,Al Shamal,Qatar,QA,Middle East
49707635,"Cozy Apt W/ Pravite entrance , patio ,2BR",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-49707635/original/e85a07d5-0324-4d0b-91f0-1236369aa010.jpeg,20,369698945,Abdulaziz,,,False,24.8165,46.5919,4.0,2.0,3.0,1.0,True,"Hot water,Washer,Dryer,Clothing storage,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Oven,Dining table,Private entrance,Backyard,Outdoor furniture,Free parking on premises,Elevator,Long term stays allowed",,False,1.0,Firm,SAR,17.0,0.0,69,4.67,4.8,4.8,4.5,4.9,4.7,4.5,18837.0,70666.0,106.5,399.7,0.49,0.0,51.1,191.7,0.0,0.0,179,0,186,365,3328.0,12485.0,99.9,374.6,0.378,0.0,36.8,138.0,0.0,0.0,34,0,56,90,Al Shamal,Qatar,QA,Middle East
49720833,Rafal Tower برج رافال 07,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-49720833/original/4509fd68-872a-4377-9d20-5c0692adede6.jpeg,44,400629811,Salman,,,True,24.7925,46.6327,4.0,1.0,1.0,2.0,True,"Wifi,Shampoo,Body soap,Bidet,Hot water,Washer,Essentials,Bed linens,Clothing storage,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Dishes and silverware,Dishwasher,Oven,Toaster,Private entrance,Pool,Hot tub,Elevator,Gym,Pets allowed,Smoking allowed",,False,,Limited,SAR,5.0,0.0,35,5.0,5.0,4.9,4.9,5.0,4.9,4.9,45542.0,170851.0,242.6,910.0,0.507,0.0,124.3,466.2,0.0,0.0,185,0,180,365,12460.0,46745.0,279.4,1048.3,0.5,0.0,137.9,517.5,0.0,0.0,45,0,45,90,Al Shamal,Qatar,QA,Middle East
50288965,Hotel apartment-78m {room and Living room},Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-50288965/original/cc217931-4b3c-4ff6-bf67-f6c23ff002da.jpeg,48,353395194,Saud,,,True,24.7929,46.6322,2.0,1.0,1.0,2.0,True,"Wifi,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Safe,Clothing storage,Ethernet connection,TV,Game console,Exercise equipment,Books and reading material,Crib,Children’s books and toys,Window guards,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Trash compactor,Dining table,Coffee,Private entrance,Laundromat nearby,Resort access,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Free street parking,Pool,Hot tub,Elevator,Gym,Single level home,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Moderate,SAR,0.0,0.0,258,4.97,5.0,4.9,5.0,5.0,5.0,4.8,15606.0,58547.0,348.7,1308.2,0.123,0.259,42.8,160.4,89.7,336.5,45,191,320,365,0.0,0.0,342.8,1286.1,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Al Shamal,Qatar,QA,Middle East
50790335,Kease Ghadeer B-1 Royal touch  AX25,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTA3OTAzMzU%3D/original/bde8334a-412a-42d8-af95-408fed38e7b5.jpeg,18,397959089,Abdulrahman,,,False,24.7728,46.6644,4.0,2.0,2.0,2.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Outdoor shower,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,Ethernet connection,TV,Books and reading material,Crib,Pack ’n play/Travel crib,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Blender,Rice maker,Dining table,Coffee,Laundromat nearby,Free parking on premises,Free street parking,Hot tub,Elevator,Paid parking off premises,Paid parking on premises,Single level home,Pets allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Flexible,SAR,111.0,0.0,60,4.87,4.9,4.8,4.7,4.9,4.9,4.5,8609.0,32289.0,230.9,866.3,0.085,0.211,20.5,77.1,51.0,191.4,31,218,334,365,0.0,0.0,245.0,919.3,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Al Shamal,Qatar,QA,Middle East
