listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
1210732,Luxury 3 bedroom Apartment/villa in Gold City,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1210732/original/1a899064-b4fb-4128-9a7c-310a267c3cb2.jpeg,16.0,6611863,Eugeniu,,,false,36.4786,32.1345,6.0,3.0,4.0,3.0,false,"TV,Washer,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Essentials,Free parking on premises,Hair dryer,Iron,Gym,Hot tub,Indoor fireplace",,false,7,Moderate,TRY,,,1.0,,,,,,,,925.0,36299.0,77.4,2976.5,0.027,0.028,2.5,99.4,2.6,101.7,10.0,8.0,355.0,365.0,0.0,0.0,53.7,2105.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,Alanya,Turkey,TR,Middle East
2587440,Luxury 3 bedroom apartment with amazing sea view,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/34151374/7da051e6_original.jpg,31.0,6611863,Eugeniu,,,true,36.4791,32.1354,6.0,3.0,4.0,3.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Gym,Outdoor furniture,Hot tub,Refrigerator,Heating,Washer,Dryer,BBQ grill,Essentials,Iron,Outdoor dining area,Private entrance,Bathtub",False,false,5,Moderate,TRY,,,7.0,4.71,4.6,5.0,4.4,4.7,4.7,4.6,2025.0,79460.0,69.9,2708.8,0.052,0.0,5.5,217.7,0.0,0.0,19.0,0.0,346.0,365.0,0.0,0.0,45.7,1794.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,Alanya,Turkey,TR,Middle East
2675706,"Villa in Kargicak, Alanya, Mediterr",Entire condo,entire_home,https://a0.muscache.com/im/pictures/35014230/7e901f4a_original.jpg,46.0,13699231,Marina,,,false,36.4766,32.1181,4.0,1.0,2.0,1.0,true,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Pets allowed,Gym,Resort access,Conditioner,Free street parking,Outdoor furniture,Hot tub,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,Outdoor dining area,Private entrance,Room-darkening shades,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,Single level home,BBQ grill,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Dining table,Outdoor playground,Baking sheet,Barbecue utensils,Sun loungers,Toaster",False,false,6,Strict,TRY,0.0,0.0,15.0,4.47,4.5,4.9,4.3,4.7,4.7,4.5,6518.0,255214.0,62.0,2395.3,0.282,0.297,17.9,699.2,18.8,735.5,103.0,18.0,262.0,365.0,0.0,0.0,64.3,2524.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,Alanya,Turkey,TR,Middle East
2701623,Central exclusive duplex apartment!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/0d8ed740-45e2-4e19-86b1-7db0282b7034.jpg,44.0,13825438,Mats,,,false,36.5438,31.9869,6.0,3.0,8.0,3.0,true,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Hot water kettle,Books and reading material,Gym,Resort access,Elevator,Hot tub,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,High chair,Crib,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Exercise equipment,Patio or balcony,Backyard,Long term stays allowed,Dining table,Sun loungers,Toaster",,false,7,Moderate,TRY,114.0,0.0,29.0,5.0,4.9,4.7,4.8,5.0,5.0,4.9,22699.0,890716.0,216.0,8337.3,0.285,0.638,61.3,2403.6,137.2,5382.2,104.0,202.0,261.0,365.0,0.0,0.0,220.0,8632.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,Alanya,Turkey,TR,Middle East
2733039,Three-Bedroom Apartment in Goldcity 5-stars Hotel,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/35635901/7a221471_original.jpg,19.0,13986609,Dmitry,,,false,36.4773,32.1355,6.0,3.0,4.0,2.0,true,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Movie theater,High chair,Air conditioning,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Beach access,Lake access,Patio or balcony,Backyard,Free parking on premises,Free street parking,Pool,Hot tub,Elevator,Gym,Luggage dropoff allowed,Long term stays allowed",,false,7,Firm,TRY,87.0,0.0,52.0,4.67,4.7,4.8,4.3,4.8,4.7,4.8,11409.0,447693.0,80.1,3106.4,0.337,0.0,28.4,1114.3,0.0,0.0,123.0,0.0,242.0,365.0,0.0,0.0,100.7,3952.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,Alanya,Turkey,TR,Middle East
4553096,Green Garden Suites 2+1,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/19fe6b5e-29da-4e49-a6b1-cfabb232af2d.jpg,20.0,23605548,Green Garden,,,true,36.5388,32.0347,6.0,2.0,6.0,2.0,true,"Hair dryer,Shampoo,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Iron,TV,Exercise equipment,Crib,Pack ’n play/Travel crib,High chair,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Hot water kettle,Coffee maker,Dining table,Beach access,Patio or balcony,Backyard,Pool,Sauna,Elevator,Gym,Smoking allowed",,false,3,Flexible,TRY,0.0,0.0,95.0,4.79,4.8,4.9,4.7,4.7,4.7,4.8,7070.0,277424.0,150.9,5852.2,0.115,0.134,19.4,760.1,22.5,883.5,42.0,51.0,323.0,365.0,0.0,0.0,179.6,7045.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,Alanya,Turkey,TR,Middle East
4562048,Green Garden Suites 1+1,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/b8be6241-cf7d-481b-893d-1669a8aefffc.jpg,18.0,23605548,Green Garden,,,true,36.5399,32.0336,4.0,1.0,4.0,1.0,true,"High chair,TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Pack ’n play/Travel crib,Hot water kettle,Hot water,Gym,Elevator,Free street parking,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Sauna,Stove,Washer,Beach access,Smoke alarm,Exercise equipment,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Essentials,Dining table,Hair dryer,Iron,Freezer",True,false,3,Flexible,TRY,0.0,0.0,66.0,4.62,4.8,4.9,4.5,4.8,4.8,4.6,2080.0,81621.0,148.4,5775.0,0.036,0.043,5.7,223.6,6.9,269.4,13.0,62.0,352.0,365.0,0.0,0.0,196.9,7725.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,Alanya,Turkey,TR,Middle East
6436769,Sea view Apartment in Alanya-tosmur,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-6436769/original/16f3faeb-fbdc-4f87-b358-5b0ae3542cdf.jpeg,14.0,32988251,Muad Younis,,,false,36.5249,32.0529,4.0,1.0,3.0,1.0,false,"Hair dryer,Cleaning products,Shampoo,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Air conditioning,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Wine glasses,Baking sheet,Trash compactor,Dining table,Coffee,Beach access,Resort access,Patio or balcony,Backyard,BBQ grill,Beach essentials,Free parking on premises,Free street parking,Elevator,Luggage dropoff allowed,Long term stays allowed",,false,4,Firm,TRY,,,12.0,4.75,4.8,4.9,4.7,4.9,4.8,4.7,1141.0,44666.0,43.6,1683.4,0.052,0.063,3.1,122.4,3.8,147.9,19.0,63.0,346.0,365.0,0.0,0.0,21.3,836.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,90.0,90.0,Alanya,Turkey,TR,Middle East
7780560,"Homey apt, pool and near the sea",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/98985878/1b16b9ee_original.jpg,35.0,40937583,Tommy,,,false,36.5268,32.0571,6.0,2.0,5.0,2.0,true,"Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Elevator,Free street parking,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Beach access,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Outlet covers,Baby bath,High chair,Window guards,Crib,Room-darkening shades,Children’s dinnerware,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Patio or balcony,Backyard,Long term stays allowed,Safe,Dining table,Toaster",,false,7,Moderate,TRY,62.0,0.0,53.0,4.98,5.0,5.0,4.9,5.0,4.8,4.9,5827.0,228648.0,66.2,2559.2,0.236,0.0,15.1,593.1,0.0,0.0,86.0,0.0,279.0,365.0,0.0,0.0,77.5,3042.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,Alanya,Turkey,TR,Middle East
7994573,"Apartment 1+1 Alanya, plage Cleopatra",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-7994573/original/f44ebb71-37c7-484f-ab1b-da49261ae60b.jpeg,18.0,31573655,Евгения,,,false,36.5515,31.982,6.0,1.0,2.0,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Room-darkening shades,Hot water,Gym,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Beach access,Carbon monoxide alarm,Patio or balcony,Backyard,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron",False,false,101,Strict,TRY,,,15.0,4.87,4.9,5.0,4.8,5.0,5.0,4.9,558.0,21261.0,38.1,1468.7,0.038,0.044,1.5,58.2,1.7,66.2,14.0,44.0,351.0,365.0,0.0,0.0,34.5,1353.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,Alanya,Turkey,TR,Middle East
