listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
667269,"Cozy 1BR Muyenga, Queen Bed, Breakfast, Hot Shower",Private room in home,private_room,https://a0.muscache.com/im/pictures/a5213b8d-4f14-416d-a69b-09a6080a1af9.jpg,11,329693,Steven William Tamale,,,True,0.2983,32.6106,,,3.0,0.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Crib,Children’s books and toys,High chair,Indoor fireplace,Smoke alarm,First aid kit,Wifi,Dedicated workspace,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Pets allowed,Luggage dropoff allowed,Breakfast,Long term stays allowed",,False,1.0,Flexible,UGX,1.0,15.0,102,4.88,4.8,4.9,4.9,4.9,4.9,4.9,4117.0,15041573.0,21.9,79947.1,0.521,0.526,11.2,40931.1,11.3,41384.6,190,4,175,365,669.0,2430658.0,16.7,60595.0,0.444,0.0,7.3,26684.4,0.0,0.0,40,0,50,90,Amman,Jordan,JO,Middle East
701744,African touch,Entire bungalow,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzAxNzQ0/original/d15b65e8-f07b-4918-8dce-ecbe6c73b293.jpeg,43,3601889,Carla,"12216136,83706557","Leonard,Robin",False,0.3598,32.5579,4.0,2.0,4.0,2.0,False,"Bathtub,Cleaning products,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Sound system,Books and reading material,Pack ’n play/Travel crib,Board games,Smoke alarm,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Free parking on premises,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,5.0,Moderate,UGX,23.0,0.0,48,4.68,4.7,4.8,4.4,4.9,4.3,4.7,3504.0,12795434.0,23.5,85756.6,0.395,0.652,8.9,32537.6,14.7,53738.5,144,144,221,365,1438.0,5224627.0,25.4,92163.7,0.589,0.0,15.0,54337.4,0.0,0.0,53,0,37,90,Amman,Jordan,JO,Middle East
1435061,Papaya Holiday Home,Entire home,entire_home,https://a0.muscache.com/im/pictures/e3f683eb-43f9-4c18-a776-3a5def906b86.jpg,51,7712230,Florence,19081858,Florence,False,0.2963,32.6232,16.0,8.0,15.0,8.0,False,"Wifi,Bathtub,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Mosquito net,TV,Crib,Children’s dinnerware,Window guards,Ceiling fan,Portable fans,Exterior security cameras on property,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Luggage dropoff allowed",,False,1.0,Firm,UGX,0.0,0.0,64,4.63,4.6,4.9,4.7,4.8,4.7,4.7,17590.0,64192885.0,198.7,724640.9,0.247,0.262,48.2,175870.9,51.1,186607.2,90,21,275,365,8648.0,31420499.0,183.8,667835.0,0.522,0.0,96.1,349116.7,0.0,0.0,47,0,43,90,Amman,Jordan,JO,Middle East
1574418,Fully Furnished House in Kampala Ntinda Uganda .1.,Entire home,entire_home,https://a0.muscache.com/im/pictures/ee42b054-c6ac-47ae-bcb5-e214df79d16c.jpg,102,8368692,Wycliffe,263668002,Gabriela,False,0.358,32.6244,6.0,3.0,4.0,2.5,False,"Wifi,Hair dryer,Cleaning products,Shampoo,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Mosquito net,Clothing storage,Ethernet connection,TV,Sound system,Game console,Exercise equipment,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Baby bath,Children’s dinnerware,Changing table,Baby monitor,Window guards,Outlet covers,Board games,Baby safety gates,Table corner guards,Babysitter recommendations,Portable fans,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Barbecue utensils,Dining table,Coffee,Bread maker,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Outdoor kitchen,BBQ grill,Free parking on premises,Free street parking,Luggage dropoff allowed,Breakfast,Long term stays allowed,Cleaning before checkout",,False,2.0,Flexible,UGX,0.0,0.0,85,4.78,4.8,4.9,4.8,4.9,4.4,4.8,1990.0,7232844.0,61.0,222479.7,0.088,0.0,5.5,19816.0,0.0,0.0,32,0,333,365,545.0,1980131.0,61.4,223203.8,0.1,0.0,6.1,22001.5,0.0,0.0,9,0,81,90,Amman,Jordan,JO,Middle East
2195984,Charming 2BD semi-detached house  (internet & A/C),Entire home,entire_home,https://a0.muscache.com/im/pictures/5ef13bce-b39a-4266-a280-805d0d19fe7f.jpg,26,11200009,Jacqueline,,,True,0.2572,32.6291,3.0,2.0,2.0,1.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,TV,Crib,Pack ’n play/Travel crib,Air conditioning,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Lake access,Private entrance,Patio or balcony,Backyard,Free parking on premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Flexible,UGX,5.0,0.0,102,4.95,5.0,5.0,5.0,5.0,4.8,4.9,8701.0,31740100.0,43.8,159555.4,0.529,0.619,23.6,86162.9,27.6,100799.5,193,53,172,365,779.0,2830316.0,40.5,146985.9,0.211,0.514,8.5,31044.3,20.8,75513.1,19,53,71,90,Amman,Jordan,JO,Middle East
2237188,Charming 2BD semi-detached house2 - A/C + internet,Entire home,entire_home,https://a0.muscache.com/im/pictures/5aabb4ed-d740-421e-807e-399c4ef772c3.jpg,25,11200009,Jacqueline,,,True,0.2587,32.6292,3.0,2.0,2.0,1.0,False,"TV,Wifi,Air conditioning,Lake access,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Hot water kettle,Ceiling fan,Hot water,Mosquito net,Bed linens,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Safe,Cleaning before checkout,Hangers,Dining table,Iron,Dedicated workspace,Freezer,Toaster",,False,3.0,Flexible,UGX,0.0,0.0,30,4.77,4.9,4.9,4.9,4.9,4.7,4.9,2443.0,8883109.0,42.3,154189.0,0.164,0.268,6.7,24337.3,10.9,39656.7,60,141,305,365,1306.0,4745042.0,40.0,145492.2,0.367,0.446,14.5,52722.7,17.6,64122.2,33,16,57,90,Amman,Jordan,JO,Middle East
2997870,Welo Villas-Uganda Room,Private room in home,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mjk5Nzg3MA%3D%3D/original/eb80d58c-1ff2-4360-9a0a-64596e9302b5.jpeg,29,12182745,Hope,567665624,Patricia,False,0.3382,32.578,,,3.0,0.0,False,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Hot water,Breakfast,Outdoor furniture,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Washer,Patio or balcony,First aid kit,Backyard,Essentials,Outdoor playground,Hair dryer,Iron,Dedicated workspace,Outdoor dining area",False,,2.0,Moderate,UGX,0.0,0.0,21,4.67,5.0,4.8,4.7,4.7,4.7,4.7,492.0,1804209.0,30.3,110340.1,0.041,0.045,1.3,4943.0,1.5,5353.7,15,28,350,365,0.0,0.0,28.4,103023.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Amman,Jordan,JO,Middle East
3536496,Authentic Ugandan furnished Apartment,Entire condo,entire_home,https://a0.muscache.com/im/pictures/be5ff4bf-faf9-48bb-a4ad-8a91471241cb.jpg,35,14477747,Pendo,,,False,0.3627,32.6253,5.0,3.0,4.0,2.0,False,"TV,Children’s books and toys,Crib,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Hot water,Free street parking,Outdoor furniture,Hot tub,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Patio or balcony,Backyard,Essentials,Long term stays allowed,Hangers,Iron,Dedicated workspace",False,False,2.0,Flexible,UGX,30.0,5.0,12,4.67,4.6,5.0,4.6,5.0,4.8,4.5,629.0,2285324.0,39.6,144301.1,0.038,0.0,1.6,5962.5,0.0,0.0,14,0,351,365,0.0,0.0,35.9,130353.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Amman,Jordan,JO,Middle East
3590773,Keelan Ace Family Deluxe Villa  Kampala,Entire bungalow,entire_home,https://a0.muscache.com/im/pictures/329d4cce-8e43-43b0-a4c2-759f0f6113c1.jpg,18,18089543,Emily,,,True,0.2859,32.6255,2.0,1.0,1.0,1.5,False,"Air conditioning,Hair dryer,Cleaning products,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Drying rack for clothing,Mosquito net,Clothing storage,TV,Crib,Portable fans,Smoke alarm,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Private entrance,Resort access,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Pool,Single level home,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Strict,UGX,10.0,10.0,23,4.61,4.7,4.9,4.7,4.9,4.7,4.6,578.0,2122539.0,46.8,170517.9,0.033,0.0,1.5,5516.5,0.0,0.0,12,0,353,365,0.0,0.0,47.4,172338.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Amman,Jordan,JO,Middle East
4266493,Home Away From Home!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/a1fce586-68a2-4556-afc1-5f39890f5422.jpg,14,5937210,Jessica,,,False,0.2973,32.618,3.0,2.0,2.0,2.0,False,"Wifi,Elevator,Cleaning products,Hot water,Washer,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Exercise equipment,Books and reading material,Portable fans,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Moderate,UGX,3.0,0.0,25,4.76,4.7,5.0,4.6,4.8,4.8,4.8,6123.0,22321269.0,25.8,94002.9,0.644,0.0,16.6,60646.5,0.0,0.0,235,0,130,365,478.0,1736700.0,24.5,88934.2,0.211,0.0,5.2,18812.2,0.0,0.0,19,0,71,90,Amman,Jordan,JO,Middle East
