listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
639951,Spacious Flat with Small Private Backyard,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-639951/original/c80668b5-ff5a-46ba-9492-0e6145a7f00d.jpeg,24,3195183,Efe & Memet,,,True,41.0457,29.0053,3.0,1.0,2.0,1.0,True,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Portable fans,Hot water,Bed linens,Extra pillows and blankets,Cleaning products,Refrigerator,Drying rack for clothing,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Washer,Smoke alarm,Carbon monoxide alarm,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Toaster",,,2.0,Flexible,TRY,30.0,,112,4.9,4.9,5.0,4.8,5.0,4.9,4.9,1958.0,74901.0,59.7,2301.0,0.079,0.09,4.8,182.6,5.4,207.7,29,44,336,365,0.0,0.0,59.0,2314.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Besiktas,Turkey,TR,Middle East
974082,get off BABY  -B1,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/29066468/e9e11caa_original.jpg,27,5327561,Namik,,,False,41.0824,29.043,4.0,1.0,2.0,1.0,True,"High chair,TV,Washer,Wifi,Air conditioning,Luggage dropoff allowed,Kitchen,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Hot water,Iron,Free street parking,Heating",,False,3.0,Moderate,TRY,0.0,17.0,13,4.46,4.5,4.7,4.7,4.7,4.9,4.2,3506.0,136441.0,140.2,5416.9,0.071,0.0,9.6,373.8,0.0,0.0,26,0,339,365,0.0,0.0,150.9,5922.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Besiktas,Turkey,TR,Middle East
1283392,Rooftop Terrace  Ortakoy,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/e749adb6-ca7e-443e-8d5c-a82373466825.jpg,24,6981928,Alican,,,False,41.0485,29.0263,2.0,1.0,1.0,1.0,True,"Gym,Wifi,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Sound system,Books and reading material,Board games,Air conditioning,Heating,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Waterfront,Patio or balcony,Outdoor furniture,Paid parking off premises,Long term stays allowed",,False,2.0,Moderate,TRY,30.0,0.0,137,4.73,4.8,4.8,4.7,4.9,4.9,4.6,17553.0,686203.0,155.1,5990.0,0.29,0.292,45.9,1792.9,46.1,1802.8,106,2,259,365,4218.0,165511.0,157.9,6194.2,0.278,0.284,44.5,1747.5,45.5,1787.2,25,2,65,90,Besiktas,Turkey,TR,Middle East
2788802,Lovely Guest Studio in City Central,Entire condo,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-2788802/original/894a7790-fab6-41ac-aac6-5b98234a15fd.jpg,20,11439128,⁨Ayda B.⁩,,,False,41.0504,29.0076,2.0,,1.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Piano,Sound system,Exercise equipment,Books and reading material,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Barbecue utensils,Coffee,Waterfront,Patio or balcony,Outdoor furniture,Outdoor dining area,BBQ grill,Free street parking,Elevator,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Moderate,TRY,53.0,5.0,82,4.93,5.0,5.0,4.9,4.9,4.9,4.9,6917.0,265676.0,66.6,2572.0,0.268,0.343,17.1,653.8,21.8,834.4,98,79,267,365,100.0,3924.0,75.5,2961.0,0.011,0.028,1.1,43.6,2.8,109.0,1,54,89,90,Besiktas,Turkey,TR,Middle East
4460207,Family home in Istanbul,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/56015851/c1071dd9_original.jpg,18,15409940,Huseyin,,,False,41.0577,29.0039,4.0,2.0,1.0,1.0,True,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Iron,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Baby bath,Children’s dinnerware,Outdoor playground,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Coffee maker,Patio or balcony,Backyard,Free parking on premises,Free street parking,Elevator,Paid parking off premises,Paid parking on premises",,False,2.0,Firm,TRY,10.0,0.0,21,4.81,4.9,5.0,4.9,5.0,4.5,4.8,3595.0,139169.0,95.1,3671.3,0.096,0.0,9.7,377.0,0.0,0.0,35,0,330,365,95.0,3727.0,85.5,3354.6,0.011,0.0,0.9,37.1,0.0,0.0,1,0,89,90,Besiktas,Turkey,TR,Middle East
5244149,Stylish 2+1 Apartment For Families& Couples,Room in aparthotel,hotel_room,https://a0.muscache.com/im/pictures/65534871/3ab3cdb0_original.jpg,20,26511605,Onur,,,False,41.0649,29.0044,5.0,2.0,3.0,1.0,True,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Portable fans,Smoking allowed,Gym,Conditioner,Elevator,Laundromat nearby,Outdoor furniture,Drying rack for clothing,Heating,Paid parking on premises,Clothing storage,Washer,Dryer,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Babysitter recommendations,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,EV charger,Shower gel,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Baking sheet,Toaster",,False,1.0,Flexible,TRY,0.0,0.0,8,4.63,4.8,4.8,4.0,4.9,4.6,4.4,8072.0,313366.0,156.8,6051.9,0.14,0.142,22.1,858.5,22.5,872.9,51,6,314,365,1911.0,74986.0,128.3,5033.6,0.167,0.0,21.2,833.2,0.0,0.0,15,0,75,90,Besiktas,Turkey,TR,Middle East
5244279,Luxury Apartment 2 BR 110 m2,Room in aparthotel,hotel_room,https://a0.muscache.com/im/pictures/65535835/12c8938a_original.jpg,12,26511605,Onur,,,False,41.0649,29.0044,5.0,2.0,3.0,1.0,True,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Smoking allowed,Gym,Conditioner,Elevator,Free street parking,Laundromat nearby,Outdoor furniture,Drying rack for clothing,Heating,Clothing storage,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Babysitter recommendations,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,EV charger,Shower gel,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Baking sheet",,,1.0,Flexible,TRY,0.0,,12,4.17,4.2,4.7,3.9,4.3,4.4,4.2,3324.0,123219.0,170.7,6600.2,0.06,0.0,9.1,337.6,0.0,0.0,22,0,343,365,0.0,0.0,167.0,6552.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Besiktas,Turkey,TR,Middle East
5275536,"Kitchen, Parking, Gym – Modern Design 1 BR Apt",Room in aparthotel,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTI3NTUzNg%3D%3D/original/6aab95cf-128d-447f-9b5d-f47612b957b3.jpeg,20,26511605,Onur,,,False,41.0649,29.0044,3.0,1.0,1.0,1.0,True,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Portable fans,Smoking allowed,Gym,Elevator,Laundromat nearby,Outdoor furniture,Drying rack for clothing,Heating,Paid parking on premises,Clothing storage,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Babysitter recommendations,Crib,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,EV charger,Shower gel,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Baking sheet,Toaster",,False,1.0,Flexible,TRY,0.0,0.0,31,4.87,4.7,4.8,4.5,4.8,4.7,4.7,5036.0,192334.0,125.6,4852.5,0.126,0.0,13.8,526.9,0.0,0.0,46,0,319,365,1271.0,49873.0,93.0,3650.6,0.156,0.0,14.1,554.1,0.0,0.0,14,0,76,90,Besiktas,Turkey,TR,Middle East
5275657,Superior Luxury 2+1 Apartment For Family &Couples,Room in aparthotel,entire_home,https://a0.muscache.com/im/pictures/c6a99a2e-af05-4c26-a3d3-687d47b5b647.jpg,19,26511605,Onur,,,False,41.0649,29.0044,5.0,2.0,3.0,1.0,True,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Portable fans,Smoking allowed,Gym,Conditioner,Elevator,Free street parking,Laundromat nearby,Outdoor furniture,Drying rack for clothing,Heating,Paid parking on premises,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Babysitter recommendations,Crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,EV charger,Shower gel,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Baking sheet,Toaster",,False,1.0,Flexible,TRY,0.0,0.0,21,4.62,4.7,4.8,4.5,4.8,4.6,4.5,4099.0,157329.0,168.5,6513.5,0.068,0.074,11.2,431.0,12.1,465.5,25,27,340,365,782.0,30685.0,154.5,6063.4,0.056,0.0,8.7,340.9,0.0,0.0,5,0,85,90,Besiktas,Turkey,TR,Middle East
5543311,Gorgeous Duplex Villa with Terrace,Entire villa,entire_home,https://a0.muscache.com/im/pictures/3f99fd92-4782-48b2-90f4-80bef72fb532.jpg,23,6161095,Alper,86269536,Utku,False,41.069,29.04,3.0,1.0,1.0,1.0,False,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Cleaning products,Heating,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Sound system,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Bread maker,Toaster",,False,6.0,Flexible,TRY,0.0,0.0,46,4.93,4.9,5.0,4.9,5.0,5.0,4.9,1417.0,55604.0,113.9,4400.1,0.033,0.0,3.9,152.3,0.0,0.0,12,0,353,365,793.0,31118.0,131.0,5141.3,0.067,0.0,8.8,345.8,0.0,0.0,6,0,84,90,Besiktas,Turkey,TR,Middle East
