listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
77292,3 Bedroom Apartment with Terrace Bosphorus View,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/1070c15c-8d09-491b-b633-ff2415ace3f7.jpg,11.0,414003,Cheya Resi̇dences,,,False,41.0358,28.9899,6.0,3.0,4.0,2.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Elevator,Bed linens,Refrigerator,Dishwasher,Heating,Cooking basics,Washer,Patio or balcony,Essentials,Long term stays allowed,Hair dryer,Iron,Dedicated workspace",False,,3.0,Flexible,TRY,0.0,0.0,14,4.36,4.1,4.9,4.4,4.7,4.6,4.2,8437.0,325581.0,178.8,6910.2,0.115,0.118,23.1,892.0,23.8,917.1,42,10,323,365,0.0,0.0,146.4,5744.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Beyoglu,Turkey,TR,Middle East
101397,❛Cozy • Clean • Central • Room❜,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-101397/original/16975f4c-e6a6-4ccf-96c2-f5d2fb49c597.jpg,10.0,531367,Guliz,,,False,41.0294,28.9804,,,1.0,0.0,False,"Hair dryer,Cleaning products,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Books and reading material,Portable fans,Heating,Fire extinguisher,First aid kit,Wifi,Pocket wifi,Refrigerator,Dishes and silverware,Freezer,Hot water kettle,Wine glasses,Bread maker,Laundromat nearby,Patio or balcony,Backyard,Free street parking,Paid parking off premises,Luggage dropoff allowed",,False,100.0,Firm,TRY,191.0,0.0,93,4.82,4.9,5.0,5.0,5.0,4.9,4.9,287.0,11037.0,29.4,1135.7,0.027,0.0,0.8,30.2,0.0,0.0,10,0,355,365,30.0,1177.0,31.4,1230.8,0.011,0.0,0.3,13.1,0.0,0.0,1,0,89,90,Beyoglu,Turkey,TR,Middle East
124137,"Your Istanbul Home — Artistic, Cozy, Central",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-124137/original/f7eb4922-dd7e-434d-8d64-d61128f3050a.jpeg,43.0,594053,Devrim,,,False,41.0345,28.9865,6.0,3.0,4.0,1.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Ethernet connection,Sound system,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,Babysitter recommendations,Air conditioning,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Trash compactor,Dining table,Coffee,Private entrance,Laundromat nearby,Resort access,Patio or balcony,Backyard,Free parking on premises,Elevator,Paid parking off premises,Single level home,Pets allowed,Long term stays allowed",,False,100.0,Moderate,TRY,,,139,4.85,4.9,4.8,4.9,4.9,4.8,4.8,6123.0,239379.0,78.5,3027.0,0.195,0.573,16.8,655.8,49.4,1930.5,71,241,294,365,0.0,0.0,79.7,3127.3,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Beyoglu,Turkey,TR,Middle East
130289,New flat with spectacular views in Cihangir,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/830056/fc108514_original.jpg,10.0,127160,Koray,,,False,41.0304,28.9852,3.0,,2.0,1.0,False,"TV,Washer,Dryer,Shower gel,Air conditioning,Kitchen,Essentials,Shampoo,Room-darkening shades,Smoking allowed,Pets allowed,Hot water,Dedicated workspace,Mosquito net,Bed linens,Cleaning products,Dishes and silverware,Heating,Cooking basics",False,False,2.0,Firm,TRY,,,10,5.0,4.9,5.0,5.0,4.9,4.9,4.8,3135.0,116224.0,95.4,3677.3,0.088,0.0,8.6,318.4,0.0,0.0,32,0,333,365,0.0,0.0,102.2,4009.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Beyoglu,Turkey,TR,Middle East
166265,Apartment in the Heart of the City1,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/29682321/ccda5be7_original.jpg,21.0,792658,Isik,,,False,41.0392,28.9827,4.0,2.0,2.0,1.0,True,"Hair dryer,Hot water,Washer,Essentials,Hangers,Iron,TV,Crib,Pack ’n play/Travel crib,Air conditioning,Heating,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Coffee maker,Paid parking off premises,Luggage dropoff allowed,Smoking allowed",,False,100.0,Moderate,TRY,17.0,0.0,229,4.52,4.6,4.9,4.5,4.9,4.8,4.5,9928.0,385583.0,71.7,2770.8,0.364,0.384,26.2,1018.0,27.7,1073.9,133,19,232,365,2343.0,91938.0,62.1,2437.7,0.422,0.0,24.7,969.7,0.0,0.0,38,0,52,90,Beyoglu,Turkey,TR,Middle East
282266,Charming Flat in Historic Street w/Modern Comfort,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2896094/1160c55d_original.jpg,36.0,1470523,Zeynep,,,True,41.0248,28.9734,3.0,1.0,2.0,1.0,True,"Wifi,Kitchen,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Sound system,Crib,Children’s books and toys,High chair,Babysitter recommendations,Air conditioning,Ceiling fan,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Baking sheet,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Limited,TRY,0.0,0.0,57,4.93,4.9,5.0,4.9,5.0,4.9,4.8,11568.0,447771.0,108.5,4185.2,0.288,0.372,31.7,1226.8,41.0,1587.8,105,83,260,365,2139.0,83933.0,95.2,3736.1,0.233,0.538,23.8,932.6,54.8,2152.1,21,51,69,90,Beyoglu,Turkey,TR,Middle East
282289,Modern Comfort Meets Historic Charm in Galata,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2896399/5ee4f0ef_original.jpg,32.0,1470523,Zeynep,,,True,41.0248,28.9734,3.0,2.0,2.0,1.0,True,"Wifi,Hair dryer,Cleaning products,Shampoo,Hot water,Shower gel,Washer,Dryer,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,Clothing storage,TV,Sound system,Books and reading material,Crib,Children’s books and toys,High chair,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Coffee,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Limited,TRY,0.0,0.0,147,4.93,4.9,4.9,4.9,5.0,4.9,4.9,20990.0,819805.0,110.8,4278.7,0.523,0.673,57.5,2246.0,73.9,2886.6,191,81,174,365,6517.0,255738.0,93.5,3668.2,0.767,0.0,72.4,2841.5,0.0,0.0,69,0,21,90,Beyoglu,Turkey,TR,Middle East
304011,Beyoglu / Central with Beautiful View,Entire condo,entire_home,https://a0.muscache.com/im/pictures/70113245/4898bfe8_original.jpg,21.0,1564870,Living,,,False,41.0354,28.9732,2.0,2.0,2.0,1.5,False,"Wifi,Kitchen,Free parking on premises,Hot water kettle,Hot water,Body soap,Bed linens,Extra pillows and blankets,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Patio or balcony,Fire extinguisher,Essentials,Long term stays allowed,Hangers,Dining table,Iron,Dedicated workspace,Baking sheet,Toaster",False,,100.0,Firm,TRY,63.0,0.0,38,4.76,4.8,5.0,4.9,5.0,4.6,4.7,653.0,25623.0,52.2,2014.1,0.027,0.047,1.6,63.4,2.8,109.7,10,154,355,365,0.0,0.0,51.5,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Beyoglu,Turkey,TR,Middle East
362196,Apartment in the Heart of the City2,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/31361592/1ee8f0d3_original.jpg,22.0,792658,Isik,,,False,41.0391,28.9827,4.0,1.0,2.0,1.0,True,"Hair dryer,Hot water,Washer,Essentials,Hangers,Iron,TV,Crib,Pack ’n play/Travel crib,Air conditioning,Heating,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Coffee maker,Paid parking off premises,Luggage dropoff allowed,Smoking allowed",,False,3.0,Moderate,TRY,11.0,0.0,178,4.65,4.7,4.9,4.6,4.9,4.8,4.7,8389.0,323438.0,67.0,2587.8,0.323,0.331,22.3,857.7,22.8,876.9,118,8,247,365,1203.0,47207.0,49.8,1954.6,0.244,0.268,13.0,510.1,14.3,559.9,22,8,68,90,Beyoglu,Turkey,TR,Middle East
362228,Studio in the Heart of the City 1,Entire loft,entire_home,https://a0.muscache.com/im/pictures/35675787/ca147d34_original.jpg,24.0,792658,Isik,,,False,41.0391,28.9827,2.0,,1.0,1.0,True,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,TV,Crib,Air conditioning,Heating,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Coffee maker,Patio or balcony,Paid parking off premises,Luggage dropoff allowed,Smoking allowed",,False,3.0,Flexible,TRY,23.0,0.0,230,4.78,4.8,4.9,4.7,5.0,4.8,4.7,8998.0,349983.0,66.0,2550.6,0.362,0.363,23.5,911.9,23.5,914.4,132,1,233,365,2603.0,102148.0,57.8,2266.3,0.489,0.0,26.9,1054.7,0.0,0.0,44,0,46,90,Beyoglu,Turkey,TR,Middle East
