listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
121902,Chill out Villa in Koyunbaba Bay with Private pool,Entire home,entire_home,https://a0.muscache.com/im/pictures/77c0e3a9-08d3-4c4e-8935-bfb462cb384d.jpg,77.0,611869,Tracey,,,False,37.0758,27.2426,6.0,3.0,4.0,1.0,True,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Conditioner,Mini fridge,Free street parking,Laundromat nearby,Outdoor furniture,Hammock,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Bathtub,Children’s books and toys,Blender,Crib,Pack ’n play/Travel crib,Room-darkening shades,Bikes,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",,False,7.0,Firm,TRY,0.0,0.0,8.0,5.0,5.0,5.0,4.9,5.0,4.9,5.0,24455.0,959613.0,390.1,15081.4,0.162,0.321,67.0,2629.1,132.9,5215.3,59,181,306,365,0.0,0.0,397.7,15607.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Bodrum,Turkey,TR,Middle East
805342,Sunset Beach Apartments (No8) with Sea View,Entire condo,entire_home,https://a0.muscache.com/im/pictures/11494599/4c8054cc_original.jpg,16.0,4237427,Onur,,,False,37.0092,27.2563,3.0,1.0,2.0,1.0,True,"High chair,TV,Cable TV,Wifi,Waterfront,Air conditioning,Crib,Kitchen,Books and reading material,Hot water,Mosquito net,Bed linens,Free street parking,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Clothing storage,Washer,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Safe,Hangers,Dining table,Hair dryer,Iron,Freezer,Toaster",,False,3.0,Firm,TRY,,,7.0,5.0,5.0,5.0,5.0,4.6,5.0,5.0,8372.0,328520.0,92.6,3574.0,0.252,0.336,22.9,900.1,30.6,1199.0,92,91,273,365,0.0,0.0,98.1,3849.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Bodrum,Turkey,TR,Middle East
805361,Sea View Village / Bodrum Center,Entire home,entire_home,https://a0.muscache.com/im/pictures/bda48dbc-d724-485f-b611-d06e747dcb05.jpg,34.0,4235918,Cem,,,False,37.0292,27.441,5.0,2.0,4.0,1.0,True,"Smoking allowed,Gym,Hair dryer,Cleaning products,Outdoor shower,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Crib,Pack ’n play/Travel crib,High chair,Children’s dinnerware,Air conditioning,Heating,Smoke alarm,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Baking sheet,Waterfront,Beach access,Patio or balcony,Backyard,Free parking on premises,Free street parking,Pool,Single level home,Long term stays allowed,Cleaning before checkout",,False,3.0,Limited,TRY,104.0,0.0,21.0,4.76,4.8,4.5,4.8,4.9,4.9,4.7,23536.0,922545.0,352.3,13630.0,0.175,0.0,61.9,2426.9,0.0,0.0,64,0,301,365,0.0,0.0,398.1,15622.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Bodrum,Turkey,TR,Middle East
853827,Mandarin Villas,Entire villa,entire_home,https://a0.muscache.com/im/pictures/26626113/ac2aff43_original.jpg,70.0,454229103,Selen,4458645,Emre,False,37.0434,27.2517,16.0,12.0,15.0,6.0,True,"Hair dryer,Hot water,Washer,Dryer,Essentials,Iron,TV,Air conditioning,Indoor fireplace,Heating,Wifi,Dedicated workspace,Kitchen,Cooking basics,Stove,Free parking on premises,Pool,Cleaning before checkout",,False,3.0,Firm,TRY,0.0,0.0,59.0,4.85,4.9,4.8,4.8,4.8,4.6,4.8,81238.0,3184151.0,668.7,25796.1,0.321,0.0,222.6,8723.7,0.0,0.0,117,0,248,365,1230.0,48265.0,619.5,24307.8,0.022,0.0,13.7,536.3,0.0,0.0,2,0,88,90,Bodrum,Turkey,TR,Middle East
967193,"Villa Lilly | Bodrum, Bitez",Entire villa,entire_home,https://a0.muscache.com/im/pictures/68107669/20c11aed_original.jpg,37.0,4486574,Important Group,,,False,37.0429,27.3898,4.0,2.0,3.0,1.5,True,"High chair,TV,Washer,BBQ grill,Air conditioning,Backyard,Pool,Kitchen,Pack ’n play/Travel crib,Hair dryer,Outdoor dining area,Outdoor furniture",,False,7.0,Firm,TRY,258.0,0.0,1.0,,,,,,,,5392.0,211582.0,382.7,14827.1,0.055,0.0,12.7,496.5,0.0,0.0,20,0,345,365,0.0,0.0,724.7,28437.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Bodrum,Turkey,TR,Middle East
997955,City Center By the Marina with Balcony and Terrace,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/b953e3a8-22a1-4d3f-b7ff-a04d6c6c7c38.jpg,42.0,5484124,Alp,9629134,Melike,True,37.0348,27.4227,6.0,2.0,3.0,1.5,True,"TV,Smoking allowed,Gym,Hair dryer,Cleaning products,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Baking sheet,Blender,Dining table,Coffee,Waterfront,Free street parking,Paid parking off premises,Long term stays allowed",,False,3.0,Moderate,TRY,81.0,0.0,177.0,4.86,4.9,4.9,4.8,5.0,5.0,4.8,26216.0,1020534.0,110.5,4276.5,0.532,0.0,63.4,2465.1,0.0,0.0,194,0,171,365,2119.0,83148.0,99.9,3920.5,0.211,0.0,20.8,817.9,0.0,0.0,19,0,71,90,Bodrum,Turkey,TR,Middle East
1149100,Villa Jasmine 32,Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-1149100/original/bf0815aa-20f1-4ddb-abe7-a7acf37fa110.jpeg,55.0,6251630,Civan,,,True,37.0663,27.2455,6.0,3.0,3.0,2.0,True,"Elevator,Gym,Hair dryer,Cleaning products,Shampoo,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Crib,Pack ’n play/Travel crib,High chair,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Dining table,Beach access,Private entrance,Patio or balcony,Backyard,Outdoor dining area,Free parking on premises,Free street parking,Pool,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Firm,TRY,110.0,0.0,22.0,4.59,4.6,4.5,4.6,4.7,4.4,4.5,21751.0,847713.0,169.9,6540.2,0.249,0.324,56.9,2216.1,73.9,2878.5,91,84,274,365,0.0,0.0,101.0,3963.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Bodrum,Turkey,TR,Middle East
1618625,Seaview Apart Bodrum,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1618625/original/1c088ced-5136-4dd4-b912-3453d92e80c6.jpeg,26.0,8610494,Gökhan Özcan,,,True,36.9705,27.283,6.0,3.0,4.0,1.0,True,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Resort access,Trash compactor,Free street parking,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Beach access,Smoke alarm,Fire extinguisher,Bidet,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Outlet covers,High chair,Window guards,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Stove,Shower gel,Patio or balcony,Beach essentials,Long term stays allowed,Dining table",,False,,Moderate,TRY,58.0,0.0,23.0,5.0,5.0,5.0,4.9,5.0,4.8,5.0,20807.0,812415.0,107.7,4184.3,0.411,0.419,53.2,2076.1,54.2,2116.7,150,7,215,365,366.0,14362.0,87.6,3439.1,0.033,0.0,3.4,134.3,0.0,0.0,3,0,87,90,Bodrum,Turkey,TR,Middle East
1651024,Deluxe Villa with Pool and Beach,Entire home,entire_home,https://a0.muscache.com/im/pictures/46597033/8cec067c_original.jpg,35.0,8753963,⁨Jack C.⁩,,,False,37.1428,27.3277,5.0,3.0,6.0,4.5,True,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Outdoor furniture,Indoor fireplace,Refrigerator,Drying rack for clothing,Dishwasher,Dishes and silverware,Cooking basics,Oven,Clothing storage,Wine glasses,Washer,Beach access,Smoke alarm,BBQ grill,Patio or balcony,Backyard,Bidet,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance",,False,10.0,Firm,TRY,150.0,0.0,3.0,5.0,5.0,5.0,4.7,5.0,5.0,5.0,3790.0,148717.0,339.9,13118.3,0.03,0.0,10.0,391.3,0.0,0.0,11,0,354,365,0.0,0.0,356.6,13992.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Bodrum,Turkey,TR,Middle East
2052424,"Bodrum Gumusluk, 4 bedroom Design Villa",Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-2052424/original/4c439c4b-4459-4472-8875-66beba577464.jpeg,75.0,10516917,Lennart,518151038,Zeynep,False,37.0405,27.2631,7.0,4.0,4.0,3.0,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Gym,Outdoor furniture,Indoor fireplace,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,First aid kit,Essentials,Hangers,Hair dryer,Iron,Outdoor dining area,Sound system,High chair,Fireplace guards,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Exercise equipment,Patio or balcony,Backyard,Long term stays allowed,Dining table,Barbecue utensils,Sun loungers,Toaster",False,,100.0,Strict,TRY,116.0,0.0,31.0,4.84,4.8,4.9,4.3,4.9,4.8,4.7,24269.0,948896.0,301.1,11674.0,0.203,0.219,64.3,2512.4,69.4,2713.1,74,27,291,365,0.0,0.0,314.6,12345.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Bodrum,Turkey,TR,Middle East
