listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
217675,Gorgeous Pool Home In Alacati Village,Entire home,entire_home,https://a0.muscache.com/im/pictures/c44ff45f-57e3-41a4-a134-02114a0e1aa6.jpg,25,1124367,Mujde,,,True,38.2853,26.3726,6.0,3.0,4.0,3.5,True,"Hair dryer,Shampoo,Outdoor shower,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Mosquito net,TV,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Air conditioning,Heating,Exterior security cameras on property,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free street parking,Pool,Luggage dropoff allowed,Long term stays allowed",,False,4.0,Firm,TRY,250.0,0.0,43.0,4.86,4.9,4.6,4.8,4.8,4.9,4.7,46737.0,1827760.0,385.9,14872.2,0.285,0.293,116.4,4550.7,119.7,4678.8,104,10,261,365,5107.0,200398.0,335.5,13164.6,0.133,0.15,42.9,1681.6,48.2,1891.8,12,10,78,90,Cesme,Turkey,TR,Middle East
1008115,Villa with pool for rent in Alacati mustakil center,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1008115/original/2997dc70-118b-4449-a3f2-602b59b71dbc.jpeg,23,5545081,Sadik,,,False,38.2919,26.3866,8.0,4.0,8.0,2.0,True,"TV,Washer,Smoke alarm,BBQ grill,Wifi,Air conditioning,First aid kit,Pool,Fire extinguisher,Kitchen,Free parking on premises,Outdoor shower,Outdoor dining area",False,False,1.0,Flexible,TRY,0.0,0.0,3.0,4.33,4.0,4.7,5.0,5.0,4.3,4.0,8561.0,335932.0,370.9,14273.6,0.058,0.059,23.5,920.4,24.0,941.0,21,8,344,365,0.0,0.0,278.8,10940.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Cesme,Turkey,TR,Middle East
2604796,Apartment Great Sea/Marina View 1st,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2604796/original/60af67d7-bb13-418b-b3d2-9934cf758916.jpeg,47,13339936,Ben,,,False,38.3567,26.316,4.0,1.0,1.0,1.0,True,"TV,Wifi,Waterfront,Air conditioning,Kitchen,Board games,Books and reading material,Free street parking,Outdoor furniture,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses,Washer,Beach access,Smoke alarm,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Baby bath,High chair,Crib,Room-darkening shades,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Stove,Single level home,BBQ grill,Patio or balcony,Backyard,Dining table,Barbecue utensils,Sun loungers,Toaster",True,False,3.0,Flexible,TRY,40.0,0.0,53.0,4.58,4.7,4.8,4.4,4.9,4.6,4.5,1713.0,67219.0,138.8,5364.9,0.027,0.056,4.4,171.3,8.8,347.3,10,185,355,365,0.0,0.0,135.3,5308.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Cesme,Turkey,TR,Middle East
2787990,Boutique Hotel in Çeşme,Room in boutique hotel,private_room,https://a0.muscache.com/im/pictures/76572412/40ee1a60_original.jpg,22,14194065,Ergun,,,False,38.3231,26.3056,16.0,7.0,8.0,1.0,True,"High chair,TV,Cable TV,Wifi,Air conditioning,Pool,Crib,Pack ’n play/Travel crib,Free parking on premises,Hot water,Body soap,Breakfast,Conditioner,Bed linens,Extra pillows and blankets,Free street parking,Pocket wifi,Indoor fireplace,Heating,Clothing storage,Smoke alarm,Shower gel,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer",False,False,1.0,Moderate,TRY,5.0,0.0,72.0,4.58,4.6,4.7,4.4,4.6,4.7,4.6,5564.0,215484.0,86.4,3339.6,0.162,0.0,15.1,584.5,0.0,0.0,59,0,306,365,0.0,0.0,70.9,2781.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Cesme,Turkey,TR,Middle East
3461398,Alacati Red House,Entire home,entire_home,https://a0.muscache.com/im/pictures/c1d21150-d5bf-4d37-997a-bd5c37e1ff81.jpg,36,15072826,TTH Turizm Ltd Sti,134032917,Egenest,True,38.2835,26.3749,6.0,2.0,3.0,2.0,True,"Air conditioning,Wifi,Hair dryer,Shampoo,Conditioner,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Crib,Pack ’n play/Travel crib,High chair,Baby bath,Children’s dinnerware,Babysitter recommendations,Air conditioning,Heating,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Resort access,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,Free parking on premises,Free street parking,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Firm,TRY,150.0,0.0,99.0,4.89,4.9,4.9,4.9,5.0,5.0,4.8,17396.0,681551.0,224.4,8677.2,0.181,0.188,41.9,1641.5,43.5,1702.1,66,13,299,365,1974.0,77460.0,209.3,8213.8,0.089,0.104,18.6,729.9,21.7,853.1,8,13,82,90,Cesme,Turkey,TR,Middle East
3470259,PORT ALLAÇATI -HILLSIDE HOUSE-Deluxe,Entire villa,entire_home,https://a0.muscache.com/im/pictures/43858484/abbff5b6_original.jpg,22,10633373,Beykan,,,False,38.3184,26.3523,6.0,3.0,7.0,3.0,True,"TV,Cable TV,Children’s books and toys,Air conditioning,Pool,Kitchen,Free parking on premises,Children’s dinnerware,Smoking allowed,Gym,Resort access,Coffee maker,Refrigerator,Dishes and silverware,Heating,Washer,EV charger,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Backyard,Fire extinguisher,Essentials,Dedicated workspace",,False,7.0,Moderate,TRY,51.0,0.0,2.0,,,,,,,,9448.0,370733.0,239.6,9247.0,0.104,0.11,25.2,988.3,26.6,1042.6,38,19,327,365,0.0,0.0,246.6,9678.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Cesme,Turkey,TR,Middle East
3872284,Studio with great seaview,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-3872284/original/d2204474-462c-4c11-a67f-afb1811bbd92.jpeg,31,13339936,Ben,,,False,38.3554,26.3161,2.0,,1.0,1.0,True,"TV,Wifi,Waterfront,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Free street parking,Outdoor furniture,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Washer,Beach access,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Window guards,Room-darkening shades,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Dining table,Sun loungers,Toaster",,,3.0,Flexible,TRY,28.0,,51.0,4.43,4.6,4.8,4.3,4.9,4.7,4.5,1628.0,63883.0,97.1,3755.2,0.038,0.057,4.4,172.0,6.5,255.2,14,119,351,365,0.0,0.0,91.6,3593.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Cesme,Turkey,TR,Middle East
4852667,Kekik One Bedroom Apart,Room in aparthotel,private_room,https://a0.muscache.com/im/pictures/aa16d38a-3248-4d6e-a8b6-1cbad3c67225.jpg,19,24965857,Nedim,,,False,38.3241,26.3037,4.0,2.0,1.0,1.0,True,"TV,Washer,Smoke alarm,Wifi,Air conditioning,First aid kit,Fire extinguisher,Kitchen,Essentials,Shampoo,Hot water,Breakfast,Heating",,False,2.0,Moderate,TRY,0.0,0.0,35.0,4.74,4.8,5.0,4.8,5.0,4.9,4.8,2269.0,89034.0,95.8,3671.9,0.049,0.0,6.2,243.9,0.0,0.0,18,0,347,365,0.0,0.0,26.6,1042.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Cesme,Turkey,TR,Middle East
5566508,STONE HOUSE IN ALACATI,Entire home,entire_home,https://a0.muscache.com/im/pictures/8624fdd8-96e2-49c8-a6a1-f7f7342a3f3d.jpg,23,28859263,Gökçe,,,False,38.2776,26.3712,5.0,3.0,3.0,2.0,True,"Hair dryer,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Mosquito net,Ethernet connection,TV,Books and reading material,Children’s dinnerware,Fireplace guards,Outlet covers,Baby safety gates,Babysitter recommendations,Children's playroom,Outdoor playground,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Bread maker,Patio or balcony,Backyard,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Free street parking,Pool,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Limited,TRY,0.0,0.0,21.0,4.71,4.7,4.9,4.6,4.7,4.7,4.8,12263.0,477370.0,150.7,5826.5,0.227,0.251,33.6,1307.9,37.0,1442.2,83,34,282,365,687.0,26958.0,171.1,6714.9,0.033,0.0,7.6,299.5,0.0,0.0,3,0,87,90,Cesme,Turkey,TR,Middle East
5808535,Alacati Blue House,Entire home,entire_home,https://a0.muscache.com/im/pictures/72328746/0f7abd51_original.jpg,39,15072826,TTH Turizm Ltd Sti,134032917,Egenest,True,38.293,26.2821,6.0,2.0,2.0,2.0,True,"Hair dryer,Shampoo,Conditioner,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Baby bath,Air conditioning,Heating,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Dining table,Coffee,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Free street parking,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Firm,TRY,155.0,0.0,37.0,4.92,5.0,5.0,4.9,5.0,4.9,4.9,22631.0,883746.0,220.4,8524.2,0.233,0.25,56.1,2187.9,60.2,2348.8,85,25,280,365,535.0,20993.0,198.6,7793.9,0.022,0.031,4.2,165.7,5.8,229.4,2,25,88,90,Cesme,Turkey,TR,Middle East
