listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
225381,Cozy 2BR beachfront  apt in JBR,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/fb8ccb1e-e173-4e48-87e0-a6b8af405604.jpg,35,1174239,Slava,,,False,25.0772,55.1343,5.0,2.0,3.0,2.5,True,"TV,Washer,Cable TV,Beach access,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Pool,Kitchen,Essentials,Free parking on premises,Shampoo,Hangers,Hair dryer,Iron,Elevator,Refrigerator",,False,5.0,Firm,AED,100.0,0.0,20,4.58,4.6,4.8,4.4,4.8,4.8,4.7,4105.0,15080.0,196.5,721.8,0.052,0.164,10.2,37.3,31.9,117.3,19,249,346,365,1935.0,7109.0,193.9,712.4,0.1,0.225,19.3,70.8,43.4,159.4,9,50,81,90,Dubai,United Arab Emirates,AE,Middle East
766072,Stunning beach side property in JBR,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzY2MDcy/original/81b1ea28-5dc9-4c48-8afc-c9dbb255cd74.jpeg,60,4039661,Sal,,,True,25.0777,55.134,9.0,4.0,7.0,3.5,True,"Gym,Smoking allowed,Bathtub,Hair dryer,Bidet,Hot water,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,High chair,Air conditioning,Smoke alarm,Carbon monoxide alarm,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Waterfront,Resort access,Patio or balcony,Free parking on premises,Pool,Elevator,Single level home,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,3.0,Moderate,AED,55.0,0.0,242,4.9,4.9,4.9,4.8,5.0,5.0,4.8,53752.0,197429.0,413.3,1518.0,0.362,0.383,142.7,524.3,151.0,554.7,132,20,233,365,13652.0,50143.0,468.4,1720.5,0.322,0.414,148.0,543.7,190.3,699.0,29,20,61,90,Dubai,United Arab Emirates,AE,Middle East
1290519,Sea inside (JBR 1BR Apt. Sea view),Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/88120fbf-e293-4053-b192-7981ab0361dd.jpg,58,7017607,Alex&Natalia,,,False,25.0772,55.135,4.0,1.0,2.0,1.5,True,"Bathtub,Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,TV,Children’s books and toys,Children’s dinnerware,Air conditioning,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Toaster,Waterfront,Beach access,Patio or balcony,Beach essentials,Free parking on premises,Pool,Elevator,EV charger,Gym,Long term stays allowed",,False,3.0,Firm,AED,,,89,4.77,4.8,4.9,4.7,4.8,4.9,4.7,13281.0,48785.0,169.0,620.6,0.252,0.38,36.4,133.7,54.9,201.6,92,123,273,365,0.0,0.0,197.8,726.5,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Dubai,United Arab Emirates,AE,Middle East
2061560,"Luxe  1BD,  boutique apt full lakeview 1m to Metro",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2061560/original/60a0265e-3aae-4088-9973-70b961035081.jpeg,41,10551173,Schahin,"490300629,496542445","Shima,La Buena Vida",True,25.0697,55.1409,6.0,1.0,3.0,2.0,True,"Free parking on premises,Smoking allowed,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Crib,High chair,Air conditioning,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Waterfront,Lake access,Private entrance,Laundromat nearby,Resort access,Patio or balcony,Outdoor furniture,Free parking on premises,Pool,Hot tub,Sauna,Elevator,Gym,Single level home,Long term stays allowed",,False,3.0,Moderate,AED,54.0,0.0,79,4.95,5.0,4.9,4.8,4.9,5.0,4.8,51970.0,190868.0,177.3,651.1,0.784,0.0,136.3,500.7,0.0,0.0,286,0,79,365,17808.0,65400.0,277.2,1018.1,0.711,0.0,191.9,704.7,0.0,0.0,64,0,26,90,Dubai,United Arab Emirates,AE,Middle East
2333758,"Luxury 5BR+Maid• Steps to JBR Beach, Marina & Tram",Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjMzMzc1OA%3D%3D/original/4a69183e-6f14-491a-b2a7-e08c1a2518f8.jpeg,66,10551173,Schahin,"490300629,496542445","Shima,La Buena Vida",True,25.082,55.1387,16.0,6.0,11.0,4.0,True,"Smoking allowed,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Crib,High chair,Air conditioning,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Beach access,Lake access,Private entrance,Laundromat nearby,Resort access,Patio or balcony,Free parking on premises,Pool,Elevator,Gym,Paid parking on premises,Single level home,Long term stays allowed",,False,3.0,Moderate,AED,76.0,0.0,126,4.97,4.9,4.9,4.9,5.0,5.0,4.9,122548.0,450109.0,398.8,1464.8,0.781,0.0,323.3,1187.3,0.0,0.0,285,0,80,365,44631.0,163925.0,539.8,1982.8,0.878,0.0,482.4,1771.8,0.0,0.0,79,0,11,90,Dubai,United Arab Emirates,AE,Middle East
2485515,Perfect location in Marina View of Marina and City,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2485515/original/1ee1f567-5b8f-47a1-9081-f0b3d674c141.jpeg,32,10146595,Dorar,,,False,25.0815,55.1451,4.0,1.0,2.0,1.0,True,"TV,Wifi,Pool,Smoking allowed,Hair dryer,Cleaning products,Bidet,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Exercise equipment,Books and reading material,Crib,Pack ’n play/Travel crib,High chair,Baby bath,Air conditioning,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Waterfront,Beach access,Patio or balcony,Outdoor furniture,Outdoor dining area,Free parking on premises,Pool,Elevator,Gym,Long term stays allowed",,False,3.0,Moderate,AED,68.0,0.0,99,4.73,4.8,4.9,4.7,4.9,4.9,4.6,8695.0,31940.0,148.1,544.1,0.151,0.362,21.8,80.0,52.3,192.0,55,213,310,365,990.0,3638.0,186.1,683.4,0.067,0.353,9.5,34.9,50.2,184.6,6,73,84,90,Dubai,United Arab Emirates,AE,Middle East
2731516,Beautiful apartment @theCreek 10' to all Landmarks,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2731516/original/ebf0b65c-5b6e-4cc3-8550-228733f6d7e1.jpeg,34,13977315,Virginie,,,False,25.2019,55.3473,2.0,1.0,1.0,1.0,False,"Wifi,Air conditioning,Pool,Free parking on premises,Hot water kettle,Books and reading material,Gym,Conditioner,Elevator,Free street parking,Outdoor furniture,Cleaning products,Coffee,Clothing storage,Wine glasses,Smoke alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Freezer,Rice maker,Babysitter recommendations,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Stove,EV charger,Exercise equipment,Shower gel,Patio or balcony,Safe,Cleaning before checkout,Dining table,Outdoor playground,Baking sheet",,,2.0,Moderate,AED,59.0,,9,4.67,4.7,4.6,4.6,4.8,4.9,4.7,2829.0,10391.0,100.1,367.9,0.071,0.083,7.3,26.7,8.4,30.9,26,50,339,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Dubai,United Arab Emirates,AE,Middle East
2833478,"Modern 2BR, Panoramic lake view, 3min to Metro st.",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjgzMzQ3OA%3D%3D/original/57557ab5-f080-426c-824a-1758d90493b6.jpeg,71,10551173,Schahin,"490300629,496542445","Shima,La Buena Vida",True,25.0677,55.1372,9.0,2.0,5.0,2.0,True,"Smoking allowed,Free parking on premises,Wifi,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Crib,High chair,Air conditioning,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Waterfront,Lake access,Private entrance,Laundromat nearby,Resort access,Patio or balcony,Outdoor furniture,Free parking on premises,Free street parking,Pool,Hot tub,Sauna,Elevator,Gym,Single level home,Long term stays allowed",,False,3.0,Moderate,AED,62.0,0.0,108,4.89,4.9,4.8,4.7,5.0,4.9,4.7,77064.0,283061.0,233.8,858.6,0.847,0.0,201.1,738.7,0.0,0.0,309,0,56,365,30322.0,111371.0,345.9,1270.4,0.933,0.0,326.6,1199.5,0.0,0.0,84,0,6,90,Dubai,United Arab Emirates,AE,Middle East
2884407,Brand New Spacious Studio With Panoramic Golf View,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-2884407/original/4bd1055f-35fb-4453-b379-4e4f50fd9e97.jpeg,30,14598101,Franck,"86676758,721796170","Kevin,Shamastay",False,25.0461,55.2067,4.0,1.0,1.0,1.0,True,"Hair dryer,Shampoo,Conditioner,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,Ethernet connection,TV,Exercise equipment,Outdoor playground,Air conditioning,Smoke alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Cooking basics,Freezer,Stove,Oven,Hot water kettle,Wine glasses,Dining table,Coffee,Patio or balcony,Outdoor furniture,Outdoor dining area,Sun loungers,Free parking on premises,Free street parking,Pool,Hot tub,Sauna,Elevator,Gym,Long term stays allowed,Cleaning before checkout",,False,1.0,Firm,AED,0.0,6.0,22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,13037.0,47886.0,100.3,368.6,0.334,0.344,35.7,131.2,36.7,134.9,122,10,243,365,5849.0,21485.0,114.6,420.9,0.556,0.0,65.0,238.7,0.0,0.0,50,0,40,90,Dubai,United Arab Emirates,AE,Middle East
3163938,"JLT ♥ BRIGHT, COZY 1BR ♥ BALCONY PARK VIEW",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/988ee881-0e06-4214-adbb-6f1bc2120755.jpg,30,14307051,Edgar,,,False,25.0783,55.1481,4.0,1.0,2.0,1.0,True,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Iron,TV,Air conditioning,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Patio or balcony,Free parking on premises,Pool,Hot tub,Elevator,Gym",,False,2.0,Firm,AED,39.0,0.0,81,4.73,4.9,5.0,4.6,4.9,4.8,4.5,6816.0,25034.0,115.9,425.9,0.184,0.25,18.4,67.4,25.0,91.8,67,97,298,365,0.0,0.0,143.7,527.9,0.0,0.0,0.0,0.0,0.0,0.0,0,69,90,90,Dubai,United Arab Emirates,AE,Middle East
