listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
596865,R & R EILAT+garden,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/38808973/16223e71_original.jpg,12.0,2951406,Ronit,,,False,29.5585,34.9496,2.0,1.0,1.0,1.0,False,"Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Air conditioning,Ceiling fan,Heating,Exterior security cameras on property,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Hot water kettle,Coffee maker,Toaster,Dining table,Laundromat nearby,Outdoor furniture,Free parking on premises,Free street parking,Long term stays allowed",,False,3,Moderate,ILS,0,0.0,8,4.63,4.8,5.0,4.9,4.6,4.6,4.6,2323,8199,153.5,545.1,0.041,0.074,6.4,22.5,11.4,40.4,15,162,350,365,0,0,158.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0,62,90,90,Eilat,Israel,IL,Middle East
700535,Splendid & Welcoming Studio n/ Sea,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/8c79a000-7836-42a9-835a-7a50852e7715.jpg,40.0,3039580,Uri,,,False,29.5532,34.939,5.0,1.0,3.0,1.0,False,"Hair dryer,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Crib,High chair,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Private entrance,Backyard,Free parking on premises,Free street parking",,False,2,Moderate,ILS,0,0.0,268,4.91,4.9,5.0,4.9,5.0,4.7,4.9,10550,37431,91.8,326.0,0.337,0.345,28.9,102.6,29.6,104.8,123,8,242,365,342,1203,106.4,374.5,0.033,0.0,3.8,13.4,0.0,0.0,3,0,87,90,Eilat,Israel,IL,Middle East
724690,"AMDAR EILAT, Best Location Private Garden Studio",Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-724690/original/12da49bb-a1e4-4e17-8ef3-abfafeed0aa1.png,24.0,3745712,Yosef,,,True,29.5518,34.9487,2.0,1.0,1.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Clothing storage,TV,Books and reading material,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Microwave,Dishes and silverware,Mini fridge,Coffee maker,Wine glasses,Toaster,Barbecue utensils,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,2,Flexible,ILS,0,0.0,408,4.85,4.9,5.0,4.9,4.9,4.9,4.8,16669,59114,106.2,377.3,0.427,0.431,45.7,162.0,46.0,163.3,156,3,209,365,3365,11841,105.4,371.0,0.344,0.356,37.4,131.6,38.7,136.1,31,3,59,90,Eilat,Israel,IL,Middle East
741943,A five star with 556 fantastic reviews!,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/da0c05e1-d161-4dfa-9766-723a8bf4378a.jpg,61.0,3884771,Niki,,,True,29.5649,34.9545,2.0,1.0,1.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Wine glasses,Dining table,Private entrance,Patio or balcony,Backyard,Beach essentials,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed,Smoking allowed",,False,2,Flexible,ILS,15,0.0,666,4.96,5.0,5.0,5.0,5.0,4.7,5.0,17938,63727,69.8,247.8,0.663,0.754,46.6,165.4,52.9,188.1,242,44,123,365,2937,10335,71.6,251.8,0.433,0.534,31.3,110.1,38.6,135.8,39,17,51,90,Eilat,Israel,IL,Middle East
755147,Like Home at the Tehar-Lev Family,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzU1MTQ3/original/3d9274d0-a460-4325-bfd1-3b4402fdd536.jpeg,37.0,3973608,Ze'Ev,,,False,29.5489,34.9481,4.0,1.0,1.0,1.0,False,"TV,Wifi,Air conditioning,Kitchen,Room-darkening shades,Hot water kettle,Ceiling fan,Hot water,Conditioner,Bed linens,Outdoor furniture,Microwave,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Coffee,Clothing storage,Stove,Wine glasses,Single level home,Beach access,Smoke alarm,Shower gel,Patio or balcony,First aid kit,Essentials,Long term stays allowed,Safe,Shampoo,Hangers,Dining table,Hair dryer,Iron,Outdoor dining area,Private entrance,Toaster",,False,2,Flexible,ILS,30,0.0,294,4.91,4.9,5.0,5.0,5.0,4.9,4.8,7170,25431,167.3,593.5,0.107,0.123,18.6,65.9,21.3,75.6,39,47,326,365,1355,4771,141.7,498.8,0.1,0.0,14.1,49.5,0.0,0.0,9,0,81,90,Eilat,Israel,IL,Middle East
775982,Luxury 2 rooms apt. with balcony,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/10852924/58f4c74f_original.jpg,39.0,1896007,Yuval,,,False,29.5518,34.9507,5.0,1.0,1.0,1.0,False,"TV,Washer,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Gym,Elevator,Hot tub",,False,3,Firm,ILS,50,0.0,19,4.58,4.5,4.7,4.4,4.9,4.7,4.6,6020,21186,269.4,957.5,0.047,0.0,16.2,57.1,0.0,0.0,17,0,348,365,0,0,188.4,662.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Eilat,Israel,IL,Middle East
909138,The Cozy Cabin,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/25763045/30ce195a_original.jpg,16.0,4874888,Billy,,,True,29.5586,34.9483,2.0,2.0,1.0,1.0,False,"TV,Washer,Cable TV,Wifi,Air conditioning,Fire extinguisher,Kitchen,Essentials,Free parking on premises,Shampoo,Hair dryer,Hot water,Dedicated workspace,Extra pillows and blankets,Heating,Cooking basics",,False,2,Moderate,ILS,0,28.0,627,4.87,4.9,4.9,4.9,4.9,4.7,4.9,14594,51834,56.9,202.1,0.701,0.705,40.0,142.0,40.2,142.8,256,2,109,365,3770,13266,67.0,235.6,0.6,0.614,41.9,147.4,42.8,150.8,54,2,36,90,Eilat,Israel,IL,Middle East
1177734,olla apartaments 4 room,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/ef0ced5f-1119-416a-b276-b1c04cad0842.jpg,32.0,6443344,Olika,,,False,29.5428,34.9377,9.0,3.0,3.0,2.5,False,"TV,Washer,Cable TV,Wifi,Patio or balcony,Air conditioning,Pool,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Iron,Gym,Dedicated workspace,Elevator,Refrigerator,Dishes and silverware,Heating",,False,2,Moderate,ILS,60,0.0,1,,,,,,,,4981,17528,319.7,1136.1,0.041,0.0,13.2,46.3,0.0,0.0,15,0,350,365,698,2456,312.2,1098.7,0.022,0.0,7.1,24.9,0.0,0.0,2,0,88,90,Eilat,Israel,IL,Middle East
1211384,VIP Penthouse Eilat,Shared room in serviced apartment,shared_room,https://a0.muscache.com/im/pictures/f4c47b2d-f5ef-4e2d-977a-21f596924260.jpg,29.0,6612066,Amos,,,False,29.5466,34.9456,12.0,4.0,11.0,4.5,False,"TV,Cable TV,Ping pong table,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Smoking allowed,Gym,Conditioner,Mini fridge,Free street parking,Outdoor furniture,Hot tub,Cleaning products,Indoor fireplace,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Bathtub,High chair,Baby safety gates,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics",False,False,2,Flexible,ILS,179,0.0,3,5.0,4.7,5.0,4.7,5.0,3.3,4.7,25703,90449,688.5,2444.5,0.099,0.12,65.5,230.5,79.7,280.5,36,65,329,365,0,0,794.7,2796.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Eilat,Israel,IL,Middle East
1265652,"Villa with private pool, 600 meters from the sea",Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-1265652/original/3da86aa8-20c5-4662-a35d-2fbc44034798.jpeg,29.0,6882105,David,,,False,29.5522,34.9484,10.0,5.0,7.0,5.0,False,"High chair,TV,Ping pong table,Wifi,Air conditioning,Pool,Crib,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Hot water kettle,Hot water,Outdoor shower,Bed linens,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Washer,Dryer,Beach access,BBQ grill,Patio or balcony,Backyard,Essentials,Dining table,Baking sheet,Barbecue utensils,Outdoor dining area,Freezer,Private entrance",False,,3,Firm,ILS,239,0.0,67,4.75,4.8,4.9,4.4,4.9,4.8,4.8,32394,114785,692.8,2459.8,0.115,0.12,83.5,296.0,87.1,308.7,42,15,323,365,0,0,659.2,2319.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Eilat,Israel,IL,Middle East
