listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
227513,"2002 Downtown Sultanahmet,superior apart",Room in hotel,private_room,https://a0.muscache.com/im/pictures/12300017/7f35b1dc_original.jpg,13.0,1186560,Ramiz,,,False,41.0034,28.9788,4.0,1.0,2.0,1.0,True,"TV,Wifi,Air conditioning,Crib,Free parking on premises,Hot water,Breakfast,Elevator,Free street parking,Hot tub,Indoor fireplace,Refrigerator,Heating,Washer,Dryer,Beach access,Smoke alarm,Essentials,Shampoo,Hair dryer,Iron,Dedicated workspace",,False,1.0,Moderate,TRY,0.0,0.0,111,4.36,4.3,4.7,4.6,4.7,4.5,4.3,6557.0,251203.0,89.1,3442.3,0.2,0.209,18.0,688.2,18.8,719.8,73,16,292,365,921.0,36141.0,81.7,3204.6,0.122,0.0,10.2,401.6,0.0,0.0,11,0,79,90,Fatih,Turkey,TR,Middle East
559714,Blue Suites by V Deluxe,Entire home,entire_home,https://a0.muscache.com/im/pictures/7679612/ff2f1c5d_original.jpg,49.0,2751565,Volkan,,,True,41.0071,28.9791,7.0,5.0,5.0,3.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Ethernet connection,TV,Books and reading material,Crib,Pack ’n play/Travel crib,Board games,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Coffee,Private entrance,Laundromat nearby,Free street parking,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Strict,TRY,58.0,0.0,82,4.89,4.9,4.9,4.8,5.0,5.0,4.8,31760.0,1228245.0,238.2,9208.6,0.351,0.0,82.6,3190.5,0.0,0.0,128,0,237,365,2706.0,106183.0,255.7,10034.1,0.1,0.0,28.8,1129.2,0.0,0.0,9,0,81,90,Fatih,Turkey,TR,Middle East
607323,Blue Suites by V 1 Sultanahmet,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/7680069/72af94ed_original.jpg,34.0,2751565,Volkan,,,True,41.0071,28.98,3.0,2.0,2.0,1.5,True,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Conditioner,Laundromat nearby,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Mosquito net,Bed linens,Ethernet connection,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Toaster",,False,3.0,Strict,TRY,29.0,0.0,158,4.88,4.9,4.9,4.9,4.9,5.0,4.8,13936.0,542056.0,116.3,4491.5,0.307,0.0,36.1,1404.0,0.0,0.0,112,0,253,365,1001.0,39281.0,119.3,4682.2,0.089,0.0,10.8,423.8,0.0,0.0,8,0,82,90,Fatih,Turkey,TR,Middle East
607344,Blue Suites by V 2 Sultanahmet,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/7972946/68fdf9a3_original.jpg,24.0,2751565,Volkan,,,True,41.0052,28.9791,4.0,3.0,3.0,1.5,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Books and reading material,Crib,Pack ’n play/Travel crib,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Laundromat nearby,Paid parking off premises,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Strict,TRY,29.0,0.0,68,4.9,4.9,5.0,4.9,5.0,5.0,4.8,7226.0,281582.0,113.3,4376.8,0.167,0.0,18.6,724.7,0.0,0.0,61,0,304,365,889.0,34885.0,119.1,4672.7,0.078,0.0,9.2,362.3,0.0,0.0,7,0,83,90,Fatih,Turkey,TR,Middle East
618156,"Sultanahmet-Istanbul, Adalar Suites",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/12591891/ca56364f_original.jpg,19.0,2999837,Saban,,,False,41.0042,28.966,2.0,1.0,1.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Bidet,Hot water,Essentials,Hangers,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Crib,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Dining table,Free parking on premises,Free street parking,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Strict,TRY,0.0,0.0,144,4.47,4.6,4.6,4.7,4.7,4.5,4.5,4614.0,177874.0,63.3,2451.4,0.214,0.0,12.6,487.3,0.0,0.0,78,0,287,365,452.0,17737.0,83.0,3258.3,0.044,0.0,5.0,197.1,0.0,0.0,4,0,86,90,Fatih,Turkey,TR,Middle East
760403,"Fully Equipped Kitchen, Air Con, Private Entrance",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/85598302/70b27339_original.jpg,19.0,2552453,Ozkan,,,False,41.0274,28.9463,2.0,1.0,1.0,1.0,True,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Crib,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Cooking basics,Free street parking,Pets allowed,Long term stays allowed",,False,3.0,Firm,TRY,55.0,0.0,47,4.66,4.8,4.8,4.8,4.8,4.4,4.7,2597.0,101909.0,60.1,2325.7,0.101,0.137,6.7,261.5,9.0,352.2,37,94,328,365,2427.0,95239.0,65.1,2553.7,0.389,0.479,25.1,986.3,31.0,1216.0,35,17,55,90,Fatih,Turkey,TR,Middle East
871348,Spacious Balcony Duplex Sultanahmet,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-871348/original/9effabf6-7149-4794-b525-687d8eee4438.jpeg,17.0,4593728,Aslan Apartments Istanbul,,,True,41.0063,28.9704,8.0,2.0,4.0,2.0,True,"Air conditioning,Bathtub,Hair dryer,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Iron,TV,Crib,Pack ’n play/Travel crib,High chair,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Coffee maker,Patio or balcony,Free street parking,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,31.0,Firm,TRY,95.0,0.0,96,4.7,4.7,4.8,4.8,4.8,4.7,4.7,6139.0,240894.0,151.4,5839.1,0.107,0.0,15.8,619.1,0.0,0.0,39,0,326,365,2072.0,81303.0,150.3,5896.9,0.144,0.0,22.0,861.9,0.0,0.0,13,0,77,90,Fatih,Turkey,TR,Middle East
871781,Sea view Family Suite Sultanahmet,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/8cc1115b-1e3e-48f9-aec3-d485ab446d86.jpg,22.0,4593728,Aslan Apartments Istanbul,,,True,41.0063,28.9704,5.0,1.0,3.0,1.0,True,"Gym,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Crib,Pack ’n play/Travel crib,High chair,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Coffee maker,Patio or balcony,Free street parking,Smoking allowed",,False,31.0,Firm,TRY,50.0,0.0,136,4.78,4.8,4.8,4.8,4.9,4.7,4.8,8220.0,322550.0,98.7,3806.2,0.216,0.218,20.9,819.2,21.0,823.7,79,2,286,365,5999.0,235398.0,95.4,3743.5,0.644,0.659,62.2,2441.1,63.6,2496.6,58,2,32,90,Fatih,Turkey,TR,Middle East
874935,"Sultanahmet - Istanbul, Cumba Suite",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/12595231/0fb0c730_original.jpg,22.0,2999837,Saban,,,False,41.0042,28.966,2.0,1.0,1.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Bidet,Hot water,Essentials,Hangers,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Crib,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Dining table,Free parking on premises,Free street parking,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Strict,TRY,0.0,0.0,222,4.5,4.5,4.6,4.7,4.7,4.4,4.6,1564.0,60621.0,59.3,2299.5,0.079,0.0,4.3,166.1,0.0,0.0,29,0,336,365,312.0,12243.0,76.9,3019.4,0.056,0.0,3.5,136.0,0.0,0.0,5,0,85,90,Fatih,Turkey,TR,Middle East
1029771,"Sultanahmet-2 BR Apt,75 Sqm, 1st FL",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTAyOTc3MQ%3D%3D/original/1a2218b8-d7da-476d-9982-34ebfe46749a.jpeg,7.0,2999837,Saban,,,False,41.0027,28.9752,8.0,2.0,5.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Bidet,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Crib,High chair,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Dining table,Free parking on premises,Free street parking,Paid parking off premises,Paid parking on premises,Single level home,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Strict,TRY,0.0,0.0,216,4.35,4.3,4.6,4.4,4.6,4.7,4.4,10024.0,387751.0,132.1,5118.7,0.214,0.0,27.5,1062.3,0.0,0.0,78,0,287,365,2039.0,80009.0,116.4,4568.0,0.189,0.0,22.7,889.0,0.0,0.0,17,0,73,90,Fatih,Turkey,TR,Middle East
