listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
9471315,Studio,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6OTQ3MTMxNQ%3D%3D/original/86acf710-2cfe-4958-90f9-af5709b533cf.png,10,49086882,رحال البحر للشقق المخدومةRahha,,,False,21.5175,39.1538,2.0,1.0,1.0,1.0,True,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Hot water,Body soap,Conditioner,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Refrigerator,Drying rack for clothing,Heating,Cooking basics,Clothing storage,Washer,Smoke alarm,Shower gel,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Iron",,False,1.0,Flexible,SAR,0.0,0.0,13.0,3.85,3.9,4.5,3.9,4.0,4.5,3.5,5282.0,19812.0,81.9,307.1,0.145,0.0,14.5,54.3,0.0,0.0,53,0,312,365,170.0,638.0,77.4,290.3,0.022,0.0,1.9,7.1,0.0,0.0,2,0,88,90,Jeddah,Saudi Arabia,SA,Middle East
30300801,Eden Residence 108,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/ce089417-3c59-47b9-aaa2-a053a1480518.jpg,15,214780320,Eden,,,True,21.5428,39.1722,5.0,2.0,3.0,2.5,True,"Hair dryer,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Private entrance,Free parking on premises,Elevator,Gym,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,SAR,0.0,0.0,21.0,4.95,4.9,4.9,4.7,4.9,4.9,4.7,4135.0,15511.0,230.7,865.3,0.049,0.0,11.3,42.5,0.0,0.0,18,0,347,365,1604.0,6017.0,228.2,856.3,0.078,0.0,17.8,66.9,0.0,0.0,7,0,83,90,Jeddah,Saudi Arabia,SA,Middle East
36314322,"Jeddah Summer’s Apt, Get the most out of Jeddah!",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/bb67752e-9755-478e-a3f4-c1ba42318e0e.jpg,18,39612256,Khaled,309907798,Feras,True,21.6197,39.1524,4.0,2.0,3.0,2.0,True,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Smoke alarm,Essentials,Shampoo,Lock on bedroom door,Hangers,Iron",False,False,3.0,Moderate,SAR,0.0,0.0,58.0,4.93,4.9,5.0,4.9,5.0,4.9,4.8,6621.0,24839.0,71.4,267.7,0.26,0.262,18.1,68.1,18.2,68.4,95,2,270,365,0.0,0.0,78.0,292.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Jeddah,Saudi Arabia,SA,Middle East
42340863,Mabaat - White Pearl Villa B-600,Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-42340863/original/a085a0bc-25d2-4b1b-85f6-045735f05182.jpeg,14,281352340,Mabaat,,,False,21.7031,39.1084,4.0,2.0,3.0,3.5,True,"TV,Washer,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Essentials,Free parking on premises,Hair dryer,Iron,Dedicated workspace,Free street parking,Ethernet connection,Heating",True,False,1.0,Flexible,SAR,17.0,0.0,25.0,4.6,4.6,4.6,4.6,4.8,4.8,4.4,3413.0,12805.0,248.7,932.9,0.038,0.0,9.3,34.7,0.0,0.0,14,0,351,365,0.0,0.0,234.3,879.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Jeddah,Saudi Arabia,SA,Middle East
42340865,Mabaat - White Pearl 2BR D - 600,Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-42340865/original/240ee987-a410-45d6-912d-9cc78a03eb31.jpeg,11,281352340,Mabaat,,,False,21.7031,39.1084,4.0,2.0,3.0,2.5,True,"TV,Washer,Cable TV,Dryer,Wifi,Air conditioning,Pool,Kitchen,Essentials,Free parking on premises,Hair dryer,Iron,Dedicated workspace,Free street parking,Ethernet connection,Bathtub,Heating",True,False,1.0,Flexible,SAR,62.0,0.0,31.0,4.71,4.7,4.7,4.6,4.7,4.8,4.0,2866.0,10750.0,202.0,757.8,0.047,0.0,7.5,28.2,0.0,0.0,17,0,348,365,0.0,0.0,198.8,746.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Jeddah,Saudi Arabia,SA,Middle East
43022787,Mabaat - White Pearl A - 600,Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-43022787/original/38ca59ae-036a-4d4b-bf74-e2b61dfdb6c3.jpeg,15,281352340,Mabaat,,,False,21.7031,39.1084,6.0,3.0,4.0,3.5,True,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Stove,Washer,Dryer,Backyard,Bidet,Essentials,Dining table,Hair dryer,Iron,Dedicated workspace,Bathtub",True,False,1.0,Flexible,SAR,62.0,0.0,74.0,4.64,4.5,4.7,4.7,4.8,4.9,4.5,4128.0,15487.0,244.7,917.9,0.041,0.0,10.6,39.9,0.0,0.0,15,0,350,365,0.0,0.0,209.4,785.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Jeddah,Saudi Arabia,SA,Middle East
43022789,Mabaat - White Pearl C - 600,Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-43022789/original/8f71d5b3-bf31-4978-9e35-2c552ef874e7.jpeg,10,281352340,Mabaat,,,False,21.7031,39.1084,6.0,3.0,4.0,3.5,True,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Bed linens,Free street parking,Ethernet connection,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Backyard,Bidet,Essentials,Dining table,Hair dryer,Iron,Dedicated workspace,Bathtub",True,False,1.0,Flexible,SAR,17.0,0.0,35.0,4.6,4.5,4.5,4.7,4.5,4.6,4.3,11957.0,44860.0,216.8,813.2,0.153,0.166,32.2,121.0,34.9,131.0,56,28,309,365,0.0,0.0,202.5,759.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Jeddah,Saudi Arabia,SA,Middle East
44682311,360° Jeddah: Modern Apt with Virtual Tour,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-44682311/original/e7f572b5-cea5-40f7-9230-cf0ec0a83aa9.jpeg,28,39612256,Khaled,309907798,Feras,True,21.6182,39.1503,5.0,2.0,3.0,2.0,True,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Hot water,Conditioner,Elevator,Bed linens,Free street parking,Microwave,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Washer,Smoke alarm,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Iron,Baking sheet,Freezer,Private entrance",False,False,3.0,Flexible,SAR,0.0,0.0,58.0,4.64,4.8,4.7,4.7,4.9,4.8,4.6,8503.0,31907.0,78.0,292.6,0.299,0.336,23.3,87.4,26.2,98.5,109,41,256,365,0.0,0.0,79.7,298.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Jeddah,Saudi Arabia,SA,Middle East
45418756,Luxurious Modern Home With Recreational Facilities,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/eb7c4e8d-fe32-4b9a-9c81-006ac17a5e51.jpg,46,340949780,Urban Stays,,,False,21.6092,39.1267,3.0,1.0,1.0,1.5,True,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Pets allowed,Hot water,Gym,Body soap,Conditioner,Bed linens,Free street parking,Ethernet connection,Laundromat nearby,Microwave,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Washer,Dryer,Smoke alarm,Shower gel,Backyard,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Dining table,Iron,Dedicated workspace,Freezer,Bathtub",False,False,1.0,Flexible,SAR,23.0,0.0,88.0,4.76,4.8,4.7,4.8,4.7,4.9,4.4,8072.0,30281.0,174.1,653.3,0.129,0.183,21.8,81.8,31.0,116.2,47,108,318,365,0.0,0.0,187.4,703.2,0.0,0.0,0.0,0.0,0.0,0.0,0,59,90,90,Jeddah,Saudi Arabia,SA,Middle East
45770554,Townhouse near from (public beach/redsea marina),Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-45770554/original/79fa3f41-e892-41b2-80e5-27e03c4fef0f.jpeg,13,37209998,Areia,534507113,Mohannad,False,21.7268,39.1049,4.0,2.0,3.0,3.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,TV,Board games,Air conditioning,Heating,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Hot water kettle,Coffee maker,Blender,Trash compactor,Dining table,Coffee,Beach access,Private entrance,Free parking on premises,Pets allowed,Smoking allowed",,False,1.0,Flexible,SAR,26.0,0.0,53.0,4.7,4.8,5.0,4.8,4.9,4.6,4.5,28908.0,108453.0,221.0,828.9,0.323,0.0,76.9,288.5,0.0,0.0,118,0,247,365,2513.0,9429.0,139.5,523.1,0.211,0.0,26.5,99.3,0.0,0.0,19,0,71,90,Jeddah,Saudi Arabia,SA,Middle East
