listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
60877,Cottage in Historic Jerusalem,Entire villa,entire_home,https://a0.muscache.com/im/pictures/746514/5fed284f_original.jpg,30.0,294040,Yona,,,True,31.7658,35.1648,4.0,2.0,5.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Books and reading material,Portable fans,Smoking allowed,Pets allowed,Conditioner,Free street parking,Hot tub,Hammock,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Bathtub,High chair,Children’s books and toys,Blender,Crib,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Backyard,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",False,,1.0,Flexible,ILS,0.0,0.0,48,4.87,4.9,5.0,4.9,5.0,4.9,4.8,8512.0,30357.0,256.5,911.2,0.09,0.0,23.3,83.2,0.0,0.0,33,0,332,365,766.0,2695.0,256.4,902.3,0.033,0.0,8.5,29.9,0.0,0.0,3,0,87,90,Jerusalem,Israel,IL,Middle East
181681,Stylish Studio in the German Colony,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/57437058/67188461_original.jpg,12.0,870825,David And Leeora,,,True,31.762,35.2178,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Baby bath,Window guards,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Moderate,ILS,83.0,0.0,112,4.87,4.9,5.0,4.9,5.0,5.0,4.8,32985.0,117400.0,145.8,517.9,0.564,0.0,83.5,297.6,0.0,0.0,206,0,159,365,2271.0,7992.0,139.5,490.9,0.156,0.0,22.5,79.1,0.0,0.0,14,0,76,90,Jerusalem,Israel,IL,Middle East
193749,German Colony one bedroom Retreat,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/972964f5-c541-4f42-b6e4-511b02151b19.jpg,12.0,870825,David And Leeora,,,True,31.7627,35.2209,4.0,1.0,2.0,1.0,False,"High chair,TV,Cable TV,Children’s books and toys,Window guards,Wifi,Air conditioning,Crib,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Smoke alarm,Shower gel,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Baby bath",,False,5.0,Moderate,ILS,89.0,0.0,42,4.8,4.8,4.9,4.8,4.9,5.0,4.6,27777.0,99310.0,191.1,679.1,0.353,0.0,72.2,258.4,0.0,0.0,129,0,236,365,1738.0,6117.0,173.8,611.5,0.111,0.0,18.3,64.5,0.0,0.0,10,0,80,90,Jerusalem,Israel,IL,Middle East
217245,Jerusalem Center Pearl,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2547575/cc93bbb7_original.jpg,19.0,1121993,Mishael,,,False,31.7821,35.2117,6.0,2.0,8.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,TV,Crib,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Private entrance,Patio or balcony,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,5.0,Firm,ILS,95.0,0.0,64,4.64,4.7,4.8,4.3,4.8,4.9,4.6,9299.0,33267.0,158.5,563.2,0.151,0.175,24.2,86.6,28.0,100.3,55,50,310,365,0.0,0.0,152.3,535.8,0.0,0.0,0.0,0.0,0.0,0.0,0,17,90,90,Jerusalem,Israel,IL,Middle East
267471,One bedroom suite German Colony,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/54530278/4288938b_original.jpg,20.0,870825,David And Leeora,,,True,31.7625,35.2204,3.0,1.0,2.0,1.0,False,"Hair dryer,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Crib,Pack ’n play/Travel crib,High chair,Baby bath,Window guards,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Luggage dropoff allowed,Long term stays allowed",,False,4.0,Moderate,ILS,84.0,0.0,88,4.9,4.9,4.9,4.9,4.9,5.0,4.8,30503.0,108864.0,182.2,647.6,0.433,0.477,78.7,281.2,86.8,310.1,158,34,207,365,1601.0,5634.0,183.1,644.2,0.089,0.127,16.9,59.3,24.1,84.7,8,27,82,90,Jerusalem,Israel,IL,Middle East
272191,Light & Comfort in German Colony,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/61120423/57ef7882_original.jpg,11.0,870825,David And Leeora,,,True,31.7631,35.2195,4.0,1.0,2.0,1.0,False,"Hair dryer,Shampoo,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Window guards,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Luggage dropoff allowed,Long term stays allowed",,False,5.0,Moderate,ILS,99.0,0.0,49,4.85,4.8,4.9,4.9,4.9,4.9,4.7,28413.0,101916.0,225.2,800.5,0.315,0.0,74.0,265.9,0.0,0.0,115,0,250,365,2681.0,9433.0,215.3,757.7,0.122,0.0,28.7,100.9,0.0,0.0,11,0,79,90,Jerusalem,Israel,IL,Middle East
272885,Authentic Ein Kerem,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/2750084/f2e7d605_original.jpg,23.0,1428103,Anja,,,True,31.7701,35.1614,4.0,,3.0,0.0,False,"Pets allowed,Elevator,Bathtub,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Drying rack for clothing,TV,Books and reading material,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Hot water kettle,Wine glasses,Coffee,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Hammock,Outdoor dining area,Free parking on premises,Free street parking,Hot tub,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Firm,ILS,32.0,0.0,229,4.94,5.0,4.9,4.9,4.9,4.9,4.9,34335.0,122851.0,234.6,833.4,0.384,0.0,90.4,323.6,0.0,0.0,140,0,225,365,554.0,1950.0,232.6,818.6,0.022,0.0,5.8,20.4,0.0,0.0,2,0,88,90,Jerusalem,Israel,IL,Middle East
273147,Romantic Ein Kerem,Entire bungalow,entire_home,https://a0.muscache.com/im/pictures/55e5db2f-c1c3-4576-aa61-d6c9ca8d1931.jpg,23.0,1428103,Anja,,,True,31.7702,35.1614,2.0,,2.0,1.0,False,"Pets allowed,Elevator,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Drying rack for clothing,Mosquito net,Clothing storage,TV,Books and reading material,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Hot water kettle,Wine glasses,Coffee,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Free street parking,Hot tub,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Firm,ILS,31.0,0.0,332,4.93,5.0,4.9,5.0,5.0,4.9,4.9,23433.0,83674.0,184.3,655.0,0.329,0.0,61.1,218.5,0.0,0.0,120,0,245,365,3469.0,12208.0,183.8,646.8,0.2,0.0,36.8,129.6,0.0,0.0,18,0,72,90,Jerusalem,Israel,IL,Middle East
338701,"Stunning 2.5 Bdrm Apt. in Baka, Jerusalem",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3868183/b2e12c40_original.jpg,12.0,1121993,Mishael,,,False,31.756,35.2227,6.0,3.0,4.0,2.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Elevator,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Freezer,Private entrance,Bathtub,Crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Toaster",False,,5.0,Firm,ILS,120.0,0.0,44,4.51,4.7,4.7,4.6,4.6,4.8,4.5,3306.0,11633.0,184.5,655.4,0.044,0.11,8.1,28.4,20.3,71.5,16,220,349,365,0.0,0.0,185.9,654.2,0.0,0.0,0.0,0.0,0.0,0.0,0,54,90,90,Jerusalem,Israel,IL,Middle East
350766,Perfect  apartment German Colony,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/00fe13a1-af5c-4302-9ba2-bfac742b3353.jpg,11.0,870825,David And Leeora,,,True,31.7621,35.2209,4.0,1.0,2.0,1.0,False,"Hair dryer,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,TV,Crib,Pack ’n play/Travel crib,High chair,Baby bath,Window guards,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Luggage dropoff allowed,Long term stays allowed",,False,4.0,Moderate,ILS,101.0,0.0,50,4.88,4.8,5.0,4.8,4.9,5.0,4.8,33314.0,119493.0,240.0,852.9,0.353,0.358,87.4,313.8,88.6,318.1,129,5,236,365,4775.0,16799.0,227.6,801.0,0.189,0.0,51.9,182.7,0.0,0.0,17,0,73,90,Jerusalem,Israel,IL,Middle East
444960,One of a kind German Colony Charm,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2b860544-cbbf-4d60-998b-308fc2ff3168.jpg,17.0,870825,David And Leeora,,,True,31.7615,35.2167,6.0,2.0,3.0,1.0,False,"Hair dryer,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Baby bath,Window guards,Air conditioning,Heating,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Private entrance,Long term stays allowed",,False,5.0,Moderate,ILS,118.0,0.0,64,4.91,4.8,4.9,4.8,5.0,5.0,4.8,52582.0,187329.0,254.8,905.3,0.537,0.538,137.3,489.4,137.6,490.7,196,1,169,365,6611.0,23266.0,236.1,830.8,0.289,0.0,66.9,235.5,0.0,0.0,26,0,64,90,Jerusalem,Israel,IL,Middle East
460058,Boutique room in central Jerusalem,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/c9b07527-d0d2-4d13-9055-c9544cdf4964.jpg,16.0,1458487,Rebecca,,,False,31.776,35.2157,,,1.0,0.0,False,"Cleaning products,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Books and reading material,Board games,Portable fans,Heating,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Coffee,Laundromat nearby,Paid parking off premises,Luggage dropoff allowed",,False,2.0,Moderate,ILS,10.0,0.0,2,,,,,,,,2647.0,9408.0,72.0,255.7,0.101,0.126,7.1,25.4,8.9,31.5,37,71,328,365,1142.0,4016.0,74.8,263.1,0.167,0.172,12.4,43.5,12.8,45.0,15,3,75,90,Jerusalem,Israel,IL,Middle East
523345,Jerusalem Old City Apartment,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/f12a072d-1c41-424b-b0a0-c09ddf1b031b.jpg,24.0,2573067,Tova,,,True,31.7753,35.2309,,,2.0,0.0,False,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Children’s books and toys,Air conditioning,Heating,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Pets allowed",,False,1.0,Moderate,ILS,0.0,20.0,273,4.58,4.7,4.9,3.8,5.0,5.0,4.7,13007.0,46242.0,63.1,224.2,0.562,0.574,35.6,126.7,36.4,129.5,205,8,160,365,1734.0,6107.0,61.9,217.8,0.311,0.341,19.3,67.9,21.1,74.5,28,8,62,90,Jerusalem,Israel,IL,Middle East
