listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
3308974,Large apartment with a balcony in central Kadıköy,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-3308974/original/db111db4-89f9-46a9-adbf-1aaf452c6ffb.jpeg,13,16708450,Serhat,,,True,40.9936,29.0372,4.0,2.0,2.0,1.5,True,"Air conditioning,Hair dryer,Cleaning products,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Safe,Mosquito net,Clothing storage,TV,Books and reading material,Window guards,Portable fans,Heating,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Fire pit,Outdoor dining area,Paid parking off premises,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,5,Moderate,TRY,45.0,0.0,27,4.93,4.8,4.9,4.6,5.0,4.8,4.8,10820.0,420972.0,64.6,2492.0,0.425,0.52,27.8,1080.8,34.0,1323.8,155,67,210,365,5635.0,221127.0,69.2,2713.8,0.856,0.0,59.1,2319.6,0.0,0.0,77,0,13,90,Kadikoy,Turkey,TR,Middle East
4376867,Central and spacious flat in Moda,Private room in home,private_room,https://a0.muscache.com/im/pictures/54977640/42f2bc95_original.jpg,7,22724516,Özge,,,False,40.9837,29.0272,,,1.0,0.0,False,"TV,Washer,Wifi,Kitchen,Essentials,Shampoo,Smoking allowed,Pets allowed,Heating",,False,3,Flexible,TRY,,,5,5.0,5.0,5.0,4.6,5.0,5.0,5.0,273.0,10715.0,22.9,884.5,0.033,0.0,0.7,29.4,0.0,0.0,12,0,353,365,135.0,5299.0,22.1,868.6,0.067,0.0,1.5,58.9,0.0,0.0,6,0,84,90,Kadikoy,Turkey,TR,Middle East
4424054,"Cosy flat close to the sea \exclusive for women\""""",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-4424054/original/fb238b58-147f-45b8-9c18-3e2b1a22669a.jpg,57,22965615,Zuzu,15670219,Deniz,False,40.9854,29.0227,,2.0,2.0,0.0,False,"Hair dryer,Cleaning products,Bidet,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Exercise equipment,Books and reading material,Air conditioning,Ceiling fan,Portable fans,Heating,Heating,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Blender,Dining table,Free street parking,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,100,Firm,TRY,,,35,4.94,4.9,5.0,4.9,5.0,5.0,4.9,1435.0,52301.0,30.1,1159.4,0.123,0.186,3.9,143.3,5.9,216.1,45,123,320,365,0.0,0.0,27.2,1068.5,0.0,0.0,0.0,0.0,0.0,0.0,0,58,90,90,Kadikoy,Turkey,TR,Middle East
5574192,Modern loft with a terrace in the heart of Kadikoy,Entire loft,entire_home,https://a0.muscache.com/im/pictures/a4ecde87-8025-463d-981e-eedbdda6476d.jpg,18,15325507,Alper,,,False,40.9891,29.029,3.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,BBQ grill,Patio or balcony,First aid kit,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Private entrance",False,,2,Strict,TRY,0.0,0.0,113,4.88,4.9,4.9,4.8,5.0,5.0,4.8,1977.0,77575.0,129.2,4928.9,0.041,0.0,5.4,212.5,0.0,0.0,15,0,350,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Kadikoy,Turkey,TR,Middle East
5663555,2BR +Living Room in Central Kadıköy,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/233a3f56-2ca8-4180-a129-a10e72ffdd32.jpg,11,10774883,Serdar,,,True,40.9901,29.0248,3.0,2.0,2.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Sound system,Books and reading material,Pack ’n play/Travel crib,Children’s books and toys,High chair,Board games,Portable fans,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Bread maker,Patio or balcony,Free street parking,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,100,Moderate,TRY,,,69,4.94,5.0,5.0,4.9,5.0,5.0,4.9,6574.0,250289.0,68.1,2621.1,0.216,0.245,18.0,685.7,20.4,774.9,79,42,286,365,0.0,0.0,57.3,2248.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Kadikoy,Turkey,TR,Middle East
6028877,Cosy flat @Kadikoy-center (check Guest manual 1st),Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-6028877/original/01b44804-3d06-4ccd-879f-24e117f88e3b.jpg,35,31290598,Canateş,,,False,40.9911,29.0318,4.0,1.0,3.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Ethernet connection,TV,Sound system,Crib,High chair,Children’s dinnerware,Air conditioning,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Free street parking,Elevator,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,100,Firm,TRY,60.0,0.0,83,4.83,4.9,5.0,4.8,5.0,5.0,4.9,2705.0,106146.0,72.0,2779.3,0.096,0.0,6.9,271.5,0.0,0.0,35,0,330,365,782.0,30685.0,73.3,2875.1,0.111,0.0,8.0,314.8,0.0,0.0,10,0,80,90,Kadikoy,Turkey,TR,Middle East
6612410,"Cosy Designer Room in Moda, Kadikoy",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/0222812a-aa2f-4f50-9bb4-e5dbf070491c.jpg,32,23182045,Emre & Hande,,,False,40.9868,29.0263,,,1.0,0.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Piano,Books and reading material,Children’s books and toys,High chair,Baby bath,Baby monitor,Board games,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Dining table,Coffee,Beach access,Patio or balcony,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Smoking allowed,Cleaning before checkout",,False,2,Moderate,TRY,,,248,4.93,5.0,4.9,5.0,4.9,4.9,4.9,4964.0,187109.0,42.5,1639.0,0.293,0.0,13.6,512.6,0.0,0.0,107,0,258,365,0.0,0.0,37.4,1466.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Kadikoy,Turkey,TR,Middle East
7690195,Large Apartment in Moda,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/8a71347e-8cb8-42c2-a30d-b2bd01fadc55.jpg,29,14601607,Baris,,,True,40.9849,29.0267,4.0,2.0,2.0,1.0,True,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Portable fans,Conditioner,Free street parking,Laundromat nearby,Hammock,Cleaning products,Heating,Coffee,Clothing storage,Wine glasses,Washer,Beach access,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Sound system,Bathtub,Blender,Bikes,Game console,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Coffee maker,Refrigerator,Piano,Dishwasher,Dishes and silverware,Cooking basics,Oven,EV charger,Shower gel,Patio or balcony,Backyard,Long term stays allowed,Dining table,Toaster",,False,7,Limited,TRY,46.0,0.0,27,4.96,4.9,5.0,5.0,5.0,5.0,4.9,25277.0,982542.0,110.2,4251.6,0.6,0.613,66.5,2583.1,68.0,2641.0,219,8,146,365,4967.0,194904.0,114.6,4495.1,0.422,0.463,52.6,2065.3,57.8,2266.8,38,8,52,90,Kadikoy,Turkey,TR,Middle East
8059063,Fiber Internet Cozy decorated flat in center,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/f982c10f-99e5-437d-9376-11b2693db5cf.jpg,25,37698902,Acun,,,True,40.9722,29.0464,4.0,2.0,4.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Smoking allowed,Pets allowed,Elevator,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Children’s books and toys,Children’s dinnerware,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Long term stays allowed,Safe,Dining table,Bread maker",,False,1,Flexible,TRY,31.0,0.0,75,4.93,4.9,5.0,4.8,5.0,5.0,4.8,6484.0,254428.0,126.9,4895.6,0.137,0.148,17.5,687.1,18.9,742.0,50,27,315,365,1580.0,62000.0,120.8,4738.5,0.144,0.2,17.2,675.4,23.8,935.1,13,25,77,90,Kadikoy,Turkey,TR,Middle East
9001160,Beautiful apartment in the heart of trendy Moda,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/5fcc8fa9-240a-4c59-9702-45d787e1c2c7.jpg,12,1688964,Lina,,,False,40.9875,29.0266,4.0,3.0,3.0,1.0,False,"Hair dryer,Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,TV,Children’s books and toys,Baby bath,Air conditioning,Portable fans,Heating,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Hot water kettle,Blender,Dining table,Paid parking off premises,Long term stays allowed",,False,5,Moderate,TRY,50.0,45.0,15,5.0,5.0,4.8,5.0,5.0,4.9,5.0,1314.0,47744.0,59.6,2292.7,0.047,0.088,3.3,120.1,6.3,225.9,17,171,348,365,0.0,0.0,44.4,1743.7,0.0,0.0,0.0,0.0,0.0,0.0,0,47,90,90,Kadikoy,Turkey,TR,Middle East
11367083,Best Location in Kadıköy!,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-11367083/original/1ae59081-2e38-4c9b-a00d-d032da29e778.jpeg,26,49285792,Hakan,,,True,40.9956,29.0287,3.0,1.0,2.0,1.0,True,"Wifi,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,Ethernet connection,TV,Books and reading material,Babysitter recommendations,Ceiling fan,Heating,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Cooking basics,Dishes and silverware,Dishwasher,Hot water kettle,Dining table,Laundromat nearby,Pets allowed,Smoking allowed",,False,2,Moderate,TRY,20.0,0.0,147,4.87,4.9,4.9,4.8,4.9,4.9,4.7,9273.0,363872.0,79.5,3068.9,0.288,0.0,24.2,949.6,0.0,0.0,105,0,260,365,5221.0,204872.0,84.0,3297.9,0.656,0.0,55.1,2163.0,0.0,0.0,59,0,31,90,Kadikoy,Turkey,TR,Middle East
23430166,Kadikoy Istanbul private room,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-23430166/original/8db37aa8-b5c6-4063-b3fc-5b9bc20ceb9c.jpeg,20,174754956,Firat,,,True,40.9802,29.0944,,3.0,3.0,0.0,False,"TV,Wifi,Kitchen,Hot water kettle,Hot water,Elevator,Bed linens,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Clothing storage,Stove,Wine glasses,Washer,Dryer,Patio or balcony,Essentials,Shampoo,Hangers,Dining table,Hair dryer,Dedicated workspace,Freezer",False,,2,Flexible,TRY,0.0,0.0,124,5.0,5.0,5.0,5.0,5.0,4.9,5.0,3346.0,126277.0,29.0,1119.0,0.304,0.0,9.2,346.0,0.0,0.0,111,0,254,365,0.0,0.0,26.8,1051.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Kadikoy,Turkey,TR,Middle East
