listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
744703,Big Pebble Beach KAS 6 people sea view apartment,Room in serviced apartment,hotel_room,,,2468563,,,,False,36.1889,29.653,6.0,3.0,5.0,2.0,True,"High chair,TV,Children’s books and toys,Wifi,Air conditioning,Pool,Crib,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Hot water,Free street parking,Coffee maker,Indoor fireplace,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Beach access,Smoke alarm,BBQ grill,Carbon monoxide alarm,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area",,False,1,Flexible,TRY,0.0,23.0,29.0,4.86,5.0,4.9,4.8,5.0,4.8,4.7,7964.0,312509.0,159.2,6148.2,0.126,0.142,21.8,856.2,24.7,967.5,46,42,319,365,863.0,33864.0,170.1,6676.0,0.056,0.104,9.6,376.3,18.0,705.5,5,42,85,90,Kas,Turkey,TR,Middle East
853792,Romantic  Luxury Penthouse Apartment with Sea View,Entire condo,entire_home,https://a0.muscache.com/im/pictures/230a8f20-cbc0-411d-a3fd-2657a9af18d1.jpg,46.0,4458316,Ahmet & Marie,,,False,36.2016,29.6448,5.0,2.0,,2.0,True,"High chair,TV,Wifi,Air conditioning,Pool,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Children’s dinnerware,Hot water,Free street parking,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Washer,BBQ grill,Patio or balcony,Essentials,Hangers,Hair dryer,Iron,Outlet covers,Bathtub",,False,2,Firm,TRY,10.0,0.0,39.0,4.85,4.9,5.0,4.7,5.0,4.9,4.7,9640.0,378272.0,159.1,6121.7,0.134,0.159,26.2,1029.9,31.0,1216.6,49,56,316,365,0.0,0.0,52.6,2062.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Kas,Turkey,TR,Middle East
1033740,Villa Mina (Twin Villa) private entrance,Entire villa,entire_home,https://a0.muscache.com/im/pictures/4311e1ae-1eea-4c21-a9dc-4b746c5bf233.jpg,25.0,5689214,Tunahan,,,False,36.2083,29.5841,6.0,3.0,1.0,0.0,True,"TV,Wifi,Air conditioning,Kitchen,Essentials,Pocket wifi,Hair dryer,Dishes and silverware,Heating",False,False,4,Strict,TRY,67.0,0.0,37.0,4.86,4.9,4.9,5.0,4.8,4.8,4.9,7160.0,280960.0,142.9,5515.1,0.11,0.0,18.3,719.3,0.0,0.0,40,0,325,365,0.0,0.0,118.7,4656.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Kas,Turkey,TR,Middle East
1102351,Charming villa with Private Pool & Sea View,Entire villa,entire_home,https://a0.muscache.com/im/pictures/c93d2cb3-492d-4a37-acac-612e139aa809.jpg,51.0,5767173,Zeynep,,,False,36.1898,29.6008,7.0,4.0,5.0,3.5,True,"High chair,TV,Wifi,Air conditioning,Fireplace guards,Pool,Crib,Kitchen,Free parking on premises,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Washer,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron,Dedicated workspace,Barbecue utensils,Bathtub",False,False,7,Firm,TRY,70.0,0.0,53.0,4.77,4.8,4.8,4.8,4.7,4.8,4.8,11223.0,440392.0,422.4,16289.2,0.074,0.122,29.8,1168.9,49.0,1921.9,27,143,338,365,0.0,0.0,415.8,16317.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Kas,Turkey,TR,Middle East
1564807,"Beautiful Seafront Villa, Kas",Entire villa,entire_home,https://a0.muscache.com/im/pictures/13798a19-2d61-40b2-8080-3159363cce6e.jpg,62.0,10919425,Claire & Andrea,,,False,36.1856,29.5921,7.0,4.0,5.0,2.5,True,"Hot water,Washer,Essentials,Mosquito net,TV,Pack ’n play/Travel crib,High chair,Air conditioning,Portable fans,Heating,Wifi,Kitchen,Beach access,Backyard,Free parking on premises,Pool",,False,5,Flexible,TRY,114.0,0.0,79.0,4.73,4.8,4.7,4.8,4.7,4.9,4.7,30640.0,1201608.0,276.2,10660.3,0.26,0.549,78.9,3096.0,166.6,6532.0,95,192,270,365,3227.0,126625.0,253.2,9933.8,0.111,1.0,30.8,1208.1,277.1,10873.3,10,80,80,90,Kas,Turkey,TR,Middle East
1727807,"Beautiful Sea View Appartment,  / Kas",Entire condo,entire_home,https://a0.muscache.com/im/pictures/24555564/25e2855f_original.jpg,38.0,9104849,Hatice,,,True,36.1987,29.6464,4.0,3.0,4.0,2.0,False,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Resort access,Free street parking,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Beach access,Smoke alarm,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Room-darkening shades,Hot water,Outdoor shower,Mosquito net,Bed linens,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Sun loungers,Toaster",False,,5,Strict,TRY,0.0,0.0,89.0,4.97,4.9,5.0,5.0,5.0,4.8,4.9,11233.0,436975.0,122.0,4720.1,0.222,0.236,30.8,1197.2,32.7,1274.0,81,22,284,365,0.0,0.0,109.8,4310.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Kas,Turkey,TR,Middle East
2015748,"1 Furnished &Serviced Apart Fantastic Kas, Antalya",Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2015748/original/ac6312bd-51f6-45c2-a2ce-7966655d046f.jpeg,17.0,10367538,Hüseyin,,,False,36.2035,29.6414,4.0,1.0,2.0,1.0,True,"TV,Cable TV,Wifi,Smoking allowed,Pets allowed,Gym,Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,Ethernet connection,TV,Crib,Pack ’n play/Travel crib,High chair,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Oven,Beach access,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,3,Flexible,TRY,11.0,0.0,15.0,4.93,4.9,4.9,5.0,4.8,4.9,4.7,1613.0,63293.0,93.6,3615.3,0.038,0.041,4.4,172.2,4.7,183.8,14,23,351,365,0.0,0.0,64.1,2513.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Kas,Turkey,TR,Middle East
2015927,Furnished Flat with Full Sea Wiev for 6 people,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2015927/original/20a8a71b-ac73-4068-82db-76962116cdd0.jpeg,22.0,10367538,Hüseyin,,,False,36.2041,29.6424,6.0,2.0,2.0,2.0,True,"Kitchen,Smoking allowed,Pets allowed,Gym,Hair dryer,Cleaning products,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Oven,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Trash compactor,Dining table,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,3,Strict,TRY,0.0,0.0,11.0,4.91,4.9,4.9,5.0,5.0,4.9,4.9,11318.0,442988.0,129.9,5048.6,0.189,0.0,31.0,1213.7,0.0,0.0,69,0,296,365,244.0,9574.0,102.8,4033.0,0.044,0.0,2.7,106.4,0.0,0.0,4,0,86,90,Kas,Turkey,TR,Middle East
2024589,Peaceful Villa with Spectacular View - Villa Vista,Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2024589/original/11768289-67ba-49d6-a654-8b98eff2c4b6.jpeg,55.0,10363777,Derya,,,True,36.211,29.5214,7.0,3.0,6.0,1.5,True,"Gym,Hair dryer,Cleaning products,Hot water,Washer,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Books and reading material,Air conditioning,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Barbecue utensils,Dining table,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Pool,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,2,Firm,TRY,47.0,0.0,58.0,4.76,4.7,4.7,4.6,4.7,4.8,4.7,17158.0,671021.0,157.2,6068.5,0.263,0.305,45.1,1762.6,52.2,2042.4,96,50,269,365,1303.0,51130.0,137.1,5381.6,0.122,0.0,14.0,547.6,0.0,0.0,11,0,79,90,Kas,Turkey,TR,Middle East
2049369,Kalkan - Seaview apartment @ Eagle's Nest,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjA0OTM2OQ%3D%3D/original/fde1ac00-5189-4e4d-9d02-72b0dcc01c61.jpeg,27.0,10362310,Dirk,,,False,36.253,29.416,5.0,2.0,4.0,2.0,True,"Hair dryer,Hot water,Washer,Hangers,Iron,TV,Air conditioning,Smoke alarm,First aid kit,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Oven,Patio or balcony,Backyard,Free parking on premises,Pool,Long term stays allowed",,False,6,Firm,TRY,100.0,0.0,25.0,4.96,5.0,4.9,5.0,4.9,4.9,5.0,15539.0,607576.0,139.6,5402.3,0.244,0.291,38.2,1492.6,45.6,1780.4,89,59,276,365,1074.0,42144.0,131.1,5145.2,0.067,0.0,8.6,337.5,0.0,0.0,6,0,84,90,Kas,Turkey,TR,Middle East
