listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
2213311,The Room Hotel & Apartmentts 2,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/29861620/ae51ae33_original.jpg,9.0,11287034,Huseyin,,,False,36.8675,30.6336,3.0,2.0,2.0,1.0,True,"Hair dryer,Shampoo,Washer,Essentials,Hangers,Iron,TV,Crib,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Cooking basics,Dishes and silverware,Private entrance,Free parking on premises,Free street parking,Elevator",,False,1.0,Strict,TRY,0.0,0.0,72,4.74,4.8,4.9,4.8,4.8,4.7,4.7,4048.0,158844.0,107.4,4150.8,0.096,0.123,11.1,435.2,14.2,557.3,35,80,330,365,0.0,0.0,93.4,3665.9,0.0,0.0,0.0,0.0,0.0,0.0,0,80,90,90,Konyaalti,Turkey,TR,Middle East
2213395,The Room Hotel & Apartments 3,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/29862210/374693c3_original.jpg,9.0,11287034,Huseyin,,,False,36.8679,30.6317,6.0,3.0,6.0,1.5,True,"Hair dryer,Shampoo,Washer,Essentials,Hangers,Iron,TV,Crib,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Cooking basics,Private entrance,Free parking on premises,Elevator",,False,1.0,Strict,TRY,0.0,0.0,68,4.79,4.9,4.9,4.9,4.8,4.8,4.8,7487.0,293785.0,133.9,5157.5,0.153,0.0,20.5,804.9,0.0,0.0,56,0,309,365,1704.0,66862.0,105.1,4124.1,0.189,0.0,18.9,742.9,0.0,0.0,17,0,73,90,Konyaalti,Turkey,TR,Middle East
7677064,Luxury Mountain Living - 15 mins to Beach,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-7677064/original/7f7f6156-7785-4146-96f5-f7fe41774934.jpeg,19.0,16518140,Deniz,,,True,36.805,30.5324,2.0,1.0,1.0,1.0,True,"Pets allowed,Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,Clothing storage,TV,Air conditioning,Heating,Wifi,Kitchen,Cooking basics,Dishes and silverware,Dishwasher,Dining table,Free parking on premises,Hot tub",,False,5.0,Strict,TRY,50.0,0.0,22,4.82,4.7,4.9,4.7,5.0,4.8,4.8,7154.0,280720.0,67.9,2628.8,0.244,0.0,18.1,710.0,0.0,0.0,89,0,276,365,1606.0,63018.0,76.6,3006.2,0.2,0.0,16.2,634.8,0.0,0.0,18,0,72,90,Konyaalti,Turkey,TR,Middle East
9254702,Unique view and private garden.,Entire home,entire_home,https://a0.muscache.com/im/pictures/0b11c69f-9a00-4662-8183-5b88090fc7b0.jpg,36.0,48052271,Ugur,475660841,Evren,True,36.8742,30.4785,4.0,1.0,2.0,1.0,True,"Wifi,Pets allowed,Elevator,Hair dryer,Cleaning products,Shampoo,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Clothing storage,Heating,Fire extinguisher,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Barbecue utensils,Dining table,Waterfront,Lake access,Private entrance,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,4.0,Strict,TRY,0.0,0.0,77,4.94,5.0,4.9,5.0,5.0,4.9,4.9,14258.0,547136.0,64.6,2497.7,0.614,0.677,39.1,1499.0,43.1,1653.0,224,34,141,365,4346.0,170539.0,66.9,2625.6,0.722,0.0,48.3,1894.9,0.0,0.0,65,0,25,90,Konyaalti,Turkey,TR,Middle East
9836935,Refurnished flat near Konyaaltı beach,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/21b15c93-5361-438d-b0b9-b3a9db6cfb43.jpg,32.0,27746166,Fırat,,,True,36.8516,30.6176,5.0,2.0,2.0,1.0,True,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Pets allowed,Free street parking,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Beach access,First aid kit,Bidet,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Baby monitor,Baby bath,High chair,Children’s books and toys,Blender,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet",True,False,2.0,Moderate,TRY,48.0,0.0,27,4.85,4.8,5.0,4.9,4.9,4.8,4.7,6474.0,253352.0,101.1,3904.9,0.159,0.163,16.6,647.7,17.0,664.0,58,9,307,365,0.0,0.0,99.4,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Konyaalti,Turkey,TR,Middle East
13950448,Apartment 3+1 no:8,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-13950448/original/1910451b-0a7d-43ef-a08b-a8e0994565d4.jpeg,33.0,40693826,Necdet,,,False,36.8606,30.6324,6.0,,1.0,0.0,True,,,True,3.0,Moderate,TRY,0.0,0.0,16,4.63,4.6,4.7,4.8,4.8,4.9,4.6,6918.0,269779.0,199.8,7717.0,0.096,0.112,19.0,739.1,22.2,864.7,35,53,330,365,0.0,0.0,123.6,4849.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Konyaalti,Turkey,TR,Middle East
13984923,Apartment 1+1 no:6,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-13984923/original/d47c73c0-59b8-46c0-83e6-05d615b17a28.jpeg,20.0,40693826,Necdet,,,False,36.8606,30.6322,4.0,1.0,3.0,1.0,True,Essentials,,True,3.0,Firm,TRY,0.0,0.0,4,4.5,4.8,5.0,4.8,5.0,5.0,4.8,2712.0,106419.0,139.5,5395.2,0.041,0.045,7.4,291.6,8.1,318.6,15,31,350,365,0.0,0.0,94.3,3699.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Konyaalti,Turkey,TR,Middle East
14971156,Marvelous cozy apartment by the sea,Entire condo,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-14971156/original/93cdecc1-cd1d-45ac-a58e-5904a91bd48d.jpg,34.0,8982009,Melis,,,False,36.8576,30.6289,5.0,2.0,4.0,1.0,False,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Pets allowed,Gym,Resort access,Conditioner,Elevator,Free street parking,Hot tub,Cleaning products,Drying rack for clothing,Heating,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Beach access,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Blender,Room-darkening shades,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,Exercise equipment,Shower gel,Patio or balcony,Backyard,Beach essentials,Long term stays allowed,Dining table,Toaster",False,False,100.0,Firm,TRY,,,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,811.0,31825.0,72.3,2793.9,0.033,0.036,2.2,87.2,2.4,95.3,12,31,353,365,378.0,14833.0,68.3,2679.3,0.067,0.0,4.2,164.8,0.0,0.0,6,0,84,90,Konyaalti,Turkey,TR,Middle East
16026211,Spacious flat near Konyaaltı Beach.,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/74aa1e01-b3cd-4c1b-9ac6-30accb8c9303.jpg,37.0,27746166,Fırat,,,False,36.8516,30.6178,5.0,2.0,3.0,1.0,True,"High chair,TV,Cable TV,Children’s books and toys,Wifi,Air conditioning,Crib,Kitchen,Pack ’n play/Travel crib,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Beach access,Patio or balcony,First aid kit,Beach essentials,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hair dryer,Iron,Outdoor dining area,Private entrance",,False,7.0,Firm,TRY,18.0,0.0,27,4.85,4.9,5.0,4.9,5.0,4.9,4.7,2320.0,91035.0,108.2,4175.6,0.055,0.0,6.2,243.6,0.0,0.0,20,0,345,365,0.0,0.0,101.4,3977.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Konyaalti,Turkey,TR,Middle East
19669635,1+1 Luxury Furnished Apartment. 1+1 Luxury Residence,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/0c683020-415c-4218-889b-bc7d402126fc.jpg,10.0,72358839,Enes,,,False,36.8564,30.5987,3.0,1.0,2.0,1.0,True,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Smoking allowed,Hot water,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Pocket wifi,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Wine glasses,Washer,Beach access,Smoke alarm,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Baking sheet,Freezer,Sun loungers",False,False,4.0,Moderate,TRY,0.0,0.0,57,4.56,4.7,4.9,4.3,4.8,4.6,4.5,2577.0,99805.0,53.4,2068.0,0.126,0.151,7.1,273.4,8.5,328.3,46,61,319,365,0.0,0.0,34.7,1361.3,0.0,0.0,0.0,0.0,0.0,0.0,0,59,90,90,Konyaalti,Turkey,TR,Middle East
