listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
722744,Charming with astonishing rooftop,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/9806859/43e579f8_original.jpg,30,2666184,Philip,7491162,Kent,false,36.8508,28.2752,2,1,1,1.0,True,"TV,Wifi,Kitchen,Smoking allowed,Pets allowed,Hair dryer,Shampoo,Hot water,Shower gel,Essentials,Hangers,Bed linens,Iron,TV,Air conditioning,Indoor fireplace,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Coffee maker,Private entrance,Patio or balcony,Outdoor furniture,Outdoor dining area,Free street parking,Paid parking off premises,Pets allowed,Long term stays allowed",,false,4,Moderate,TRY,64.0,0.0,127.0,4.82,4.9,4.7,4.7,4.8,4.9,4.8,13343.0,523334.0,106.2,4092.8,0.282,0.292,34.5,1351.2,35.6,1397.2,103,12,262.0,365.0,248.0,9731.0,81.4,3194.0,0.022,0.024,2.0,80.2,2.2,88.0,2,8,88.0,90.0,Marmaris,Turkey,TR,Middle East
1666776,"Casa Feronia A Unique Stone House\"",Entire villa,entire_home,https://a0.muscache.com/im/pictures/93618f3e-53ec-46b3-9e7f-2df6e872ff2a.jpg,20,8827664,Fahir,"","",false,36.7538,28.1508,8,4,4,2.0,true,TV",Washer,Cable TV,BBQ grill,Wifi,Air conditioning,Pool,Fire extinguisher,Kitchen,Free parking on premises,Hangers,Hair dryer,Iron,Hot tub,Indoor fireplace,"Heating""",True,false,4,Strict,TRY,50,50,28.0,4.89,4.9,4.9,5.0,4.8,5.0,4.8,5183.0,201763.0,307.9,11883.7,0.044,0.054,13.7,531.3,16.9,657.3,16.0,70.0,349,365,0.0,0.0,312.9,12276.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,90,,,Marmaris,Turkey,TR,Middle East
2713089,Rural stone house with own pool Datca peninsula,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/ec240c9d-829f-475c-bd9d-7e21f2c3cbd8.jpg,74,13884588,Elaine,,,true,36.8414,28.1450,4,2,5,1.0,True,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Crib,High chair,Air conditioning,Indoor fireplace,Smoke alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Wine glasses,Private entrance,Patio or balcony,Backyard,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Pool,Long term stays allowed",,false,5,Firm,TRY,82.0,0.0,18.0,4.61,4.8,4.9,4.3,5.0,4.7,4.7,17265.0,677483.0,181.5,7007.0,0.247,0.0,44.8,1759.1,0.0,0.0,90,0,275.0,365.0,1737.0,68159.0,195.0,7653.5,0.1,0.0,19.3,757.3,0.0,0.0,9,0,81.0,90.0,Marmaris,Turkey,TR,Middle East
3719875,8 oDa: Old Town 2-Story Stone (Antique House),Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-3719875/original/16520857-6404-4bfe-b527-39c78f0e016a.jpeg,22,18865303,⁨8 Oda Boutique Homes⁩,,,false,36.8524,28.2729,3,1,2,1.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Safe,Mosquito net,Clothing storage,Ethernet connection,TV,Crib,Pack ’n play/Travel crib,High chair,Fireplace guards,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Coffee,Beach access,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free street parking,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,false,1,Firm,TRY,0.0,0.0,23.0,4.96,5.0,5.0,4.9,4.9,5.0,4.9,8780.0,343448.0,132.2,5104.1,0.156,0.175,24.1,941.0,26.9,1053.5,57,39,308.0,365.0,0.0,0.0,100.3,3934.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90.0,90.0,Marmaris,Turkey,TR,Middle East
3729743,8 oDa Boutique Homes 2 (Greenhouse),Entire home,entire_home,https://a0.muscache.com/im/pictures/93158223/4f4fc860_original.jpg,25,18865303,Ahmet,,,false,36.8508,28.2743,3,1,2,2.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Conditioner,Mini fridge,Laundromat nearby,Outdoor furniture,Hammock,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,High chair,Window guards,Crib,Pack ’n play/Travel crib,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,BBQ grill,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Baking sheet,Sun loungers",,false,1,Firm,TRY,0.0,0.0,7.0,4.86,5.0,5.0,4.9,5.0,4.9,4.9,3682.0,144482.0,168.0,6483.8,0.052,0.056,10.1,395.8,10.8,423.7,19,24,346.0,365.0,0.0,0.0,127.6,5007.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90.0,90.0,Marmaris,Turkey,TR,Middle East
3799884,8 oDa Boutique Homes 1 (Blue Suite),Entire villa,entire_home,https://a0.muscache.com/im/pictures/93164614/9f5ab47a_original.jpg,36,18865303,Ahmet,,,false,36.8518,28.2729,6,3,4,3.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Conditioner,Mini fridge,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Indoor fireplace,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,High chair,Window guards,Fireplace guards,Crib,Pack ’n play/Travel crib,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,BBQ grill,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Baking sheet",false,,100,Firm,TRY,27.0,131.0,33.0,4.91,4.8,5.0,4.8,5.0,5.0,4.7,11893.0,465046.0,270.2,10434.8,0.093,0.104,32.0,1250.9,35.7,1396.3,34,38,331.0,365.0,0.0,0.0,175.6,6889.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90.0,90.0,Marmaris,Turkey,TR,Middle East
6608187,Sea-side loft in Selimiye,Hut,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjYwODE4Nw==/original/5c99554e-c9c6-4729-9734-f18064559bd5.jpeg,17,34577107,Tufan,,,true,36.7180,28.0853,4,1,2,1.0,True,"Cable TV,Gym,Air conditioning,TV,Hot water,Hangers,Air conditioning,Heating,Smoke alarm,Fire extinguisher,Mini fridge,Hot water kettle,Dining table,Beach access,Private entrance,Patio or balcony,Fire pit,Outdoor furniture,Free parking on premises,Pets allowed,Smoking allowed,Cleaning before checkout",,false,,Moderate,TRY,58.0,0.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5784.0,226963.0,165.3,6370.3,0.088,0.1,15.4,603.1,17.5,687.9,32,45,333.0,365.0,0.0,0.0,144.6,5675.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90.0,90.0,Marmaris,Turkey,TR,Middle East
8006591,Bluegate - Stone House with Spectacular Terrace,Tiny home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-8006591/original/0d6a4c53-beaa-4535-8a0c-9fb9718cfd03.jpeg,34,28943832,Sinan Ryan,693812659,Sarah,true,36.8519,28.2757,2,,1,1.0,True,"Kitchen,Smoking allowed,Gym,TV,Pets allowed,Air conditioning,Cable TV,Wifi,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Air conditioning,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Hot water kettle,Coffee maker,Wine glasses,Coffee,Patio or balcony,Outdoor furniture,Outdoor dining area,Sun loungers,Cleaning before checkout",,false,2,Moderate,TRY,0.0,0.0,45.0,4.96,4.9,4.7,5.0,4.9,5.0,5.0,19019.0,740601.0,84.0,3256.3,0.584,0.619,52.1,2029.0,55.3,2152.9,213,21,152.0,365.0,2148.0,84287.0,77.1,3024.6,0.3,0.391,23.9,936.5,31.1,1221.6,27,21,63.0,90.0,Marmaris,Turkey,TR,Middle East
8224867,CarpeDiem Topfloor unrivalled view private beach,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/59afe818-1c8f-485e-a348-c4eb3619231e.jpg,48,18801495,Ipek,,,false,36.6461,28.0970,6,2,5,2.0,True,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Smoking allowed,Pets allowed,Free street parking,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Beach access,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Blender,Room-darkening shades,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Barbecue utensils,Toaster",,false,1,Firm,TRY,0.0,0.0,8.0,5.0,5.0,5.0,5.0,4.9,5.0,4.9,5329.0,209107.0,290.0,11188.7,0.044,0.0,14.6,572.9,0.0,0.0,16,0,349.0,365.0,0.0,0.0,266.5,10459.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90.0,90.0,Marmaris,Turkey,TR,Middle East
9946163,VILLA DURU offering tranquility,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/0b2592ac-2e42-4b0f-9840-01d095a77091.jpg,28,51115723,Tugba,,,false,36.6437,28.0970,6,3,4,3.0,True,"Cable TV,Pets allowed,TV,Gym,Hair dryer,Cleaning products,Shampoo,Outdoor shower,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,Mosquito net,Clothing storage,TV,Air conditioning,Indoor fireplace,Portable fans,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Barbecue utensils,Dining table,Beach access,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Sun loungers,Free street parking,Pool",,false,4,Firm,TRY,0.0,0.0,49.0,5.0,5.0,4.9,5.0,5.0,4.9,4.9,31371.0,1230979.0,318.9,12311.4,0.274,0.0,85.9,3372.5,0.0,0.0,100,0,265.0,365.0,332.0,13028.0,342.9,13453.6,0.011,0.0,3.7,144.8,0.0,0.0,1,0,89.0,90.0,Marmaris,Turkey,TR,Middle East
