listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
4307021,city centre in old town,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-4307021/original/1e8dbfd4-d14b-4534-a9b4-948d0d7909e7.jpeg,12.0,22357305,Şeref,,,False,36.8813,30.7049,3.0,2.0,2.0,1.0,True,"TV,Window guards,Wifi,Air conditioning,Kitchen,Hot water kettle,Smoking allowed,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Pocket wifi,Refrigerator,Dishes and silverware,Heating,Cooking basics,Clothing storage,Stove,Washer,Fire extinguisher,Luggage dropoff allowed,Essentials,Safe,Hangers,Hair dryer,Iron",,False,1,Non-refundable,TRY,0.0,0.0,119,4.35,4.5,4.7,4.2,4.8,4.9,4.5,2727.0,104806.0,47.9,1852.6,0.159,0.182,7.5,287.1,8.6,329.6,58,47,307,365,249.0,9771.0,42.4,1662.9,0.056,0.0,2.8,108.6,0.0,0.0,5,0,85,90,Muratpasa,Turkey,TR,Middle East
5223245,ECONOMİC single room in old town,Private room in guesthouse,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-5223245/original/efcdc57b-2393-4236-9250-e170accddd7f.jpeg,4.0,22357305,Şeref,,,False,36.8843,30.7074,1.0,1.0,1.0,1.0,False,"TV,Washer,Smoke alarm,Wifi,Air conditioning,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Smoking allowed,Pets allowed,Hangers,Hair dryer,Hot water,Bed linens,Extra pillows and blankets,Pocket wifi,Refrigerator,Heating",True,,1,Refundable,TRY,0.0,0.0,44,4.5,4.7,4.9,4.2,4.8,4.8,4.6,692.0,25910.0,21.6,836.0,0.09,0.12,1.9,71.0,2.5,94.2,33,90,332,365,0.0,0.0,18.3,717.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Muratpasa,Turkey,TR,Middle East
6686727,Twenty Hotel | Single Room in Kaleiçi (Old Town),Room in hotel,private_room,https://a0.muscache.com/im/pictures/2fbff88a-dab3-4ec3-8b53-bc97658c0504.jpg,8.0,15896421,Ozan,,,False,36.8867,30.707,1.0,1.0,1.0,1.0,True,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,TV,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Paid parking off premises,Luggage dropoff allowed",,False,999,Moderate,TRY,0.0,0.0,119,4.74,4.8,4.9,4.8,4.9,4.9,4.8,2878.0,112742.0,42.8,1650.5,0.186,0.221,7.9,308.9,9.4,367.2,68,58,297,365,659.0,25859.0,34.8,1367.3,0.211,0.0,7.3,287.3,0.0,0.0,19,0,71,90,Muratpasa,Turkey,TR,Middle East
7045591,"Twenty Hotel - Superior Room, Own bathroom",Room in hotel,private_room,https://a0.muscache.com/im/pictures/bfa2c2c3-8a6c-4a68-9abd-4a2020d9bdca.jpg,29.0,15896421,Ozan,,,False,36.8867,30.707,2.0,1.0,1.0,1.0,True,"TV,Cable TV,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Shampoo,Room-darkening shades,Paid parking off premises,Hangers,Hair dryer,Hot water,Iron,Bed linens,Coffee maker,Heating",True,False,999,Moderate,TRY,0.0,0.0,103,4.34,4.6,4.8,4.5,4.8,4.8,4.5,810.0,31785.0,52.6,2027.0,0.038,0.0,2.2,87.1,0.0,0.0,14,0,351,365,0.0,0.0,39.5,1548.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Muratpasa,Turkey,TR,Middle East
7066805,studio apartment in the old town,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-7066805/original/9c4b64aa-a969-4697-9215-c2a82c185068.jpeg,20.0,22357305,Şeref,,,False,36.8806,30.7042,2.0,,1.0,1.0,True,"Hair dryer,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,TV,Air conditioning,Heating,Exterior security cameras on property,Wifi,Pocket wifi,Kitchen,Refrigerator,Cooking basics,Free street parking,Luggage dropoff allowed,Smoking allowed",,False,1,Firm,TRY,0.0,0.0,63,4.41,4.4,4.6,4.0,4.7,4.9,4.4,4080.0,159098.0,44.7,1726.5,0.233,0.0,11.2,435.9,0.0,0.0,85,0,280,365,243.0,9536.0,41.2,1616.3,0.067,0.0,2.7,106.0,0.0,0.0,6,0,84,90,Muratpasa,Turkey,TR,Middle East
7209994,Old City Bacchus Hotel Deluxe Double Rooms,Room in bed and breakfast,hotel_room,,,31670229,,,,False,36.8822,30.7042,2.0,1.0,1.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,Clothing storage,TV,Air conditioning,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Beach access,Pool,Paid parking off premises,Paid parking on premises,Breakfast,Smoking allowed",,False,1,Moderate,TRY,0.0,0.0,305,4.72,4.7,4.8,4.7,4.9,4.9,4.7,2757.0,106500.0,90.1,3497.2,0.09,0.0,7.6,291.8,0.0,0.0,33,0,332,365,645.0,25309.0,94.6,3710.8,0.078,0.0,7.2,281.2,0.0,0.0,7,0,83,90,Muratpasa,Turkey,TR,Middle East
8232458,Hemdem_Old Town Flat Near The Sea and Harbour,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-8232458/original/92d47bda-c574-4c22-92af-ba537948230c.jpeg,51.0,43412709,Muazzez Işıl,5082682,Isil,True,36.8835,30.7053,5.0,3.0,3.0,1.0,True,"Air conditioning,Hair dryer,Cleaning products,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Crib,High chair,Babysitter recommendations,Air conditioning,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Waterfront,Beach access,Laundromat nearby,Patio or balcony,Paid parking off premises,Long term stays allowed",,False,1,Strict,TRY,0.0,0.0,110,4.75,4.8,4.9,4.7,4.9,4.8,4.8,8964.0,349462.0,127.4,4942.7,0.181,0.0,24.6,957.4,0.0,0.0,66,0,299,365,553.0,21699.0,117.2,4597.2,0.056,0.0,6.1,241.1,0.0,0.0,5,0,85,90,Muratpasa,Turkey,TR,Middle East
8245676,double room heart of the old town,Room in hotel,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-8245676/original/832055d4-5be4-4216-b550-8ad1158cb50d.jpeg,4.0,22357305,Şeref,,,False,36.8822,30.7064,2.0,1.0,1.0,1.0,True,"TV,Smoke alarm,Wifi,Air conditioning,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Smoking allowed,Pets allowed,Hangers,Hair dryer,Hot water,Bed linens,Extra pillows and blankets,Pocket wifi,Refrigerator,Heating",True,False,1,Refundable,TRY,0.0,0.0,59,4.22,4.5,4.6,4.0,4.6,4.6,4.4,1631.0,63903.0,31.6,1222.1,0.129,0.129,4.5,175.1,4.5,176.0,47,2,318,365,0.0,0.0,30.4,1194.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Muratpasa,Turkey,TR,Middle East
11504593,Twenty Hotel | Twin Room in Kaleiçi (OldTown),Room in hotel,private_room,https://a0.muscache.com/im/pictures/4d7bb1ff-79d9-4188-a7cc-e0351518afd4.jpg,11.0,15896421,Ozan,,,False,36.8867,30.707,2.0,1.0,2.0,1.0,True,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Iron,TV,Air conditioning,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Paid parking off premises,Luggage dropoff allowed",,False,999,Moderate,TRY,0.0,0.0,133,4.53,4.6,4.8,4.4,4.8,4.9,4.6,5084.0,198754.0,45.9,1765.4,0.293,0.0,13.9,544.5,0.0,0.0,107,0,258,365,489.0,19186.0,32.0,1253.9,0.167,0.0,5.4,213.2,0.0,0.0,15,0,75,90,Muratpasa,Turkey,TR,Middle East
12483243,NEW FRİENDSHİP and DİSCOVER ANTALYA,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-12483243/original/13e0d62e-0df4-4aa0-bc3e-9987ffb9cde2.jpeg,39.0,67011485,Onur,,,False,36.8748,30.7092,4.0,1.0,5.0,1.5,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Pets allowed,Mini fridge,Free street parking,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Beach access,First aid kit,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Bathtub,Blender,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Bread maker,Toaster",False,False,7,Firm,TRY,0.0,0.0,6,5.0,4.8,4.8,5.0,4.8,4.7,4.8,2504.0,92874.0,80.5,3109.0,0.088,0.0,6.9,254.4,0.0,0.0,32,0,333,365,0.0,0.0,94.4,3704.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Muratpasa,Turkey,TR,Middle East
