listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
9557046,Spacious 3BR in Vibrant Riyadh,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-9557046/original/c0397458-c901-4557-a036-52d88b66fa0f.jpeg,16,16514475,Beth,,,False,24.8321,46.7554,4.0,3.0,3.0,3.0,True,"TV,Children’s books and toys,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Books and reading material,Hot water,Bed linens,Extra pillows and blankets,Cleaning products,Refrigerator,Drying rack for clothing,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Clothing storage,Stove,Washer,Dryer,Single level home,Patio or balcony,Backyard,Essentials,Long term stays allowed,Dining table,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Toaster",,False,7.0,Flexible,SAR,0.0,0.0,6,4.83,5.0,5.0,4.5,5.0,4.8,4.8,1653.0,6202.0,113.7,426.4,0.044,0.084,4.5,17.0,8.7,32.6,16,175,349,365,998.0,3745.0,107.6,403.8,0.111,0.0,11.1,41.6,0.0,0.0,10,0,80,90,Riyadh,Saudi Arabia,SA,Middle East
21557093,Luxurious suites in a prime location,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/9e30aeb0-b86d-4ff6-8d8c-e2628ca24c12.jpg,25,156730693,Khalid,,,True,24.8129,46.7664,2.0,1.0,1.0,1.0,True,"Cleaning products,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,TV,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Trash compactor,Coffee,Free parking on premises,Elevator,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Flexible,SAR,0.0,0.0,11,4.91,5.0,4.9,4.9,4.9,5.0,4.8,2534.0,9504.0,66.1,248.1,0.121,0.129,6.9,26.0,7.5,28.0,44,25,321,365,2052.0,7696.0,55.1,206.9,0.411,0.0,22.8,85.5,0.0,0.0,37,0,53,90,Riyadh,Saudi Arabia,SA,Middle East
27742837,Luxury 2 bedroom Apartment Self Entry,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-27742837/original/4df863df-e73c-4294-88a6-6ac7e95bbdc0.jpeg,25,78782750,Abdulaziz,,,True,24.8306,46.5982,4.0,2.0,3.0,2.0,True,"Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Hangers,Iron,Drying rack for clothing,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Rice maker,Trash compactor,Dining table,Free parking on premises,Elevator,Long term stays allowed",,False,1.0,Firm,SAR,0.0,0.0,69,4.94,5.0,5.0,4.9,5.0,4.9,4.9,38910.0,145966.0,209.5,785.9,0.518,0.0,106.6,399.9,0.0,0.0,189,0,176,365,12649.0,47451.0,188.3,706.3,0.744,0.0,140.5,527.2,0.0,0.0,67,0,23,90,Riyadh,Saudi Arabia,SA,Middle East
39488585,Far corner,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-39488585/original/52cc266c-ac26-4309-865a-27a6b1efd247.jpeg,27,269877939,Sara,,,False,24.8786,46.6162,2.0,1.0,1.0,2.0,True,"TV,Washer,Air conditioning,Fire extinguisher,Kitchen,Essentials,Free parking on premises,Shampoo,Smoking allowed,Hangers,Hot water,Iron,Elevator,Outdoor furniture,Indoor fireplace,Heating",,False,1.0,Flexible,SAR,0.0,0.0,1,,,,,,,,1549.0,5810.0,128.9,483.6,0.033,0.0,4.2,15.9,0.0,0.0,12,0,353,365,0.0,0.0,130.1,488.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Riyadh,Saudi Arabia,SA,Middle East
41449948,Large New Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2b904efe-68d3-451f-b51d-c8e59c5d72fe.jpg,16,51517389,Bandar,,,True,24.8103,46.7907,4.0,2.0,3.0,3.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Ethernet connection,TV,Air conditioning,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Trash compactor,Coffee,Bread maker,Private entrance,Free parking on premises,Free street parking,Elevator,Long term stays allowed",,False,1.0,Moderate,SAR,0.0,0.0,188,4.94,4.9,5.0,5.0,5.0,4.8,4.7,2465.0,9247.0,94.2,353.4,0.074,0.103,6.8,25.3,9.4,35.4,27,104,338,365,0.0,0.0,97.0,363.7,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Riyadh,Saudi Arabia,SA,Middle East
44136490,Lady Park Luxurious chalet Lady Park Luxurious chalet,Entire chalet,entire_home,https://a0.muscache.com/im/pictures/87f13093-8ec8-4bcb-bf73-23b96c1fe997.jpg,74,272324722,Abdullah,,,False,24.5798,46.7811,15.0,1.0,1.0,2.0,True,"Air conditioning,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Outdoor shower,Hot water,Shower gel,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,Mosquito net,Clothing storage,Ethernet connection,TV,Sound system,Air conditioning,Indoor fireplace,Portable fans,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Barbecue utensils,Dining table,Coffee,Private entrance,Laundromat nearby,Resort access,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Pool,Hot tub,EV charger,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Flexible,SAR,0.0,0.0,160,4.84,4.9,5.0,4.7,5.0,4.6,4.7,9861.0,36992.0,316.9,1188.6,0.082,0.0,27.0,101.3,0.0,0.0,30,0,335,365,606.0,2274.0,283.2,1062.4,0.022,0.0,6.7,25.3,0.0,0.0,2,0,88,90,Riyadh,Saudi Arabia,SA,Middle East
44636083,09-Cozy 1 BR Apartment In a Complex,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/4ab7c0a5-f566-4f7d-b6bf-aac8e1251dba.jpg,11,361281015,Fahad,374406362,Muaath,False,24.867,46.6366,3.0,1.0,2.0,1.5,True,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Smoking allowed,Pets allowed,Hot water,Body soap,Conditioner,Elevator,Free street parking,Pocket wifi,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Stove,Wine glasses,Shower gel,Backyard,Fire extinguisher,Luggage dropoff allowed,Long term stays allowed,Shampoo,Lock on bedroom door,Cleaning before checkout,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Rice maker",,False,1.0,Flexible,SAR,12.0,0.0,298,4.88,4.9,4.9,4.8,5.0,4.8,4.6,6742.0,25295.0,194.1,728.1,0.09,0.0,18.2,68.4,0.0,0.0,33,0,332,365,4242.0,15916.0,193.3,725.2,0.233,0.0,46.6,174.8,0.0,0.0,21,0,69,90,Riyadh,Saudi Arabia,SA,Middle East
47716468,"Two-room apartment, hall, and self-check-in roof",Entire loft,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-47716468/original/194db080-ca9e-4b1c-a0ff-1aa297dd4ac5.jpeg,39,384398372,Dhahir,,,True,24.9217,46.8177,6.0,2.0,3.0,2.0,True,"Air conditioning,Bathtub,Body soap,Hot water,Washer,Dryer,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,Clothing storage,TV,Air conditioning,Heating,Exterior security cameras on property,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Oven,Hot water kettle,Coffee maker,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,Sun loungers,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Moderate,SAR,0.0,0.0,23,4.87,4.9,5.0,4.8,5.0,4.7,4.9,5021.0,18835.0,150.7,565.3,0.077,0.114,13.8,51.6,20.5,76.9,28,120,337,365,304.0,1140.0,104.5,392.2,0.033,0.0,3.4,12.7,0.0,0.0,3,0,87,90,Riyadh,Saudi Arabia,SA,Middle East
48040643,WHITE & GRAY,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-48040643/original/bf8616b0-8bb4-4955-8009-6a155f691e83.jpeg,38,159670242,Abdulaziz,,,False,24.8658,46.6361,2.0,2.0,1.0,2.0,True,"TV,Patio or balcony,Air conditioning,Backyard,Long term stays allowed,Free parking on premises,Shampoo,Lock on bedroom door,Hair dryer,Iron,Outdoor dining area,Free street parking,Outdoor furniture,Private entrance,Heating",,False,3.0,Flexible,SAR,0.0,0.0,10,5.0,5.0,5.0,4.9,5.0,4.7,5.0,6958.0,26102.0,87.7,328.9,0.222,0.296,19.1,71.5,25.4,95.3,81,91,284,365,0.0,0.0,69.0,258.9,0.0,0.0,0.0,0.0,0.0,0.0,0,69,90,90,Riyadh,Saudi Arabia,SA,Middle East
51085714,Luxury apartment with a privileged location,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-51085714/original/2cc50688-224c-473d-839b-ae3bbd60f678.jpeg,6,347362683,Rozn Co,90830605,Deemah,True,24.7785,46.573,4.0,2.0,3.0,3.0,False,"TV,Washer,Smoke alarm,Air conditioning,First aid kit,Fire extinguisher,Kitchen,Free parking on premises,Dedicated workspace",True,,,Flexible,SAR,0.0,0.0,7,4.57,4.4,4.6,5.0,4.4,4.3,4.6,3982.0,14935.0,136.2,511.0,0.085,0.102,10.9,40.9,13.1,49.1,31,61,334,365,0.0,0.0,139.7,524.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Riyadh,Saudi Arabia,SA,Middle East
