listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
1625894,"Evabella Villa, Sheltered Villa with Pool and Barbecue",Entire villa,entire_home,https://a0.muscache.com/im/pictures/bd57ef99-bf17-4bfd-a84e-8ec1a494d23e.jpg,227,8637188,Elif,,,True,40.6934,30.1911,9.0,4.0,4.0,4.0,True,"Pets allowed,Hair dryer,Cleaning products,Shampoo,Body soap,Outdoor shower,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Mosquito net,Clothing storage,Ethernet connection,TV,Books and reading material,Crib,Children’s books and toys,High chair,Board games,Air conditioning,Indoor fireplace,Ceiling fan,Heating,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Private entrance,Resort access,Patio or balcony,Backyard,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Free street parking,Pool,Long term stays allowed",,False,2.0,Firm,TRY,69.0,0.0,84,4.92,4.9,5.0,4.9,5.0,4.8,4.7,33647.0,1310897.0,429.1,16586.7,0.197,0.0,89.3,3480.2,0.0,0.0,72,0,293,365,5648.0,221629.0,420.8,16511.8,0.133,0.0,60.5,2372.3,0.0,0.0,12,0,78,90,Sapanca,Turkey,TR,Middle East
4876779,Your Home at Sapanca,Entire home,entire_home,https://a0.muscache.com/im/pictures/33d4960d-cf3b-41f6-9448-3d1db1bce3b9.jpg,56,24708656,My Home,,,False,40.4148,30.1422,11.0,5.0,7.0,5.0,True,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Mosquito net,Clothing storage,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Children’s dinnerware,Air conditioning,Indoor fireplace,Heating,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Mini fridge,Freezer,Dishwasher,Oven,Coffee maker,Wine glasses,Dining table,Patio or balcony,Backyard,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Beach essentials,Free parking on premises,Pool,Smoking allowed",,False,2.0,Limited,TRY,0.0,0.0,91,4.84,4.9,5.0,4.5,5.0,5.0,4.8,16603.0,643899.0,250.5,9728.9,0.186,0.192,45.5,1764.1,46.9,1818.9,68,11,297,365,4394.0,172421.0,268.5,10537.2,0.167,0.0,48.8,1915.8,0.0,0.0,15,0,75,90,Sapanca,Turkey,TR,Middle East
5700364,Rooms with Gardens within Walking Distance to Sapanca Lake,Private room in nature lodge,private_room,https://a0.muscache.com/im/pictures/ccc3c7b0-3ee5-4d4b-854e-2bb719fc9164.jpg,39,29434927,Ogün,,,True,40.6979,30.2661,2.0,1.0,1.0,1.0,True,"Pets allowed,Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Drying rack for clothing,Clothing storage,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Refrigerator,Mini fridge,Hot water kettle,Coffee maker,Dining table,Waterfront,Beach access,Lake access,Private entrance,Laundromat nearby,Resort access,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Flexible,TRY,0.0,0.0,120,4.78,4.9,4.8,4.7,4.9,4.9,4.9,3995.0,152482.0,44.0,1702.4,0.258,0.0,10.9,417.8,0.0,0.0,94,0,271,365,768.0,30138.0,48.9,1920.6,0.189,0.0,8.5,334.9,0.0,0.0,17,0,73,90,Sapanca,Turkey,TR,Middle East
8093957,"Luxurious Isolated Villa Damla, Sapanca Kırkpınar",Entire home,entire_home,https://a0.muscache.com/im/pictures/103119628/79b30d02_original.jpg,34,42743622,Kadriye,,,False,40.6946,30.2168,8.0,4.0,8.0,3.0,True,"Pets allowed,Bathtub,Hair dryer,Cleaning products,Outdoor shower,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,High chair,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Wine glasses,Baking sheet,Dining table,Lake access,Private entrance,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Free street parking,Pool,Hot tub,Luggage dropoff allowed",,False,2.0,Moderate,TRY,0.0,0.0,63,4.86,5.0,5.0,4.8,4.9,4.9,4.8,38867.0,1507298.0,287.4,11105.5,0.364,0.0,106.5,4129.6,0.0,0.0,133,0,232,365,3277.0,128588.0,291.6,11443.2,0.111,0.0,36.4,1428.8,0.0,0.0,10,0,80,90,Sapanca,Turkey,TR,Middle East
9084697,Leaf Mountain House,Entire home,entire_home,https://a0.muscache.com/im/pictures/518a6b0f-d816-40a3-b3e6-5f6262c6ce2d.jpg,42,47373273,Aslı,,,False,40.6949,30.2881,8.0,4.0,4.0,1.0,True,"Free parking on premises,Pets allowed,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Mosquito net,Clothing storage,TV,Fireplace guards,Window guards,Air conditioning,Indoor fireplace,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Mini fridge,Dishwasher,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free street parking,Pool,Pets allowed",,False,1.0,Firm,TRY,0.0,0.0,217,4.82,4.9,5.0,4.9,5.0,4.8,4.7,6621.0,256291.0,215.2,8313.1,0.082,0.0,18.1,702.2,0.0,0.0,30,0,335,365,633.0,24839.0,226.8,8900.1,0.033,0.0,7.0,276.0,0.0,0.0,3,0,87,90,Sapanca,Turkey,TR,Middle East
11624182,"Market, Hospital, Restaurant area in the center of Sapanca",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE2MjQxODI%3D/original/38140633-eb52-4d69-a63a-d03b4dc18e38.jpeg,31,61569214,Sapanca Villa Bahçe,,,True,40.6898,30.2568,5.0,3.0,8.0,2.0,True,"Bathtub,Hair dryer,Cleaning products,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,Clothing storage,TV,Air conditioning,Indoor fireplace,Heating,Heating,Exterior security cameras on property,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Baking sheet,Barbecue utensils,Dining table,Coffee,Lake access,Laundromat nearby,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Pets allowed",,False,1.0,Firm,TRY,0.0,0.0,11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4648.0,182386.0,355.6,13734.0,0.038,0.04,12.7,499.7,13.2,516.7,14,12,351,365,0.0,0.0,394.3,15474.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Sapanca,Turkey,TR,Middle East
13295697,Villa Onuk,Entire villa,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTMyOTU2OTc%3D/original/d04a60f7-9db0-459b-a1f7-0af89ba50c07.jpeg,56,75050175,Villa Onuk Sapanca Kırkpınar,,,False,40.6979,30.2163,12.0,5.0,8.0,3.0,False,"TV,Wifi,Air conditioning,Lake access,Pool,Ski-in/Ski-out,Kitchen,Free parking on premises,Hot water kettle,Smoking allowed,Pets allowed,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Hammock,Cleaning products,Indoor fireplace,Drying rack for clothing,Heating,Coffee,Clothing storage,Washer,Dryer,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Private entrance,Bathtub,High chair,Baby safety gates,Children’s books and toys,Blender,Crib,Room-darkening shades,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Baking sheet",False,,2.0,Firm,TRY,48.0,0.0,46,4.87,4.9,4.9,4.7,4.9,4.9,4.7,10078.0,393369.0,272.1,10521.8,0.077,0.0,26.7,1041.6,0.0,0.0,28,0,337,365,0.0,0.0,255.8,10035.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Sapanca,Turkey,TR,Middle East
14289049,SAPANCA EREN VİLLA,Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-14289049/original/48805d89-58eb-4111-aa45-b659833236ce.jpeg,194,79432810,Eren Villa,,,False,40.6977,30.267,10.0,5.0,13.0,2.0,True,"Air conditioning,Free parking on premises,Pets allowed,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Ethernet connection,TV,Sound system,Books and reading material,Crib,Children’s books and toys,High chair,Outlet covers,Board games,Outdoor playground,Air conditioning,Portable fans,Heating,Heating,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Barbecue utensils,Dining table,Coffee,Waterfront,Lake access,Ski-in/Ski-out,Private entrance,Laundromat nearby,Resort access,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Hammock,Outdoor dining area,Outdoor kitchen,BBQ grill,Beach essentials,Kayak,Sun loungers,Free parking on premises,Free street parking,Pool,Gym,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,1.0,Firm,TRY,0.0,0.0,37,4.73,4.8,5.0,4.8,5.0,4.7,4.6,19440.0,754952.0,281.1,10866.4,0.178,0.0,53.3,2068.4,0.0,0.0,65,0,300,365,1181.0,46342.0,270.4,10609.1,0.044,0.0,13.1,514.9,0.0,0.0,4,0,86,90,Sapanca,Turkey,TR,Middle East
14754212,Villa Yanık - Sapanca,Entire home,entire_home,https://a0.muscache.com/im/pictures/89cc7240-b0a8-414e-b6c6-8c4d0a338e4d.jpg,106,100390,Zeynep,,,True,40.6917,30.1905,11.0,5.0,7.0,3.0,True,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Outdoor furniture,Cleaning products,Indoor fireplace,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Private entrance,High chair,Blender,Fireplace guards,Crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",,False,2.0,Firm,TRY,0.0,0.0,146,4.87,4.9,5.0,4.7,5.0,4.8,4.6,36627.0,1425579.0,322.0,12452.9,0.266,0.0,100.3,3905.7,0.0,0.0,97,0,268,365,3574.0,140244.0,268.3,10526.7,0.133,0.0,39.7,1558.3,0.0,0.0,12,0,78,90,Sapanca,Turkey,TR,Middle East
18803331,Bloom Sapanca - Villa Sun,Entire villa,entire_home,https://a0.muscache.com/im/pictures/f4dbc64b-aaa6-4361-8070-827a9f62c737.jpg,40,57775896,Oznur,,,False,40.6953,30.3018,8.0,2.0,4.0,1.0,True,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Breakfast,Conditioner,Outdoor furniture,Cleaning products,Indoor fireplace,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Baby bath,High chair,Window guards,Fireplace guards,Pack ’n play/Travel crib,Hot water,Outdoor shower,Mosquito net,Bed linens,Pocket wifi,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Sun loungers",,False,1.0,Firm,TRY,0.0,0.0,18,4.65,4.8,4.8,4.6,4.8,4.8,4.7,6690.0,262518.0,167.7,6458.9,0.093,0.2,18.3,719.2,39.4,1544.2,34,195,331,365,0.0,0.0,122.1,4789.5,0.0,0.0,0.0,0.0,0.0,0.0,0,26,90,90,Sapanca,Turkey,TR,Middle East
