listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
406324,"Top-Rated, Carefully Curated nr. Nişantaşı, Taksim",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDA2MzI0/original/6c12ae4e-2f57-41b2-be11-486582bf5e0a.jpeg,38,2024014,Onur,,,True,41.0489,28.9862,4.0,2.0,3.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Air conditioning,Heating,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Hot water kettle,Coffee maker,Trash compactor,Dining table,Coffee,Laundromat nearby,Patio or balcony,Free street parking,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Firm,TRY,47.0,0.0,115,4.9,4.9,4.9,4.8,5.0,4.8,4.8,22225.0,862995.0,99.3,3842.5,0.559,0.0,55.6,2157.2,0.0,0.0,204,0,161,365,4480.0,175795.0,107.3,4210.5,0.422,0.0,46.1,1809.9,0.0,0.0,38,0,52,90,Sisli,Turkey,TR,Middle East
484153,"comfy room in Taksim, Istanbul",Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/5905109/ac4dc7a5_original.jpg,20,2395401,Özgür,,,False,41.0446,28.9819,,,1.0,0.0,False,"Washer,Wifi,Fire extinguisher,Kitchen,Essentials,Private entrance,Lock on bedroom door,Hair dryer,Hot water,Heating",,False,7.0,Moderate,TRY,0.0,0.0,2,,,,,,,,154.0,6042.0,11.4,440.8,0.033,0.056,0.4,16.6,0.7,28.4,12,152,353,365,0.0,0.0,9.5,371.6,0.0,0.0,0.0,0.0,0.0,0.0,0,89,90,90,Sisli,Turkey,TR,Middle East
879400,Fully serviced Family Suite for 4  in Nişantaşı,Room in aparthotel,hotel_room,https://a0.muscache.com/im/pictures/b882cdfa-8e4c-47b9-a2ec-8474e41693ed.jpg,36,4126563,Mustafa Burak,666505404,Reception,False,41.0507,28.9893,4.0,2.0,2.0,1.0,False,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Smoking allowed,Gym,Elevator,Laundromat nearby,Outdoor furniture,Hot tub,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Bathtub,High chair,Babysitter recommendations,Crib,Room-darkening shades,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Sauna,Stove,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Bread maker,Toaster",False,,365.0,Moderate,TRY,0.0,0.0,2,,,,,,,,2342.0,91900.0,161.8,6230.3,0.038,0.0,6.4,251.8,0.0,0.0,14,0,351,365,0.0,0.0,144.3,5663.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Sisli,Turkey,TR,Middle East
1491238,Luxury Apartment Nisantasi with Gym,Entire loft,entire_home,https://a0.muscache.com/im/pictures/00a6e77d-6903-4320-b3cf-db9b3f8ffcc8.jpg,13,7973211,Cem,,,True,41.0475,28.9947,3.0,1.0,1.0,1.5,True,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Exercise equipment,Air conditioning,Heating,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Patio or balcony,Outdoor furniture,Outdoor dining area,Gym",,False,3.0,Moderate,TRY,0.0,0.0,61,4.95,5.0,5.0,4.9,5.0,5.0,4.9,31692.0,1220888.0,153.9,5947.8,0.567,0.578,86.8,3344.9,88.5,3410.3,207,7,158,365,8453.0,331690.0,161.6,6340.2,0.578,0.627,93.9,3685.4,101.8,3996.3,52,7,38,90,Sisli,Turkey,TR,Middle East
3045060,"residence; 24 hr sec, pool, fitness, wifi, parking",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/38987462/e76c9a99_original.jpg,20,15505819,Aziz,,,True,41.0426,28.9829,4.0,2.0,4.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Air conditioning,Heating,Smoke alarm,Fire extinguisher,Wifi,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Coffee,Patio or balcony,Free parking on premises,Pool,Sauna,Elevator,Gym,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Flexible,TRY,0.0,0.0,48,4.67,4.7,5.0,4.5,4.8,4.5,4.6,5995.0,232763.0,107.1,4139.2,0.142,0.0,16.4,637.7,0.0,0.0,52,0,313,365,321.0,12596.0,105.5,4139.0,0.033,0.0,3.6,140.0,0.0,0.0,3,0,87,90,Sisli,Turkey,TR,Middle East
3598671,Comfy&Peaceful Double Room,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-3598671/original/e5c77b4e-675e-4ac1-bf85-da49dec20859.jpeg,42,867244,Elvan,,,True,41.0445,28.9834,,,1.0,0.0,False,"Wifi,Kitchen,Paid parking off premises,Hot water,Bed linens,Extra pillows and blankets,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",False,False,100.0,Strict,TRY,,,248,4.93,4.9,5.0,4.9,5.0,4.8,4.9,264.0,10359.0,28.1,1085.6,0.027,0.044,0.7,28.4,1.2,45.8,10,139,355,365,0.0,0.0,28.0,1098.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Sisli,Turkey,TR,Middle East
4231434,For families in Heart of Istanbul,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/53152499/394d8588_original.jpg,13,15409940,Huseyin,,,False,41.0637,29.0007,3.0,1.0,1.0,1.0,True,"Hair dryer,Hot water,Washer,Essentials,Hangers,Iron,TV,Crib,Pack ’n play/Travel crib,High chair,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Cooking basics,Dishes and silverware,Free street parking,Elevator,Long term stays allowed",,False,2.0,Moderate,TRY,10.0,0.0,19,4.84,4.8,5.0,5.0,5.0,4.7,4.8,2734.0,105971.0,71.2,2743.4,0.104,0.104,7.4,285.0,7.4,285.7,38,1,327,365,1167.0,45791.0,68.7,2694.9,0.178,0.0,12.7,500.1,0.0,0.0,16,0,74,90,Sisli,Turkey,TR,Middle East
5503376,Economical 1+1 Family Apartment in Istanbul Şişli Center,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/4d74c3ba-5077-466a-a2f2-fbdfaa5adaf7.jpg,15,28541953,Alper,,,False,41.056,28.9817,3.0,1.0,1.0,1.0,True,"Wifi,Hair dryer,Shampoo,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Window guards,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Dishes and silverware,Stove,Oven,Hot water kettle,Baking sheet,Dining table,Laundromat nearby,Elevator,Paid parking off premises,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Moderate,TRY,0.0,0.0,95,4.73,4.8,4.8,4.7,4.9,4.8,4.7,1021.0,39022.0,82.6,3183.0,0.036,0.0,2.8,106.9,0.0,0.0,13,0,352,365,79.0,3100.0,77.4,3039.0,0.011,0.0,0.9,34.4,0.0,0.0,1,0,89,90,Sisli,Turkey,TR,Middle East
6265781,"Balcony 3BR Palace S, 4AC, 3Min to Taksim Squere",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjI2NTc4MQ==/original/3068d0bd-faa3-4248-b472-674699e1dbd6.jpeg,39,32561992,Ahmet Salim,,,True,41.0429,28.9853,6.0,3.0,6.0,1.5,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,TV,Crib,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Oven,Hot water kettle,Coffee maker,Patio or balcony,Paid parking off premises,Smoking allowed",,False,5.0,Firm,TRY,0.0,0.0,18,4.78,4.8,4.8,4.8,4.9,4.8,4.8,11613.0,452808.0,152.6,5871.9,0.211,0.212,31.8,1240.6,32.0,1247.4,77,2,288,365,2105.0,82602.0,131.0,5141.7,0.178,0.0,23.4,917.8,0.0,0.0,16,0,74,90,Sisli,Turkey,TR,Middle East
6424451,Modern cosy house close to Taksim,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/83733323/1cf39890_original.jpg,18,7427657,Çağıl,8807991,Erdinç,False,41.0605,28.9859,4.0,1.0,2.0,1.0,False,"TV,Wifi,Kitchen,Free parking on premises,Room-darkening shades,Hot water,Bed linens,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Patio or balcony,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",,False,100.0,Firm,TRY,,,2,,,,,,,,1172.0,45990.0,97.3,3753.7,0.033,0.0,3.2,126.0,0.0,0.0,12,0,353,365,585.0,22956.0,99.4,3900.0,0.067,0.0,6.5,255.1,0.0,0.0,6,0,84,90,Sisli,Turkey,TR,Middle East
