listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
15217,"TLV living, in Heart of TLV",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/10273939/37ebf372_original.jpg,13,59736,Shlomo,,,True,32.0831,34.7789,4.0,1.0,2.0,1.0,False,"Hair dryer,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Drying rack for clothing,Clothing storage,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Dishwasher,Stove,Hot water kettle,Coffee maker,Wine glasses,Dining table,Beach access,Elevator",,False,7.0,Firm,ILS,0.0,0.0,78.0,4.63,4.7,4.9,4.7,4.8,4.9,4.6,13341.0,47992.0,95.4,338.9,0.389,0.654,36.6,131.5,61.5,221.2,142,148,223,365,852.0,2998.0,92.7,326.1,0.1,0.29,9.5,33.3,27.5,96.7,9,59,81,90,Tel Aviv,Israel,IL,Middle East
16057,Luxury Apt on Beach w/ Great Views,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/0bd4fb4a-1081-4e31-8440-bc6f20137ca5.jpg,18,60722,Roma,,,False,32.1418,34.7949,2.0,1.0,2.0,1.0,False,"Hair dryer,Shampoo,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Ethernet connection,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Oven,Hot water kettle,Wine glasses,Dining table,Beach access,Private entrance,Laundromat nearby,Patio or balcony,Free street parking,Elevator,Long term stays allowed",,False,3.0,Limited,ILS,80.0,0.0,15.0,4.79,4.8,4.8,4.7,4.9,4.9,4.7,11759.0,42099.0,119.5,424.5,0.263,0.0,29.8,106.8,0.0,0.0,96,0,269,365,1550.0,5453.0,108.0,380.0,0.156,0.0,16.3,57.5,0.0,0.0,14,0,76,90,Tel Aviv,Israel,IL,Middle East
32887,Spacious quiet garden studio,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/706618/14400e15_original.jpg,26,142478,Yael,664151486,Haya,True,32.1139,34.818,3.0,1.0,3.0,1.0,False,"Air conditioning,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Books and reading material,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Wine glasses,Dining table,Coffee,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Smoking allowed,Long term stays allowed",,False,10.0,Moderate,ILS,58.0,0.0,108.0,4.71,4.7,4.9,4.3,4.9,4.8,4.8,5286.0,18802.0,100.4,358.9,0.134,0.0,13.2,47.0,0.0,0.0,49,0,316,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Tel Aviv,Israel,IL,Middle East
66961,Amazing villa in TLV+swimming pool,Entire villa,entire_home,https://a0.muscache.com/im/pictures/418183/ec0d3d05_original.jpg,26,329266,Irit,,,False,32.116,34.8134,5.0,3.0,5.0,1.5,False,"High chair,TV,Cable TV,Ping pong table,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Single level home,Smoke alarm,Shower gel,Patio or balcony,Backyard,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Baking sheet,Private entrance",,False,5.0,Firm,ILS,80.0,0.0,2.0,,,,,,,,8860.0,31177.0,361.9,1285.6,0.066,0.0,23.8,83.9,0.0,0.0,24,0,341,365,0.0,0.0,363.4,1278.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Tel Aviv,Israel,IL,Middle East
75194,Florentine apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/96ed6cd2-db4e-4e57-9d35-446798da232f.jpg,36,392487,Nechama,,,True,32.0554,34.769,2.0,1.0,1.0,1.0,False,"Wifi,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Books and reading material,Baby bath,Air conditioning,Ceiling fan,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Baking sheet,Laundromat nearby,Outdoor furniture,Outdoor dining area,BBQ grill,Free street parking,Paid parking off premises,Pets allowed,Luggage dropoff allowed",,False,4.0,Moderate,ILS,69.0,0.0,164.0,4.86,4.9,4.9,4.8,4.9,4.8,4.7,5854.0,20638.0,94.6,336.1,0.148,0.15,14.3,50.6,14.5,51.3,54,5,311,365,1908.0,6714.0,91.1,320.6,0.211,0.218,19.7,69.2,20.3,71.6,19,3,71,90,Tel Aviv,Israel,IL,Middle East
76028,Homey and modern 2 BD vacation apt,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/6c15ea32-07e5-4d4d-bf54-595c1d98fdd7.jpg,25,182576,Nataly,,,False,32.0809,34.7692,6.0,2.0,4.0,1.5,False,"High chair,TV,Cable TV,Wifi,Air conditioning,Babysitter recommendations,Kitchen,Pack ’n play/Travel crib,Room-darkening shades,Paid parking off premises,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Single level home,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",,False,4.0,Firm,ILS,60.0,0.0,31.0,4.63,4.6,4.9,4.6,4.8,4.9,4.5,4178.0,15051.0,152.1,540.4,0.071,0.084,10.8,38.9,12.7,45.7,26,54,339,365,1482.0,5215.0,153.3,539.4,0.1,0.0,15.1,53.3,0.0,0.0,9,0,81,90,Tel Aviv,Israel,IL,Middle East
89670,The Attic - your TA country house,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/83edf17d-6c06-4e2f-81fe-838bbf0f66b6.jpg,7,8519,Tal,,,True,32.1096,34.8204,4.0,2.0,3.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,TV,Books and reading material,Pack ’n play/Travel crib,Air conditioning,Ceiling fan,Portable fans,Heating,Wifi,Kitchen,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Private entrance,Patio or balcony,Backyard,Free street parking,Gym,Long term stays allowed",,False,6.0,Moderate,ILS,142.0,19.0,70.0,4.66,4.8,5.0,4.8,4.9,4.8,4.8,23003.0,81764.0,92.7,329.2,0.655,0.749,58.0,206.2,66.3,235.9,239,46,126,365,1335.0,4699.0,106.6,375.1,0.111,0.217,11.7,41.1,22.8,80.4,10,44,80,90,Tel Aviv,Israel,IL,Middle East
157805,One bedroom in shared appartment at center TLV,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/b2adeba8-c84c-4ee3-ae42-965b3a36e721.jpg,13,729879,Diva,,,False,32.0772,34.7761,,,1.0,0.0,False,"Wifi,Air conditioning,Kitchen,Essentials,Microwave,Refrigerator,Hot water,Heating",,False,1.0,Firm,ILS,28.0,28.0,203.0,4.79,4.8,4.8,4.8,4.8,4.9,4.7,1950.0,7021.0,66.6,236.6,0.079,0.08,5.0,18.2,5.0,18.2,29,1,336,365,0.0,0.0,68.4,240.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Tel Aviv,Israel,IL,Middle East
230697,Miraks Standart Sea Suite 11,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3062e6ef-fd27-4f40-9094-34a344f07a9b.jpg,11,1155884,Stan,497349977,Igor,False,32.0706,34.7638,4.0,1.0,1.0,0.0,False,"TV,Washer,Cable TV,Dryer,Wifi,Air conditioning,Kitchen,Smoking allowed,Pets allowed",False,,2.0,Strict,ILS,50.0,0.0,5.0,4.4,4.6,4.8,4.4,4.6,5.0,4.4,2320.0,8162.0,128.3,455.6,0.047,0.05,6.1,21.4,6.5,23.0,17,25,348,365,0.0,0.0,128.9,453.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Tel Aviv,Israel,IL,Middle East
236660,Chic Studio - Steps From the Beach!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/13156642/c5194e32_original.jpg,15,870920,Doron,,,True,32.0733,34.7716,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Coffee maker,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,ILS,41.0,9.0,178.0,4.82,4.8,4.9,4.9,4.9,4.9,4.7,8314.0,29593.0,94.9,336.7,0.244,0.0,20.9,74.4,0.0,0.0,89,0,276,365,1799.0,6329.0,82.4,290.0,0.233,0.0,18.6,65.5,0.0,0.0,21,0,69,90,Tel Aviv,Israel,IL,Middle East
