listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
43372,"Downtown Style, Comfort, and Value",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/243376/a15d5722_original.jpg,12,31242,Michael,,,False,33.7689,-84.3803,,,1,0.0,False,"TV,Cable TV,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Pool,Kitchen,Essentials,Free parking on premises,Shampoo,Hangers,Hair dryer,Iron,Gym,Dedicated workspace,Dishes and silverware,Heating",False,False,2.0,Strict,USD,0.0,0.0,149,4.92,4.9,5.0,5.0,5.0,4.8,4.9,2107.0,2107.0,89.6,89.6,0.06,0.062,5.8,5.8,6.0,6.0,22,11,343,365,0.0,0.0,102.4,102.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Atlanta,United States,US,Northern America
54823,1st Floor Private Room/ World Congress/Staduim,Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/a3e56be8-0e58-404c-90ea-bc057fb03887.jpg,11,257889,Derrick,,,False,33.7556,-84.415,,,1,0.0,False,"Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,High chair,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Dining table,Coffee,Patio or balcony,Outdoor furniture,BBQ grill,Free parking on premises,Free street parking,Long term stays allowed",,False,4.0,Moderate,USD,40.0,0.0,379,4.81,4.9,4.9,4.8,4.8,4.5,4.8,8452.0,8452.0,72.2,72.2,0.274,0.0,20.3,20.3,0.0,0.0,100,0,265,365,1622.0,1622.0,71.6,71.6,0.222,0.0,15.8,15.8,0.0,0.0,20,0,70,90,Atlanta,United States,US,Northern America
76976,Buckhead Guesthouse Near Downtown ATL,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzY5NzY%3D/original/2bd9dcb9-bbb7-4b1b-88c0-f3fa6c18341f.jpeg,13,411534,Bernadette,,,False,33.8102,-84.4068,2.0,1.0,1,1.0,False,"TV,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Wifi,Kitchen,Free parking on premises,Pets allowed",,False,30.0,Strict,USD,,,4,5.0,5.0,5.0,5.0,5.0,5.0,4.8,10537.0,10537.0,105.8,105.8,0.244,0.28,28.9,28.9,33.1,33.1,89,47,276,365,557.0,557.0,134.7,134.7,0.044,0.0,6.2,6.2,0.0,0.0,4,0,86,90,Atlanta,United States,US,Northern America
225943,Private RM/Best Of ATL-Close to EmoryU+CDC+More!,Private room in condo,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-225943/original/bd72caf9-2c55-44e4-a456-0b01f216ace3.jpeg,26,1177623,Theresa,,,False,33.8052,-84.3398,,,1,0.0,False,"Bathtub,Hair dryer,Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,Piano,Books and reading material,Air conditioning,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Rice maker,Dining table,Free parking on premises,Free street parking,Gym,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,28.0,Moderate,USD,,,53,4.84,4.8,4.8,4.9,4.8,4.8,4.8,9884.0,9884.0,51.2,51.2,0.529,0.588,27.1,27.1,30.1,30.1,193,37,172,365,2005.0,2005.0,47.3,47.3,0.478,0.0,22.3,22.3,0.0,0.0,43,0,47,90,Atlanta,United States,US,Northern America
301394,Walkable and close to everything,Private room in home,private_room,https://a0.muscache.com/im/pictures/8091808/a7051640_original.jpg,14,1253614,Phillip,,,True,33.8015,-84.372,,,1,0.0,False,"Bathtub,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Iron,Clothing storage,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Coffee maker,Wine glasses,Baking sheet,Free parking on premises,Pool,Luggage dropoff allowed,Long term stays allowed",,False,5.0,Moderate,USD,15.0,10.0,45,4.88,5.0,4.9,4.8,4.9,4.9,4.9,1034.0,1034.0,87.5,87.5,0.033,0.038,2.8,2.8,3.3,3.3,12,53,353,365,0.0,0.0,89.6,89.6,0.0,0.0,0.0,0.0,0.0,0.0,0,18,90,90,Atlanta,United States,US,Northern America
509476,Queen Room in Stylish Bungalow,Private room in home,private_room,https://a0.muscache.com/im/pictures/6547793/df52c9f7_original.jpg,24,2510032,Vintage Bungalow,,,False,33.7187,-84.4217,3.0,1.0,1,3.5,False,"Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,BBQ grill,Carbon monoxide alarm,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",,False,3.0,Strict,USD,15.0,15.0,100,4.8,4.8,4.8,4.9,4.9,4.3,4.8,459.0,459.0,44.1,44.1,0.027,0.041,1.2,1.2,1.8,1.8,10,121,355,365,0.0,0.0,44.6,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0,40,90,90,Atlanta,United States,US,Northern America
517617,Quaint Bungalow in Candler Park,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-517617/original/36292fdf-e286-469b-88d6-aa581f2f99d0.jpg,33,1571228,Tom,,,True,33.7643,-84.3383,2.0,1.0,1,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Air conditioning,Ceiling fan,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,7.0,Firm,USD,,,335,4.91,4.9,5.0,4.9,4.9,5.0,4.9,21415.0,21415.0,101.8,101.8,0.581,0.779,58.7,58.7,78.7,78.7,212,93,153,365,3956.0,3956.0,108.6,108.6,0.422,0.576,44.0,44.0,59.9,59.9,38,24,52,90,Atlanta,United States,US,Northern America
533663,Downtown Luxury High-Rise Condo!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-533663/original/803997b4-74ef-497b-ac70-6e471ed607da.jpeg,25,2622900,Steve And April,,,True,33.7636,-84.3884,4.0,1.0,1,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Crib,Kitchen,Pack ’n play/Travel crib,Hot water,Elevator,Bed linens,Extra pillows and blankets,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance",,,2.0,Strict,USD,85.0,0.0,204,4.7,4.8,4.8,4.5,4.9,4.8,4.7,6055.0,6055.0,117.4,117.4,0.121,0.0,14.7,14.7,0.0,0.0,44,0,321,365,0.0,0.0,119.9,119.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Atlanta,United States,US,Northern America
575417,upstairs in Ansley Park,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTc1NDE3/original/ee174aeb-886b-48fc-98a2-4edc875be0bf.jpeg,12,2830220,Max,,,True,33.7929,-84.3814,4.0,2.0,2,1.5,False,"Bathtub,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,Books and reading material,Board games,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Microwave,Dishes and silverware,Mini fridge,Hot water kettle,Coffee maker,Toaster,Private entrance,Laundromat nearby,Free parking on premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,4.0,Firm,USD,0.0,25.0,67,4.98,5.0,5.0,5.0,5.0,5.0,5.0,22474.0,22474.0,141.0,141.0,0.411,0.0,61.6,61.6,0.0,0.0,150,0,215,365,8925.0,8925.0,154.7,154.7,0.633,0.0,99.2,99.2,0.0,0.0,57,0,33,90,Atlanta,United States,US,Northern America
585401,Luxury in the heart of Midtown,Private room in home,private_room,https://a0.muscache.com/im/pictures/9972113/70391acd_original.jpg,14,1253614,Phillip,,,True,33.8015,-84.372,,,1,0.0,False,"Smoke alarm,Wifi,Air conditioning,Pool,Luggage dropoff allowed,Kitchen,Essentials,Long term stays allowed,Free parking on premises,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Hot water,Free street parking,Heating",,False,5.0,Moderate,USD,15.0,10.0,40,4.81,4.8,4.8,4.8,4.8,4.8,4.8,5878.0,5878.0,88.9,88.9,0.181,0.333,15.9,15.9,29.3,29.3,66,167,299,365,579.0,579.0,90.0,90.0,0.067,0.087,6.3,6.3,8.2,8.2,6,21,84,90,Atlanta,United States,US,Northern America
