listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
5456,"Walk to 6th, Rainey St and Convention Ctr",Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/14084884/b5a35a84_original.jpg,16,8028,Sylvia,,,True,30.2606,-97.7344,3.0,1.0,2,1.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Dishes and silverware,Coffee maker,Private entrance,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Firm,USD,65.0,0.0,715,4.85,4.9,4.9,4.9,4.8,4.7,4.8,12628.0,12628.0,115.6,115.6,0.236,0.0,30.5,30.5,0.0,0.0,86,0,279,365,657.0,657.0,116.0,116.0,0.056,0.0,6.6,6.6,0.0,0.0,5,0,85,90,Austin,United States,US,Northern America
5769,NW Austin Room,Private room in home,private_room,https://a0.muscache.com/im/pictures/d6fd33ab-6dc5-4f5b-9680-c29ed6005f3c.jpg,16,8186,Elizabeth,,,True,30.457,-97.7842,,,1,0.0,False,"TV,Wifi,Air conditioning,Free parking on premises,Portable fans,Ceiling fan,Pets allowed,Hot water,Body soap,Conditioner,Bed linens,Extra pillows and blankets,Outdoor furniture,Microwave,Cleaning products,Refrigerator,Dishes and silverware,Heating,Wine glasses,Single level home,Smoke alarm,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Dining table,Hair dryer,Iron,Outdoor dining area,Toaster,Bathtub",,False,1.0,Moderate,USD,6.0,0.0,306,4.91,4.9,4.9,4.9,4.9,4.8,4.9,2073.0,2073.0,48.8,48.8,0.115,0.0,5.6,5.6,0.0,0.0,42,0,323,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Austin,United States,US,Northern America
6448,"Secluded Studio @ Zilker - King Bed, Bright & Airy",Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-6448/original/a0ab6e9c-58ed-4d57-acb1-60cb68b068e0.jpg,23,14156,Amy,,,True,30.2603,-97.7649,2.0,1.0,2,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Ethernet connection,TV,Record player,Crib,Pack ’n play/Travel crib,Children’s books and toys,Changing table,Outlet covers,Board games,Babysitter recommendations,Air conditioning,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Firm,USD,60.0,0.0,348,4.97,5.0,5.0,5.0,5.0,5.0,4.9,49287.0,49287.0,194.2,194.2,0.671,0.0,130.8,130.8,0.0,0.0,245,0,120,365,6406.0,6406.0,173.7,173.7,0.389,0.0,65.8,65.8,0.0,0.0,35,0,55,90,Austin,United States,US,Northern America
8502,Woodland Studio Lodging,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-8502/original/be48ea3b-6d8a-4d9b-bc13-8aa514ef246a.jpeg,14,25298,Karen,,,True,30.2347,-97.7368,2.0,1.0,1,1.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Air conditioning,Heating,Smoke alarm,Wifi,Kitchen,Free street parking,Pets allowed",,False,4.0,Firm,USD,95.0,0.0,54,4.57,4.5,4.8,4.7,4.9,4.7,4.6,3663.0,3663.0,60.1,60.1,0.175,0.214,9.3,9.3,11.3,11.3,64,66,301,365,139.0,139.0,71.3,71.3,0.022,0.032,1.5,1.5,2.2,2.2,2,28,88,90,Austin,United States,US,Northern America
13035,Historic house in highly walkable East Austin,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-13035/original/00407f5f-ff1f-4653-8832-4fbeee901a83.jpeg,31,50793,Molly,154901621,Ashley,True,30.261,-97.7307,3.0,2.0,2,2.0,False,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Ceiling fan,Conditioner,Free street parking,Outdoor furniture,Cleaning products,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Sound system,Bathtub,Blender,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Backyard,Long term stays allowed,Dining table,Baking sheet,Toaster",,False,30.0,Firm,USD,,,21,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7649.0,7649.0,136.0,136.0,0.162,0.241,21.0,21.0,31.2,31.2,59,120,306,365,0.0,0.0,147.5,147.5,0.0,0.0,0.0,0.0,0.0,0.0,0,31,90,90,Austin,United States,US,Northern America
22828,Garage Apartment central SE Austin,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-22828/original/91072e92-a641-4c30-85ee-4b527c6ccac8.jpeg,11,56488,David,,,True,30.2361,-97.7323,2.0,1.0,1,1.0,False,"Hair dryer,Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Air conditioning,Ceiling fan,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Baking sheet,Dining table,Private entrance,Laundromat nearby,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,30.0,Flexible,USD,,,57,4.95,5.0,5.0,5.0,5.0,4.7,4.8,11282.0,11282.0,65.1,65.1,0.477,0.588,30.9,30.9,38.1,38.1,174,69,191,365,2124.0,2124.0,66.2,66.2,0.356,0.0,23.6,23.6,0.0,0.0,32,0,58,90,Austin,United States,US,Northern America
40285,"OUTDOOR LIVING IN AUSTIN, TX",Entire home,entire_home,https://a0.muscache.com/im/pictures/522263/35fdf2cb_original.jpg,16,170787,Robbie,,,False,30.3512,-97.7621,4.0,2.0,2,2.0,False,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Hot water,Body soap,Conditioner,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Microwave,Cleaning products,Coffee maker,Indoor fireplace,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Dryer,Smoke alarm,Shower gel,Patio or balcony,Fire extinguisher,Essentials,Shampoo,Hangers,Dining table,Hair dryer,Iron,Baking sheet,Toaster",False,,2.0,Flexible,USD,0.0,10.0,42,4.93,5.0,5.0,5.0,4.9,4.9,4.8,4786.0,4786.0,470.0,470.0,0.027,0.0,13.1,13.1,0.0,0.0,10,0,355,365,0.0,0.0,457.8,457.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Austin,United States,US,Northern America
50318,Scooby Doo House,Entire condo,entire_home,https://a0.muscache.com/im/pictures/25719098/a118d875_original.jpg,25,12409,Flip,,,False,30.2859,-97.7515,2.0,2.0,3,1.0,False,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water,Breakfast,Bed linens,Extra pillows and blankets,Free street parking,Coffee maker,Refrigerator,Dishes and silverware,Heating,Washer,Dryer,Smoke alarm,Patio or balcony,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",False,False,5.0,Firm,USD,100.0,0.0,41,4.68,4.6,4.8,4.5,4.8,4.6,4.6,5957.0,5957.0,119.7,119.7,0.137,0.0,15.2,15.2,0.0,0.0,50,0,315,365,0.0,0.0,133.6,133.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Austin,United States,US,Northern America
57187,"An Austin \Weird\"" Home in Peaceful Zilker Park""",Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/4994fc87-b9fe-401f-ad9e-3f9b41f38631.jpg,14,272156,Lois,,,True,30.2576,-97.77,6.0,1.0,3,1.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Iron,Books and reading material,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Wifi,Dedicated workspace,Refrigerator,Coffee maker,Private entrance,Patio or balcony,Backyard,Free parking on premises,Free street parking,Luggage dropoff allowed",,False,1.0,Firm,USD,58.0,0.0,1101,4.91,4.9,5.0,4.9,5.0,5.0,4.8,24876.0,24876.0,139.7,139.7,0.414,0.0,61.5,61.5,0.0,0.0,151,0,214,365,3426.0,3426.0,141.8,141.8,0.233,0.0,33.6,33.6,0.0,0.0,21,0,69,90,Austin,United States,US,Northern America
69303,Large Zilker Park Townhome-A Barton Springs Oasis,Entire condo,entire_home,https://a0.muscache.com/im/pictures/48c56787-d071-4712-859d-7fe5972ff5ef.jpg,27,272156,Lois,,,True,30.2615,-97.7728,4.0,1.0,2,1.5,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Books and reading material,Theme room,Pack ’n play/Travel crib,Board games,Air conditioning,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Lake access,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,BBQ grill,Beach essentials,Sun loungers,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Firm,USD,77.0,0.0,268,4.96,5.0,5.0,5.0,5.0,4.9,4.8,30622.0,30622.0,191.9,191.9,0.433,0.465,79.9,79.9,85.8,85.8,158,25,207,365,8414.0,8414.0,197.8,197.8,0.433,0.464,91.8,91.8,98.3,98.3,39,6,51,90,Austin,United States,US,Northern America
